,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
206,223080337,18 03 44.965,-26 32 42.17,1,15.308,,,,18034496-2632421,STAR,J,,,,,,,,,,,,,,,,,,13.964,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEU-220-110-cc0-0-0,5.9,0634-0711863
207,223096357,18 10 36.652,-26 31 13.84,1,13.412,,,318-150114,18103664-2631138,STAR,JHK,,-5.5,3.3,-10.6,3.4,,,,,,,,,,,,,11.995,0.027999999999999997,11.585,0.028999999999999998,11.432,0.027999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-121-0c0-0-0,6.1,
208,223096777,17 40 00.664,-26 31 11.26,1,15.100999999999999,,,,17400066-2631112,STAR,J,,,,,,,,,,,,,,,,,,13.765999999999998,0.063,13.046,0.08800000000000001,12.712,0.069,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.8,0634-0621921
209,223121291,18 11 01.409,-26 28 55.81,1,13.827,,,318-151206,18110141-2628557,STAR,JHK,,-7.1,3.3,3.5,3.7,,,,,,,,,,,,,12.91,0.040999999999999995,12.823,0.057,12.687999999999999,0.054000000000000006,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-0cc-0-0,9.7,
210,223122781,18 19 50.341,-26 28 47.40,1,13.777000000000001,,,318-175726,18195034-2628474,STAR,JHK,,5.6,7.0,-8.7,4.6,,,,,,,,,,,,,11.981,0.025,11.409,0.028999999999999998,11.261,0.026000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-00c-0-0,8.5,
211,223126835,17 44 17.676,-26 28 25.30,1,13.27,,,,17441767-2628252,STAR,J,col,,,,,,,,,,,,,,,,,11.792,0.047,10.409,0.040999999999999995,9.852,0.032,3604.0,312.0,173.0,0.754,0.41600000000000004,0.26,0.11,0.3,0.48,67.953,22.456,19.713,1.072,0.433,0.054000000000000006,2.73e-06,6.26e-06,1.56e-06,7954.0,2059.0,2192.0,2.5180000000000002,0.489,0.349,AAA-222-111-000-0-0,6.5,0635-0633179
212,223127342,17 35 59.727,-26 28 22.48,1,14.617,,,,17355972-2628224,STAR,J,,10.0,3.0,0.0,8.0,,,,,,,,,,,,,13.290999999999999,0.036000000000000004,12.118,0.033,11.697000000000001,0.031,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.7,0635-0598871
213,223155850,18 21 23.666,-26 25 42.15,1,14.584000000000001,,,318-179573,18212366-2625421,STAR,JHK,,-1.7,4.9,-7.7,4.9,,,,,,,,,,,,,12.92,0.025,12.374,0.026000000000000002,12.245999999999999,0.027000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,12.7,
214,223186907,18 20 19.200,-26 22 47.84,1,13.825999999999999,,,319-167999,18201905-2622464,STAR,BV,,17.9,13.0,-31.0,4.8,,,14.739,0.03,13.99,0.036000000000000004,,,,,,,8.972000000000001,0.022000000000000002,7.9,0.033,7.44,0.018000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,AAA-211-111-000-0-0,6.6,
215,223192670,18 07 48.310,-26 22 15.36,1,15.222000000000001,,,319-136101,18074830-2622150,STAR,JHK,,-11.0,5.5,-11.7,10.6,,,,,,,,,,,,,13.273,0.032,12.720999999999998,0.038,12.505,0.040999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.9,
216,223205550,18 06 35.536,-26 21 02.17,1,15.08,,,319-134103,18063553-2621022,STAR,JHK,,13.5,9.0,-5.6,7.3,,,,,,,,,,,,,12.76,0.040999999999999995,12.177999999999999,0.052000000000000005,11.88,0.047,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,4.3,
217,223252417,17 49 50.409,-26 16 32.97,1,13.715,,,319-123648,17495040-2616330,STAR,gri,rpm,-1.5,5.2,-4.2,2.5,,,15.811,0.04,14.4,0.039,15.21,0.040999999999999995,13.780999999999999,0.044000000000000004,13.074000000000002,0.064,11.02,0.027999999999999997,10.26,0.037000000000000005,9.988,0.046,4571.0,140.0,168.0,2.061,0.415,0.9129999999999999,-0.466,0.6,1.0,14.312000000000001,24.066999999999997,4.25,1.001,0.389,0.162,0.000301,0.000831,0.00028900000000000003,2592.0,4132.0,705.6,0.81,0.14400000000000002,0.14400000000000002,AAA-222-111-000-0-0,6.0,
218,223254056,18 09 45.326,-26 16 23.56,1,13.343,,,319-140340,18094532-2616236,STAR,gri,,-37.2,4.1,8.2,5.1,,,15.575,0.05,14.126,0.036000000000000004,,,13.546,0.043,12.966,0.063,11.529000000000002,0.033,10.964,0.038,10.77,0.036000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-0d0-0-0,6.7,
219,223254456,18 09 22.270,-26 16 21.40,1,15.642999999999999,,,319-139059,18092224-2616214,STAR,JHK,,-20.4,16.4,-13.3,14.1,,,,,,,,,,,,,13.425999999999998,0.027999999999999997,12.635,0.023,12.482000000000001,0.028999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,10.4,
220,223257422,18 16 21.752,-26 16 04.05,1,14.402999999999999,,,319-156950,18162175-2616040,STAR,JHK,,3.6,3.7,-12.1,3.6,,,,,,,,,,,,,12.852,0.037000000000000005,12.331,0.022000000000000002,12.222999999999999,0.044000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-ccc-0-0,7.6,
221,223276071,18 07 11.210,-26 14 15.71,1,9.929,,6846-515-1,319-135131,,STAR,gri,,6.1,2.6,-1.3,2.3,,,9.847999999999999,0.027000000000000003,9.743,0.032,10.13,0.19,9.862,0.08,9.83,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,223286401,18 08 00.345,-26 13 16.04,1,15.606,,,,18080034-2613160,STAR,JHK,,,,,,,,,,,,,,,,,,12.684000000000001,0.032,11.806,0.033,11.492,0.034,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.6,0637-0720682
223,223315054,18 09 12.223,-26 10 30.88,1,15.094000000000001,,,320-138736,18091222-2610309,STAR,JHK,,-4.8,4.0,-8.1,4.9,,,,,,,,,,,,,13.04,0.036000000000000004,12.482000000000001,0.053,12.241,0.051,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-ccc-0-0,9.1,
