EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
221312395,17 51 00.094,-29 20 11.97,1,13.728,,,,17510009-2920119,STAR,J,,,,,,,,,,,,,,,,,,12.338,0.06,11.262,0.084,10.865,0.058,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-112-00c-0-0,4.2,0606-0688748
221405871,17 50 58.771,-29 08 54.17,1,13.032,,,,17505877-2908541,STAR,J,,,,,,,,,,,,,,,,,,11.497,0.036,9.925,0.036,9.358,0.035,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6,0608-0685827
221646527,17 51 03.660,-28 42 12.89,1,12.995,,,,17510366-2842128,STAR,J,,,,,,,,,,,,,,,,,,11.452,0.037,9.976,0.04,9.376,0.027,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.6,0612-0671803
221718350,18 06 20.120,-28 34 55.48,1,14.04,,,308-175088,18062011-2834554,STAR,J,,11.6,13.7,-9.2,13.7,,,,,,,,,,,,,12.687,0.036,11.788,0.033,11.481,0.031,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-00d-0-0,8.6,
221723022,18 06 28.799,-28 34 27.47,1,15.54,,,308-175425,18062880-2834274,STAR,JHK,,7.7,10.7,47.5,10.7,,,,,,,,,,,,,12.797,0.033,11.901,0.034,11.659,0.032,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.3,
221730899,18 06 02.964,-28 33 40.94,1,14.397,,,308-174427,,STAR,BV,,0,50,0,50,,,15.001,0.03,14.476,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221731586,18 05 57.157,-28 33 36.68,1,15.873,,,308-174186,18055716-2833366,STAR,JHK,,23.3,13.8,-28.8,14,,,,,,,,,,,,,13.658,0.023,13.063,0.021,12.811,0.029,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-221-ccc-0-0,4,
221736118,18 06 51.374,-28 33 09.90,1,15.246,,,308-176568,18065145-2833094,STAR,J,,-1.2,24.7,-3.5,14.4,,,,,,,,,,,,,13.905,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUU-200-100-000-0-0,1.2,
221745727,18 06 37.882,-28 32 12.71,1,15.688,,,308-175805,18063786-2832125,STAR,JHK,,,,,,,,,,,,,,,,,,13.149,0.039,12.396,0.039,12.079,0.035,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-ccc-0-0,7.5,0614-0739311
221773945,18 07 07.166,-28 29 27.51,1,14.228,,,,18070716-2829275,STAR,J,,,,,,,,,,,,,,,,,,12.889,0.032,11.922,0.032,11.651,0.03,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.4,0615-0751436
