,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
1107,212315336,13 34 11.510,-17 04 40.14,1,14.145,,,365-064219,13341152-1704401,,STAR,BV,col,,,,,,,15.563,0.06,14.368,0.038,,,,,,,,,,,11.837,0.028,11.162,0.026,10.957,0.026,4055,237,198,4.811,0.08,0.096,-0.092,0.2,0.24,0.467,0.094,0.093,0.52,0.099,0.099,4.848,2.241,1.532,123,37.36,28.66,0.037,0.017,0.017,AAA-222-111-c00-0-0,,
1108,212315354,13 43 58.330,-17 04 38.32,1,13.182,,,365-064594,13435832-1704382,,STAR,gri,apo,-10,2.3,-1.8,2.7,,,14.42,0.01,13.473,0.04,,,13.919,0.02,13.139,0.07,12.866,0.1,,,11.678,0.026,11.165,0.023,11.105,0.021,4919,144,115,2.473,0.238,0.084,-0.663,0.12,0.15,9.024,1.138,2.185,0.922,0.044,0.018,0.001,0.002,2.56E-04,2809,278.1,692.7,0.056,0.032,0.023,AAA-222-111-000-0-0,,
1109,212315368,13 52 50.925,-17 04 36.90,1,13.619,,,365-064888,13525092-1704367,,STAR,gri,rpm,-7.1,2.2,-4.7,2.4,,,14.744,0.02,13.858,0.02,,,14.258,0.03,13.584,0.02,13.345,0.11,,,12.175,0.024,11.678,0.026,11.566,0.023,5076,101,101,2.725,0.72,0.54,-0.923,0.35,0.49,6.156,6.275,3.399,0.89,0.029,0.079,0.003,0.033,0.003,2511,1877,1424,0.047,0.038,0.014,AAA-222-111-000-0-0,,
1110,212315371,13 49 37.925,-17 04 36.39,1,10.951,,6127-764-1,365-064774,13493793-1704363,,STAR,gri,rav,6,2.3,-13.8,2.4,,,11.807,0.138,11.276,0.131,,,11.446,0.03,10.967,0.02,10.739,0.04,,,9.852,0.026,9.523,0.024,9.431,0.024,5477,160,288,3.55,0.105,0.189,-0.085,0.12,0.15,3.42,1.286,0.556,1.536,0.362,0.226,0.037,0.02,0.02,541.7,182.3,101.4,0.068,0.023,0.032,AAA-222-111-000-0-0,,
1111,212315372,13 28 34.336,-17 04 36.38,1,13.906,,,365-064004,13283433-1704363,,STAR,gri,rpm,17.3,2.9,-20.1,3.3,,,14.866,0.06,14.092,0.04,,,14.453,0.05,13.838,0.03,13.671,0.12,,,12.575,0.024,12.18,0.027,12.135,0.023,5471,131,131,4.511,0.045,0.063,-0.196,0.24,0.24,0.855,0.105,0.081,0.885,0.063,0.088,1.355,0.274,0.308,474.7,68.83,52.02,0.057,0.029,0.024,AAA-222-111-000-0-0,,
1112,212315376,13 44 09.576,-17 04 35.74,1,14.606,,,365-064605,13440957-1704356,,STAR,gri,rpm,2.8,5.8,2.2,4.4,,,15.748,0.05,14.854,0.07,,,15.278,0.05,14.562,0.09,14.318,0.09,,,13.271,0.024,12.809,0.023,12.764,0.032,5127,156,125,3.282,1.2,0.8,-0.636,0.56,0.42,2.476,5.21,1.84,0.887,0.045,0.08,0.019,1.151,0.018,1901,3709,1382,0.059,0.026,0.022,AAA-222-111-000-0-0,,
1113,212315396,13 47 16.003,-17 04 33.75,1,8.486,67274,6127-801-1,365-064704,13471600-1704337,,STAR,gri,plx,-38.04,0.99,-10.58,0.83,2.78,1.09,9.385,0.026,8.332,0.015,,,9.973,0.06,8.992,0.03,7.848,0.01,,,6.448,0.02,5.961,0.067,5.84,0.026,4692,115,115,2.468,0.225,0.125,-0.019,0.15,0.18,11.252,1.42,1.061,1.527,0.548,0.342,9.49E-04,7.46E-04,3.04E-04,359.7,141,141,0.055,0.023,0.023,AAA-111-111-000-0-0,,
1114,212315403,13 52 10.763,-17 04 33.16,1,12.963,,,365-064869,13521075-1704331,,STAR,gri,rpm,-26.2,1.3,0.7,1.4,,,13.711,0.02,13.093,0.01,,,13.333,0.03,12.948,0.03,12.804,0.03,,,11.904,0.023,11.612,0.024,11.54,0.021,6102,99,149,4.266,0.105,0.21,-0.451,0.3,0.42,1.163,0.335,0.138,0.954,0.122,0.087,0.546,0.292,0.279,541.8,137.1,80.65,0.046,0.033,0.015,AAA-222-111-000-0-0,,
1115,212315444,13 37 22.346,-17 04 28.93,1,12.699,,,365-064344,13372235-1704289,,STAR,gri,apo,-19.3,2.2,1.6,2.6,,,13.933,0.03,13.04,0.01,,,13.435,0.02,12.763,0.03,12.383,0.04,,,11.299,0.024,10.782,0.024,10.686,0.021,4904,97,77,2.792,0.17,0.17,-0.714,0.15,0.15,6.315,1.242,1.224,0.911,0.044,0.018,0.003,0.003,0.002,1659,331,276,0.056,0.028,0.028,AAA-222-111-000-0-0,,
1116,212315470,13 34 11.759,-17 04 27.06,1,9.033,,6125-679-1,365-064220,13341177-1704269,,STAR,gri,rpm,-31.4,1.4,-16.4,1.4,,,9.365,0.021,8.887,0.017,,,9.963,0.07,9.172,0.05,8.634,0.04,,,7.988,0.026,7.794,0.024,7.736,0.024,6029,213,177,3.937,0.399,0.126,0.169,0.06,0.1,2.044,0.395,0.877,1.329,0.243,0.243,0.145,0.519,0.049,157.4,29.41,68.48,0.048,0.018,0.022,AAA-111-111-000-0-0,,
