,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
1,212538603,13 35 22.086,-11 54 53.99,1,18.983,,,,13352208-1154539,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,16.065,0.117,15.216,0.142,14.874,0.178,3940,455,379,4.896,0.15,0.18,-0.218,0.25,0.4,0.367,0.152,0.141,0.425,0.168,0.202,7.309,9.668,3.688,688.4,443.6,309.4,0.04,0.023,0.013,BBC-222-111-000-0-0,,
2,212538611,13 34 18.856,-11 54 53.49,1,17.977,,,,13341885-1154534,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.444,0.14,15.694,0.153,14.875,0.148,3669,471,294,4.993,0.125,0.15,-0.176,0.24,0.36,0.272,0.14,0.092,0.275,0.192,0.12,13.01,13.25,7.408,557.8,411.5,236.8,0.055,0.028,0.023,BBB-222-111-000-0-0,,
3,212538619,13 39 10.353,-11 54 52.89,1,16.886,,,,13391035-1154528,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,14.622,0.032,14.085,0.039,13.76,0.052,3528,179,215,5.039,0.084,0.07,-0.042,0.15,0.21,0.233,0.066,0.06,0.232,0.088,0.074,16.18,10.42,5.489,183.2,69.09,58.41,0.038,0.025,0.014,AAA-222-111-000-0-0,,
4,212538637,13 39 22.218,-11 54 51.80,1,18.565,,,,13392221-1154518,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.988,0.171,16.23,0.207,15.152,0.169,3622,507,316,4.993,0.125,0.175,-0.201,0.25,0.4,0.25,0.161,0.085,0.264,0.205,0.114,13.01,13.25,7.408,578.6,553.7,247.9,0.058,0.029,0.024,CCC-222-111-000-0-0,,
5,212538676,13 23 33.589,-11 54 49.16,1,16.315,,,,13233358-1154491,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,14.59,0.035,14.064,0.044,13.894,0.067,4444,586,879,4.743,0.279,0.186,-0.202,0.25,0.5,0.524,0.256,0.271,0.568,0.214,0.342,3.638,10.85,2.05,561.6,422.5,360.8,0.05,0.032,0.022,AAA-222-111-000-0-0,,
6,212538723,13 34 33.274,-11 54 45.41,1,13.215,,,391-059184,13343328-1154455,,STAR,gri,rpm,-10.7,1.4,5.2,1.5,,,13.972,0.06,13.322,0.06,,,13.573,0.04,13.116,0.02,13.062,0.08,,,12.076,0.023,11.787,0.022,11.726,0.028,6027,144,144,4.228,0.16,0.192,-0.12,0.2,0.24,1.303,0.372,0.246,1.059,0.141,0.118,0.472,0.358,0.232,637.7,159.6,127.7,0.053,0.03,0.019,AAA-222-111-000-0-0,,
7,212538777,13 40 13.561,-11 54 41.31,1,11.331,,5549-997-1,391-059370,13401356-1154413,,STAR,gri,rpm,-61.2,2.3,-33,2.3,,,12.568,0.273,11.584,0.143,,,11.998,0.03,11.325,0.03,11.045,0.08,,,10.043,0.021,9.647,0.022,9.542,0.025,5301,105,105,4.535,0.04,0.04,-0.036,0.18,0.3,0.844,0.056,0.073,0.898,0.045,0.083,1.457,0.287,0.239,143,14.96,15.67,0.029,0.018,0.007,AAA-222-111-000-0-0,,
8,212538814,13 49 57.594,-11 54 39.02,1,15.849,,,,13495759-1154390,,EXTENDED,J,,,,,,,,,,,,,,,,,,,,,,14.471,0.08,13.645,0.075,13.174,0.074,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-1-0,37.9,
9,212538830,13 54 53.434,-11 54 37.80,1,11.653,,5556-298-1,391-059879,13545343-1154378,,STAR,gri,rav,-45.6,2.6,-2,2.6,,,12.872,0.434,11.859,0.234,,,12.282,0.04,11.672,0.05,11.383,0.04,,,10.301,0.022,9.824,0.023,9.735,0.019,5218,124,104,3.663,0.09,0.105,-0.535,0.15,0.15,2.388,0.373,0.235,0.972,0.09,0.056,0.068,0.022,0.022,436.9,55.35,35.68,0.039,0.022,0.011,AAA-222-111-000-0-0,,
10,212538856,13 42 52.310,-11 54 35.88,1,12.349,,5549-825-1,391-059461,13425232-1154360,,STAR,gri,plx,-23.2,2.3,12.5,2.3,,,12.406,0.188,12.174,0.195,,,12.683,0.03,12.33,0.03,12.206,0.08,,,11.377,0.026,11.096,0.023,11.028,0.021,6179,124,124,4.125,0.15,0.15,-0.279,0.25,0.35,1.41,0.315,0.218,1.075,0.147,0.147,0.333,0.232,0.137,568.2,119.3,119.3,0.037,0.02,0.011,AAA-222-111-000-0-0,,
