,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
11,212538896,13 43 45.688,-11 54 32.95,1,8.462,,5549-1228-1,391-059502,13434568-1154329,,STAR,BV,rpm,-17.6,1.3,4.2,1.3,,,9.498,0.022,8.66,0.014,,,,,,,,,,,7.076,0.024,6.667,0.057,6.52,0.021,4874,103,145,2.688,0.16,0.288,-0.095,0.15,0.36,10.332,1.207,1.481,1.86,0.365,0.79,0.002,0.001,7.28E-04,384.9,42.02,45,0.04,0.026,0.013,AAA-111-111-000-0-0,,
12,212538909,13 53 23.295,-11 54 31.56,1,18.143,,,,13532329-1154315,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.688,0.066,15.078,0.09,14.758,0.115,3819,590,327,4.919,0.135,0.189,-0.197,0.25,0.35,0.328,0.181,0.117,0.364,0.207,0.172,8.091,9.207,4.84,472.3,467.5,206.1,0.051,0.029,0.021,AAB-222-111-000-0-0,,
13,212538940,13 52 59.432,-11 54 29.59,1,13.674,,,391-059816,13525942-1154296,,STAR,gri,rpm,-5.6,2.2,-2.3,2.5,,,15.044,0.09,14.042,0.03,,,14.496,0.05,13.739,0.02,13.322,0.02,,,12.182,0.024,11.584,0.022,11.515,0.023,4689,55,55,1.266,0.442,0.13,-1.711,0.56,0.4,32.852,6.572,13.256,0.806,0.064,0.016,2.05E-05,7.84E-05,8.36E-06,12360,1702,4491,0.044,0.031,0.011,AAA-222-111-000-0-0,,
14,212538981,13 28 32.776,-11 54 26.13,1,14.279,,,391-058976,13283277-1154260,,STAR,gri,rpm,-5.9,2.8,-13.6,3.9,,,15.373,0.07,14.539,0.02,,,14.933,0.02,14.268,0.04,13.999,0.05,,,12.871,0.022,12.423,0.023,12.31,0.027,5233,126,126,4.522,0.06,1.26,-0.389,0.3,0.6,0.844,2.727,0.099,0.868,0.053,0.084,1.357,0.507,1.339,523.4,1515,79.96,0.062,0.026,0.031,AAA-222-111-000-0-0,,
15,212538995,13 42 22.606,-11 54 25.16,1,13.208,,,391-059450,13422260-1154250,,STAR,gri,rpm,-12.9,2.5,7.1,3,,,14.598,0.04,13.535,0.02,,,14.052,0.03,13.187,0.02,12.846,0.08,,,11.58,0.023,11.025,0.023,10.898,0.024,4772,95,76,3.125,1.305,0.725,-0.141,0.2,0.32,3.738,4.688,3.002,0.976,0.163,0.163,0.011,0.969,0.01,1156,1299,935.8,0.045,0.022,0.016,AAA-222-111-000-0-0,,
16,212539012,13 50 00.978,-11 54 24.06,1,17.595,,,,13500097-1154240,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.092,0.127,15.376,0.146,14.969,0.172,3854,582,364,4.902,0.145,0.203,-0.218,0.25,0.45,0.348,0.192,0.143,0.381,0.219,0.183,7.627,9.448,4.727,651.4,544.9,296.7,0.04,0.024,0.012,BBC-222-111-000-0-0,,
17,212539026,13 50 30.516,-11 54 23.46,1,18.202,,,,13503051-1154234,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.647,0.166,15.7,0.128,15.368,0.203,3908,521,447,4.931,0.145,0.174,-0.303,0.3,0.42,0.344,0.165,0.129,0.351,0.187,0.187,8.126,9.857,4.454,779.1,593.6,384.3,0.04,0.023,0.013,CBC-222-111-000-0-0,,
18,212539027,13 26 03.413,-11 54 23.44,1,14.596,,,391-058885,13260341-1154233,,STAR,gri,rpm,6.5,3,-23,3.3,,,15.713,0.03,14.819,0.03,,,15.262,0.02,14.522,0.02,14.311,0.03,,,13.16,0.026,12.65,0.023,12.591,0.035,5095,101,101,4.588,0.035,0.025,-0.201,0.16,0.24,0.748,0.042,0.063,0.797,0.054,0.076,1.866,0.326,0.203,500.4,32.1,58.51,0.046,0.036,0.013,AAA-222-111-000-0-0,,
19,212539048,13 51 33.369,-11 54 21.29,1,14.714,,,391-059756,13513337-1154213,,STAR,gri,rpm,-22.8,2.5,-4.5,3,,,15.256,0.05,14.769,0.03,,,14.926,0.05,14.643,0.03,14.44,0.08,,,13.672,0.023,13.454,0.027,13.351,0.037,6311,130,130,4.239,0.084,0.154,-1.074,0.2,0.24,1.136,0.211,0.11,0.842,0.02,0.02,0.55,0.195,0.219,1217,226.7,139.8,0.041,0.029,0.016,AAA-222-111-000-0-0,,
20,212539059,13 34 26.536,-11 54 20.37,1,14.507,,,391-059182,13342653-1154203,,STAR,gri,rpm,-17.7,2.2,21.2,2.5,,,15.647,0.07,14.744,0.09,,,15.15,0.05,14.458,0.02,14.232,0.05,,,12.98,0.025,12.509,0.025,12.367,0.026,5160,125,104,4.585,0.03,0.048,-0.277,0.24,0.24,0.742,0.078,0.051,0.788,0.08,0.067,1.869,0.277,0.329,460,65,41.44,0.047,0.033,0.015,AAA-222-111-000-0-0,,
21,212539065,13 37 49.307,-11 54 19.86,1,16.248,,,,13374930-1154198,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,14.003,0.029,13.415,0.024,13.147,0.037,3563,180,180,5.014,0.091,0.065,-0.041,0.15,0.21,0.246,0.076,0.067,0.249,0.099,0.083,14.08,9.506,4.34,152.7,51.86,51.29,0.03,0.016,0.01,AAA-222-111-000-0-0,,
22,212539120,13 35 54.646,-11 54 16.00,1,11.752,,5548-1407-1,391-059229,13355465-1154161,,STAR,gri,rpm,-90.6,2.3,-35.6,2.4,,,12.396,0.242,11.834,0.2,,,11.92,0.04,11.695,0.02,11.672,0.06,,,10.903,0.024,10.678,0.026,10.642,0.023,6447,159,106,4.238,0.045,0.063,-1.244,0.12,0.24,1.135,0.095,0.064,0.834,0.017,0.017,0.543,0.116,0.11,342.6,31.15,24.63,0.036,0.022,0.009,AAA-222-111-000-0-0,,
23,212539142,13 43 03.197,-11 54 14.01,1,13.764,,,391-059468,13430319-1154137,,STAR,gri,rpm,-43.8,2.9,9.5,3.1,,,14.857,0.08,14.014,0.02,,,14.401,0.03,13.729,0.02,13.491,0.09,,,12.418,0.024,12.005,0.026,11.904,0.027,5272,104,83,4.562,0.035,0.035,-0.238,0.24,0.2,0.77,0.069,0.053,0.799,0.095,0.053,1.695,0.251,0.259,384.9,36.16,39.32,0.041,0.016,0.016,AAA-222-111-000-0-0,,
24,212539143,13 54 52.793,-11 54 13.96,1,13.166,,,391-059877,13545278-1154139,,STAR,gri,rpm,-6.2,4.1,-7.8,1.8,,,14.025,0.02,13.374,0.05,,,13.604,0.03,13.175,0.04,12.978,0.03,,,12.05,0.022,11.725,0.025,11.629,0.021,5897,140,117,4.263,0.165,0.297,-0.216,0.25,0.35,1.219,0.582,0.264,1.013,0.119,0.143,0.524,0.429,0.345,589,269.8,139.1,0.046,0.027,0.015,AAA-222-111-000-0-0,,
25,212539175,13 41 56.437,-11 54 11.43,1,11.601,,5549-1325-1,391-059431,13415642-1154113,,STAR,gri,plx,8.7,2.3,-30,2.3,,,12.106,0.13,11.935,0.161,,,11.939,0.03,11.591,0.03,11.456,0.07,,,10.656,0.026,10.372,0.023,10.293,0.019,6145,125,100,4.304,0.075,0.12,-0.398,0.3,0.36,1.149,0.192,0.12,0.988,0.135,0.135,0.604,0.226,0.209,279.2,44.49,44.49,0.037,0.018,0.011,AAA-222-111-000-0-0,,
26,212539183,13 42 43.129,-11 54 10.90,1,13.444,,,391-059455,13424313-1154108,,STAR,gri,rpm,-37.7,7.7,9.1,2.8,,,14.38,0.04,13.663,0.02,,,13.974,0.03,13.433,0.04,13.217,0.09,,,12.284,0.024,11.926,0.025,11.864,0.026,5623,134,134,4.485,0.055,0.077,-0.257,0.25,0.35,0.866,0.126,0.092,0.868,0.089,0.089,1.265,0.328,0.349,432.9,85.65,52.37,0.041,0.029,0.014,AAA-222-111-000-0-0,,
27,212539225,13 24 17.201,-11 54 07.77,1,18.483,,,,13241719-1154077,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.912,0.198,16.05,0.195,15.304,0.214,3805,626,417,4.967,0.13,0.208,-0.246,0.3,0.48,0.31,0.182,0.115,0.336,0.219,0.156,10.77,12.52,7.112,756.8,817.1,345.6,0.057,0.029,0.024,CCC-222-111-000-0-0,,
28,212539238,13 37 09.250,-11 54 06.76,1,12.865,,,391-059276,13370924-1154068,,STAR,gri,rpm,-5.7,1.4,-2.2,1.9,,,13.48,0.04,12.989,0.05,,,13.157,0.04,12.839,0.02,12.739,0.05,,,11.915,0.024,11.645,0.024,11.614,0.027,6232,126,101,4.131,0.16,0.16,-0.255,0.2,0.32,1.407,0.373,0.218,1.087,0.165,0.138,0.326,0.234,0.136,669.4,158.7,108.8,0.038,0.016,0.009,AAA-222-111-000-0-0,,
29,212539322,13 29 49.918,-11 54 00.92,1,16.471,,,,13294991-1154009,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,14.236,0.033,13.622,0.039,13.383,0.042,3781,306,263,4.953,0.1,0.12,-0.095,0.2,0.28,0.319,0.107,0.094,0.347,0.158,0.131,9.392,6.93,3.988,237,105.6,84.69,0.044,0.027,0.017,AAA-222-111-000-0-0,,
30,212539363,13 35 31.868,-11 53 58.76,1,18.207,,,,13353186-1153587,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.652,0.135,15.921,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,BCU-220-110-000-0-0,23.5,
31,212539386,13 48 53.328,-11 53 56.61,1,14.902,,,391-059679,13485332-1153568,,STAR,gri,rpm,-13.8,3.1,4.7,3.7,,,16.071,0.08,15.187,0.04,,,15.587,0.02,14.897,0.05,14.608,0.1,,,13.588,0.028,13.12,0.026,13.036,0.038,5172,154,123,4.556,0.04,0.912,-0.312,0.25,0.35,0.784,1.559,0.071,0.832,0.076,0.076,1.633,0.376,1.567,665.7,1301,82.68,0.056,0.031,0.022,AAA-222-111-000-0-0,,
32,212539393,13 47 25.280,-11 53 55.57,1,18.701,,,,13472527-1153555,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,16.045,0.097,15.291,0.118,14.935,0.15,3892,485,346,4.902,0.145,0.174,-0.218,0.25,0.4,0.365,0.159,0.145,0.406,0.176,0.212,7.326,10.17,3.779,602.5,399.7,275.3,0.04,0.024,0.012,ABB-222-111-000-0-0,,
33,212539420,13 37 55.195,-11 53 53.65,1,11.996,,5549-1085-1,391-059301,13375517-1153534,,STAR,gri,plx,-11.2,3.3,-7.5,3.5,,,13.395,0.491,12.057,0.231,,,12.674,0.03,12.007,0.03,11.705,0.06,,,10.597,0.026,10.084,0.024,10.04,0.021,5026,99,79,2.531,0.588,0.245,-0.856,0.25,0.35,7.836,3.202,3.655,0.898,0.054,0.027,0.001,0.009,8.14E-04,1263,886.7,886.7,0.039,0.02,0.011,AAA-222-111-000-0-0,,
34,212539437,13 40 46.556,-11 53 52.42,1,12.003,,,391-059386,13404656-1153522,,STAR,gri,rav,-3,1.7,-0.8,2.2,,,13.433,0.04,12.369,0.04,,,12.879,0.02,11.989,0.03,11.627,0.05,,,10.408,0.021,9.851,0.025,9.76,0.021,4734,113,94,2.503,0.203,0.145,-0.345,0.15,0.15,9.08,1.836,1.801,1.004,0.156,0.046,0.001,0.001,5.07E-04,1526,242.2,284.4,0.041,0.023,0.013,AAA-222-111-000-0-0,,
35,212539507,13 37 21.980,-11 53 47.49,1,12.736,,,391-059285,13372195-1153471,,STAR,gri,rav,-6.2,1.7,-7.4,2.5,,,14.083,0.05,13.088,0.05,,,13.551,0.04,12.742,0.02,12.387,0.07,,,11.156,0.021,10.583,0.022,10.49,0.021,4972,79,79,3.454,0.126,0.147,-0.313,0.15,0.15,3.059,0.617,0.376,1.035,0.156,0.078,0.033,0.018,0.013,801.9,142,101.9,0.04,0.026,0.012,AAA-222-111-000-0-0,,
36,212539551,13 50 13.828,-11 53 44.14,1,13.153,,,391-059723,13501382-1153441,,STAR,gri,rpm,-38.1,4.4,-15.9,2.9,,,14.118,0.06,13.415,0.04,,,13.703,0.02,13.185,0.02,12.917,0.03,,,11.973,0.024,11.615,0.022,11.554,0.019,5628,104,138,4.491,0.025,0.08,-0.342,0.16,0.48,0.858,0.163,0.042,0.859,0.047,0.075,1.355,0.081,0.418,374.5,79.92,17.68,0.058,0.011,0.031,AAA-222-111-000-0-0,,
37,212539567,13 28 11.748,-11 53 42.90,1,13.261,,,391-058961,13281174-1153428,,STAR,gri,rpm,-21.7,2.5,-7.3,2.5,,,14.25,0.02,13.511,0.01,,,13.82,0.02,13.242,0.01,13.021,0.06,,,12.026,0.027,11.71,0.024,11.631,0.019,5676,138,92,4.426,0.065,0.195,-0.025,0.15,0.15,1.005,0.321,0.113,0.991,0.074,0.062,0.944,0.318,0.487,457.8,159.2,63.45,0.058,0.028,0.024,AAA-222-111-000-0-0,,
38,212539573,13 43 27.294,-11 53 42.63,1,13.15,,,391-059486,13432728-1153427,,STAR,gri,rpm,-11.5,4.8,-98,3.2,,,15.219,0.04,13.769,0.03,,,14.584,0.02,13.179,0.02,12.535,0.08,,,11.03,0.026,10.4,0.024,10.187,0.019,3769,45,75,4.994,0.035,0.07,-0.196,0.12,0.15,0.295,0.057,0.035,0.314,0.069,0.05,12.04,2.772,3.398,57.72,25.64,12.54,0.014,0.015,0.003,AAA-222-111-000-0-0,,
39,212539591,13 26 00.216,-11 53 41.42,1,13.072,,,391-058881,13260022-1153413,,STAR,gri,rpm,11.9,1.9,-11,2.4,,,13.837,0.03,13.231,0.01,,,13.457,0.02,13.037,0.01,12.908,0.01,,,11.932,0.024,11.612,0.022,11.552,0.025,6058,99,123,4.267,0.126,0.252,-0.251,0.2,0.32,1.198,0.456,0.178,1.012,0.109,0.131,0.568,0.292,0.352,556.8,188.1,92.61,0.058,0.025,0.025,AAA-222-111-000-0-0,,
40,212539630,13 36 17.684,-11 53 37.69,1,11.499,,5548-1387-1,391-059243,13361767-1153375,,STAR,gri,plx,4,2.1,-3,2.2,,,11.876,0.12,11.585,0.145,,,11.715,0.04,11.427,0.02,11.362,0.06,,,10.613,0.026,10.384,0.023,10.353,0.019,6428,154,154,4.192,0.075,0.105,-0.113,0.15,0.3,1.438,0.181,0.136,1.227,0.112,0.149,0.386,0.117,0.12,389.4,55.93,55.93,0.036,0.016,0.01,AAA-222-111-000-0-0,,
41,212539635,13 47 52.031,-11 53 37.28,1,15.357,,,391-059650,13475202-1153373,,STAR,gri,rpm,-16.9,4.6,-14.9,4.4,,,17.895,0.02,16.541,0.05,,,17.194,0.07,15.822,0.08,14.57,0.1,,,12.659,0.026,12.043,0.021,11.805,0.026,3737,59,59,4.924,0.072,0.03,0.045,0.12,0.24,0.353,0.024,0.064,0.387,0.028,0.068,8.451,3.597,1.191,125.8,11.82,22.55,0.027,0.02,0.007,AAA-222-111-000-0-0,,
42,212539640,13 50 06.885,-11 53 36.79,1,17.189,,,,13500688-1153367,,STAR,J,rpm,4,2,14,5,,,,,,,,,,,,,,,,,15.714,0.094,15.09,0.111,14.505,0.115,3807,442,295,4.927,0.105,0.147,-0.112,0.2,0.32,0.339,0.144,0.101,0.37,0.168,0.14,9.206,7.547,4.718,461.9,334.1,168.4,0.041,0.023,0.013,ABB-222-111-000-0-0,,0781-0304293
43,212539651,13 35 31.472,-11 53 35.94,1,17.203,,,,13353147-1153359,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.727,0.083,15.218,0.109,14.719,0.131,3709,737,307,4.959,0.12,0.24,-0.168,0.25,0.4,0.288,0.228,0.098,0.308,0.278,0.139,10.67,10.62,7.136,442.5,510.6,186.7,0.038,0.022,0.012,ABB-222-111-000-0-0,,
44,212539661,13 47 28.802,-11 53 35.26,1,17.972,,,,13472880-1153352,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.44,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUU-200-100-000-0-0,50.4,
45,212539754,13 31 11.049,-11 53 29.56,1,12.949,,,391-059060,13311103-1153295,,STAR,gri,rav,-3.9,1.9,-3.4,2,,,14.303,0.01,13.286,0.03,,,13.759,0.02,12.959,0.02,12.602,0.04,,,11.42,0.023,10.881,0.022,10.745,0.025,5069,140,80,3.738,0.06,0.06,-0.089,0.14,0.1,2.355,0.231,0.152,1.127,0.106,0.088,0.086,0.019,0.018,698.4,73.04,42.1,0.056,0.029,0.018,AAA-222-111-000-0-0,,
46,212539817,13 35 54.946,-11 53 25.50,1,13.164,,,391-059230,13355495-1153255,,STAR,gri,rpm,-7.2,3,3.3,3.5,,,14.373,0.05,13.451,0.04,,,13.865,0.04,13.142,0.01,12.864,0.07,,,11.676,0.026,11.136,0.023,11.034,0.023,4938,78,97,2.501,0.616,0.336,-0.777,0.3,0.36,8.088,3.787,4.088,0.902,0.065,0.036,0.001,0.012,9.13E-04,2480,1402,1173,0.043,0.027,0.015,AAA-222-111-000-0-0,,
47,212539823,13 26 05.610,-11 53 25.19,1,11.937,,5547-729-1,391-058886,13260560-1153252,,STAR,gri,rpm,-49.9,2.5,17,2.7,,,12.956,0.348,12.324,0.243,,,12.41,0.02,11.896,0.02,11.734,0.02,,,10.775,0.026,10.389,0.022,10.351,0.025,5660,114,68,4.471,0.054,0.144,-0.211,0.2,0.24,0.918,0.225,0.082,0.917,0.069,0.083,1.165,0.249,0.447,230.9,61.39,31.63,0.04,0.024,0.015,AAA-222-111-000-0-0,,
48,212539855,13 51 23.796,-11 53 23.00,1,16.755,,,,13512379-1153229,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.31,0.087,14.62,0.102,14.039,0.089,3670,416,260,4.989,0.115,0.161,-0.092,0.2,0.28,0.27,0.167,0.089,0.28,0.197,0.123,11.53,10.96,6.358,331.2,223.6,133.5,0.049,0.028,0.02,AAA-222-111-000-0-0,,
49,212539928,13 27 00.798,-11 53 18.43,1,18.279,,,,13270079-1153184,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.761,0.142,15.21,0.164,14.797,0.166,4040,1307,466,4.86,0.175,0.315,-0.306,0.3,0.54,0.38,0.346,0.158,0.459,0.274,0.229,5.675,8.913,4.162,636.8,1076,322.8,0.053,0.031,0.022,BCC-222-111-000-0-0,,
50,212539947,13 52 15.912,-11 53 16.86,1,15.067,,,391-059779,13521591-1153170,,STAR,gri,rpm,-4.2,2.4,-41.4,2.8,,,15.73,0.06,15.254,0.03,,,15.42,0.05,15.115,0.05,14.916,0.07,,,14.141,0.03,13.801,0.024,13.756,0.037,6067,289,241,4.47,0.098,0.084,-1.483,0.5,0.6,0.81,0.097,0.086,0.747,0.055,0.021,1.259,0.536,0.33,1011,159.5,137.8,0.054,0.026,0.022,AAA-222-111-000-0-0,,
51,212539957,13 53 47.296,-11 53 16.26,1,14.285,,,391-059843,13534730-1153163,,STAR,gri,rpm,-8.7,2.4,-13.5,2.8,,,15.262,0.08,14.477,0.03,,,14.803,0.06,14.275,0.03,14.063,0.05,,,13.163,0.026,12.806,0.03,12.807,0.03,5720,168,168,4.427,0.085,0.374,-0.236,0.25,0.35,0.97,0.625,0.148,0.915,0.082,0.098,0.977,0.461,0.724,726.5,459.3,116.6,0.062,0.024,0.029,AAA-222-111-000-0-0,,
52,212539967,13 38 32.080,-11 53 15.74,1,12.216,,,391-059319,13383209-1153156,,STAR,gri,rpm,-45.1,1.5,2.7,1.8,,,13.491,0.04,12.553,0.04,,,12.997,0.03,12.206,0.02,11.881,0.06,,,10.725,0.026,10.229,0.023,10.143,0.023,4968,80,80,4.581,0.04,1.008,-0.138,0.2,0.2,0.774,2.046,0.062,0.839,0.144,0.08,1.759,0.308,1.716,164.4,408.1,18.42,0.035,0.024,0.012,AAA-222-111-000-0-0,,
53,212539983,13 49 34.790,-11 53 14.64,1,17.52,,,,13493478-1153146,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.023,0.107,15.35,0.098,14.986,0.132,3832,538,336,4.924,0.156,0.182,-0.218,0.25,0.4,0.331,0.175,0.132,0.35,0.197,0.164,8.382,9.13,4.92,543.8,418.8,236.6,0.04,0.023,0.013,AAB-222-111-000-0-0,,
54,212539986,13 54 25.312,-11 53 14.59,1,17.127,,,,13542531-1153145,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.656,0.075,15.046,0.096,14.396,0.106,3606,295,295,5.016,0.11,0.132,-0.112,0.2,0.28,0.25,0.11,0.076,0.255,0.155,0.097,14.71,12.37,7.637,336.5,201.7,126.1,0.038,0.022,0.012,AAA-222-111-000-0-0,,
55,212540004,13 24 57.286,-11 53 13.34,1,14.437,,,391-058844,13245729-1153129,,STAR,gri,rpm,-15.4,3.2,-21.9,3.2,,,15.811,0.04,14.777,0.03,,,15.264,0.03,14.368,0.02,14.082,0.04,,,12.867,0.024,12.339,0.022,12.163,0.025,4824,77,77,4.617,0.03,0.025,-0.041,0.12,0.3,0.719,0.024,0.058,0.773,0.038,0.085,2.075,0.324,0.161,388.3,17.36,38.7,0.073,0.013,0.034,AAA-222-111-000-0-0,,
56,212540017,13 29 53.884,-11 53 12.66,1,13.564,,,391-059023,13295390-1153126,,STAR,gri,rpm,-25.8,1.9,-32.4,2.1,,,14.411,0.01,13.777,0.01,,,14.02,0.02,13.578,0.01,13.369,0.05,,,12.515,0.026,12.194,0.027,12.122,0.023,5951,97,121,4.392,0.132,0.374,-0.713,0.25,0.4,0.943,0.576,0.174,0.824,0.093,0.08,0.943,0.608,0.693,545.5,350.7,104.6,0.072,0.029,0.035,AAA-222-111-000-0-0,,
57,212540037,13 31 59.216,-11 53 11.86,1,16.927,,,,13315921-1153118,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,14.54,0.033,13.941,0.03,13.637,0.046,3568,200,200,5.015,0.105,0.075,-0.06,0.15,0.21,0.253,0.071,0.074,0.249,0.109,0.09,13.71,10.78,4.651,196.8,71.75,69.44,0.044,0.024,0.017,AAA-222-111-000-0-0,,
