,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
985,985,985,985,985,985,240259204,17 37 21.581,-29 58 25.11,1,13.374,,,301-138529,17372158-2958251,STAR,BV,rpm,3.2,1.9,1.5,2,,,15.959,0.05,13.842,0.035,,,,,,,9.624,0.026,8.653,0.033,8.352,0.026,3896,195,235,1.062,0.45,0.675,-0.043,0.3,0.72,52.25,42.001,17.966,1.152,0.533,0.266,6.98E-06,2.16E-05,6.13E-06,3710,3054,1161,0.82,0.299,0.359,AAA-212-111-000-0-0,9.2,
986,986,986,986,986,986,240259420,17 37 24.305,-29 58 22.64,1,11.401,,6839-17-1,301-138540,17372429-2958226,STAR,BV,plx,-7.9,3.1,-20,2.9,,,12.035,0.171,11.488,0.146,,,,,,,10.368,0.029,10.069,0.046,9.974,0.06,6265,432,270,4.036,0.132,0.132,-0.02,0.15,0.18,1.804,0.361,0.254,1.314,0.178,0.178,0.214,0.133,0.071,433.8,51.92,51.92,0.224,0.097,0.081,AAA-222-222-ccc-0-0,5.8,
987,987,987,987,987,987,240260121,17 28 00.250,-29 58 14.08,1,16.558,,,,17280025-2958140,STAR,JHK,col,,,,,,,,,,,,,,,,,14.008,0.077,13.205,0.077,12.934,0.061,4578,281,156,2.342,0.2,0.1,-0.061,0.45,0.54,11.389,1.243,2.132,1.039,0.082,0.099,6.93E-04,5.98E-04,2.03E-04,7079,1143,1164,1.183,0.38,0.317,AAA-222-111-000-0-0,6.1,0600-0603442
988,988,988,988,988,988,240260554,17 34 23.206,-29 58 08.85,1,13.178,,,301-137230,17342319-2958088,STAR,gri,rpm,-5.5,1.8,-2,1.8,,,14.817,0.02,13.622,0.034,14.2,0.035,13.205,0.042,12.74,0.062,11.267,0.029,10.762,0.034,10.58,0.033,5301,220,353,2.526,0.02,0.108,-1.053,0.63,0.35,8.37,1.36,0.167,0.891,0.089,0.026,0.001,8.82E-05,4.90E-04,1923,334.3,57.69,0.581,0.254,0.212,AAA-222-111-0d0-0-0,8.1,
989,989,989,989,989,989,240260685,17 39 54.724,-29 58 07.29,1,10.206,,6839-109-1,301-139293,17395474-2958071,STAR,BV,plx,-8.4,3.7,-11.8,3.1,,,12.061,0.236,10.521,0.061,,,,,,,7.746,0.02,7.026,0.033,6.797,0.023,4380,214,133,1.978,0.18,0.216,0.092,0.09,0.21,24.017,6.526,5.132,1.932,1.652,0.751,1.31E-04,1.38E-04,5.91E-05,856.3,212,212,0.465,0.29,0.181,AAA-111-111-000-0-0,9.6,
990,990,990,990,990,990,240261031,17 31 45.013,-29 58 03.26,1,12.031,,,301-135864,17314501-2958033,STAR,J,rpm,-9.6,4.5,-5.3,4.5,,,,,,,,,,,,,10.339,0.024,9.079,0.024,8.687,0.024,3302,190,135,0.261,0.216,0.18,0.106,0.35,0.42,125.039,26.682,25.9,1.056,0.025,0.042,5.50E-07,5.78E-07,2.48E-07,8389,1377,1608,1.324,0.216,0.18,AAA-222-111-000-0-0,8.2,
991,991,991,991,991,991,240261123,17 31 33.054,-29 58 02.33,1,9.404,85770,6838-499-1,301-135733,17313307-2958023,STAR,gri,plx,6.25,2.51,-7.91,1.06,1.88,2.16,10.152,0.035,9.574,0.03,9.882,0.03,9.329,0.04,9.2,0.06,8.231,0.023,8.004,0.046,7.924,0.026,6712,8779,787,3.663,0.13,0.182,0.176,0.1,0.1,3.513,6.342,0.968,2.03,9.721,0.491,0.039,0.042,0.024,531.9,611.1,611.1,0.429,0.893,0.298,AAA-111-111-000-0-0,11.8,
992,992,992,992,992,992,240261177,17 39 24.086,-29 58 01.65,1,13.596,,,301-139152,17392410-2958016,STAR,JHK,rpm,-7.1,3.3,-4.3,3.4,,,,,,,,,,,,,12.252,0.026,11.892,0.032,11.734,0.035,6167,475,339,3.98,0.318,0.265,0.056,0.15,0.24,1.754,1.13,0.595,1.26,0.473,0.263,0.175,0.359,0.117,894,576.1,303.3,0.482,0.328,0.182,AAA-222-111-000-0-0,7.4,
993,993,993,993,993,993,240261672,17 36 29.507,-29 57 55.36,1,11.438,,6839-99-1,301-138213,17362951-2957555,STAR,BV,rpm,-1.9,3.1,-11.2,2.9,,,12.005,0.162,11.507,0.151,,,,,,,10.486,0.021,10.248,0.025,10.148,0.025,6587,427,267,4.013,0.255,0.306,0.023,0.12,0.12,1.942,0.941,0.634,1.464,0.309,0.193,0.198,0.305,0.133,495.9,204.6,144.8,0.277,0.191,0.127,AAA-222-111-000-0-0,9.4,
994,994,994,994,994,994,240261877,17 41 25.524,-29 57 52.94,1,13.772,,,,17412552-2957529,STAR,J,col,,,,,,,,,,,,,,,,,12.388,0.051,9.841,0.043,8.489,0.037,3445,390,390,0.357,0.624,0.832,-0.069,0.45,0.54,115.927,236.108,49.402,1.279,1.212,0.269,4.81E-07,2.70E-06,4.58E-07,9870,9111,2753,8.539,0.66,0.66,AAA-222-111-000-0-0,6,0600-0656736
