,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
1,1,1,1,1,1,236456688,17 20 06.153,-27 10 01.37,1,16.29,,,,17200615-2710013,STAR,JHK,rpm,-4,7,-50,4,,,,,,,,,,,,,13.966,0.066,13.37,0.111,13.085,0.082,3752,496,275,4.945,0.095,0.171,-0.176,0.25,0.45,0.315,0.172,0.084,0.341,0.209,0.116,9.31,7.789,5.171,206.8,138.5,73.54,0.125,0.094,0.052,ABA-222-222-ccc-0-0,3.4,0628-0657926
2,2,2,2,2,2,236459092,17 19 54.489,-27 09 29.56,1,10.587,,6833-289-1,315-112850,17195447-2709294,STAR,gri,rpm,1.7,3,-25.7,2.7,,,11.597,0.112,10.62,0.073,11.272,0.03,10.573,0.04,10.293,0.06,9.299,0.023,8.842,0.023,8.755,0.022,5283,164,197,3.497,0.33,1.056,-0.608,0.5,0.6,2.996,5.566,0.846,0.909,0.316,0.044,0.032,0.081,0.031,336.7,559.1,84.21,0.182,0.09,0.077,AAA-222-111-000-0-0,9.6,
3,3,3,3,3,3,236461567,17 27 31.397,-27 08 57.56,1,13.353,,,315-114241,17273139-2708576,STAR,gri,rpm,-0.2,1.8,-8.9,2,,,15.276,0.11,13.952,0.04,14.62,0.01,13.48,0.01,12.81,0.04,11.377,0.028,10.83,0.031,10.695,0.032,5384,53,53,2.473,0.02,0.02,-1.085,0.06,0.05,9.045,0.181,0.181,0.889,0.018,0.018,0.001,7.19E-05,7.19E-05,2102,63.07,63.07,0.987,0.001,0.056,AAA-222-111-000-0-0,5.2,
4,4,4,4,4,4,236463555,17 27 42.299,-27 08 31.41,1,16.025,,,,17274229-2708314,STAR,JHK,rpm,24,10,-48,7,,,,,,,,,,,,,13.609,0.028,12.853,0.036,12.584,0.037,4106,215,215,4.79,0.09,0.06,-0.132,0.12,0.18,0.491,0.06,0.092,0.539,0.076,0.106,4.507,2.175,1.041,284.8,51.36,58.99,0.218,0.168,0.067,AAA-222-111-000-0-0,5.3,0628-0686076
5,5,5,5,5,5,236463673,17 22 45.881,-27 08 29.75,1,11.952,,,,17224588-2708297,STAR,J,rpm,12,2,6,1,,,,,,,,,,,,,10.262,0.025,9.018,0.025,8.293,0.023,23049,230,18483,3.301,0.02,1.266,0.534,0.05,0.16,14.565,16.891,0.291,4.256,10.073,1.119,0.005,3.01E-04,0.005,8329,249.9,458.6,7.448,0.001,3.491,AAA-222-111-000-0-0,10.8,0628-0664189
6,6,6,6,6,6,236465311,17 23 56.934,-27 08 08.06,1,12.727,,,315-113329,17235692-2708079,STAR,gri,rpm,-20.9,1.8,-28.6,1.7,,,14.284,0.13,13.152,0.05,13.799,0.02,12.669,0.041,12.268,0.12,10.894,0.023,10.257,0.025,10.159,0.027,4474,107,53,4.671,0.03,0.025,0.033,0.12,0.21,0.642,0.029,0.043,0.71,0.023,0.052,2.639,0.412,0.26,239,51.81,97.37,0.117,0.091,0.057,AAA-222-111-000-0-0,9.5,
7,7,7,7,7,7,236469315,17 21 56.824,-27 07 16.10,1,11.407,,,315-113089,17215682-2707159,STAR,gri,rpm,-134.4,8,-174.2,8,,,13.741,0.04,12.219,0.09,13.004,0.02,11.785,0.21,10.723,0.13,8.852,0.034,8.328,0.067,8.045,0.016,4575,1097,457,4.64,0.116,0.203,-0.186,0.3,0.42,0.663,0.289,0.173,0.699,0.143,0.143,2.264,2.1,1.234,60.98,45.77,18.01,0.036,0.051,0.017,AAA-111-111-000-0-0,7.3,
8,8,8,8,8,8,236470000,17 25 30.211,-27 07 07.06,1,11.608,,6833-125-1,315-113623,17253020-2707072,STAR,gri,rpm,-3.5,3.2,-0.9,3.2,,,12.524,0.258,12.17,0.237,12.269,0.01,11.743,0.09,11.325,0.05,10.234,0.021,9.93,0.023,9.834,0.021,6221,413,150,3.955,0.265,0.318,0.027,0.12,0.15,1.994,1.145,0.727,1.389,0.406,0.271,0.147,0.254,0.103,467.5,311.9,162.1,0.325,0.151,0.108,AAA-222-111-000-0-0,14.2,
9,9,9,9,9,9,236478683,17 18 51.184,-27 05 12.03,1,13.302,,,315-112556,17185118-2705118,STAR,gri,rpm,-10.4,2,-91.8,2,,,15.676,0.04,14.183,0.01,14.986,0.039,13.595,0.043,12.58,0.062,10.829,0.021,10.239,0.022,9.964,0.021,3717,186,224,4.932,0.099,0.066,0.062,0.09,0.18,0.351,0.056,0.109,0.383,0.078,0.143,8.488,7.101,2.225,70.22,58.74,9.9,0.054,0.05,0.025,AAA-222-111-000-0-0,9.4,
10,10,10,10,10,10,236483012,17 25 39.722,-27 04 15.95,1,11.95,,,,17253972-2704159,STAR,J,rpm,-20,4,-2,13,,,,,,,,,,,,,10.26,0.022,9.011,0.022,8.241,0.02,23142,231,231,3.302,0.02,0.02,0.525,0.05,0.05,14.554,0.291,0.291,15.51,0.31,0.31,0.005,3.02E-04,3.02E-04,8331,249.9,249.9,7.449,0.001,0.001,AAA-222-111-000-0-0,6.2,0629-0654665
11,11,11,11,11,11,236486356,17 26 12.414,-27 03 31.63,1,16.85,,,,17261241-2703316,STAR,JHK,rpm,8,6,-72,12,,,,,,,,,,,,,14.447,0.057,13.776,0.077,13.538,0.048,3721,221,184,5.004,0.065,0.104,-0.193,0.16,0.32,0.266,0.104,0.056,0.28,0.124,0.088,12.78,6.123,5.392,208.6,70.23,61.34,0.154,0.101,0.055,AAA-222-222-ccc-0-0,4.2,0629-0657205
12,12,12,12,12,12,236486718,17 13 00.531,-27 03 26.65,1,13.571,,,315-111107,17130053-2703265,STAR,gri,rpm,-14.3,1.6,-41.4,1.6,,,15.6,0.04,14.161,0.06,14.917,0.05,13.654,0.01,12.994,0.04,11.277,0.024,10.703,0.024,10.464,0.024,3861,46,109,4.941,0.05,0.06,-0.245,0.24,0.06,0.332,0.053,0.037,0.362,0.075,0.05,9.324,2.827,2.169,79.13,66.87,23.37,0.047,0.02,0.002,AAA-222-111-000-0-0,8.9,
13,13,13,13,13,13,236490381,17 25 48.793,-27 02 39.08,1,16.011,,,,17254879-2702390,STAR,JHK,rpm,-42,6,-32,3,,,,,,,,,,,,,14.537,0.035,14.03,0.043,13.944,0.056,4182,883,630,4.889,0.155,0.217,-0.701,0.5,0.6,0.369,0.232,0.143,0.397,0.241,0.201,7.088,9.15,4.467,340.4,297.8,158.8,0.157,0.091,0.068,AAA-222-111-000-0-0,6.3,0629-0655435
14,14,14,14,14,14,236490723,17 25 40.347,-27 02 34.64,1,11.696,,,315-113689,17254036-2702346,STAR,J,rpm,-4.3,4.1,5.8,3.9,,,,,,,,,,,,,10.031,0.021,8.874,0.023,8.186,0.027,23208,232,1121,3.286,0.06,0.021,0.574,0.05,0.2,15.015,0.3,1.737,15.82,0.316,1.641,0.005,0.001,2.81E-04,6390,542.7,191.7,6.558,0.002,0.296,AAA-221-111-000-0-0,9.5,
15,15,15,15,15,15,236490904,17 12 10.935,-27 02 32.50,1,6.624,84144,6820-53-1,315-110824,,STAR,BV,plx,-50.92,0.74,-85.58,0.35,7.1,0.67,7.853,0.016,6.808,0.01,,,,,,,,,,,,,4837,138,78,2.641,0.17,0.204,-0.066,0.08,0.44,10.558,1.104,2.047,1.705,0.675,0.675,0.002,8.52E-04,7.92E-04,140.8,13.29,13.29,0.076,0.036,0.017,,,
16,16,16,16,16,16,236491689,17 12 17.112,-27 02 21.91,1,13.246,,,315-110872,17121710-2702219,STAR,gri,rpm,23.7,6.2,41.8,17,,,15.753,0.15,13.917,0.02,14.925,0.1,13.27,0.01,12.526,0.06,10.459,0.023,9.729,0.024,9.435,0.019,4732,177,148,2.506,0.27,0.15,0.109,0.15,0.24,12.398,4.311,2.237,2.436,0.538,0.941,8.57E-04,0.001,2.84E-04,1679,528.4,342.3,1.24,0.07,0.168,AAA-222-111-000-0-0,5.5,
17,17,17,17,17,17,236492635,17 27 28.474,-27 02 09.93,1,12.043,,,315-114235,17272847-2702098,STAR,gri,rpm,-7.5,1.3,-14.6,1.8,,,13.443,0.05,12.385,0.03,12.909,0.02,12.03,0.03,11.671,0.05,10.598,0.028,10.105,0.034,9.914,0.032,5062,220,94,2.792,0.492,0.492,-0.761,0.36,0.48,6.281,4.544,2.637,0.901,0.061,0.043,0.003,0.014,0.003,1001,878.6,377,0.4,0.034,0.116,AAA-222-111-000-0-0,8.1,
18,18,18,18,18,18,236493193,17 15 04.274,-27 02 02.75,1,11.357,,,315-111707,17150428-2702026,STAR,gri,,1.6,1,-10.9,1.1,,,12.55,0.041,11.632,0.03,12.099,0.03,11.327,0.04,11.039,0.06,9.705,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEE-222-333-ccc-0-0,5.2,
19,19,19,19,19,19,236493406,17 26 01.646,-27 01 59.93,1,11.393,,,315-113838,17260163-2701598,STAR,gri,rpm,-9.1,1.1,-5.5,1.6,,,12.513,0.04,11.742,0.04,12.092,0.02,11.571,0.01,11.094,0.01,9.853,0.021,9.593,0.023,9.445,0.023,6407,563,281,3.773,0.36,0.225,0.043,0.12,0.08,2.599,1.362,1.032,1.591,0.559,0.311,0.07,0.192,0.037,457,231.5,177.5,0.314,0.243,0.106,AAA-222-111-000-0-0,7.3,
20,20,20,20,20,20,236494511,17 12 56.851,-27 01 45.27,1,12.828,,,315-111098,17125685-2701452,STAR,J,rpm,-14.4,2.3,-5.2,4.1,,,,,,,,,,,,,11.244,0.023,10.304,0.025,9.963,0.021,4237,420,504,1.326,1.2,0.36,-0.017,0.09,0.72,35.054,17.905,24.271,1.075,0.539,0.128,2.11E-05,9.91E-04,1.57E-05,5118,2700,3522,1.508,0.661,0.771,AAA-222-111-000-0-0,10.5,
21,21,21,21,21,21,236495050,17 19 09.826,-27 01 38.50,1,14.163,,,315-112655,17190982-2701384,STAR,gri,apo,-2.1,2.4,-4.4,3.4,,,17.288,0.108,15.181,0.048,16.272,0.03,14.35,0.048,13.259,0.065,10.834,0.023,9.952,0.023,9.695,0.022,4759,77,115,2.673,0.12,0.12,0.107,0.1,0.1,10.306,1.581,1.371,2.022,0.492,0.41,0.002,8.14E-04,5.38E-04,1856,310.6,224.5,0.727,0.199,0.279,AAA-222-111-000-0-0,12.7,
22,22,22,22,22,22,236498231,17 22 05.759,-27 00 57.40,1,15.624,,,,17220575-2700573,STAR,J,rpm,-22,0,-54,4,,,,,,,,,,,,,14.261,0.027,13.294,0.028,13.041,0.032,4186,207,207,4.814,0.09,0.105,-0.318,0.3,0.36,0.449,0.119,0.082,0.517,0.1,0.1,5.042,2.485,1.664,365.4,237.7,98.25,0.361,0.116,0.183,AAA-222-111-000-0-0,7.4,0629-0642616
23,23,23,23,23,23,236504903,17 23 14.785,-26 59 30.15,1,13.527,,,316-113717,17231479-2659301,STAR,gri,rpm,-2.5,2,-40.1,2.1,,,15.659,0.09,14.204,0.07,14.897,0.03,13.631,0.06,12.94,0.11,11.045,0.025,10.353,0.025,10.207,0.025,4096,231,231,4.811,0.05,0.1,-0.062,0.2,0.28,0.464,0.107,0.05,0.524,0.116,0.053,4.996,1.323,1.748,189.1,57.22,93.28,0.117,0.073,0.061,AAA-222-111-000-0-0,6.8,
24,24,24,24,24,24,236504982,17 25 43.524,-26 59 29.00,1,8.552,85292,6833-198-1,316-114087,17254352-2659290,STAR,gri,rpm,-0.23,2.42,-0.23,1.37,-0.56,2.14,10.59,0.06,9.277,0.023,9.886,0.01,8.689,0.04,7.981,0.03,6.179,0.019,5.452,0.033,5.177,0.021,4323,43,43,0.06,0.02,0.02,-0.568,0.05,0.05,156.406,3.128,3.128,1.024,0.02,0.02,2.68E-07,1.61E-08,1.61E-08,2740,82.21,82.21,0.231,0.001,0.001,AAA-111-111-00d-0-0,14.4,
25,25,25,25,25,25,236505621,17 21 07.599,-26 59 20.81,1,12.552,,,316-113514,17210760-2659208,STAR,J,apo,-3,4.6,1.1,3.9,,,,,,,,,,,,,10.908,0.024,9.734,0.025,9.291,0.023,4101,98,81,1.515,0.084,0.168,-0.231,0.18,0.15,30.266,4.58,3.978,1.044,0.154,0.07,3.90E-05,1.24E-05,1.53E-05,4352,796.6,794.9,0.84,0.374,0.524,AAA-222-111-000-0-0,10.3,
26,26,26,26,26,26,236506953,17 14 14.250,-26 59 03.90,1,6.594,84314,6820-80-1,316-111382,17141425-2659036,STAR,BV,plx,5.41,0.53,-67.34,0.25,10.72,0.48,7.051,0.015,6.633,0.01,,,,,,,5.792,0.021,5.593,0.031,5.513,0.021,6523,323,269,3.757,0.06,0.05,0.015,0.08,0.1,2.839,0.161,0.153,1.727,0.064,0.074,0.071,0.017,0.01,85.12,3.292,3.292,0,0,0,AAA-111-111-000-0-0,9.5,
27,27,27,27,27,27,236508082,17 12 12.251,-26 58 48.91,1,9.135,,6820-26-1,316-110514,17121225-2658488,STAR,gri,plx,-2,2,-12.8,2.1,,,11.554,0.127,9.941,0.036,10.803,0.03,9.446,0.14,8.421,0.04,6.468,0.021,5.606,0.038,5.363,0.024,4079,231,102,1.623,0.276,0.115,-0.011,0.2,0.4,27.967,5.318,5.793,1.27,0.211,0.253,5.03E-05,4.92E-05,1.75E-05,430.4,56.02,56.02,0.519,0.256,0.213,AAA-111-111-000-0-0,16.5,
28,28,28,28,28,28,236509074,17 22 17.113,-26 58 35.74,1,12.236,,,316-113572,17221711-2658357,STAR,J,rpm,-7.4,3.1,1,3.2,,,,,,,,,,,,,10.55,0.023,9.38,0.024,8.954,0.026,3443,228,163,0.48,0.215,0.215,0.024,0.4,0.4,91.82,24.041,19.053,1.062,0.032,0.051,1.12E-06,1.17E-06,5.72E-07,7716,1625,1342,1.214,0.294,0.21,AAA-222-111-000-0-0,6.6,
29,29,29,29,29,29,236512646,17 25 44.083,-26 57 47.91,1,15.376,,,316-114092,17254408-2657478,STAR,JHK,rpm,-2.9,3.1,-5.1,2.6,,,,,,,,,,,,,13.128,0.04,12.74,0.057,12.271,0.104,6481,2837,746,3.904,0.305,0.366,0.118,0.16,0.2,2.353,1.671,0.977,1.6,1.301,0.542,0.093,0.292,0.064,1741,1448,689.7,0.88,1.087,0.494,AAA-222-212-ccc-0-0,6.1,
30,30,30,30,30,30,236515218,17 23 19.862,-26 57 12.71,1,14.097,,,316-113732,17231986-2657126,STAR,gri,rpm,-68,2.2,-64.6,2.6,,,16.217,0.01,14.782,0.01,15.447,0.044,14.263,0.047,13.519,0.067,11.776,0.028,11.152,0.029,11.003,0.029,3907,339,188,4.884,0.102,0.085,-0.123,0.24,0.4,0.392,0.08,0.09,0.441,0.081,0.113,6.789,4.582,2.092,125.8,41.56,46.12,0.073,0.058,0.032,AAA-222-111-000-0-0,6.8,
31,31,31,31,31,31,236517581,17 12 05.990,-26 56 41.20,1,15.335,,,,17120598-2656412,STAR,JHK,rpm,-59.6,9,-49.7,9,,,,,,,,,,,,,13.024,0.024,12.431,0.021,12.147,0.019,3523,108,108,5.049,0.07,0.05,-0.074,0.21,0.12,0.234,0.037,0.048,0.226,0.049,0.056,16.59,7.835,4.005,104.3,34.78,34.58,0.065,0.088,0.031,AAA-222-111-000-0-0,8.3,0630-0581957
32,32,32,32,32,32,236517868,17 18 32.305,-26 56 37.28,1,12.241,,,316-113087,17183230-2656370,STAR,gri,rpm,-4.8,1.6,-55.2,5.2,,,13.524,0.043,12.574,0.02,13.045,0.031,12.207,0.04,11.896,0.06,10.78,0.024,10.294,0.028,10.228,0.027,5054,156,195,4.586,0.04,0.048,-0.071,0.2,0.24,0.754,0.077,0.08,0.823,0.057,0.114,1.794,0.475,0.319,216.6,62.82,36.02,0.13,0.062,0.047,AAA-222-111-000-0-0,6,
33,33,33,33,33,33,236518569,17 25 12.400,-26 56 27.66,1,16.487,,,,17251239-2656276,STAR,JHK,rpm,64,18,-18,3,,,,,,,,,,,,,14.481,0.038,13.939,0.043,13.696,0.054,3671,1509,235,5.014,0.084,1.428,-0.193,0.25,0.55,0.265,4.132,0.068,0.263,0.627,0.075,13.05,7.823,13.04,203.9,4016,61.15,0.153,0.617,0.059,AAA-222-111-000-0-0,6,0630-0617348
34,34,34,34,34,34,236518971,17 24 34.535,-26 56 22.38,1,13.267,,,316-113913,17243453-2656224,STAR,gri,rpm,-8.3,5.6,3.4,5.6,,,15.108,0.05,13.859,0.09,14.505,0.04,13.405,0.08,12.737,0.1,11.009,0.025,10.507,0.025,10.309,0.025,5317,197,296,2.474,0.126,0.072,-1.03,0.65,0.25,9.08,0.762,0.799,0.888,0.132,0.021,0.001,4.39E-04,2.83E-04,1827,215.4,107.7,0.747,0.059,0.153,AAA-222-111-000-0-0,10,
35,35,35,35,35,35,236519190,17 18 37.476,-26 56 19.29,1,12.784,,,316-113108,17183747-2656191,STAR,J,apo,-0.2,4,-3.2,4,,,,,,,,,,,,,11.189,0.026,10.15,0.028,9.731,0.025,4246,86,86,1.954,0.125,0.15,0.214,0.12,0.15,22.287,3.778,4.939,1.581,0.419,0.419,1.43E-04,8.90E-05,5.49E-05,3444,883.7,542.2,1.079,0.644,0.46,AAA-222-111-000-0-0,6.5,
36,36,36,36,36,36,236520320,17 27 33.249,-26 56 04.54,1,12.342,,,,17273324-2656045,STAR,J,rpm,10,3,-20,0,,,,,,,,,,,,,10.666,0.023,9.155,0.024,8.472,0.025,4081,74,520,1.455,0.02,0.666,0.559,0.08,0.26,58.517,13.475,16.514,2.399,1.469,1.224,1.70E-05,2.25E-06,1.40E-05,8134,244,244,4.229,0.216,1.253,AAA-222-111-000-0-0,6.5,0630-0625841
37,37,37,37,37,37,236522961,17 24 34.820,-26 55 29.01,1,8.895,85189,6833-85-1,316-113914,17243481-2655290,STAR,gri,plx,0.32,1.39,0.93,0.81,1.29,1.24,9.571,0.025,9.095,0.02,9.305,0.04,8.868,0.02,8.719,0.14,7.623,0.02,7.534,0.034,7.361,0.027,30547,2786,5572,3.632,0.02,0.252,0.146,0.05,0.05,13.595,1.243,1.355,24.49,4.743,7.589,0.011,6.80E-04,0.005,916,224.6,224.6,1.266,0.138,0.018,AAA-111-111-000-0-0,6.5,
38,38,38,38,38,38,236523570,17 13 42.321,-26 55 20.78,1,12.547,,,316-111109,17134232-2655206,STAR,gri,rpm,45.2,1.5,-64.3,2,,,14.126,0.03,12.936,0.03,13.57,0.02,12.463,0.05,12.108,0.05,10.818,0.021,10.223,0.025,10.082,0.025,4293,412,171,4.773,0.11,0.132,-0.338,0.35,0.42,0.5,0.154,0.118,0.551,0.139,0.116,4.105,2.476,1.775,134.2,74.88,39.14,0.074,0.088,0.04,AAA-222-111-000-0-0,6,
39,39,39,39,39,39,236533943,17 19 03.282,-26 52 56.99,1,11.621,,6833-160-1,316-113225,17190328-2652572,STAR,gri,plx,-2,3.4,4.1,3.6,,,12.55,0.28,12.203,0.264,12.108,0.01,11.676,0.04,11.413,0.01,10.301,0.025,10.066,0.025,9.964,0.025,6719,161,364,3.835,0.114,0.133,0.016,0.22,0.08,2.403,0.677,0.256,1.626,0.313,0.112,0.101,0.048,0.041,598.7,90.39,90.39,0.362,0.093,0.13,AAA-222-111-0ss-0-0,7.7,
40,40,40,40,40,40,236533969,17 19 24.559,-26 52 56.70,1,10.031,,6833-246-1,316-113312,17192455-2652562,STAR,gri,plx,-11.4,3.2,-27.5,3.6,,,12.594,0.372,10.879,0.096,12.022,0.03,10.214,0.04,9.177,0.06,6.957,0.018,6.002,0.021,5.697,0.018,3652,44,36,0.831,0.078,0.143,0.082,0.12,0.24,79.993,20.342,8.568,1.548,0.461,0.461,3.09E-06,7.64E-07,1.03E-06,1444,658.5,658.5,0.464,0.067,0.067,AAA-111-111-000-0-0,10.4,
41,41,41,41,41,41,236534160,17 14 29.701,-26 52 53.95,1,11.832,,7/1/20,316-111516,17142970-2652538,STAR,gri,plx,0,3.2,-4.9,3.2,,,12.174,0.205,11.497,0.143,11.953,0.03,11.791,0.04,12.026,0.061,10.925,0.023,10.833,0.029,10.717,0.025,8829,1777,807,3.953,0.175,0.21,0.071,0.15,0.12,2.68,0.944,0.698,2.458,0.727,0.519,0.123,0.125,0.07,933.4,411.7,411.7,0.465,0.141,0.169,AAA-222-111-00d-0-0,10.9,
42,42,42,42,42,42,236535040,17 26 17.018,-26 52 41.62,1,14.766,,,,17261701-2652416,STAR,J,,,,,,,,,,,,,,,,,,13.44,0.039,,,12.746,0.06,,,,,,,,,,,,,,,,,,,,,,,,,AEA-222-111-000-0-0,6.7,0631-0595120
43,43,43,43,43,43,236537867,17 13 16.531,-26 52 02.58,1,14.358,,,316-110944,17131654-2652023,STAR,JHK,rpm,-59.4,2.6,-73,3.5,,,,,,,,,,,,,12.078,0.025,11.494,0.026,11.211,0.026,3884,611,339,4.904,0.135,0.162,-0.233,0.3,0.66,0.372,0.13,0.142,0.414,0.164,0.191,6.781,8.647,3.429,122.2,86.3,50.58,0.078,0.067,0.038,AAA-222-111-000-0-0,9.4,
44,44,44,44,44,44,236538323,17 19 15.159,-26 51 56.40,1,11.829,,,316-113276,,STAR,gri,,-9.3,1.7,-17.6,1.7,,,13.099,0.01,12.246,0.02,12.655,0.031,11.977,0.04,11.475,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,45,45,45,45,236538662,17 14 37.645,-26 51 51.99,1,10.57,,6820-18-1,316-111569,17143765-2651521,STAR,gri,plx,1.3,4.4,-0.5,4.1,,,12.393,0.307,11.103,0.108,11.675,0.03,10.44,0.04,10.096,0.06,8.266,0.026,7.656,0.026,7.428,0.026,4686,144,144,2.518,0.189,0.135,0.115,0.12,0.15,11.745,1.264,0.959,1.701,0.856,0.389,9.84E-04,6.95E-04,2.79E-04,664.9,116.3,116.3,0.444,0.111,0.155,AAA-111-111-000-0-0,13.6,
46,46,46,46,46,46,236538814,17 13 08.946,-26 51 50.04,1,15.101,,,,17130894-2651500,STAR,JHK,rpm,20,8,-40,6,,,,,,,,,,,,,12.929,0.023,12.349,0.023,12.095,0.026,3657,44,117,4.993,0.025,0.06,0.035,0.15,0.12,0.293,0.053,0.034,0.309,0.061,0.051,12.07,2.112,3.041,112.7,25.31,15.89,0.084,0.08,0.019,AAA-222-111-000-0-0,11.4,0631-0564308
47,47,47,47,47,47,236540264,17 15 39.164,-26 51 29.50,1,16.565,,,,17153916-2651294,STAR,J,col,,,,,,,,,,,,,,,,,15.134,0.066,14.392,0.072,14.07,0.085,4764,362,302,2.657,0.531,0.295,-0.268,0.5,0.6,7.159,3.469,3.201,1.022,0.163,0.117,0.002,0.01,0.001,8157,2183,2834,1.279,0.461,0.384,AAA-222-111-ccc-0-0,7.2,0631-0571511
48,48,48,48,48,48,236541985,17 25 35.796,-26 51 06.35,1,11.072,,6833-238-1,316-114066,17253580-2651063,STAR,BV,plx,-25.3,3,53.2,2.8,,,11.989,0.169,11.237,0.112,11.584,0.01,,,,,9.901,0.048,9.589,0.046,9.372,0.029,5527,176,141,4.51,0.024,0.024,-0.042,0.15,0.3,0.884,0.031,0.03,0.936,0.042,0.084,1.328,0.115,0.089,143.3,4.795,4.795,0,0,0,AAA-111-111-ccc-0-0,25.5,
49,49,49,49,49,49,236543318,17 14 12.122,-26 50 47.81,1,11.128,,6820-261-1,316-111355,17141212-2650477,STAR,gri,rpm,1.9,2.5,-1.2,2.4,,,11.693,0.102,11.217,0.11,11.246,0.02,11.088,0.04,11.068,0.05,10.242,0.021,10.155,0.02,10.075,0.021,8684,3054,833,3.923,0.195,0.234,0.083,0.1,0.12,2.694,1.229,0.662,2.357,1.209,0.465,0.107,0.109,0.065,810,507.3,247.6,0.455,0.228,0.19,AAA-222-111-000-0-0,10,
50,50,50,50,50,50,236543395,17 14 33.190,-26 50 46.87,1,13.832,,,316-111538,17143319-2650467,STAR,gri,rpm,-3,2.1,-1.9,2.8,,,16.908,0.11,14.795,0.043,15.932,0.01,13.987,0.045,12.932,0.063,10.528,0.023,9.562,0.027,9.225,0.02,3760,90,60,1.178,0.108,0.162,0.245,0.12,0.12,47.72,6.318,6.444,1.167,0.268,0.103,1.12E-05,6.00E-06,3.91E-06,5002,788.9,574.7,0.776,0.072,0.158,AAA-222-111-000-0-0,6.1,
51,51,51,51,51,51,236544349,17 15 35.253,-26 50 32.90,1,15.208,,,316-111950,17153525-2650330,STAR,JHK,rpm,-1.3,2.9,3.8,7.2,,,,,,,,,,,,,12.686,0.031,11.866,0.03,11.622,0.028,4504,189,189,2.301,0.23,0.598,0.041,0.3,0.72,12.745,8.949,2.071,1.147,0.447,0.248,5.14E-04,6.79E-04,4.31E-04,4431,2895,728.4,1.071,0.238,0.238,AAA-222-111-000-0-0,5.5,
52,52,52,52,52,52,236544573,17 20 11.265,-26 50 29.36,1,13.026,,,316-113432,17201126-2650292,STAR,gri,rpm,-33.6,2.2,-9.4,2.2,,,14.805,0.01,13.644,0.02,14.246,0.035,13.141,0.042,12.504,0.061,10.811,0.023,10.283,0.024,10.075,0.022,6131,61,61,4.178,0.02,0.02,-0.677,0.05,0.05,1.26,0.025,0.025,0.873,0.017,0.017,0.437,0.026,0.026,483.4,14.5,14.5,1.215,0.001,0.001,AAA-222-111-000-0-0,10.3,
53,53,53,53,53,53,236545204,17 14 32.308,-26 50 21.08,1,10.668,,6820-254-1,316-111533,17143230-2650209,STAR,gri,rpm,-19.5,4.3,-20.7,4,,,12.262,0.262,11.04,0.1,11.918,0.03,10.657,0.04,10.132,0.05,8.489,0.032,7.812,0.031,7.63,0.029,4653,46,93,2.309,0.076,0.02,-0.211,0.12,0.15,13.066,0.261,1.623,1.248,0.064,0.242,5.70E-04,1.95E-04,3.42E-05,736.8,54.88,98.6,0.588,0.038,0.091,AAA-111-111-000-0-0,8.9,
54,54,54,54,54,54,236548358,17 21 06.612,-26 49 39.14,1,14.815,,,,17210661-2649391,STAR,J,rpm,-42,7,24,5,,,,,,,,,,,,,13.488,0.021,12.436,0.021,12.033,0.025,4176,244,139,1.747,0.189,0.105,0.448,0.15,1.08,23.69,2.829,4.785,1.226,0.297,0.347,7.85E-05,8.51E-05,9.33E-06,8096,242.9,242.9,1.799,0.253,0.19,AAA-222-111-000-0-0,11.9,0631-0583212
55,55,55,55,55,55,236550198,17 14 11.694,-26 49 13.97,1,11.848,,6820-543-1,316-111348,17141170-2649141,STAR,gri,plx,27,4.4,-13.2,4.4,,,12.882,0.349,12.046,0.228,12.465,0.01,11.848,0.04,11.584,0.06,10.44,0.021,10.09,0.022,10.003,0.02,5924,237,189,4.096,0.234,0.195,-0.05,0.18,0.24,1.504,0.376,0.404,1.111,0.095,0.068,0.302,0.381,0.149,332,70.77,70.77,0.29,0.066,0.106,AAA-222-111-000-0-0,10.4,
56,56,56,56,56,56,236553371,17 13 01.988,-26 48 29.22,1,11.281,,6820-454-1,316-110862,17130201-2648291,STAR,gri,plx,0.7,3.1,-5.7,3.1,,,12.283,0.211,11.541,0.141,11.799,0.04,11.29,0.03,11.059,0.04,9.957,0.022,9.744,0.026,9.612,0.021,6956,620,443,3.662,0.065,0.078,0.034,0.1,0.12,3.399,0.406,0.363,2.053,0.147,0.206,0.048,0.015,0.013,638.9,135,135,0.504,0.214,0.153,AAA-222-111-000-0-0,8.6,
