EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
202975993,16 53 18.273,-27 41 28.22,1,14.798,,,312-095244,16531827-2741281,STAR,JHK,rpm,-0.6,2,-6.5,2.1,,,,,,,,,,,,,13.035,0.024,12.471,0.024,12.326,0.026,4967,251,167,2.494,1.12,0.192,-0.687,0.63,0.45,8.672,2.603,6.011,0.92,0.214,0.044,0.001,0.052,5.90E-04,4378,1409,2876,0.453,0.31,0.155,AAA-222-111-000-0-0,9.6,
202989913,16 53 20.145,-27 38 34.54,1,13.188,,,312-095262,16532014-2738345,STAR,gri,rpm,-6.9,2.1,-1.1,1.5,,,14.778,0.01,13.564,0.04,14.191,0.03,13.108,0.01,12.758,0.08,11.248,0.021,10.638,0.022,10.51,0.021,4771,139,139,2.467,0.656,0.246,-0.196,0.2,0.6,10.501,2.382,5.539,1.131,0.222,0.222,8.65E-04,0.007,4.16E-04,2319,510.5,1124,0.359,0.141,0.088,AAA-222-111-000-0-0,12.8,
202992567,16 53 50.297,-27 38 00.86,1,15.298,,,312-095606,16535030-2738008,STAR,JHK,rpm,-6.9,3.5,-15.4,3.1,,,,,,,,,,,,,13.615,0.026,12.998,0.023,12.934,0.026,4709,187,187,4.611,0.07,2.394,-0.061,0.15,0.72,0.718,11.607,0.115,0.779,0.121,0.101,1.979,0.817,1.979,521.3,7752,94.64,0.269,0.121,0.121,AAA-222-111-000-0-0,9.8,
202994606,16 53 14.039,-27 37 35.09,1,14.773,,,312-095208,16531403-2737350,STAR,gri,rpm,-6.7,4.3,15.3,14.9,,,16.287,0.075,15.108,0.047,15.771,0.1,14.765,0.03,14.345,0.02,12.962,0.021,12.402,0.024,12.241,0.025,5054,307,175,2.424,0.754,0.174,-0.847,0.49,0.35,9.215,2.153,5.237,0.906,0.104,0.035,0.001,0.012,4.58E-04,4703,925.2,2543,0.556,0.188,0.157,AAA-222-111-000-0-0,5.5,
202997646,16 53 53.906,-27 36 56.67,1,12.647,,,312-095650,16535390-2736566,STAR,gri,rpm,30.9,2.5,-40,2.4,,,14.583,0.01,13.277,0.01,13.977,0.04,12.749,0.02,12.077,0.07,10.538,0.029,9.646,0.033,9.397,0.024,4036,164,117,4.82,0.035,0.077,-0.001,0.15,0.21,0.464,0.084,0.03,0.526,0.09,0.041,5.237,0.721,1.564,116.9,84.74,39.23,0.066,0.093,0.031,AAA-222-111-000-0-0,5.4,
203000293,16 53 57.142,-27 36 23.74,1,9.293,,6818-561-1,312-095667,16535714-2736236,STAR,gri,plx,-7.7,1.5,-0.6,1.4,,,9.656,0.026,9.274,0.025,9.781,0.02,9.133,0.02,9.084,0.05,8.386,0.024,8.161,0.036,8.145,0.024,5738,69,57,3.868,0.04,0.064,0.191,0.05,0.06,2.151,0.225,0.087,1.287,0.061,0.026,0.123,0.018,0.027,188.4,13.25,13.25,0.152,0.043,0.036,AAA-111-111-000-0-0,5.4,
203001834,16 53 12.429,-27 36 04.17,1,15.095,,,312-095190,16531243-2736039,STAR,JHK,rpm,-35.7,3,-94.5,3.5,,,,,,,,,,,,,13.444,0.048,12.873,0.06,12.775,0.032,3874,744,465,4.966,0.14,0.196,-0.463,0.4,0.64,0.304,0.177,0.112,0.329,0.21,0.18,10.23,12.15,6.231,153.8,121,67.71,0.101,0.11,0.05,AAA-222-111-000-0-0,6,
203008242,16 52 59.079,-27 34 43.00,1,11.712,,,313-097338,16525907-2734429,STAR,gri,rpm,-9.9,1.6,-4.3,1.1,,,13.239,0.03,12.066,0.02,12.664,0.01,11.646,0.02,11.303,0.07,9.842,0.024,9.252,0.022,9.137,0.023,4804,94,94,2.461,0.62,0.12,-0.235,0.28,0.42,9.868,1.715,4.941,1.126,0.492,0.197,0.001,0.008,3.27E-04,1204,170.7,569.7,0.305,0.108,0.09,AAA-222-111-000-0-0,8.2,
203014418,16 53 42.775,-27 33 24.27,1,13.838,,,313-097760,16534277-2733243,STAR,gri,rpm,-42.6,2.8,11.4,5.3,,,15.21,0.06,14.258,0.02,14.732,0.04,13.841,0.04,13.454,0.03,12.171,0.036,11.475,0.036,11.384,0.031,4675,233,116,4.65,0.06,0.03,-0.222,0.2,0.44,0.666,0.028,0.097,0.713,0.029,0.111,2.418,0.844,0.263,268.7,111.9,88.22,0.182,0.068,0.082,AAA-222-111-000-0-0,5.8,
203017698,16 53 35.610,-27 32 43.11,1,11.907,,,313-097690,16533560-2732431,STAR,gri,rpm,23.7,2.6,-31.2,1.2,,,12.95,0.03,12.128,0.03,12.516,0.02,11.834,0.03,11.646,0.07,10.543,0.026,10.096,0.025,10.035,0.023,5449,265,220,4.51,0.085,0.119,-0.176,0.15,0.51,0.834,0.221,0.121,0.863,0.054,0.139,1.339,0.619,0.49,266.3,135.9,139.5,0.192,0.095,0.126,AAA-222-111-000-0-0,12,
203018189,16 53 39.936,-27 32 36.98,1,12.487,,,313-097731,16533993-2732370,STAR,gri,rpm,-15.3,1.7,2.5,2.8,,,13.93,0.02,12.845,0.04,13.38,0.03,12.454,0.03,12.105,0.05,10.711,0.024,10.133,0.022,10.041,0.021,4965,78,136,2.737,0.702,0.468,-0.616,0.49,0.35,6.224,4.385,2.883,0.934,0.307,0.055,0.003,0.022,0.002,1148,891.3,501.7,0.318,0.102,0.064,AAA-222-111-000-0-0,7.6,
