EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,2MASS Flag,Nearest Neighbor,Nomad ID
251755918,23 04 02.491,+02 09 12.52,0,18.33,,,,,7717-301-3-0236-0175,EXTENDED,gri,7,3,-3,3,,,,,,,20.054,0.058,18.968,0.011,18.423,0.01,18.056,0.01,17.815,0.027,,,,,,,,,
251755964,23 01 32.513,+02 09 22.01,0,18.023,,,,23013251+0209220,7712-301-3-0232-0267,STAR,gri,23,4,-62,4,,,,,,,22.494,0.298,20.299,0.02,18.705,0.009,17.047,0.006,16.249,0.008,14.721,0.039,14.091,0.04,13.844,0.054,AAA-222-111-000-0-0,32.9,
251755966,23 00 15.051,+02 09 22.15,0,16.337,,,,23001505+0209221,7712-301-3-0230-0028,EXTENDED,gri,-1,2,1,2,,,,,,,18.748,0.035,17.156,0.005,16.43,0.004,15.986,0.004,15.691,0.009,15.325,0.07,14.627,0.067,14.051,0.073,AAA-222-111-000-0-0,11.4,
251755970,23 01 43.530,+02 09 22.91,0,12.281,,576-136-1,461-130523,23014353+0209221,,STAR,gri,-15.7,2.1,-9.7,2.4,,,12.932,0.375,11.961,0.214,,,12.825,0.02,12.152,0.1,12.048,0.15,,,11.252,0.03,10.928,0.026,10.837,0.026,AAA-222-111-000-0-0,44.8,
251755981,23 00 47.279,+02 09 25.48,0,13.86,,,461-130485,23004727+0209255,,STAR,gri,0.1,3.9,-11.4,4.4,,,15.227,0.05,14.165,0.01,,,14.677,0.01,13.841,0.01,13.51,0.03,,,12.287,0.027,11.698,0.024,11.609,0.021,AAA-222-111-000-0-0,58,
251755999,23 01 34.666,+02 09 28.92,0,16.119,,,461-130519,23013465+0209289,7712-301-3-0232-0164,STAR,JHK,11.8,5.3,-1,5.2,,,,,,,,,,,,,,,,,13.795,0.03,13.1,0.027,12.914,0.033,AAA-222-111-000-0-0,32.9,
251756002,23 02 59.194,+02 09 29.28,0,13.857,,,461-130553,23025919+0209293,,STAR,gri,88.8,4.1,43.4,4.6,,,16.123,0.04,14.494,0.04,,,15.44,0.01,13.905,0.02,13.178,0.02,,,11.633,0.027,11.01,0.024,10.753,0.023,AAA-222-111-000-0-0,65.8,
251756009,22 59 18.468,+02 09 30.63,0,12.873,,,461-130431,22591847+0209307,,STAR,gri,-3.6,2,0.2,2.7,,,13.85,0.02,13.041,0.01,,,13.433,0.01,12.827,0.041,12.632,0.01,,,11.663,0.023,11.317,0.023,11.273,0.025,AAA-222-111-000-0-0,53,
251756034,23 00 24.205,+02 09 35.14,0,15.183,,,461-130462,23002420+0209351,7712-301-3-0230-0056,STAR,gri,-1.1,4,-6,4.3,,,16.563,0.07,15.552,0.04,,,16.105,0.02,15.128,0.04,14.787,0.03,,,13.492,0.027,12.952,0.029,12.859,0.034,AAA-222-111-000-0-0,36.5,
251756063,23 03 14.996,+02 09 42.18,0,15.217,,,461-130565,23031499+0209422,7712-301-3-0235-0016,STAR,gri,1,3.9,-10.5,4.3,,,16.657,0.09,15.37,0.051,,,16.068,0.07,15.122,0.08,14.852,0.02,,,13.693,0.026,13.173,0.024,13.065,0.032,AAA-222-111-000-0-0,38.8,
251756179,23 04 11.899,+02 10 04.68,0,15.493,,,461-130596,23041190+0210049,7712-301-3-0236-0040,STAR,gri,1.5,2.9,-2.1,3,,,16.406,0.04,15.607,0.01,,,16.065,0.03,15.362,0.061,15.248,0.14,,,14.192,0.03,13.775,0.033,13.681,0.045,AAA-222-111-000-0-0,46.5,
251756197,23 03 20.879,+02 10 07.33,0,14.283,,,461-130567,23032088+0210073,7712-301-3-0235-0032,STAR,gri,63.4,2.8,-49.6,3.2,,,16.872,0.1,15.108,0.047,,,16.088,0.03,14.641,0.06,13.51,0.03,,,11.646,0.024,11.038,0.026,10.808,0.023,AAA-222-111-000-0-0,70.4,
251756245,23 04 30.076,+02 10 16.10,0,16.177,,,461-130604,23043007+0210162,7712-301-3-0237-0132,STAR,JHK,0.9,4.5,-26.2,3.6,,,,,,,,,,,,,,,,,14.547,0.032,13.875,0.034,13.886,0.048,AAA-222-111-000-0-0,36.8,
251756266,23 00 51.192,+02 10 18.66,0,17.556,,,,23005119+0210186,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.056,0.094,15.457,0.113,14.579,0.103,ABA-222-111-000-0-0,6,0921-0781299
251756301,23 04 18.948,+02 10 24.98,0,17.421,,,,23041894+0210249,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.931,0.088,15.317,0.118,14.632,0.096,ABA-222-111-000-0-0,44.5,0921-0781831
251756314,22 59 59.734,+02 10 26.65,0,14.234,,,461-130450,22595974+0210266,,STAR,JHK,-34.6,9,-44.2,9,,,,,,,,,,,,,,,,,12.833,0.027,12.358,0.03,12.279,0.023,AAA-222-111-000-0-0,8.9,0921-0781155
251756318,23 00 00.337,+02 10 27.53,0,12.819,,,461-130451,23000033+0210275,,STAR,gri,2.9,3.2,-22.3,5.8,,,14.017,0.045,13.063,0.02,,,13.542,0.02,12.771,0.041,12.509,0.01,,,11.539,0.024,11.103,0.026,11.035,0.019,AAA-222-111-000-0-0,8.9,
251756329,23 00 52.449,+02 10 30.16,0,14.846,,,461-130491,23005244+0210302,7712-301-3-0231-0043,EXTENDED,gri,-10.1,2.6,-16.6,3.1,,,16.713,0.01,15.325,0.06,,,16.1,0.04,14.78,0.04,14.309,0.04,,,12.862,0.028,12.212,0.029,12.058,0.024,AAA-222-111-000-0-0,22.1,
251756347,23 03 01.867,+02 10 32.66,0,13.69,,,461-130554,23030185+0210327,,STAR,gri,-11.2,3.8,4.8,2.5,,,14.882,0.05,13.826,0.02,,,14.444,0.01,13.562,0.01,13.367,0.05,,,12.344,0.026,11.986,0.024,11.837,0.023,AAA-222-111-000-0-0,28.3,
251756387,23 02 18.200,+02 10 38.08,0,16.064,,,461-130539,23021819+0210382,,STAR,JHK,-0.6,3,-14.9,3.2,,,,,,,,,,,,,,,,,14.437,0.032,13.817,0.03,13.777,0.04,AAA-222-111-000-0-0,17.6,
251756406,22 59 20.393,+02 10 43.43,0,14.88,,,,22592039+0210434,7712-301-3-0228-0150,EXTENDED,gri,3,2,13,2,,,,,,,19.874,0.271,16.017,0.005,14.982,0.003,14.392,0.003,13.987,0.006,14.663,0.075,13.819,0.069,13.286,0.066,AAA-222-111-000-1-0,76.4,
251756419,23 03 35.073,+02 10 45.69,0,18.456,,,,23033507+0210456,7712-301-3-0235-0193,EXTENDED,gri,2,3,-3,3,,,,,,,21.913,0.275,19.607,0.016,18.415,0.009,17.963,0.009,17.544,0.021,16.774,0.161,15.923,0.156,15.355,0.149,CCC-222-111-000-0-0,47,
251756431,23 03 04.504,+02 10 48.34,0,16.259,,,461-130557,23030444+0210502,7712-301-3-0234-0159,STAR,JHK,13.7,15.5,-48.4,21.9,,,,,,,,,,,,,,,,,14.914,0.036,14.406,0.04,14.395,0.061,AAA-222-111-000-0-0,32.3,
251756435,23 04 53.533,+02 10 49.12,0,12.184,,,461-130614,23045352+0210491,,STAR,gri,-4.7,2.8,-8.7,2.9,,,13.368,0.01,12.352,0.02,,,12.919,0.02,12.115,0.01,11.869,0.02,,,10.763,0.029,10.272,0.023,10.208,0.021,AAA-222-111-000-0-0,10.4,
251756440,23 00 44.555,+02 10 50.74,0,12.706,,,461-130480,23004455+0210508,,STAR,gri,-13.2,1.5,2.7,2.1,,,13.893,0.02,12.951,0.031,,,13.425,0.01,12.669,0.041,12.398,0.01,,,11.305,0.026,10.872,0.023,10.787,0.021,AAA-222-111-000-0-0,82,
251756445,23 00 31.814,+02 10 51.69,0,11.858,,,461-130471,23003181+0210517,,STAR,gri,28,1.1,-11.3,1.6,,,12.793,0.01,12.014,0.03,,,12.396,0.01,11.815,0.01,11.627,0.02,,,10.699,0.028,10.359,0.024,10.313,0.023,AAA-222-111-000-0-0,20.3,
251756472,23 00 04.881,+02 10 56.07,0,12.241,,,461-130457,23000488+0210560,,STAR,gri,0.7,1.5,-13.7,1.8,,,13.605,0.01,12.525,0.01,,,13.083,0.01,12.207,0.01,11.881,0.06,,,10.645,0.026,10.128,0.024,10.017,0.023,AAA-222-111-000-0-0,26.4,
251756493,23 04 13.340,+02 11 00.76,0,14.026,,,461-130598,23041334+0211009,,STAR,gri,-5.3,2.8,-9.3,3.2,,,15.238,0.04,14.204,0.04,,,14.791,0.01,13.927,0.03,13.698,0.09,,,12.624,0.027,12.118,0.023,12.039,0.027,AAA-222-111-000-0-0,16.3,
251756503,23 01 07.338,+02 11 02.88,0,16.368,,,,23010733+0211028,7712-301-3-0231-0175,STAR,gri,45,2,-2,2,,,,,,,21.064,0.093,18.295,0.007,16.782,0.005,15.542,0.005,14.867,0.005,13.468,0.028,12.821,0.027,12.546,0.027,AAA-222-111-000-0-0,55.9,
251756550,23 00 30.349,+02 11 10.86,0,17.01,,,,23003034+0211108,7712-301-3-0230-0084,EXTENDED,gri,-1,2,0,2,,,,,,,20.184,0.075,18.057,0.007,17.043,0.005,16.561,0.005,16.198,0.009,15.338,0.063,14.673,0.062,14.204,0.063,AAA-222-111-000-0-0,11.4,
251756561,23 04 10.823,+02 11 13.23,0,16.153,,,461-130594,23041083+0211134,7712-301-3-0236-0165,STAR,JHK,-5.4,3.3,-10.9,3.6,,,,,,,,,,,,,,,,,14.629,0.031,14.082,0.037,14.012,0.043,AAA-222-111-000-0-0,14.4,
251756583,23 04 17.248,+02 11 17.69,0,15.048,,,461-130599,23041725+0211178,7712-301-3-0236-0067,STAR,gri,16.3,2.7,-14.2,3,,,16.545,0.08,15.387,0.051,,,16.086,0.05,14.931,0.02,14.603,0.03,,,13.383,0.027,12.805,0.023,12.68,0.025,AAA-222-111-000-0-0,36.2,
251756599,23 03 13.580,+02 11 20.81,0,18.167,,,,23031358+0211208,7712-301-3-0235-0104,EXTENDED,gri,-2,3,-5,3,,,,,,,20.303,0.091,18.976,0.012,18.229,0.01,17.82,0.009,17.513,0.026,16.882,0.153,15.975,0.167,15.585,0.207,BCC-222-111-000-0-0,29.7,
251756630,23 02 07.776,+02 11 25.38,0,15.567,,,461-130534,23020776+0211253,7712-301-3-0233-0016,STAR,gri,1.1,2.9,-13.7,3.1,,,16.803,0.06,15.784,0.01,,,16.315,0.06,15.481,0.09,15.247,0.08,,,14.216,0.034,13.687,0.033,13.609,0.04,AAA-222-111-000-0-0,44,
251756645,23 03 27.330,+02 11 28.22,0,13.311,,,461-130573,23032733+0211282,,STAR,gri,55.2,7.4,-47.5,2.3,,,15.028,0.02,13.661,0.04,,,14.483,0.02,13.188,0.01,12.809,0.01,,,11.559,0.024,10.965,0.023,10.843,0.021,AAA-222-111-000-0-0,10.7,
251756657,23 00 25.251,+02 11 30.83,0,18.124,,,,23002525+0211308,7712-301-3-0230-0293,EXTENDED,gri,5,3,0,3,,,,,,,21.284,0.225,19.508,0.019,18.075,0.009,17.531,0.008,17.16,0.021,16.486,0.133,15.846,0.17,15.07,0.14,BCB-222-111-000-0-0,44,
251756721,23 02 40.982,+02 11 41.12,0,10.819,,576-309-1,461-130548,23024097+0211411,,STAR,gri,40.3,1.7,-12.8,1.8,,,11.596,0.097,10.881,0.082,,,11.434,0.03,10.715,0.04,10.556,0.06,,,9.779,0.024,9.416,0.022,9.361,0.023,AAA-222-111-000-0-0,16.1,
251756744,23 01 13.275,+02 11 45.48,0,15.266,,,461-130507,23011327+0211456,7712-301-3-0231-0093,STAR,gri,-6.2,2.7,-13,3,,,16.28,0.04,15.396,0.16,,,15.905,0.09,15.192,0.12,14.992,0.12,,,14.046,0.028,13.586,0.032,13.493,0.042,AAA-222-111-000-0-0,48.7,
251756862,23 03 51.131,+02 12 05.04,0,16.139,,,462-126733,23035113+0212050,7712-301-3-0236-0087,STAR,JHK,6.1,3,-2.1,3.2,,,,,,,,,,,,,,,,,14.34,0.03,13.6,0.025,13.619,0.041,AAA-222-111-000-0-0,46.1,
251756898,23 04 05.960,+02 12 11.75,0,18.074,,,,,7712-301-3-0236-0145,EXTENDED,gri,2,3,-4,3,,,,,,,19.185,0.041,18.245,0.008,18.017,0.009,17.724,0.01,17.719,0.035,,,,,,,,,
251756917,23 01 02.434,+02 12 16.19,0,16.203,,,462-126646,23010243+0212163,7712-301-3-0231-0065,STAR,BV,8.1,3.1,7.9,3.3,,,17.59,0.17,16.42,0.077,,,16.779,0.065,,,,,,,14.289,0.036,13.71,0.03,13.622,0.046,AAA-222-111-000-0-0,52.9,
251756941,23 02 27.882,+02 12 20.79,0,12.008,,,462-126690,23022788+0212208,,STAR,gri,8.9,1.4,7.3,1.7,,,13.48,0.042,12.207,0.01,,,12.952,0.03,11.893,0.04,11.603,0.01,,,10.498,0.026,9.937,0.022,9.861,0.021,AAA-222-111-000-0-0,61.1,
251756944,23 03 22.021,+02 12 21.50,0,17.69,,,,23032202+0212214,7712-301-3-0235-0146,EXTENDED,gri,0,3,-6,3,,,,,,,20.026,0.07,18.638,0.01,17.828,0.007,17.284,0.007,16.952,0.016,15.994,0.092,15.263,0.098,14.796,0.094,AAA-222-111-000-0-0,51.8,
251757067,22 58 41.933,+02 12 43.87,0,15.633,,,462-126570,22584192+0212438,,STAR,JHK,11.1,2.8,-9.1,3.1,,,,,,,,,,,,,,,,,14.294,0.032,13.845,0.033,13.779,0.033,AAA-222-111-000-0-0,24.4,
251757125,23 03 35.621,+02 12 51.97,0,12.8,,,462-126726,23033562+0212520,,STAR,gri,-1.7,1.6,-13.5,2.1,,,14.095,0.01,12.979,0.02,,,13.614,0.03,12.723,0.01,12.452,0.01,,,11.358,0.023,10.854,0.023,10.757,0.023,AAA-222-111-000-0-0,73.2,
