EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,2MASS Flag,Nearest Neighbor,Nomad ID
251739305,22 57 40.683,+01 16 57.59,0,16.416,,,,22574068+0116575,7717-301-1-0225-0205,STAR,gri,47,2,-32,2,,,,,,,20.858,0.068,18.184,0.007,16.854,0.005,15.658,0.005,15.036,0.005,13.737,0.023,13.138,0.024,12.95,0.033,AAA-222-111-000-0-0,21.5,
251739310,22 53 48.459,+01 16 59.67,0,16.131,,,457-120902,22534848+0116599,7712-301-1-0219-0214,STAR,JHK,24.7,3.9,17.3,4,,,,,,,,,,,,,,,,,14.522,0.038,13.907,0.04,13.869,0.054,AAA-222-111-000-0-0,39.4,
251739336,22 57 25.205,+01 17 05.07,0,11.993,,,457-121018,22572520+0117052,,STAR,gri,-12.3,1.7,-18.9,2.1,,,13.127,0.01,12.061,0.04,,,12.721,0.01,11.812,0.02,11.681,0.05,,,10.827,0.024,10.424,0.024,10.343,0.023,AAA-222-111-000-0-0,41,
251739374,22 56 17.686,+01 17 12.52,0,10.422,,569-1378-1,457-120986,22561768+0117126,,STAR,gri,60.4,1.6,14.4,1.6,,,11.451,0.078,10.613,0.057,,,11.024,0.03,10.265,0.04,10.164,0.04,,,9.44,0.024,9.163,0.024,9.056,0.023,AAA-222-111-000-0-0,57.5,
251739403,22 53 06.734,+01 17 18.02,0,13.952,,,457-120871,22530673+0117179,7712-301-1-0218-0005,STAR,JHK,54.2,2.4,-16.4,3.5,,,,,,,,,,,,,,,,,12.183,0.024,11.584,0.026,11.472,0.024,AAA-222-111-000-0-0,53.8,
251739544,22 54 31.529,+01 17 45.40,0,16.896,,,,22543152+0117453,7712-301-1-0220-0156,STAR,gri,40,3,-16,3,,,,,,,22.375,0.283,18.946,0.01,17.454,0.005,16.018,0.004,15.163,0.005,13.787,0.027,13.086,0.028,12.809,0.026,AAA-222-111-000-0-0,43.7,
251739549,22 56 27.370,+01 17 46.35,0,13.808,,,457-120992,22562736+0117464,7712-301-1-0223-0033,STAR,gri,60.3,3.2,-4.2,3.7,,,15.062,0.02,13.911,0.03,,,14.616,0.037,13.621,0.02,13.461,0.03,,,12.51,0.024,12.086,0.026,11.993,0.026,AAA-222-111-000-0-0,45.8,
251739560,22 52 51.305,+01 17 48.78,0,15.429,,,457-120865,22525129+0117488,7712-301-1-0217-0128,STAR,JHK,2.5,3,-9.8,3.3,,,,,,,,,,,,,,,,,14.003,0.027,13.554,0.029,13.435,0.04,AAA-222-111-000-0-0,32.7,
251739616,22 55 00.851,+01 17 58.99,0,12.615,,,457-120942,22550084+0117590,,STAR,gri,-9.6,2.6,-47,2.3,,,14.459,0.01,12.909,0.04,,,13.926,0.01,12.424,0.02,12.053,0.06,,,10.879,0.024,10.262,0.024,10.109,0.021,AAA-222-111-000-0-0,49.1,
251739618,22 53 02.176,+01 17 59.34,0,16.151,,,457-120869,22530217+0117593,7712-301-1-0217-0247,STAR,JHK,-9.4,3.3,-19.1,3.5,,,,,,,,,,,,,,,,,14.188,0.03,13.542,0.03,13.416,0.035,AAA-222-111-000-0-0,66.6,
251739668,22 57 35.448,+01 18 08.21,0,14.877,,,457-121022,22573545+0118083,7712-301-1-0225-0055,STAR,gri,4.1,3.9,-3.8,4.3,,,15.766,0.01,14.845,0.06,,,15.469,0.03,14.645,0.01,14.623,0.04,,,13.716,0.032,13.238,0.027,13.169,0.034,AAA-222-111-000-0-0,24,
251739679,22 58 59.783,+01 18 10.38,0,12.772,,,457-121071,22585978+0118104,,STAR,gri,4,1.8,-17,2.3,,,13.612,0.02,12.773,0.02,,,13.293,0.01,12.597,0.01,12.549,0.05,,,11.772,0.027,11.444,0.023,11.395,0.023,AAA-222-111-000-0-0,50.6,
251739687,22 54 50.604,+01 18 11.17,0,16.23,,,,22545060+0118111,7712-301-1-0220-0207,STAR,gri,17,2,-25,2,,,,,,,20.592,0.067,18.049,0.006,16.543,0.004,15.451,0.004,14.831,0.005,13.505,0.024,12.856,0.03,12.612,0.032,AAA-222-111-000-0-0,29.1,
251739711,22 58 29.254,+01 18 16.22,0,15.922,,,457-121055,22582925+0118162,7712-301-1-0227-0010,STAR,BV,-0.2,4.4,-6.6,4.5,,,16.875,0.09,16.097,0.01,,,16.735,0.064,,,,,,,14.679,0.036,14.176,0.048,14.121,0.062,AAA-222-111-000-0-0,42.4,
251739792,22 57 13.475,+01 18 29.60,0,17.711,,,,,7712-301-1-0224-0244,EXTENDED,gri,-14,2,-7,2,,,,,,,19.347,0.05,18.283,0.009,17.814,0.009,17.466,0.009,17.318,0.027,,,,,,,,,
251739802,22 53 58.034,+01 18 31.97,0,15.848,,,457-120907,22535803+0118321,7712-301-1-0219-0250,STAR,JHK,11,3,-10.9,3.2,,,,,,,,,,,,,,,,,13.805,0.026,13.118,0.027,13.009,0.034,AAA-222-111-000-0-0,25.8,
251739836,22 53 43.485,+01 18 38.08,0,12.821,,,457-120900,22534349+0118382,,STAR,gri,4,1.5,-0.4,1.8,,,13.851,0.01,12.809,0.05,,,13.475,0.032,12.634,0.03,12.541,0.07,,,11.724,0.025,11.443,0.027,11.324,0.025,AAA-222-111-000-0-0,57.5,
251739929,22 57 25.268,+01 18 52.73,0,15.908,,,457-121019,22572528+0118525,7712-301-1-0225-0125,STAR,JHK,-13.7,4.9,-46.4,4.8,,,,,,,,,,,,,,,,,13.763,0.032,13.106,0.027,12.937,0.029,AAA-222-111-000-0-0,47,
251739954,22 56 57.357,+01 18 59.06,0,17.681,,,,22565735+0118590,7712-301-1-0224-0191,EXTENDED,gri,2,2,1,2,,,,,,,19.348,0.041,18.224,0.008,17.713,0.007,17.449,0.008,17.212,0.019,16.684,0.172,,,15.471,0.207,CUC-202-101-000-0-0,37.1,
251739998,22 55 16.778,+01 19 06.60,0,16.308,,,457-120955,22551678+0119066,7712-301-1-0221-0106,STAR,BV,15.7,4.9,-0.2,4.6,,,17.297,0.16,16.493,0.08,,,17.156,0.074,,,,,,,14.8,0.044,14.22,0.035,14.239,0.062,AAA-222-111-000-0-0,30.7,
251740052,22 58 36.580,+01 19 16.32,0,16.174,,,457-121061,22583659+0119163,7712-301-1-0227-0137,STAR,BV,42.3,4.7,-14.5,4.6,,,18.078,0.36,16.499,0.08,,,,,,,,,,,13.458,0.028,12.766,0.026,12.56,0.026,AAA-222-111-000-0-0,25.7,
251740060,22 56 25.653,+01 19 17.53,0,15.028,,,457-120988,22562564+0119176,7712-301-1-0223-0034,STAR,gri,1.4,3.9,-8.7,4.3,,,16.34,0.11,15.169,0.01,,,15.938,0.01,14.869,0.01,14.639,0.08,,,13.656,0.026,13.181,0.03,13.048,0.031,AAA-222-111-000-0-0,25.5,
251740073,22 56 27.612,+01 19 19.44,0,15.487,,,457-120993,22562761+0119194,7712-301-1-0223-0035,STAR,JHK,-4.5,4.1,-10.9,4.7,,,,,,,,,,,,,,,,,13.1,0.026,12.437,0.028,12.197,0.026,AAA-222-111-000-0-0,14,
251740132,22 54 37.709,+01 19 29.86,0,18.32,,,,22543770+0119298,7712-301-1-0220-0074,EXTENDED,gri,-2,3,1,3,,,,,,,21.4,0.177,19.47,0.016,18.353,0.009,17.827,0.008,17.436,0.019,16.353,0.121,15.907,0.167,15.496,0.204,BCC-222-111-c00-0-0,15.4,
251740140,22 53 56.480,+01 19 30.40,0,16.773,,,,22535648+0119303,7712-301-1-0219-0240,STAR,gri,60,2,-46,2,,,,,,,21.543,0.153,18.692,0.009,17.273,0.005,15.951,0.004,15.15,0.005,13.638,0.035,13.053,0.035,12.841,0.039,AAA-222-111-000-0-0,34,
251740155,22 58 00.990,+01 19 32.56,0,12.258,,,457-121038,22580099+0119326,,STAR,gri,-12,2.1,-11.3,2.2,,,13.438,0.01,12.366,0.02,,,13.039,0.01,12.103,0.02,11.923,0.04,,,10.935,0.024,10.44,0.022,10.357,0.019,AAA-222-111-000-0-0,34.3,
251740177,22 54 47.723,+01 19 37.23,0,13.776,,,457-120935,22544770+0119373,7712-301-1-0220-0098,STAR,gri,-6,2.4,-4.5,2.7,,,15.106,0.02,13.868,0.08,,,14.627,0.037,13.569,0.043,13.412,0.03,,,12.491,0.026,12.099,0.025,11.991,0.025,AAA-222-111-000-0-0,46.2,
251740215,22 54 38.000,+01 19 44.55,0,13.233,,,457-120929,22543799+0119445,,STAR,gri,-20.5,2.7,-9.1,2.3,,,14.63,0.04,13.394,0.08,,,14.145,0.02,13.079,0.01,12.842,0.03,,,11.81,0.023,11.287,0.025,11.195,0.025,AAA-222-111-000-0-0,15.4,
251740270,22 54 55.510,+01 19 55.38,0,14.307,,,457-120939,22545550+0119555,7712-301-1-0221-0022,STAR,gri,9.9,3,-44.5,3.4,,,16.57,0.06,14.846,0.03,,,15.917,0.1,14.257,0.02,13.618,0.04,,,12.216,0.022,11.526,0.024,11.373,0.025,AAA-222-111-000-0-0,27.4,
251740275,22 54 11.015,+01 19 56.51,0,15.738,,,457-120910,22541101+0119566,7712-301-1-0219-0290,STAR,BV,2.2,3.4,-11.1,3.7,,,17.633,0.24,16.061,0.067,,,,,,,,,,,14.336,0.031,13.8,0.036,13.692,0.048,AAA-222-111-000-0-0,42.1,
251740281,22 54 58.760,+01 19 57.08,0,15.582,,,457-120941,22545875+0119573,7712-301-1-0221-0027,STAR,gri,-0.3,3.2,-25.8,3.4,,,16.615,0.08,15.653,0.057,,,16.258,0.055,15.408,0.062,15.292,0.102,,,14.483,0.035,14.036,0.042,13.924,0.051,AAA-222-111-000-0-0,44.7,
251740318,22 57 23.784,+01 20 03.86,0,17.247,,,,22572378+0120038,7712-301-1-0225-0118,EXTENDED,gri,1,2,1,2,,,,,,,19.402,0.047,18.084,0.008,17.324,0.006,16.888,0.006,16.613,0.013,16.129,0.097,15.237,0.093,15.035,0.136,AAB-222-111-000-0-0,37.6,
251740319,22 55 40.622,+01 20 04.16,0,15.428,,,457-120968,22554061+0120042,7712-301-1-0222-0043,STAR,gri,-5.5,3.9,-4.7,4.2,,,16.948,0.095,15.452,0.053,,,16.365,0.08,15.355,0.09,15.026,0.02,,,14.134,0.032,13.617,0.029,13.547,0.043,AAA-222-111-000-0-0,59.9,
251740329,22 57 04.893,+01 20 06.00,0,18.232,,,,22570489+0120060,7712-301-1-0224-0311,EXTENDED,gri,-2,3,-5,3,,,,,,,21.411,0.26,19.577,0.023,18.201,0.011,17.655,0.01,17.249,0.023,16.633,0.163,15.747,0.191,15.088,0.153,CCB-222-111-000-0-0,50.2,
251740378,22 52 54.439,+01 20 16.81,0,17.829,,,,22525443+0120168,7712-301-1-0217-0289,EXTENDED,gri,-4,3,-5,3,,,,,,,21.359,0.255,19.131,0.017,17.827,0.009,17.271,0.008,16.87,0.018,16.348,0.114,15.503,0.115,14.808,0.124,BBB-222-111-000-0-0,36.1,
251740398,22 55 52.595,+01 20 19.62,0,10.017,,569-1246-1,457-120980,22555260+0120197,,STAR,gri,-5.8,2.4,-8.3,2.4,,,12.282,0.241,11.003,0.081,,,11.525,0.03,9.922,0.04,9.37,0.06,,,7.892,0.024,7.147,0.063,6.927,0.033,AAA-111-111-000-0-0,32,
251740405,22 53 33.087,+01 20 21.13,0,15.162,,,457-120891,22533309+0120210,7712-301-1-0218-0083,STAR,BV,0.7,3.1,-3.2,3.3,,,16.794,0.11,15.43,0.052,,,16.135,0.053,,,,,,,14.394,0.029,13.939,0.057,13.862,0.053,AAA-222-111-000-0-0,42.2,
251740411,22 53 40.759,+01 20 22.93,0,16.177,,,,22534075+0120229,7712-301-1-0219-0180,EXTENDED,gri,-2,2,0,2,,,,,,,19.038,0.05,17.234,0.006,16.224,0.004,15.724,0.004,15.301,0.007,14.981,0.078,14.142,0.09,13.514,0.065,AAA-222-111-000-0-0,35.3,
251740434,22 55 19.648,+01 20 27.34,0,15.214,,,457-120956,22551964+0120273,7712-301-1-0221-0116,STAR,gri,10.5,3.9,-5.5,4.2,,,16.836,0.11,15.566,0.09,,,16.381,0.05,15.082,0.05,14.714,0.085,,,13.649,0.027,13.055,0.024,12.977,0.033,AAA-222-111-000-0-0,20.9,
251740476,22 55 03.682,+01 20 35.74,0,14.683,,,457-120944,22550367+0120358,7712-301-1-0221-0037,STAR,gri,-9.6,3,-9.1,3.5,,,16.073,0.05,14.83,0.043,,,15.577,0.01,14.474,0.04,14.3,0.11,,,13.4,0.026,12.914,0.027,12.872,0.032,AAA-222-111-000-0-0,21.2,
251740507,22 57 07.336,+01 20 40.19,0,14.745,,,457-121009,22570734+0120402,7712-301-1-0224-0111,STAR,gri,-13.4,4,-64.1,4.3,,,16.26,0.05,15.01,0.05,,,15.823,0.01,14.608,0.05,14.283,0.08,,,13.227,0.029,12.586,0.027,12.527,0.035,AAA-222-111-000-0-0,50.2,
251740541,22 58 22.405,+01 20 45.64,0,12.791,,,457-121050,22582240+0120457,,STAR,gri,-20.6,2,-12.3,2.2,,,13.527,0.01,12.767,0.04,,,13.222,0.032,12.62,0.041,12.606,0.05,,,11.873,0.024,11.628,0.026,11.581,0.021,AAA-222-111-000-0-0,35.6,
251740555,22 55 51.822,+01 20 49.50,0,9.841,,569-1196-1,457-120979,22555182+0120495,,STAR,BV,-1.8,1.6,-3.6,1.5,,,11.105,0.068,10.032,0.034,,,,,,,,,,,7.899,0.023,7.352,0.021,7.193,0.024,AAA-111-111-000-0-0,32,
251740561,22 57 48.838,+01 20 50.16,0,17.977,,,,22574883+0120501,7712-301-1-0225-0170,EXTENDED,gri,14.6,9,0,9,,,,,,,21.251,0.171,19.06,0.013,17.993,0.008,17.513,0.008,17.101,0.016,16.084,0.099,15.456,0.106,14.988,0.118,ABB-222-111-cc0-0-0,4.8,0913-0626494
251740592,22 53 52.996,+01 20 55.07,0,11.489,,,457-120905,22535300+0120551,,STAR,gri,1,1.4,-1.6,1.7,,,13.677,0.01,11.819,0.03,,,12.944,0.031,11.342,0.03,10.865,0.04,,,9.443,0.022,8.822,0.025,8.674,0.025,AAA-222-111-000-0-0,15.8,
251740622,22 55 47.241,+01 20 59.64,0,10.105,,569-1390-1,457-120974,22554724+0120597,,STAR,gri,-13,1.6,-1.1,1.6,,,11.727,0.118,10.603,0.056,,,11.278,0.03,9.929,0.03,9.602,0.04,,,8.399,0.024,7.829,0.061,7.632,0.023,AAA-111-111-000-0-0,69.5,
251740666,22 53 40.313,+01 21 06.31,0,11.664,,,457-120893,22534031+0121063,,STAR,gri,5.3,1.1,-7.7,0.9,,,12.592,0.01,11.67,0.07,,,12.263,0.01,11.484,0.02,11.408,0.03,,,10.783,0.03,10.435,0.037,10.341,0.026,AAA-222-111-000-0-0,40.3,
251740673,22 53 08.853,+01 21 07.23,0,14.657,,,457-120874,22530884+0121072,7712-301-1-0218-0013,STAR,gri,0.7,2.9,-24.2,3.3,,,16.34,0.02,14.893,0.08,,,15.842,0.01,14.403,0.02,14.149,0.02,,,12.985,0.024,12.305,0.026,12.246,0.027,AAA-222-111-000-0-0,35.2,
251740707,22 53 28.789,+01 21 15.93,0,15.186,,,457-120887,22532879+0121158,7712-301-1-0218-0073,STAR,gri,10.2,2.9,-6.4,3.2,,,16.236,0.14,15.258,0.06,,,15.96,0.08,15.047,0.06,14.854,0.04,,,14.073,0.032,13.552,0.032,13.457,0.036,AAA-222-111-000-0-0,39.2,
251740763,22 57 56.826,+01 21 27.04,0,15.988,,,457-121035,22575683+0121272,7712-301-1-0226-0164,STAR,JHK,-31.9,5.4,-17.6,4.8,,,,,,,,,,,,,,,,,13.978,0.032,13.351,0.029,13.192,0.034,AAA-222-111-000-0-0,42.6,
251740804,22 57 42.913,+01 21 35.29,0,14.426,,,457-121028,22574291+0121354,,STAR,gri,0.9,4.1,-8.9,4.8,,,15.297,0.08,14.473,0.06,,,14.938,0.05,14.294,0.08,14.206,0.04,,,13.319,0.026,12.969,0.022,12.947,0.031,AAA-222-111-000-0-0,50.2,
251740819,22 53 07.731,+01 21 38.16,0,10.703,,569-687-1,457-120872,22530772+0121381,,STAR,BV,11.5,1.2,8.9,1.2,,,11.09,0.045,10.723,0.048,,,,,,,,,,,9.79,0.024,9.62,0.024,9.585,0.024,AAA-222-111-000-0-0,30.9,
251740825,22 58 46.956,+01 21 39.19,0,15.779,,,457-121067,22584695+0121393,7712-301-1-0227-0151,STAR,JHK,62.4,4.3,-39.4,4.2,,,,,,,,,,,,,,,,,13.715,0.027,13.041,0.026,12.913,0.024,AAA-222-111-000-0-0,51,
251740852,22 58 02.461,+01 21 43.26,0,18.088,,,,22580246+0121432,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.545,0.159,15.551,0.138,15.105,0.161,CBC-222-111-000-0-0,22.4,0913-0626529
251740907,22 58 37.947,+01 21 54.42,0,12.54,,,457-121063,22583794+0121545,,STAR,gri,91.3,1.8,-4.9,2.3,,,13.635,0.01,12.611,0.03,,,13.247,0.01,12.374,0.03,12.237,0.04,,,11.344,0.028,10.941,0.023,10.854,0.023,AAA-222-111-000-0-0,24.6,
251740970,22 56 55.020,+01 22 05.87,0,13.182,,,457-121003,22565502+0122059,,STAR,gri,8.4,2.5,-18.7,3.9,,,14.367,0.05,13.291,0.03,,,13.963,0.01,13.011,0.02,12.848,0.05,,,11.907,0.024,11.467,0.028,11.365,0.024,AAA-222-111-000-0-0,38.1,
251740982,22 57 36.012,+01 22 08.70,0,15.8,,,457-121024,22573601+0122087,7712-301-1-0225-0064,STAR,gri,-2.7,4.1,-8.7,4.1,,,16.711,0.09,15.876,0.062,,,16.56,0.02,15.44,0.05,15.475,0.08,,,14.369,0.034,13.812,0.029,13.721,0.05,AAA-222-111-000-0-0,31.7,
251741034,22 54 11.576,+01 22 17.97,0,16.072,,,457-120911,22541157+0122179,7712-301-1-0219-0292,STAR,BV,13.5,3.2,-5.1,3.5,,,17.205,0.15,16.296,0.073,,,,,,,,,,,14.718,0.04,14.259,0.061,14.142,0.067,AAA-222-111-000-0-0,32.7,
251741043,22 53 46.076,+01 22 19.34,0,13.738,,,457-120901,,7712-301-1-0219-0061,EXTENDED,gri,0.9,6.3,-4.1,3.9,,,15.249,0.08,13.969,0.07,,,14.742,0.02,13.644,0.04,13.307,0.08,,,,,,,,,,,
251741103,22 54 20.297,+01 22 29.73,0,14.735,,,457-120920,22542029+0122297,7712-301-1-0220-0021,STAR,gri,13,3,-18.2,3.5,,,16.187,0.04,14.928,0.03,,,15.696,0.06,14.529,0.02,14.323,0.04,,,13.269,0.026,12.791,0.028,12.68,0.027,AAA-222-111-000-0-0,48.1,
251741115,22 55 04.370,+01 22 30.76,0,12.501,,,457-120946,22550436+0122308,,STAR,gri,-8.7,1.7,-36.4,2,,,13.853,0.01,12.626,0.04,,,13.413,0.01,12.291,0.02,12.11,0.04,,,11.155,0.021,10.651,0.023,10.576,0.025,AAA-222-111-000-0-0,88.5,
251741122,22 56 53.156,+01 22 31.76,0,17.957,,,,22565315+0122317,7712-301-1-0224-0176,EXTENDED,gri,-4,3,6,3,,,,,,,20.185,0.082,18.782,0.012,18.028,0.008,17.604,0.008,17.302,0.021,16.616,0.154,15.908,0.206,,,BCU-220-110-000-0-0,38.1,
251741132,22 55 15.853,+01 22 34.18,0,15.037,,,457-120954,22551585+0122342,7712-301-1-0221-0103,STAR,gri,20.3,3.9,-21.2,4.3,,,16.403,0.078,15.132,0.047,,,15.883,0.02,14.874,0.05,14.675,0.084,,,13.812,0.026,13.369,0.026,13.242,0.031,AAA-222-111-000-0-0,39.7,
251741140,22 55 41.285,+01 22 35.14,0,11.486,,,457-120969,22554128+0122351,,STAR,gri,60.6,1.4,-26.9,1.5,,,12.699,0.01,11.569,0.03,,,12.273,0.03,11.32,0.03,11.149,0.03,,,10.286,0.024,9.869,0.023,9.788,0.024,AAA-222-111-000-0-0,29.1,
251741159,23 01 38.629,+01 22 37.67,0,12.895,,,457-121129,23013863+0122376,,STAR,gri,37.4,2.1,-11.3,2.5,,,13.882,0.03,12.892,0.08,,,13.5,0.03,12.686,0.04,12.635,0.08,,,11.803,0.028,11.393,0.023,11.362,0.023,AAA-222-111-000-0-0,23.6,
251741191,22 55 46.295,+01 22 43.28,0,15.475,,,457-120973,22554629+0122433,7712-301-1-0222-0052,STAR,gri,2.4,4.4,-1.2,4.6,,,16.581,0.08,15.611,0.056,,,16.156,0.04,15.415,0.05,15.183,0.098,,,14.507,0.035,14.126,0.036,13.975,0.051,AAA-222-111-000-0-0,13.3,
251741217,22 57 13.058,+01 22 48.40,0,15.788,,,457-121012,22571306+0122484,7712-301-1-0224-0242,STAR,gri,-16.3,4.2,-7.2,4.4,,,17.319,0.15,15.847,0.061,,,16.731,0.02,15.484,0.07,15.383,0.106,,,14.193,0.035,13.562,0.036,13.449,0.039,AAA-222-111-000-0-0,84.3,
251741379,22 53 08.361,+01 23 17.74,0,18.196,,,,22530836+0123177,7712-301-1-0218-0127,EXTENDED,gri,9,3,4,3,,,,,,,20.293,0.077,18.901,0.012,18.3,0.01,17.894,0.009,17.706,0.025,16.829,0.149,16.32,0.215,,,BCD-222-111-000-0-0,8.1,
251741383,22 58 05.762,+01 23 18.97,0,14.035,,,457-121041,22580575+0123191,7712-301-1-0226-0058,STAR,gri,-11.8,9,8.1,13,,,15.353,0.01,14.178,0.05,,,14.852,0.02,13.884,0.01,13.686,0.01,,,12.665,0.029,12.176,0.023,12.118,0.021,AAA-222-111-000-0-0,41.3,
251741410,22 53 25.959,+01 23 23.11,0,11.748,,,457-120885,22532596+0123230,,STAR,gri,-1.2,1.4,-19.4,1.7,,,13.435,0.042,11.957,0.05,,,12.862,0.01,11.587,0.03,11.27,0.06,,,10.05,0.024,9.382,0.022,9.27,0.02,AAA-222-111-000-0-0,13.1,
251741440,22 56 39.687,+01 23 28.68,0,15.214,,,457-120996,22563968+0123286,7712-301-1-0224-0003,STAR,gri,7.8,3.9,-14.1,4.2,,,16.528,0.08,15.409,0.07,,,16.1,0.053,15.118,0.02,14.834,0.088,,,13.981,0.028,13.491,0.035,13.398,0.036,AAA-222-111-000-0-0,26.6,
251741526,22 56 21.569,+01 23 44.17,0,15.702,,,457-120987,22562156+0123442,7712-301-1-0223-0242,STAR,gri,28.9,4.9,-16.3,4.9,,,17.672,0.21,16.183,0.07,,,17.054,0.01,15.528,0.05,15.123,0.096,,,13.723,0.024,13.051,0.024,12.913,0.034,AAA-222-111-000-0-0,91.4,
251741552,22 57 32.025,+01 23 49.11,0,15.396,,,457-121021,22573200+0123490,7712-301-1-0225-0135,STAR,JHK,-10.3,19.2,-39.7,19.1,,,,,,,,,,,,,,,,,13.224,0.024,12.633,0.028,12.39,0.03,AAA-222-111-000-0-0,67.6,
251741587,22 58 12.882,+01 23 56.45,0,12.433,,,457-121044,22581287+0123566,,STAR,gri,-33.9,3,100.1,5.5,,,14.123,0.02,12.759,0.03,,,13.645,0.01,12.261,0.01,11.914,0.04,,,10.679,0.026,10.057,0.026,9.946,0.019,AAA-222-111-000-0-0,16,
251741598,22 54 33.263,+01 23 58.74,0,11.565,,569-452-1,457-120923,22543327+0123587,,STAR,gri,0.6,2.4,-16.6,2.4,,,12.312,0.175,11.483,0.096,,,11.874,0.01,11.388,0.01,11.433,0.02,,,10.916,0.023,10.769,0.025,10.738,0.025,AAA-222-111-000-0-0,11.6,
251741688,22 58 15.056,+01 24 14.01,0,10.967,,569-1491-1,458-127565,22581504+0124141,,STAR,gri,-46,1.7,105.6,1.7,,,11.9,0.162,11.079,0.1,,,11.661,0.01,10.802,0.02,10.669,0.04,,,9.791,0.027,9.362,0.024,9.292,0.023,AAA-222-111-000-0-0,6,
251741690,22 58 08.155,+01 24 14.26,0,14.311,,,458-127561,22580814+0124143,7712-301-1-0226-0062,STAR,gri,12.2,4.1,1.2,4.7,,,15.614,0.01,14.484,0.03,,,15.126,0.02,14.18,0.02,13.961,0.05,,,12.971,0.029,12.492,0.023,12.448,0.023,AAA-222-111-000-0-0,15.3,
251741703,22 54 35.973,+01 24 16.93,0,12.555,,,458-127457,22543597+0124169,,STAR,gri,31.6,1.4,0.7,1.8,,,13.636,0.02,12.625,0.02,,,13.265,0.02,12.422,0.01,12.25,0.05,,,11.403,0.023,10.996,0.025,10.97,0.025,AAA-222-111-000-0-0,34.1,
251741705,22 58 02.719,+01 24 16.97,0,14.452,,,458-127555,22580271+0124169,7712-301-1-0226-0032,STAR,gri,3.6,4,-4,4.5,,,15.643,0.03,14.603,0.01,,,15.302,0.03,14.299,0.02,14.088,0.07,,,13.062,0.024,12.551,0.023,12.473,0.021,AAA-222-111-000-0-0,43.3,
251741788,22 56 36.594,+01 24 31.37,0,14.464,,,,22563659+0124313,7712-301-1-0223-0271,EXTENDED,gri,-7,2,2,2,,,,,,,16.952,0.025,15.337,0.004,14.538,0.003,14.09,0.003,13.753,0.006,15.125,0.1,14.263,0.116,13.733,0.075,ABA-222-111-000-1-0,32.8,
251741791,22 57 42.178,+01 24 31.88,0,15.509,,,458-127535,22574218+0124320,7712-301-1-0225-0070,STAR,gri,17.3,4.1,-7.9,4.3,,,16.703,0.09,15.752,0.059,,,16.203,0.03,15.503,0.06,15.211,0.099,,,14.431,0.03,13.914,0.038,13.823,0.045,AAA-222-111-000-0-0,35.3,
251741794,22 55 14.194,+01 24 32.07,0,13.925,,,458-127475,22551419+0124322,7712-301-1-0221-0095,STAR,gri,16.2,2.7,1.3,15.6,,,15.227,0.01,14.05,0.05,,,14.803,0.038,13.751,0.01,13.549,0.04,,,12.612,0.024,12.2,0.021,12.108,0.024,AAA-222-111-000-0-0,19.5,
251741797,22 56 51.120,+01 24 32.77,0,12.888,,,458-127509,22565111+0124327,,STAR,gri,16.7,1.9,7.1,2.8,,,13.687,0.02,12.89,0.02,,,13.379,0.032,12.739,0.01,12.678,0.03,,,11.958,0.024,11.69,0.022,11.633,0.026,AAA-222-111-000-0-0,31.7,
251741844,22 57 00.932,+01 24 41.85,0,16.592,,,,22570093+0124418,7712-301-1-0224-0212,STAR,gri,9,2,40,2,,,,,,,21.136,0.104,18.457,0.008,17.005,0.005,15.793,0.004,15.128,0.005,13.804,0.03,13.224,0.026,12.989,0.036,AAA-222-111-000-0-0,69,
251741885,22 58 15.072,+01 24 49.40,0,11.558,,569-1497-1,458-127566,22581506+0124493,,STAR,gri,-8.4,1.8,3.7,1.8,,,12.075,0.178,11.567,0.151,,,11.922,0.03,11.401,0.01,11.402,0.04,,,10.757,0.026,10.582,0.023,10.524,0.024,AAA-222-111-000-0-0,35.2,
251741938,22 58 03.432,+01 24 58.96,0,14.69,,,458-127557,22580341+0124590,7712-301-1-0226-0182,STAR,JHK,94,5.2,-19.6,5.1,,,,,,,,,,,,,,,,,12.93,0.026,12.438,0.022,12.222,0.024,AAA-222-111-000-0-0,43.3,
251741992,22 54 32.281,+01 25 09.68,0,15.892,,,,22543228+0125096,7712-301-1-0220-0160,EXTENDED,gri,2,2,13,2,,,,,,,18.386,0.033,16.792,0.005,15.956,0.004,15.506,0.004,15.139,0.007,15.424,0.117,,,,,BUU-200-200-c00-1-0,1.2,
251742041,22 54 51.832,+01 25 21.10,0,16.962,,,,22545183+0125211,7712-301-1-0221-0008,EXTENDED,gri,-1,2,2,2,,,,,,,19.947,0.086,18.102,0.009,17.01,0.006,16.474,0.005,16.01,0.01,15.524,0.079,14.69,0.072,14.137,0.08,AAA-222-111-000-0-0,31.1,
