,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
1,1,1,246165245,23 22 18.088,-05 44 20.13,0,12.339,,,422-137651,23221808-0544200,,STAR,gri,,-6.9,7.9,-5.7,6.2,,,12.972,0.03,12.392,0.01,,,12.617,0.02,12.225,0.03,12.22,0.22,,,11.31,0.024,11.017,0.024,10.966,0.023,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,38.6,
2,2,2,246165266,23 03 39.311,-05 44 18.64,1,13.495,,,422-137192,23033930-0544187,8054-301-1-0168-0016,STAR,gri,rpm,11.6,2.9,6.3,3.4,,,14.627,0.02,13.716,0.034,,,14.248,0.035,13.38,0.043,13.172,0.064,,,12.138,0.022,11.681,0.022,11.632,0.021,4999,100,60,4.565,0.036,0.942,-0.024,0.16,0.2,0.791,1.967,0.043,0.853,0.211,0.034,1.675,0.248,1.619,328.7,815.8,18.53,0.037,0.007,0.005,AAA-222-111-000-0-0,86.2,
3,3,3,246165286,23 02 39.631,-05 44 17.00,0,17.299,,,,23023963-0544169,,STAR,J,,-4,6,16,2,,,,,,,,,,,,,,,,,15.817,0.098,15.174,0.122,14.367,0.08,,,,,,,,,,,,,,,,,,,,,,,,,ABA-222-111-000-0-0,34.3,0842-0710685
4,4,4,246165289,23 02 07.524,-05 44 16.88,0,17.651,,,,23020752-0544168,8054-301-1-0165-0184,EXTENDED,gri,,-2,2,-1,2,,,,,,,20.963,0.215,18.548,0.012,17.684,0.008,17.267,0.008,16.928,0.021,16.262,0.122,15.727,0.171,15.151,0.163,,,,,,,,,,,,,,,,,,,,,,,,,BCC-222-111-000-0-0,17.6,
5,5,5,246165303,23 04 57.472,-05 44 15.30,1,13.362,,,422-137217,23045747-0544154,,STAR,gri,rpm,4.7,2.6,4.9,3.1,,,14.176,0.046,13.451,0.033,,,13.795,0.033,13.324,0.042,13.176,0.064,,,12.363,0.027,12.039,0.024,11.958,0.024,5881,139,174,4.3,0.165,0.297,-0.162,0.24,0.28,1.163,0.49,0.258,1.021,0.117,0.117,0.551,0.499,0.354,657.6,271.3,164.5,0.038,0.011,0.008,AAA-222-111-000-0-0,59.6,
6,6,6,246165342,22 58 45.974,-05 44 12.17,1,15.374,,,422-137061,22584598-0544123,8054-301-1-0160-0088,STAR,BV,rpm,21.5,4.5,-0.4,5.5,,,16.207,0.08,15.516,0.054,,,15.817,0.049,,,,,,,13.722,0.028,13.228,0.026,13.192,0.029,5010,181,151,4.599,0.042,0.042,-0.251,0.24,0.32,0.723,0.061,0.067,0.767,0.059,0.07,1.997,0.349,0.351,606,72.38,64.66,0.037,0.011,0.006,AAA-222-111-000-0-0,41.1,
7,7,7,246165360,23 15 49.241,-05 44 11.09,1,16.069,,,,23154924-0544110,7824-301-1-0243-0143,EXTENDED,gri,,2,2,2,2,,,,,,,18.748,0.051,16.988,0.006,16.106,0.004,15.675,0.004,15.343,0.01,15.393,0.094,14.632,0.085,14.408,0.105,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,59.6,
8,8,8,246165361,23 12 16.207,-05 44 11.06,0,12.022,,,422-137407,23121622-0544110,,STAR,gri,,-5.6,3.2,-14.4,1.9,,,12.735,0.03,12.059,0.14,,,12.41,0.01,11.871,0.16,11.855,0.22,,,10.991,0.022,10.663,0.024,10.605,0.022,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,27.6,
9,9,9,246165432,23 18 11.217,-05 44 05.59,1,18.15,,,,23181121-0544055,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.631,0.075,14.858,0.093,14.568,0.097,3937,344,344,4.88,0.156,0.13,-0.198,0.24,0.32,0.39,0.131,0.145,0.431,0.144,0.202,7.192,9.17,3.637,571.2,283.4,246.3,0.037,0.013,0.007,AAA-222-111-000-0-0,14,0842-0713143
