EPIC,KepMag,Kmag,Teff,mass,Radius
220417564,12.16,10.814,6096,1.103,1.404
220417609,16.563,14.998,5337,0.81,0.887
220417662,13.212,11.523,5599,0.947,0.925
220417670,11.413,9.642,5147,0.913,9.407
220417687,15.09,11.955,3840,0.42,0.378
220417690,15.975,14.289,5541,0.808,0.824
220417697,17.064,14.772,,,
220417698,14.523,11.659,3888,0.423,0.384
220417707,11.112,10.072,6339,1.24,1.431
220417722,13.997,11.945,4122,0.345,0.308
220417747,15.529,12.312,3704,0.342,0.316
220417752,13.208,11.917,6100,1.036,1.267
220417757,15.58,14.27,5907,0.821,0.905
220417763,8.334,5.51,4991,0.844,0.781
220417909,11.2,9.905,6467,1.292,1.513
220417911,12.078,10.805,6003,1.081,1.234
220417942,14.521,11.886,4137,0.556,0.491
220417949,14.456,11.704,4006,0.492,0.427
220417994,15.428,12.98,4622,0.684,0.635
220417999,13.327,12.087,6309,1.129,1.335
220418010,13.795,12.487,5865,0.999,1.071
220418062,11.72,10.1,6011,1.029,1.172
220418109,16.165,,,,
220418204,16.508,14.149,,,
220418283,11.528,9.968,5967,1.09,1.253
220418291,16.345,13.074,3609,0.263,0.264
220418306,13.226,11.195,4976,0.961,2.496
220418327,11.326,9.009,4676,1.183,8.003
220418459,13.771,12.084,5323,0.892,1.894
220418472,18.573,,,,
220418473,14.001,13.418,3521,0.16,0.18
220418482,16.454,13.88,3662,0.282,0.272
220418494,14.007,,,,
220418527,12.727,11.372,6032,0.932,1.119
220418586,17.564,14.396,4005,0.355,0.334
220418621,16.938,14.522,,,
220418637,11.538,9.767,5222,0.663,0.627
220418690,14.418,11.679,4041,0.527,0.461
220418693,12.873,11.34,5453,0.864,0.838
220418716,16.658,,,,
220418722,14.655,12.835,5367,0.792,0.769
220418724,17.774,,,,
220418733,13.038,11.01,4941,1.047,3.49
220418747,12.269,11.062,6200,1.152,1.366
220418793,13.116,11.021,4865,0.745,0.68
220418805,13.232,11.929,6036,1.028,1.2
220418807,14.124,11.197,4085,0.563,0.488
220418833,16.439,14.615,5509,0.825,0.802
220418909,13.992,12.245,5527,0.899,0.902
220418924,16.906,15.076,,,
220418947,13.923,11.788,4765,0.749,0.692
220419016,15.951,14.11,5675,0.812,0.825
220419028,11.721,9.71,4965,1.007,4.442
220419069,13.804,10.49,3721,0.321,0.302
220419174,17.997,,,,
220419186,17.312,15.579,,,
220419195,13.877,11.923,4992,0.783,0.723
220419245,18.857,,,,
220419250,17.735,15.333,,,
220419269,14.763,11.872,3917,0.464,0.42
220419310,15.22,12.236,3514,0.221,0.238
220419321,13.672,11.786,5104,0.85,0.788
220419332,11.088,10.645,7795,1.701,1.768
220419394,18.277,,,,
220419553,12.606,11.161,5703,0.959,0.979
220419587,10.749,9.447,6036,1.158,1.585
220419589,9.117,7.854,6314,1.536,2.398
220419593,12.661,11.184,5745,1.018,1.028
220419594,14.962,11.4,3319,0.173,0.194
220419639,12.773,10.751,4948,0.819,0.749
220419698,13.808,12.44,5886,0.846,0.905
220419705,15.385,12.788,4156,0.534,0.48
220419730,17.993,,,,
220419737,12.116,11.033,6297,1.179,1.39
220419773,17.477,,,,
220419781,13.768,11.514,4489,0.71,0.636
220419811,12.948,10.937,4915,0.817,0.745
220419826,18.135,15.402,4164,0.328,0.294
220419828,18.249,15.231,3831,0.311,0.29
220419840,15.783,14.518,5696,0.752,0.769
220419842,13.43,11.96,5998,1.048,1.193
220419920,13.647,12.234,5720,0.772,0.785
220419937,8.753,6.272,4769,0.898,12.373
220419961,13.534,11.61,5175,0.867,0.807
220419979,14.058,11.804,4827,0.809,0.745
220420001,13.652,11.591,4767,0.802,0.736
220420022,15.825,12.657,3576,0.248,0.253
220420071,16.874,14.458,4412,0.601,0.553
220420121,16.345,13.149,3630,0.299,0.284
220420125,12.114,11.025,6266,1.144,1.37
220420166,11.577,10.345,6224,1.063,1.27
