EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
220131668,01 08 09.603,-02 39 15.30,1,15.947,,,,01080960-0239152,,STAR,JHK,rpm,48.000,1.000,-24.000,4.000,,,,,,,,,,,,,,,,,14.393,0.027,13.892,0.039,13.763,0.043,,,,,,,,,3823,917,241,4.956,0.090,0.216,-0.427,0.400,0.640,0.324,0.216,0.089,0.338,0.242,0.121,10.170,7.099,6.642,250.200,297.200,81.050,0.028,0.018,0.009,AAA-222-111-000-0-0,,0873-0018786
220132548,01 08 28.014,-02 36 49.02,1,15.993,,,437-001465,01082799-0236490,2699-301-3-0081-0045,STAR,JHK,rpm,-0.900,5.000,-15.300,3.500,,,,,,,,,,,,,,,,,15.113,0.042,14.758,0.054,14.908,0.099,,,,,,,,,5796,342,411,4.487,0.100,0.180,-0.810,0.350,0.350,0.827,0.235,0.120,0.779,0.068,0.068,1.266,0.585,0.627,1570.000,548.700,302.600,0.034,0.026,0.012,AAA-222-111-000-0-0,,
220133060,01 07 57.905,-02 35 26.08,1,13.280,,,438-001380,01075790-0235259,,STAR,gri,rpm,-6.900,1.500,-6.400,1.700,,,13.972,0.010,13.405,0.040,,,13.625,0.020,13.269,0.030,13.132,0.030,,,12.328,0.024,12.053,0.027,11.984,0.025,,,,,,,,,6156,125,125,4.214,0.150,0.175,-0.334,0.250,0.250,1.290,0.361,0.218,1.032,0.125,0.125,0.486,0.258,0.240,716.200,200.500,121.000,0.031,0.024,0.010,AAA-222-111-000-0-0,,
220133206,01 07 52.825,-02 35 01.43,1,15.212,,,438-001378,01075282-0235011,2699-301-3-0080-0120,STAR,gri,rpm,-16.600,3.500,-7.700,3.800,,,17.207,0.140,15.803,0.070,,,16.511,0.040,15.293,0.070,14.655,0.030,,,13.051,0.023,12.398,0.025,12.214,0.022,,,,,,,,,4014,72,97,4.835,0.030,0.054,0.000,0.200,0.240,0.448,0.059,0.027,0.510,0.071,0.029,5.477,0.739,1.225,205.500,32.840,20.650,0.035,0.020,0.014,AAA-222-111-000-0-0,,
220135402,01 08 36.525,-02 28 48.76,1,13.932,,,438-001389,01083651-0228487,,STAR,gri,rpm,22.600,2.200,7.100,3.000,,,15.048,0.030,14.157,0.020,,,14.584,0.010,13.874,0.040,13.652,0.120,,,12.480,0.023,11.999,0.024,11.904,0.025,,,,,,,,,5109,121,81,4.560,0.045,1.035,-0.218,0.250,0.350,0.788,1.942,0.066,0.836,0.077,0.077,1.647,0.379,1.604,395.400,938.300,49.120,0.037,0.029,0.016,AAA-222-111-000-0-0,,
220135666,01 08 08.803,-02 28 07.00,1,12.710,,,438-001383,01080880-0228068,,STAR,gri,rpm,-7.500,1.300,-4.400,1.500,,,13.393,0.010,12.852,0.050,,,13.061,0.020,12.720,0.050,12.560,0.010,,,11.714,0.021,11.453,0.024,11.385,0.023,,,,,,,,,6154,148,148,4.234,0.130,0.208,-0.234,0.200,0.280,1.297,0.425,0.249,1.090,0.145,0.145,0.456,0.347,0.242,552.200,189.300,109.500,0.034,0.020,0.012,AAA-222-111-000-0-0,,
220135817,01 07 46.232,-02 27 45.58,1,13.873,,,438-001375,01074623-0227454,,STAR,gri,rpm,46.300,9.800,-13.600,2.100,,,14.322,0.020,13.916,0.040,,,14.060,0.010,13.810,0.040,13.685,0.040,,,12.882,0.024,12.602,0.027,12.592,0.022,,,,,,,,,6332,124,149,4.289,0.080,0.144,-1.102,0.150,0.180,1.060,0.214,0.111,0.829,0.020,0.020,0.660,0.220,0.267,787.600,155.800,95.280,0.025,0.011,0.005,AAA-222-111-000-0-0,,
220136796,01 08 43.716,-02 25 16.61,1,13.225,,,438-001393,01084370-0225166,,STAR,gri,rpm,15.900,2.000,-9.300,2.500,,,13.937,0.020,13.333,0.050,,,13.591,0.010,13.158,0.060,13.068,0.130,,,12.088,0.021,11.777,0.024,11.739,0.025,,,,,,,,,5927,175,140,4.301,0.125,0.200,-0.256,0.250,0.250,1.140,0.334,0.180,0.990,0.100,0.100,0.617,0.350,0.316,555.800,154.300,105.300,0.031,0.023,0.009,AAA-222-111-000-0-0,,
220136961,01 09 38.447,-02 24 52.54,1,17.755,,,,,7907-301-4-0188-0144,EXTENDED,gri,,9.000,2.000,-8.000,2.000,,,,,,,19.504,0.063,18.292,0.010,17.827,0.010,17.525,0.011,17.348,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
