EPIC,KepMag,Kmag,Teff,mass,Radius
integer,float,float,integer,float,float
220227632,18.079,15.318,3853,0.362,0.331
220227655,18.156,,,,
220227656,17.797,15.054,3789,0.333,0.325
220227661,13.322,11.703,5544,0.911,0.876
220227716,13.096,12.001,5746,0.78,0.814
220227730,17.937,,,,
220227740,17.747,15.119,4076,0.481,0.437
220227744,13.599,12.004,5518,0.911,0.9
220227757,12.926,11.601,6017,1.076,1.218
220227767,17.379,15.453,4132,0.446,0.412
220227768,14.742,12.819,5174,0.793,0.764
220227795,11.919,10.741,6208,1.158,1.345
220227799,16.285,13.513,,,
220227801,13.639,12.006,5488,0.812,0.781
220227806,13.43,12.094,6007,0.93,1.105
220227817,17.097,14.856,,,
220227828,13.188,11.591,5515,0.93,0.898
220227829,12.337,10.372,4822,1.177,2.88
220227832,14.938,12.246,3951,0.469,0.405
220227837,14.151,11.158,4215,0.609,0.54
220227848,17.524,,,,
220227856,11.574,10.573,6662,1.393,1.648
220227863,18.298,,,,
220227889,16.925,14.946,4977,0.63,0.595
220227901,14.604,11.497,3943,0.511,0.453
220227928,13.266,11.278,4929,0.825,0.747
220227938,12.536,10.999,5675,0.994,0.986
220227952,17.266,14.774,4198,0.56,0.492
220227968,14.05,11.907,4963,1.143,2.398
220227970,11.411,10.336,6445,1.214,1.433
220227978,15.478,12.494,4040,0.48,0.425
220227980,10.721,9.07,5384,0.878,0.837
220227984,15.048,11.977,3426,0.192,0.204
220227996,14.89,11.403,3422,0.198,0.216
220227998,15.879,12.627,3645,0.282,0.275
220228003,15.89,15.568,5759,0.816,0.943
220228013,12.874,10.648,4807,0.945,8.707
220228015,14.058,10.527,3685,0.249,0.245
220228016,11.927,9.261,4313,0.642,0.566
220228020,12.134,10.177,4975,0.944,2.377
220228026,13.166,11.712,5682,0.977,1.079
220228043,13.715,11.688,4961,0.869,0.803
220228046,17.692,14.931,3875,0.385,0.349
220228050,18.446,15.078,3714,0.284,0.264
220228059,12.662,10.534,4935,0.894,2.003
220228069,11.884,10.735,6151,1.034,1.211
220228084,14.055,12.302,5105,0.844,0.787
220228134,16.313,13.587,3835,0.396,0.355
220228135,17.881,15.219,3868,0.375,0.333
220228141,17.332,14.683,4113,0.523,0.455
220228151,13.476,11.793,5317,0.767,0.741
220228156,14.212,12.548,5318,0.883,0.838
220228163,15.864,12.33,3471,0.164,0.189
220228185,16.129,13.149,3642,0.289,0.284
220228190,17.245,,,,
220228191,15.711,12.792,3528,0.227,0.231
220228207,16.252,13.16,3533,0.223,0.235
220228215,17.576,15.512,4027,0.442,0.384
220228216,13.305,11.868,5939,1.061,1.302
220228220,11.514,10.007,5747,1.051,1.175
220228222,16.291,12.517,3616,0.261,0.265
220228229,13.523,11.858,5332,0.867,0.811
220228239,13.292,11.44,5208,0.822,0.779
220228245,17.557,15.186,3555,0.203,0.208
220228254,12.508,11.206,6391,1.277,1.444
220228258,13.705,12.396,5921,1.014,1.09
220228266,17.953,,,,
220228282,12.032,11.005,5732,0.975,0.985
220228300,17.622,,,,
220228301,17.492,,,,
220228307,12.906,11.197,5606,0.912,0.901
220228314,15.24,12.629,3470,0.198,0.216
220228338,12.722,10.63,4877,0.803,0.738
220228345,15.696,12.878,3703,0.309,0.285
220228371,13.871,10.994,3952,0.483,0.426
220228382,16.169,13.089,3614,0.284,0.282
220228386,16.412,13.805,4308,0.598,0.546
220228388,15.426,13.426,4964,0.714,0.67
220228405,16.135,13.628,,,
220228410,10.743,9.236,5351,0.9,3.751
220228426,13.333,11.851,5821,0.97,1.223
220228444,17.926,14.911,3778,0.311,0.3
220228491,16.065,13.059,3673,0.315,0.289
220228500,13.422,11.697,5246,0.799,0.751
220228515,18.952,15.512,3997,0.43,0.386
220228518,18.301,,,,
220228556,17.878,,,,
220228558,12.396,11.02,5961,1.046,1.153
220228599,18.177,15.285,3896,0.409,0.357
220228611,13.873,11.971,5092,0.737,0.692
220228633,11.392,10.131,6273,1.244,1.66
220228644,13.894,11.795,4819,0.919,6.643
220228651,16.874,15.258,,,
220228653,18.443,,,,
220228693,13.234,11.473,5384,0.884,0.825
220228708,13.368,12.2,6374,1.114,1.249
220228711,17.91,,,,
220228715,18.394,,,,
220228722,17.332,,,,
220228731,17.934,14.462,3711,0.306,0.3
220228736,11.145,9.953,6261,1.208,1.414
220228739,12.13,10.696,5884,0.985,1.083
220228750,18.033,,,,
220228753,16.437,13.34,3616,0.257,0.261
220228755,15.53,14.491,5894,0.844,0.965
220228767,18.575,,,,
220228768,10.233,8.628,5447,0.945,0.877
220228779,16.234,13.585,3834,0.389,0.356
220228782,15.303,13.254,4995,0.764,0.725
220228790,9.628,8.347,6391,1.336,1.7
220228811,13.431,12.01,5863,0.97,1.035
220228815,18.343,,,,
220228826,18.217,,,,
220228827,15.565,12.485,3886,0.443,0.398
220228834,11.758,10.008,5065,0.787,0.729
220228884,14.121,12.021,4916,0.793,0.724
220228890,18.043,14.723,3854,0.391,0.354
220228894,15.832,13.505,4331,0.525,0.467
220228903,10.551,9.542,6622,1.435,1.801
220228908,17.877,,,,
220228910,15.525,12.048,2563,0.088,0.109
220228911,18.337,15.228,3806,0.344,0.332
220228917,16.004,14.541,5999,0.853,1.042
220228923,17.217,14.614,4002,0.326,0.294
220228925,14.017,11.171,3951,0.496,0.433
220228934,16.51,14.186,,,
220228936,18.039,,,,
220228944,15.842,14.332,5434,0.923,1.872
220228948,15.852,12.455,3675,0.357,0.327
220228955,15.442,12.122,3887,0.451,0.391
220228959,18.622,,,,
220228961,14.72,13.581,5965,0.872,1.008
220228962,13.959,12.015,5186,0.883,0.816
220228977,13.534,11.836,5443,0.937,0.906
220228985,18.518,15.282,3720,0.309,0.288
220228986,18.392,15.482,3974,0.453,0.384
220228987,15.751,12.591,3822,0.424,0.382
220228993,15.397,13.632,,,
220229002,15.339,12.394,3991,0.513,0.453
220229028,18.037,,,,
220229050,13.962,10.934,3741,0.35,0.327
220229088,17.517,15.456,4094,0.46,0.412
220229100,17.136,15.178,4091,0.473,0.432
220229104,15.73,12.763,4119,0.54,0.48
220229119,11.255,9.1,4906,0.981,4.095
220229120,17.643,14.306,4011,0.446,0.394
220229128,12.785,11.377,5994,1.057,1.27
220229145,16.239,13.298,4029,0.477,0.426
220229153,13.776,12.205,5950,0.996,1.118
220229159,14.062,12.028,4948,0.824,0.755
220229167,15.71,12.726,4221,0.607,0.543
220229202,18.199,,,,
220229209,12.382,10.693,5182,0.899,5.05
220229272,18.537,15.365,3931,0.373,0.338
220229280,16.094,12.869,3901,0.452,0.403
220229308,11.302,9.949,5826,0.872,0.905
220229326,12.043,9.731,4609,1.034,8.857
