EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
220329691,00 40 27.377,+03 16 20.49,1,16.686,,,,00402737+0316204,7674-301-2-0101-0096,EXTENDED,gri,,3.000,2.000,2.000,2.000,,,,,,,19.554,0.058,17.652,0.007,16.701,0.005,16.272,0.004,15.896,0.009,15.545,0.107,15.009,0.110,14.423,0.090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABA-222-111-000-0-0,60.600,
220329703,01 05 58.273,+03 16 21.06,1,16.205,,,,01055827+0316210,7712-301-5-0439-0322,STAR,gri,rpm,4.000,2.000,-15.000,2.000,,,,,,,20.325,0.052,17.841,0.006,16.419,0.004,15.504,0.005,14.978,0.005,13.697,0.028,13.099,0.023,12.874,0.026,,,,,,,,,3538,99,35,5.063,0.020,0.070,-0.072,0.100,0.050,0.227,0.064,0.005,0.221,0.084,0.004,18.580,1.115,6.248,117.000,36.100,3.510,0.021,0.020,0.001,AAA-222-111-000-0-0,,
220329711,01 26 49.163,+03 16 21.36,1,10.220,,24-368-1,467-001895,01264915+0316214,,STAR,gri,rpm,0.300,1.500,3.200,1.500,,,10.516,0.046,10.064,0.042,,,10.333,0.040,10.182,0.010,10.111,0.050,,,9.384,0.026,9.184,0.024,9.142,0.025,,,,,,,,,6862,134,161,3.978,0.230,0.276,-0.036,0.080,0.100,2.056,0.996,0.577,1.580,0.310,0.221,0.151,0.212,0.098,339.300,154.700,91.210,0.031,0.020,0.010,AAA-222-111-000-0-0,,
220329734,00 42 19.457,+03 16 22.81,1,15.597,,,467-000991,00421945+0316227,,STAR,JHK,rpm,-2.900,6.100,-8.600,6.000,,,,,,,,,,,,,,,,,14.502,0.033,14.224,0.028,14.176,0.058,,,,,,,,,6041,185,222,4.315,0.125,0.225,-0.726,0.420,0.350,1.029,0.308,0.155,0.859,0.073,0.052,0.722,0.409,0.370,1553.000,496.100,278.900,0.033,0.029,0.012,AAA-222-111-000-0-0,,0932-0010028
220329740,01 08 34.003,+03 16 23.15,1,18.449,,,,,7712-301-5-0444-0004,STAR,gri,,2.000,3.000,-2.000,3.000,,,,,,,18.761,0.020,18.582,0.008,18.405,0.008,18.243,0.010,18.052,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220329764,00 51 17.296,+03 16 24.72,1,18.597,,,,,7712-301-5-0415-0013,STAR,gri,,104.000,3.000,8.000,3.000,,,,,,,18.949,0.022,18.520,0.008,18.623,0.009,18.762,0.013,18.962,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220329790,00 37 28.690,+03 16 26.55,1,12.435,,13-48-1,467-000885,00372870+0316266,,STAR,gri,rpm,0.700,2.000,-8.900,2.200,,,13.152,0.307,12.316,0.199,,,12.796,0.030,12.288,0.070,12.281,0.350,,,11.232,0.026,10.941,0.026,10.841,0.026,,,,,,,,,5958,144,180,4.138,0.273,0.195,-0.041,0.150,0.240,1.413,0.465,0.399,1.104,0.143,0.123,0.371,0.467,0.207,453.000,160.900,118.700,0.037,0.034,0.013,AAA-222-111-000-0-0,,
220329801,00 47 46.387,+03 16 27.54,1,12.939,,,467-001115,00474639+0316276,,STAR,gri,rpm,27.300,1.300,8.700,1.600,,,13.773,0.040,13.111,0.060,,,13.377,0.010,12.913,0.040,12.751,0.010,,,11.859,0.022,11.585,0.022,11.534,0.021,,,,,,,,,5960,122,122,4.356,0.090,0.126,-0.229,0.150,0.150,1.079,0.214,0.131,0.968,0.092,0.076,0.728,0.289,0.272,474.000,101.200,61.170,0.036,0.051,0.015,AAA-222-111-000-0-0,,
220329824,01 01 58.679,+03 16 28.79,1,10.041,,22-258-1,467-001395,01015868+0316287,,STAR,gri,rpm,14.500,1.400,1.500,1.400,,,10.482,0.040,10.079,0.038,,,10.243,0.060,9.974,0.060,9.803,0.040,,,9.096,0.037,8.901,0.023,8.836,0.021,,,,,,,,,6467,199,199,3.969,0.250,0.250,0.001,0.120,0.150,1.957,0.814,0.575,1.446,0.262,0.187,0.177,0.268,0.107,249.500,127.100,72.460,0.031,0.026,0.010,AAA-122-111-000-0-0,,
220329825,01 06 05.776,+03 16 28.81,1,8.070,5166,22-250-1,467-001500,,,STAR,gri,plx,35.920,0.490,-24.940,0.390,4.720,0.540,8.630,0.019,7.287,0.011,,,9.448,0.030,8.784,0.040,7.479,0.020,,,,,,,,,,,,,,,,,4323,85,51,2.113,0.144,0.144,0.042,0.120,0.100,16.539,3.018,1.427,1.334,0.258,0.215,2.903e-4,1.255e-4,1.105e-4,211.900,24.240,24.240,0.029,0.031,0.011,,,
220329848,01 06 23.997,+03 16 30.58,1,15.743,,,467-001510,01062400+0316306,,STAR,JHK,rpm,-19.000,3.100,-29.900,3.000,,,,,,,,,,,,,,,,,13.703,0.029,13.011,0.027,12.908,0.037,,,,,,,,,4189,201,168,4.760,0.072,0.060,-0.117,0.200,0.240,0.514,0.069,0.072,0.585,0.071,0.085,3.883,1.653,0.869,341.400,68.120,66.960,0.034,0.026,0.014,AAA-222-111-sss-0-0,,
220329879,00 51 12.195,+03 16 33.18,1,15.950,,,467-001183,00511221+0316335,7712-301-5-0415-0082,STAR,JHK,rpm,16.900,4.100,-4.700,3.600,,,,,,,,,,,,,,,,,13.957,0.029,13.401,0.034,13.176,0.034,,,,,,,,,3709,177,177,4.965,0.065,0.078,-0.069,0.200,0.200,0.309,0.072,0.069,0.335,0.087,0.087,10.560,4.703,3.772,198.700,61.790,53.820,0.028,0.020,0.010,AAA-222-111-000-0-0,,
220329898,00 42 20.026,+03 16 34.60,1,12.733,,,467-000992,00422002+0316344,,STAR,gri,rpm,7.700,2.600,1.300,2.200,,,13.511,0.080,12.900,0.030,,,13.135,0.010,12.734,0.050,12.560,0.060,,,11.722,0.024,11.432,0.022,11.390,0.021,,,,,,,,,6032,122,122,4.216,0.175,0.280,-0.193,0.160,0.200,1.285,0.512,0.274,1.055,0.135,0.096,0.461,0.398,0.291,547.000,215.400,115.500,0.035,0.022,0.011,AAA-222-111-000-0-0,,
220329900,00 58 53.709,+03 16 34.68,1,12.678,,,467-001335,00585369+0316346,,STAR,gri,rpm,6.300,2.300,-16.400,1.300,,,13.357,0.030,12.699,0.090,,,12.985,0.020,12.525,0.090,12.546,0.400,,,11.548,0.020,11.259,0.023,11.221,0.021,,,,,,,,,6002,143,143,4.204,0.165,0.231,-0.144,0.200,0.280,1.325,0.403,0.309,1.048,0.121,0.101,0.443,0.372,0.255,519.100,146.600,114.300,0.036,0.024,0.013,AAA-222-111-000-0-0,,
220329904,01 14 41.983,+03 16 35.02,1,16.410,,,,01144198+0316350,7717-301-6-0454-0150,EXTENDED,gri,,-1.000,2.000,0.000,2.000,,,,,,,19.345,0.073,17.387,0.006,16.433,0.004,15.991,0.004,15.656,0.009,15.398,0.089,14.749,0.094,14.340,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,33.300,
220329917,01 10 02.433,+03 16 36.24,1,15.507,,,467-001569,01100242+0316362,8061-301-5-0013-0137,STAR,gri,rpm,23.100,2.300,3.300,2.500,,,17.734,0.129,16.334,0.120,,,17.151,0.070,15.781,0.030,14.802,0.040,,,13.255,0.027,12.619,0.029,12.366,0.025,,,,,,,,,3701,150,129,4.962,0.036,0.066,-0.007,0.120,0.120,0.319,0.066,0.042,0.343,0.070,0.059,10.320,2.376,3.013,141.700,37.020,21.650,0.028,0.034,0.010,AAA-222-111-000-0-0,,
