EPIC,KepMag,Kmag,Teff,mass,Radius
integer,float,float,integer,float,float
220491740,12.89,10.624,4683,0.953,4.308
220491754,18.127,14.94,3501,0.153,0.169
220491757,9.186,6.246,4456,0.925,23.587
220491765,13.45,11.426,5022,0.911,2.453
220491821,12.311,10.64,5459,0.953,0.921
220491834,14.349,12.645,5314,0.84,0.804
220491850,15.757,14.177,5766,0.845,0.925
220491897,18.586,,,,
220491913,16.794,14.996,5370,0.806,2.464
220491938,12.219,10.679,5596,0.984,1.032
220491944,12.501,10.631,5107,0.911,2.149
220491949,11.749,9.597,4732,0.785,0.711
220492024,15.507,13.343,5008,0.815,0.772
220492031,13.322,11.616,5287,0.839,0.801
220492046,16.188,13.212,3576,0.256,0.251
220492049,13.656,11.863,5375,0.961,1.843
220492062,16.843,15.009,,,
220492097,16.791,14.897,,,
220492099,11.523,10.14,5981,1.121,1.26
220492139,16.28,14.093,,,
220492144,12.922,11.485,5844,1.04,1.094
220492147,12.683,10.741,5319,0.926,2.18
220492152,11.294,9.141,4869,1.14,5.101
220492184,8.043,7.225,7142,2.097,3.598
220492194,11.245,9.521,6025,1.128,1.368
220492214,18.689,,,,
220492253,19.474,,,,
220492278,13.895,12.33,5619,0.918,0.916
220492281,12.04,10.04,5012,0.809,0.748
220492292,16.462,13.187,3716,0.356,0.327
220492298,13.786,12.168,5495,0.925,0.894
220492342,11.665,9.844,5993,1.081,1.3
220492413,15.996,13.17,3596,0.272,0.273
220492431,11.838,10.578,6207,1.189,1.481
220492447,11.39,9.952,5943,0.799,0.879
220492471,16.004,14.015,,,
220492492,13.811,12.251,5637,0.955,0.932
220492494,15.249,11.88,3025,0.123,0.142
220492497,8.517,5.95,4954,0.954,10.449
220492518,15.926,14.163,5650,0.836,0.871
220492523,12.796,10.594,4639,0.707,0.655
220492539,13.614,12.123,5850,0.98,1.042
220492557,9.726,8.469,6321,1.239,1.459
220492631,18.19,,,,
220492640,16.394,12.92,3550,0.254,0.259
220492646,15.278,12.302,4081,0.53,0.49
220492671,12.15,10.72,5926,0.987,1.147
220492672,12.708,11.295,5746,0.94,1.044
220492708,18.805,,,,
220492734,12.761,11.305,5650,0.881,0.882
220492738,14.66,11.907,3985,0.459,0.407
220492746,14.077,12.213,5115,0.771,0.722
220492789,16.278,14.178,3775,0.29,0.26
220492811,15.256,12.126,3962,0.508,0.448
220492822,13.488,12.368,6405,1.239,1.519
220492849,13.319,11.907,5862,0.912,1.081
220492858,13.426,12.041,6038,1.049,1.274
220492864,13.936,11.997,5122,0.887,0.835
220492877,13.59,11.991,5703,0.967,0.976
220492878,15.781,12.845,3762,0.37,0.345
220492884,12.365,10.09,4500,0.709,0.634
220492887,17.139,15.376,5248,0.591,0.528
220492918,14.759,11.017,3556,0.268,0.266
220492943,15.467,12.204,3988,0.532,0.475
220492951,15.137,11.718,3385,0.17,0.188
220492966,15.744,14.399,5834,0.841,0.941
220492975,15.196,11.737,3934,0.479,0.423
220493003,15.703,14.439,5627,0.794,0.831
220493038,13.665,12.359,5941,1.029,1.169
220493040,15.522,12.43,4031,0.515,0.456
220493068,14.793,13.13,5458,0.717,0.683
220493092,14.596,12.219,4666,0.704,0.655
220493146,12.95,11.288,5512,0.967,0.938
220493147,12.166,10.562,5583,0.987,0.959
220493153,11.357,9.175,4821,1.145,7.535
220493159,14.149,11.511,4198,0.548,0.488
220493170,15.617,13.888,5892,0.854,0.946
220493178,16.855,15.27,,,
220493182,15.146,12.293,3770,0.369,0.338
220493201,16.696,15.123,5947,0.812,0.888
220493203,9.946,7.995,4965,0.997,10.103
220493217,16.734,15.142,5364,0.777,0.773
220493240,13.691,12.408,6190,1.038,1.308
220493267,15.92,13.518,4545,0.656,0.605
220493286,11.008,9.754,6392,1.284,1.499
220493343,14.443,12.49,5205,0.826,0.787
220493367,12.664,11.354,6144,1.147,1.33
220493389,14.933,11.735,3628,0.26,0.258
220493390,15.09,11.935,3830,0.388,0.356
220493460,13.745,12.129,5453,0.919,0.926
220493466,13.282,11.287,5017,0.77,0.719
220493503,14.497,13.216,5847,0.762,0.791
220493531,13.318,11.952,5998,1.022,1.157
220493550,12.057,9.943,5050,0.879,0.801
220493574,14.978,12.466,4422,0.655,0.595
220493583,17.626,,,,
220493591,15.193,11.937,3609,0.271,0.269
220493603,13.429,12.043,5939,1.065,1.213
220493606,16.245,12.918,3593,0.25,0.25
220493619,18.78,,,,
220493630,8.612,6.615,6001,1.44,2.589
220493631,13.214,11.779,5796,0.974,1.021
220493651,17.61,14.895,4095,0.283,0.265
220493660,14.545,12.761,5141,0.823,0.763
220493677,12.88,11.506,5973,0.991,1.181
220493685,14.74,13.007,5406,0.781,0.763
220493692,12.111,10.77,6104,1.153,1.39
220493697,13.453,11.291,4865,0.975,4.445
220493704,9.624,7.875,6887,1.501,1.67
220493736,14.443,,,,
220493743,16.781,14.707,,,
220493757,16.94,15.074,5189,0.763,0.73
220493794,16.3,14.716,5623,0.755,0.772
220493804,13.677,11.414,4816,0.772,0.701
220494015,14.411,12.086,4767,0.779,0.71
220494020,12.76,11.145,5649,1.021,0.994
220494028,16.121,14.705,5730,0.815,0.876
220494045,14.109,12.289,5256,0.828,0.783
220494062,16.746,14.835,5472,0.799,0.838
220494085,12.597,,,,
220494151,14.008,11.496,4509,0.684,0.622
220494191,13.271,11.881,5897,1.034,1.19
220494192,13.866,11.669,4786,0.762,0.707
220494222,15.294,13.517,5325,0.821,0.796
220494229,17.533,,,,
220494233,15.31,13.217,4626,0.64,0.599
220494253,13.438,11.579,5320,0.898,0.833
220494267,12.216,11.069,6135,1.134,1.338
220494277,14.194,11.982,4803,0.782,0.714
220494283,17.487,15.018,,,
220494284,13.829,12.493,6192,0.741,0.798
220494336,12.427,9.919,4558,1.195,9.829
220494359,11.923,9.79,4892,1.183,2.966
220494365,12.895,11.734,6557,1.198,1.45
220494370,16.908,15.084,5515,0.693,0.662
220494376,18.551,14.887,3322,0.166,0.188
220494381,10.629,9.282,6044,1.195,1.565
220494386,16.337,,,,
220494400,17.495,14.657,,,
220494411,17.554,15.039,,,
220494422,13.51,12.032,5705,0.993,0.988
220494436,13.416,11.084,4489,0.712,0.649
220494465,14.63,13.134,5691,0.852,0.868
220494473,15.386,12.45,3796,0.372,0.338
220494478,12.832,11.488,5821,0.97,1.023
220494500,10.597,8.345,4742,1.175,5.452
220494514,12.124,10.765,6010,1.048,1.223
220494537,16.473,12.409,3426,0.199,0.213
220494541,12.664,11.165,5762,1.043,1.067
220494551,17.05,14.472,,,
220494576,19.245,,,,
220494584,15.945,13.189,4282,0.616,0.544
220494639,15.691,14.376,6190,0.854,1.158
220494674,17.206,,,,
220494707,12.873,10.455,4468,0.728,0.656
220494756,11.096,8.908,4738,1.164,10.244
220494814,11.614,10.251,5760,1.045,1.06
220494815,16.221,13.529,3878,0.4,0.36
220494859,13.969,12.132,5319,0.912,0.864
220494860,13.057,11.623,5785,0.977,1
220494880,12.609,11.002,5547,0.913,1.157
220494888,15.601,14.2,5932,0.846,0.977
220494913,13.455,12.052,5904,1.007,1.087
220494918,14.292,12.255,4881,0.829,0.762
220494963,16.262,14.499,5405,0.712,0.695
220494994,17.637,,,,
220495054,14.37,12.362,5114,0.836,0.772
220495072,14.857,12.805,4838,0.77,0.711
220495075,12.904,11.18,5362,0.902,1.386
220495076,12.653,11.227,5942,1.124,1.331
220495083,16.131,13.401,3652,0.262,0.255
220495088,13.747,11.561,4894,0.679,0.647
220495110,14.621,12.488,4825,0.758,0.709
220495126,15.933,14.545,5413,0.78,0.765
220495139,15.416,13.252,4514,0.641,0.592
220495168,13.634,11.898,5539,0.908,0.89
220495236,9.681,8.585,6431,1.332,1.695
220495280,15.709,12.742,3977,0.501,0.436
220495285,15.943,13.353,4355,0.593,0.539
220495288,13.648,12.111,5631,0.95,0.931
220495298,19.523,,,,
220495329,11.616,10.267,5943,1.125,1.344
220495330,12.591,11.025,5692,1.018,0.979
220495345,15.611,12.824,3927,0.442,0.395
220495349,10.424,9.042,5748,1.011,1.028
220495362,12.292,10.233,4919,1.061,4.778
220495379,12.501,11.369,6392,1.135,1.307
220495393,14.891,13.458,6126,0.901,1.165
220495426,12.291,10.576,5401,0.918,0.872
220495440,16.31,13.085,3833,0.411,0.374
220495445,13.785,11.701,4853,0.797,0.73
220495446,17.643,,,,
220495451,13.313,11.122,5071,0.9,2.754
220495485,15.711,13.764,5117,0.769,0.731
220495505,14.309,12.003,4384,0.669,0.593
220495546,12.819,11.829,6595,1.328,1.603
220495553,9.129,8.3,6177,1.467,2.217
220495564,15.413,12.494,4042,0.514,0.451
220495578,15.637,14.287,5430,0.64,0.604
220495589,9.383,7.399,5098,0.813,11.546
220495608,13.681,11.99,5355,0.713,0.695
220495638,15.966,13.698,4844,0.731,0.683
220495746,15.656,13.793,5117,0.731,0.689
220495789,14.178,12.06,4850,0.782,0.717
220495812,16.879,15.257,5609,0.763,0.779
220495816,13.277,11.492,5295,0.919,0.858
220495817,17.267,,,,
220495860,12.76,11.478,6032,1.064,1.22
220495866,16.606,15,5240,0.78,0.753
220495878,18.808,,,,
220495897,14.366,13.465,4705,0.611,0.575
220495912,12.236,10.101,4802,0.711,0.659
220495919,16.802,14.568,3723,0.279,0.267
220495935,13.639,12.247,5864,0.995,1.068
220495950,15.919,12.603,3758,0.392,0.354
220496021,15.825,13.85,4926,0.706,0.664
220496036,14.839,11.647,3553,0.248,0.251
220496039,15.734,13.795,5134,0.798,0.756
220496041,12.358,10.97,6003,1.034,1.176
220496046,15.693,13.577,4621,0.662,0.608
220496047,10.443,8.73,5335,0.942,0.888
220496096,17.822,,,,
220496124,13.089,11.478,5425,0.943,0.887
220496158,13.356,11.809,5751,1.025,1.107
220496179,15.495,12.285,3888,0.423,0.383
220496210,15.266,13.045,4820,0.716,0.672
220496220,11.586,9.731,5240,0.847,0.803
220496265,11.048,9.593,6027,1.084,1.281
220496278,12.701,11.479,5916,1.027,1.271
220496350,15.543,13.718,5511,0.844,0.842
220496373,17.777,15.481,4406,0.416,0.369
220496418,13.209,11.354,5054,0.811,0.759
220496459,18.122,14.901,3529,0.234,0.243
220496478,17.937,15.004,3788,0.26,0.258
220496493,15.901,12.96,4212,0.583,0.52
220496503,15.708,13.927,5359,0.794,0.769
220496509,13.904,11.705,4795,0.897,2.263
220496514,10.971,9.713,6066,1.132,1.345
220496575,15.616,12.545,3743,0.354,0.331
220496641,14.247,11.609,4427,0.672,0.614
220496646,18.361,15.052,3577,0.207,0.218
220496651,15.968,13.74,4392,0.597,0.54
220496656,15.544,13.347,4839,0.711,0.662
220496668,12.383,10.857,5793,1.041,1.271
220496705,15.628,13.651,5083,0.751,0.711
220496747,15.52,13.914,5509,0.843,0.838
220496748,15.21,14.742,5127,0.699,0.672
220496751,14.678,11.391,3743,0.397,0.356
220496759,14.205,12.141,4928,0.736,0.696
220496762,13.537,12.055,5860,0.931,1.038
220496806,13.449,12.024,5966,1.092,1.268
220496834,18.848,,,,
220496837,15.828,14.013,5511,0.765,0.762
220496843,15.449,11.948,3669,0.356,0.328
220496855,13.576,11.567,5010,0.964,2.753
220496865,17.38,14.63,4252,0.407,0.362
220496906,12.651,11.091,5800,1.065,1.077
220496917,12.527,11.07,5720,0.991,0.989
220496926,15.557,12.41,3859,0.418,0.375
220496949,14.171,12.601,5759,0.941,0.975
220497006,13.479,11.412,,,
220497104,17.386,15.462,,,
220497123,18.679,,,,
220497150,11.958,10.51,5850,0.867,0.948
220497175,15.052,13.607,5804,0.818,0.878
220497186,16.4,12.961,3990,0.401,0.358
220497187,11.269,8.91,4620,1.209,10
220497189,13.175,11.075,4993,1.023,3.017
220497191,17.944,,,,
220497196,16.08,12.329,3731,0.356,0.323
220497234,10.549,9.463,6492,1.276,1.459
220497238,16.885,13.561,3526,0.219,0.228
220497277,15.6,12.607,4181,0.544,0.491
220497299,17.958,,,,
220497331,13.97,11.984,5056,0.824,0.759
220497414,12.929,11.609,5748,0.93,0.96
220497432,14.481,12.685,3916,0.289,0.278
220497459,19.139,,,,
220497463,17.163,15.151,,,
220497509,14.481,12.453,3959,0.439,0.392
220497524,12.512,11.13,5909,1.016,1.16
220497540,14.636,,,,
220497567,17.333,,,,
220497573,13.293,11.728,5688,0.995,1.082
220497591,16.816,,,,
220497592,15.736,13.179,4221,0.53,0.472
220497611,15.56,13.951,5807,0.869,0.954
220497625,15.704,12.616,3748,0.325,0.306
220497665,14.601,11.828,4003,0.515,0.456
220497670,11.468,9.451,4858,1.007,8.333
220497683,15.859,13.766,,,
220497709,14.221,11.25,3552,0.223,0.24
220497711,13.023,11.39,5520,0.943,0.892
220497725,16.452,12.817,3564,0.238,0.239
220497810,14.118,12.156,5106,0.849,0.784
220497824,15.106,12.371,4256,0.59,0.518
220497835,17.743,,,,
220497845,17.274,,,,
220497853,15.752,12.664,3941,0.475,0.419
220497873,18.542,,,,
220497876,13.109,11.575,5715,0.999,1.033
220497893,15.705,14.167,5756,0.791,0.814
220497902,15.644,13.795,5239,0.687,0.662
220497903,18.908,,,,
220497928,18.801,15.122,3401,0.144,0.161
220497934,13.134,10.832,4767,0.983,5.54
220497940,14.762,11.826,3513,0.22,0.222
220497960,14.565,12.785,5255,0.864,0.811
220497967,15.544,14.288,5888,0.844,0.952
220497975,17.594,14.619,,,
220497992,10.68,8.857,4971,1.054,3.646
220497996,15.48,12.487,3984,0.508,0.449
220498008,16.524,14.838,5132,0.785,0.746
220498016,13.914,11.699,4847,0.761,0.708
220498020,14.259,12.399,5070,0.799,0.748
220498026,16.082,13.199,4178,0.571,0.515
220498032,14.207,12.261,5025,0.799,0.742
220498033,13.681,11.483,4785,0.834,0.796
220498117,13.56,12.037,5722,0.961,0.942
220498132,12.238,10.672,5630,0.95,0.928
220498177,15.999,12.724,4126,0.551,0.489
220498178,11.798,9.743,4850,0.935,5.989
220498181,10.222,8.931,,,
220498196,14.993,13.012,5203,0.836,0.803
220498239,11.509,9.601,4967,0.849,0.773
220498267,15.358,12.326,3930,0.451,0.398
220498268,15.624,13.034,4160,0.528,0.457
220498294,16.571,14.803,5179,0.788,0.748
220498341,10.915,9.742,6261,1.265,1.621
220498352,15.79,13.833,,,
220498366,14.1,12.49,5513,0.904,0.876
220498374,16.455,13.436,3681,0.295,0.276
220498442,13.483,11.18,4743,0.751,0.682
220498466,16.402,14.738,5487,0.802,0.793
220498474,14.86,11.2,3334,0.171,0.189
220498495,18.877,,,,
220498541,16.601,15.01,5394,0.805,0.913
220498563,13.994,12.083,5099,0.817,0.75
220498576,14.055,11.036,3616,0.256,0.264
220498586,13.565,12.003,5685,0.885,0.896
220498588,17.356,15.292,,,
220498605,16.566,14.935,5538,0.799,0.86
220498607,17,15.003,5151,0.797,1.856
220498733,16.863,14.806,,,
220498750,16.658,14.765,5423,0.707,0.686
220498771,17.452,15.146,4443,0.637,0.573
220498795,16.356,13.591,,,
220498857,15.926,13.003,4170,0.575,0.516
220498866,15.931,14.213,5786,0.858,0.924
220498880,11.508,9.896,5455,0.901,0.854
220498888,10.872,8.239,4585,1.189,8.715
220498928,16.212,12.769,3474,0.156,0.172
220498946,13.133,10.902,4683,0.83,17.44
220498958,15.925,13.356,4446,0.637,0.587
220498966,17.003,15.636,,,
220498991,14.848,13.574,6069,0.916,1.126
220498994,14.724,11.756,3968,0.497,0.44
220499019,13.729,11.001,4027,0.534,0.464
220499026,14.455,11.357,3871,0.264,0.263
220499096,15.5,13.359,5178,0.811,0.772
220499106,14.669,11.588,3811,0.413,0.373
220499108,13.877,11.807,4945,0.809,0.743
220499147,13.421,11.539,5007,0.957,2.5
220499203,15.593,13.183,4587,0.605,0.577
220499238,15.643,14.135,5949,0.864,0.995
220499249,13.366,11.938,5703,0.955,0.973
220499263,18.248,,,,
220499267,13.341,11.863,5728,0.96,1.001
220499288,14.069,12.006,4943,0.874,2.085
220499338,8.941,7.03,5593,0.872,8.222
220499344,14.049,12.062,4923,0.812,0.746
220499353,14.978,13.576,5733,0.855,0.891
220499376,11.867,10.419,5933,1.144,1.325
220499391,13.322,11.76,5692,0.926,0.963
220499399,11.713,9.356,4566,0.739,0.667
220499400,14.582,12.308,4594,0.696,0.647
220499431,17.634,,,,
220499435,16.696,14.954,5401,0.715,0.701
220499436,15.925,12.936,4095,0.507,0.453
220499476,13.031,11.372,5603,1.009,0.965
220499481,16.471,13.579,3798,0.383,0.354
220499486,13.763,11.524,4669,0.779,0.707
220499508,11.871,9.437,4548,1.28,10.272
220499510,13.559,12.151,5604,0.952,0.948
220499526,16.457,13.236,3596,0.265,0.255
220499543,12.677,10.724,4915,0.827,0.751
