EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
213571052,18 52 05.142,-28 57 58.81,1,11.679,,6872-1161-1,306-260383,18520512-2857587,STAR,gri,rpm,52,4.3,36.4,4.1,,,12.442,0.259,11.785,0.201,12.417,0.01,11.696,0.03,11.363,0.04,10.347,0.023,9.872,0.025,9.795,0.023,5103,102,61,4.551,0.055,0.979,-0.293,0.3,0.25,0.815,1.743,0.095,0.86,0.095,0.095,1.608,0.44,1.553,164.4,312.8,35.84,0.061,0.046,0.029,AAA-222-111-000-0-0,,
213571124,19 23 31.897,-28 57 57.82,1,14.146,,,306-270995,19233189-2857577,STAR,JHK,rpm,-1.5,2.2,-5.3,2.7,,,,,,,,,,,,,11.967,0.021,11.274,0.025,11.131,0.021,4463,108,108,1.875,0.588,0.42,-0.474,0.63,0.54,17.723,10.108,7.411,0.973,0.31,0.077,1.43E-04,6.52E-04,1.09E-04,5009,3412,2029,0.312,0.107,0.171,AAA-222-111-000-0-0,,
213571816,19 16 03.794,-28 57 49.44,1,14.017,,,306-269229,19160378-2857493,STAR,gri,rpm,24.8,1.3,-27.4,1.3,,,15.737,0.06,14.53,0.04,15.109,0.041,13.994,0.046,13.549,0.067,12.137,0.025,11.521,0.026,11.383,0.025,4359,156,104,4.699,0.048,0.04,0,0.2,0.2,0.599,0.05,0.055,0.662,0.056,0.056,3.037,0.648,0.452,199.9,30.25,22.15,0.058,0.022,0.011,AAA-222-111-000-0-0,,
213572065,19 18 27.429,-28 57 46.49,1,13.16,,,306-269808,19182743-2857464,STAR,gri,rpm,0.5,5.1,2,5.1,,,14.912,0.03,13.562,0.033,14.256,0.035,13.117,0.042,12.691,0.062,11.213,0.021,10.521,0.023,10.373,0.021,4458,107,107,1.73,0.704,0.44,-0.604,0.63,0.45,20.042,12.839,8.977,0.955,0.321,0.064,9.19E-05,6.67E-04,7.15E-05,3941,2926,1679,0.258,0.11,0.132,AAA-222-111-000-0-0,,0610-0973564
213572181,18 49 15.007,-28 57 45.09,1,17.905,,,,18491500-2857450,STAR,JHK,col,,,,,,,,,,,,,,,,,16.075,0.08,15.467,0.112,15.344,0.157,4824,694,694,4.597,0.224,1.008,0.146,0.18,0.72,0.755,1.846,0.25,0.823,0.168,0.252,1.914,2.917,1.828,1739,4286,922.4,0.425,0.071,0.283,ABC-222-111-000-0-0,,
213572310,19 23 32.922,-28 57 43.60,1,13.972,,,306-271001,19233292-2857435,STAR,JHK,rpm,2.4,3.2,-1.7,1.9,,,,,,,,,,,,,12.625,0.022,12.169,0.023,12.105,0.023,5230,157,126,2.455,0.741,0.065,-0.905,0.35,0.25,9.183,0.771,5.015,0.898,0.027,0.022,0.001,0.008,2.26E-04,4431,316.9,2018,0.146,0.12,0.046,AAA-222-111-000-0-0,,
213572657,19 22 23.438,-28 57 39.48,1,9.988,,6887-698-1,306-270728,19222345-2857396,STAR,gri,rpm,-8.5,2,0.6,2.1,,,11.382,0.111,10.124,0.054,10.77,0.03,9.944,0.04,9.652,0.02,8.334,0.024,7.838,0.047,7.715,0.02,4931,79,99,2.483,0.357,0.105,-0.243,0.25,0.4,10.482,1.653,1.204,1.349,1.086,0.418,9.56E-04,0.002,1.46E-04,678.8,155.5,57.44,0.124,0.052,0.037,AAA-111-111-000-0-0,,
213572829,19 05 21.672,-28 57 37.45,1,9.409,,6885-121-1,306-265961,19052167-2857374,STAR,BV,rpm,-0.8,2.5,-16.1,2.2,,,10.77,0.058,9.62,0.029,,,,,,,7.564,0.026,7.015,0.034,6.885,0.027,4740,115,144,2.477,0.3,0.1,-0.054,0.16,0.2,10.948,1.145,1.825,1.456,0.551,0.367,9.83E-04,0.001,2.16E-04,487.8,54,63.72,0.106,0.065,0.027,AAA-111-111-000-0-0,,
213572918,19 05 21.812,-28 57 36.64,1,11.209,,6885-121-2,306-265962,,STAR,BV,,-0.8,2.5,-16.1,2.2,,,11.869,0.129,11.303,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213572971,18 49 39.719,-28 57 36.01,1,15.826,,,306-259289,18493971-2857360,STAR,gri,rpm,-5.8,3,-7.2,3,,,16.517,0.5,15.791,0.29,15.979,0.34,15.774,0.22,15.811,0.42,14.766,0.033,14.559,0.062,14.405,0.086,6087,253,211,4.219,0.135,0.162,-0.299,0.4,0.72,1.262,0.334,0.224,0.977,0.203,0.145,0.467,0.308,0.213,2116,505.4,408,0.156,0.151,0.054,AAA-222-111-000-0-0,,
