EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
210475270,04 21 21.081,+14 59 16.08,1,12.587,,,525-008127,04212106+1459159,,STAR,gri,rpm,-4.4,2,-0.5,2.2,,,13.824,0.02,12.894,0.02,,,13.353,0.01,12.59,0.01,12.258,0.04,,,11.02,0.022,10.693,0.022,10.574,0.018,6118,110,221,3.87,0.304,0.152,-0.038,0.1,0.12,2.105,0.632,0.792,1.366,0.196,0.235,0.12,0.288,0.059,601.7,174.2,239.8,0.602,0.06,0.144
210475279,03 48 47.443,+14 59 16.66,1,11.768,,664-218-1,525-006892,03484743+1459167,,STAR,gri,rpm,9,3.1,-43,3.2,,,13.116,0.449,11.53,0.163,,,12.503,0.05,11.707,0.09,11.453,0.08,,,10.303,0.022,9.889,0.022,9.775,0.018,5473,232,132,4.503,0.05,0.07,-0.023,0.2,0.24,0.899,0.111,0.083,0.936,0.099,0.082,1.296,0.298,0.285,173,31.58,23.16,0.257,0.083,0.083
210475442,04 17 25.902,+14 59 26.96,1,14.005,,,525-007979,04172589+1459270,6003-301-1-0132-0013,STAR,gri,rpm,10.7,4.2,-36.3,3.2,,,15.551,0.01,14.432,0.01,,,15.003,0.02,13.999,0.04,13.578,0.04,,,12.197,0.022,11.728,0.023,11.59,0.02,5402,168,235,4.523,0.055,0.715,-0.218,0.09,0.42,0.842,1.074,0.093,0.886,0.079,0.099,1.401,0.446,1.279,348.1,434.8,49.08,0.539,0.135,0.075
210475555,03 45 57.617,+14 59 33.63,1,11.785,,,525-006785,03455762+1459334,,STAR,gri,rpm,6.4,1.4,0.3,2.5,,,13.484,0.03,12.132,0.12,,,12.862,0.04,11.685,0.13,11.323,0.1,,,9.855,0.022,9.319,0.021,9.134,0.017,4873,156,125,2.556,0.384,0.192,-0.2,0.2,0.32,10.071,1.208,3.423,1.342,0.684,0.373,0.001,0.003,4.37E-04,1235,134.8,348.5,0.407,0.132,0.185
210475582,03 54 39.276,+14 59 35.20,1,12.952,,,525-007091,03543927+1459352,,STAR,gri,rpm,-2.7,1.8,-4.7,1.2,,,14.769,0.05,13.372,0.12,,,14.12,0.03,12.917,0.09,12.452,0.07,,,10.865,0.021,10.218,0.022,10.066,0.018,4746,114,142,2.458,0.42,0.1,-0.279,0.24,0.28,10.33,1.433,3.913,1.164,0.156,0.156,9.98E-04,0.003,2.58E-04,1853,286.4,677.5,0.496,0.102,0.122
210475682,04 16 02.945,+14 59 40.26,1,16.511,,,,04160294+1459402,6485-301-1-0141-0192,STAR,gri,rpm,21,3,-13,3,,,,,,,21.299,0.107,18.645,0.008,17.131,0.005,15.596,0.004,14.77,0.005,13.279,0.024,12.661,0.026,12.416,0.022,3671,66,132,4.959,0.072,0.04,-0.001,0.21,0.15,0.325,0.028,0.072,0.351,0.042,0.097,10.3,5.145,1.732,140.5,13.91,36.64,0.23,0.057,0.082
210475773,04 14 43.869,+14 59 46.38,1,12.694,,,525-007870,04144387+1459463,,STAR,gri,rpm,-1.4,1.5,-5.7,3.8,,,13.943,0.08,13.006,0.1,,,13.479,0.09,12.697,0.12,12.357,0.08,,,11.056,0.022,10.746,0.02,10.61,0.019,6314,255,255,3.987,0.204,0.17,-0.03,0.12,0.18,1.888,0.59,0.525,1.36,0.219,0.219,0.186,0.212,0.087,555.3,175,155.6,0.5,0.086,0.158
210475820,03 57 58.860,+14 59 49.59,1,14.693,,,525-007240,03575886+1459497,,STAR,gri,col,,,,,,,15.74,0.06,14.868,0.11,,,15.337,0.05,14.611,0.14,14.417,0.11,,,13.226,0.024,12.856,0.024,12.738,0.029,5964,251,251,4.317,0.156,0.26,-0.196,0.2,0.32,1.106,0.461,0.195,0.992,0.149,0.124,0.656,0.42,0.412,834,358.2,166.9,0.427,0.133,0.186
210475863,04 13 31.651,+14 59 51.98,1,11.88,,,525-007821,04133165+1459517,,STAR,gri,rpm,1.5,1.3,-18.7,1.9,,,13.046,0.03,12.184,0.05,,,12.581,0.03,11.896,0.03,11.579,0.08,,,10.406,0.02,10.089,0.02,9.954,0.018,6181,152,190,4.083,0.21,0.21,-0.05,0.15,0.12,1.553,0.528,0.336,1.225,0.201,0.1,0.299,0.326,0.176,340,114.4,85.63,0.466,0.067,0.077
210475866,03 58 25.510,+14 59 52.46,1,19.442,,,,,6475-301-3-0136-0263,STAR,gri,,-2,3,4,3,,,,,,,21.661,0.13,20.112,0.017,19.473,0.015,19.155,0.015,18.961,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
