210792668,03 59 31.068,+19 45 29.12,1,14.829,,,549-008237,03593105+1945290,,STAR,JHK,rpm,18.4,4.4,-4.2,4.9,,,,,,,,,,,,,,,,,12.627,0.024,12.072,0.027,11.784,0.023,3565,49,35,5,0.075,0.02,0.088,0.06,0.12,0.284,0.006,0.009,0.29,0.006,0.009,12.75,0.818,0.765,86.81,2.604,2.604,0.15,0.01,0.026
210792705,04 03 53.189,+19 45 30.79,1,12.443,,,549-008487,04035318+1945308,,STAR,gri,rpm,6.8,1.4,0.3,1.3,,,14.077,0.02,12.993,0.18,,,13.406,0.01,12.333,0.01,12.031,0.03,,,10.179,0.02,9.49,0.022,9.315,0.018,4587,73,54,2.449,0.15,0.15,-0.218,0.2,0.16,10.313,2.305,1.596,1.119,0.196,0.123,9.36E-04,6.18E-04,3.72E-04,1415,227.8,196.2,0.23,0.078,0.094
210792731,03 58 20.519,+19 45 32.12,1,15.814,,,,03582051+1945321,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,13.726,0.026,13.222,0.028,12.917,0.026,3365,156,250,5.097,0.065,0.065,-0.003,0.15,0.15,0.192,0.052,0.035,0.173,0.06,0.045,23.51,9.699,7.978,93.92,28.47,25.57,0.096,0.064,0.046
210792787,04 03 58.739,+19 45 35.51,1,11.831,,,549-008495,04035872+1945354,,STAR,gri,rpm,24.8,1,2.3,1.1,,,13.263,0.042,12.259,0.03,,,12.699,0.031,11.82,0.04,11.459,0.06,,,9.914,0.024,9.342,0.027,9.224,0.017,4956,145,116,3.042,0.405,0.567,-0.561,0.35,0.42,4.725,3.965,1.922,0.951,0.189,0.076,0.008,0.031,0.007,656.2,516.1,257.2,0.262,0.125,0.089
210792798,03 39 26.758,+19 45 36.05,1,16.196,,,,03392675+1945360,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,13.925,0.026,13.294,0.03,13.061,0.027,3731,221,184,4.959,0.07,0.098,-0.086,0.15,0.27,0.312,0.098,0.075,0.341,0.104,0.104,9.797,5.031,3.324,187.1,62.97,55,0.212,0.121,0.101
210793045,03 59 15.891,+19 45 48.98,1,14.092,,,549-008224,03591588+1945490,,STAR,gri,rpm,0.8,4.4,-15.1,5,,,16.61,0.084,15.264,0.04,,,15.94,0.05,14.668,0.051,13.3,0.065,,,10.993,0.024,10.301,0.025,10.081,0.019,4667,168,112,2.532,0.544,0.34,-0.309,0.36,0.36,8.561,3.448,3.906,1.021,0.262,0.119,0.001,0.007,9.24E-04,1626,620.5,727,0.637,0.088,0.146
210793057,03 49 24.673,+19 45 49.71,1,12.447,,,549-007751,03492467+1945497,,STAR,gri,rpm,22,2.2,-7.8,2.7,,,13.537,0.043,12.735,0.031,,,13.098,0.031,12.47,0.041,12.169,0.061,,,11,0.021,10.657,0.022,10.555,0.018,6022,242,193,4.266,0.16,0.224,-0.101,0.15,0.24,1.265,0.43,0.274,1.104,0.136,0.136,0.478,0.412,0.251,360.8,109.4,98.2,0.368,0.089,0.107
210793060,03 29 54.639,+19 45 49.90,1,18.015,,,,03295463+1945498,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.479,0.114,15.709,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,
210793074,03 37 10.250,+19 45 50.63,1,12.851,,,549-007155,03371024+1945505,,STAR,gri,rpm,5.5,2.3,-26.2,3,,,13.933,0.044,13.124,0.01,,,13.502,0.032,12.839,0.041,12.572,0.062,,,11.43,0.02,11.09,0.026,10.948,0.019,6021,146,183,4.331,0.105,0.189,-0.125,0.16,0.32,1.147,0.355,0.159,1.047,0.096,0.096,0.679,0.314,0.361,387.6,115.9,58.46,0.391,0.074,0.104
210793163,03 28 00.668,+19 45 56.34,1,12.08,,,549-006747,03280066+1945564,,STAR,gri,rpm,-14.7,1.6,21.2,1.5,,,12.902,0.01,12.302,0.03,,,12.559,0.03,12.107,0.01,11.875,0.06,,,11.007,0.021,10.739,0.021,10.642,0.019,6301,249,166,4.237,0.09,0.105,-0.131,0.12,0.33,1.337,0.219,0.217,1.141,0.152,0.182,0.467,0.17,0.145,404.3,70.72,71.11,0.216,0.106,0.076
210793197,03 45 16.460,+19 45 57.95,1,11.629,,1256-48-1,549-007529,03451646+1945579,,STAR,gri,rpm,25.4,1.7,-10.2,2.1,,,12.553,0.356,11.529,0.176,,,12.097,0.02,11.611,0.03,11.429,0.06,,,10.443,0.023,10.094,0.024,10.005,0.018,6025,164,140,4.314,0.15,0.25,-0.223,0.2,0.56,1.148,0.386,0.215,1.039,0.121,0.145,0.57,0.407,0.316,268.1,80.47,61.89,0.18,0.083,0.059
210793202,04 25 32.391,+19 45 58.17,1,9.309,,1273-245-1,549-009553,04253238+1945582,,STAR,BV,rpm,70.2,1,81.3,1,,,10.126,0.036,9.446,0.026,,,,,,,,,,,8.128,0.018,7.81,0.023,7.702,0.021,5945,177,177,4.266,0.19,0.228,-0.122,0.2,0.28,1.195,0.398,0.254,1.041,0.095,0.111,0.528,0.478,0.284,101,23.83,25.92,0.146,0.085,0.073
210793203,03 42 40.588,+19 45 58.24,1,12.29,,,549-007417,03424058+1945583,,STAR,gri,rpm,1.1,2.2,4.6,2.9,,,14.069,0.02,12.75,0.15,,,13.335,0.02,12.304,0.15,11.842,0.13,,,10.193,0.02,9.608,0.021,9.44,0.018,4832,130,130,2.477,0.396,0.108,-0.258,0.2,0.28,10.608,0.822,3.303,1.181,0.487,0.203,9.82E-04,0.002,2.16E-04,1459,144.4,400.5,0.4,0.137,0.164
210793246,03 31 33.148,+19 46 00.39,1,15.364,,,549-006910,03313313+1946007,,STAR,BV,col,,,,,,,16.347,0.05,15.547,0.054,,,15.772,0.048,,,,,,,13.675,0.025,13.236,0.026,13.145,0.032,5587,333,278,4.481,0.075,0.36,-0.266,0.24,0.36,0.883,0.491,0.114,0.903,0.116,0.097,1.214,0.424,0.869,796.9,540.9,126.4,0.364,0.181,0.181
210793268,04 03 43.476,+19 46 01.83,1,10.936,,1258-899-1,549-008479,04034347+1946019,,STAR,gri,rpm,-3.7,1.7,-13.5,1.8,,,11.71,0.14,10.894,0.101,,,11.747,0.03,10.936,0.04,10.589,0.06,,,9.233,0.021,8.657,0.024,8.542,0.02,4912,136,78,2.415,0.533,0.246,-0.729,0.3,0.48,9.94,2.597,4.283,0.942,0.172,0.078,8.63E-04,0.004,4.59E-04,937.8,241.7,388.6,0.201,0.085,0.071
210793561,03 41 49.175,+19 46 18.61,1,12.741,,,549-007386,03414918+1946185,,STAR,gri,rpm,-21.4,2.5,-6.3,3.2,,,14.504,0.048,13.233,0.032,,,13.94,0.034,12.721,0.041,12.228,0.061,,,10.766,0.021,10.141,0.021,10.042,0.021,4763,154,541,3.313,1.431,0.371,-0.188,0.25,0.4,3.911,1.333,3.365,0.935,0.214,0.343,0.016,3.575,0.01,729.9,273,632.4,0.515,0.124,0.391
210793570,03 55 16.042,+19 46 18.83,1,13.807,,,549-008009,03551604+1946188,,STAR,gri,rpm,-7.1,3.1,-7.3,3.5,,,15.31,0.02,14.279,0.038,,,14.803,0.038,13.744,0.044,13.379,0.066,,,11.848,0.024,11.254,0.025,11.128,0.022,4896,118,118,3.242,0.435,0.609,-0.232,0.25,0.45,3.767,2.907,1.641,1.048,0.228,0.196,0.013,0.044,0.011,1290,1015,494.7,0.415,0.122,0.146
210793627,03 48 22.196,+19 46 22.26,1,11.233,,1256-544-1,549-007707,03482218+1946221,,STAR,gri,rpm,-4,2.4,-2.4,2.5,,,12.356,0.239,11.483,0.124,,,12.33,0.03,11.284,0.04,10.763,0.05,,,9.247,0.024,8.685,0.024,8.509,0.018,4885,122,153,2.468,0.361,0.095,-0.274,0.25,0.3,10.685,0.791,1.81,1.318,0.725,0.302,9.92E-04,0.002,2.22E-04,971.5,83.96,120.7,0.452,0.102,0.143
210793649,03 38 57.060,+19 46 23.64,1,12.309,,,549-007262,03385705+1946236,,STAR,gri,rpm,-7.1,2,-11.6,0.5,,,13.314,0.01,12.586,0.01,,,12.925,0.031,12.361,0.041,12.044,0.061,,,11.072,0.021,10.765,0.021,10.665,0.018,6198,269,192,4.141,0.18,0.216,-0.108,0.15,0.21,1.452,0.499,0.317,1.199,0.167,0.167,0.355,0.329,0.213,441.4,132.5,101.9,0.372,0.117,0.14
210793729,03 39 17.580,+19 46 27.90,1,9.236,,1243-511-1,549-007273,03391757+1946277,,STAR,gri,rpm,-4.4,1.4,-7.5,1.4,,,10.862,0.061,9.617,0.028,,,10.253,0.03,9.301,0.04,8.8,0.06,,,7.478,0.026,6.914,0.021,6.772,0.017,4847,119,149,2.523,0.243,0.135,-0.194,0.2,0.32,10.763,2.255,1.367,1.497,0.85,0.472,0.001,0.001,3.42E-04,453.8,107.6,41.84,0.281,0.117,0.117
210793739,04 06 15.587,+19 46 28.48,1,12.852,,,549-008605,04061556+1946286,,STAR,gri,rpm,41.1,2.1,-39.9,2.4,,,13.991,0.045,13.5,0.033,,,13.494,0.032,12.982,0.041,12.576,0.062,,,11.364,0.032,10.908,0.032,10.783,0.026,5894,246,394,4.457,0.136,0.408,-0.947,0.3,0.3,0.873,0.562,0.179,0.798,0.071,0.085,1.117,0.879,0.855,283,154.3,75.61,0.294,0.155,0.181
210793743,03 42 21.219,+19 46 28.59,1,13.96,,,549-007406,03422122+1946286,,STAR,gri,rpm,1.9,4.4,-25.1,5.1,,,16.423,0.07,14.882,0.044,,,15.802,0.048,14.286,0.047,13.17,0.064,,,11.156,0.02,10.499,0.023,10.241,0.018,3845,38,38,4.951,0.02,0.02,-0.169,0.16,0.05,0.341,0.007,0.007,0.379,0.008,0.008,9.549,0.573,0.573,62.19,1.866,1.866,0.123,0.001,0.009
210793800,03 43 57.617,+19 46 31.64,1,15.064,,,549-007478,03435759+1946316,,STAR,JHK,rpm,40.4,4.4,-38.1,5.2,,,,,,,,,,,,,,,,,12.835,0.022,12.246,0.023,11.984,0.02,3587,101,141,5.004,0.056,0.04,0.041,0.18,0.12,0.272,0.041,0.057,0.281,0.053,0.079,13.07,5.477,2.568,96.81,13.07,25.37,0.12,0.074,0.053
210793812,04 09 30.416,+19 46 32.21,1,13.526,,,549-008785,04093041+1946323,,STAR,gri,rpm,62.1,1.6,-49.9,2.8,,,15.612,0.061,14.15,0.037,,,14.952,0.039,13.575,0.043,12.916,0.07,,,11.233,0.02,10.552,0.022,10.351,0.018,4024,48,130,4.827,0.042,0.035,-0.002,0.1,0.2,0.449,0.044,0.034,0.508,0.056,0.048,5.316,1.046,0.739,100.4,22.45,18.35,0.156,0.061,0.073
210793857,03 28 12.152,+19 46 35.24,1,9.821,,1242-436-1,549-006758,03281216+1946351,,STAR,gri,rpm,-7.2,1.6,-15,1.6,,,11.494,0.13,10.181,0.055,,,10.855,0.02,9.844,0.04,9.378,0.06,,,8.04,0.024,7.444,0.017,7.304,0.016,4758,117,117,2.46,0.29,0.145,-0.232,0.2,0.32,10.904,1.218,2.267,1.236,0.442,0.245,9.28E-04,0.001,3.36E-04,577.1,74.6,96.2,0.308,0.111,0.133
210793892,03 37 25.465,+19 46 37.05,1,12.864,,,549-007172,03372547+1946370,,STAR,gri,rpm,47.9,4.2,-14.6,5.2,,,14.835,0.051,13.514,0.05,,,14.254,0.035,12.965,0.041,12.268,0.061,,,10.791,0.022,10.133,0.02,9.956,0.02,3999,47,111,4.84,0.035,0.035,0,0.1,0.1,0.445,0.036,0.033,0.511,0.035,0.05,5.53,0.997,0.845,77.66,9.275,11.35,0.082,0.046,0.035
210793896,03 28 00.126,+19 46 37.18,1,16.48,,,549-006746,03280014+1946368,,STAR,JHK,rpm,-16.3,18.1,-9.8,18.1,,,,,,,,,,,,,,,,,14.379,0.03,13.737,0.031,13.566,0.039,4303,468,468,4.741,0.184,0.115,-0.155,0.2,0.32,0.513,0.178,0.168,0.568,0.157,0.188,3.691,4.765,1.493,456.7,225.1,189,0.253,0.19,0.119
210793913,03 40 49.764,+19 46 38.22,1,12.323,,,549-007351,03404976+1946384,,STAR,gri,col,,,,,,,13.696,0.043,12.65,0.031,,,13.183,0.031,12.286,0.04,11.954,0.06,,,10.748,0.022,10.238,0.024,10.118,0.018,5012,195,130,3.199,1.08,0.9,-0.421,0.35,0.42,3.933,6.223,2.891,0.975,0.274,0.137,0.012,0.444,0.012,713.7,986.6,535.8,0.265,0.154,0.11
210793920,03 28 02.132,+19 46 38.60,1,17.034,,,,03280213+1946385,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.57,0.066,14.801,0.069,14.357,0.079,3867,380,316,4.893,0.135,0.135,-0.117,0.16,0.28,0.377,0.148,0.14,0.393,0.169,0.169,7.376,8.836,3.55,462.8,267.3,195,0.379,0.167,0.167
210793940,03 45 48.793,+19 46 39.57,1,17.254,,,,03454879+1946395,,STAR,J,,,,,,,,,,,,,,,,,,,,,,15.775,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210793964,03 43 00.623,+19 46 40.67,1,13.135,,,549-007431,03430062+1946407,,STAR,gri,rpm,4.2,2.7,0.1,3.3,,,14.489,0.03,13.525,0.08,,,13.984,0.034,13.134,0.042,12.771,0.062,,,11.474,0.022,11.065,0.023,10.93,0.022,5786,417,347,3.887,0.252,0.072,-0.102,0.12,0.21,2.035,0.327,0.634,1.197,0.288,0.206,0.132,0.192,0.034,669.6,154.2,189,0.537,0.148,0.123
