EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V)
201432946,10 54 47.754,-00 27 56.22,1,15.203,,,448-052176,10544773-0027563,,STAR,gri,-48.6,4.8,21.6,4.9,,,18.087,0.19,16.509,0.08,,,17.407,0.07,15.993,0.04,14.259,0.09,,,12.091,0.022,11.522,0.021,11.246,0.023,3538,5.018,0.017,0.262,0.26,14.12,66.51,0.021
201434045,10 53 37.469,-00 26 58.20,1,12.523,,,448-052144,10533747-0026582,,STAR,gri,-19.6,1.3,9.4,1.6,,,13.466,0.02,12.731,0.02,,,13.045,0.04,12.472,0.01,12.299,0.04,,,11.362,0.022,11.021,0.025,10.906,0.021,5622,4.457,-0.087,0.957,0.968,1.102,321.7,0.037
201435228,10 51 41.611,-00 25 57.03,1,17.286,,,,10514161-0025570,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.805,0.083,14.963,0.093,14.604,0.109,3927,4.888,-0.21,0.374,0.423,7.241,585.5,0.033
201436056,10 54 06.791,-00 25 11.31,1,16.347,,,,10540679-0025113,,STAR,J,,,,,,,,,,,,,,,,,,,,,14.932,0.067,14.156,0.069,13.448,0.046,2033,5.361,-0.084,0.094,0.075,88.99,66.79,0.013
201436231,10 51 59.221,-00 25 02.90,1,16.745,,,,10515922-0025028,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.301,0.072,14.554,0.097,14.162,0.081,3858,4.911,-0.176,0.343,0.368,8.382,411.9,0.03
201436238,10 51 56.002,-00 25 02.64,1,17.053,,,,10515600-0025026,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.587,0.12,14.964,0.152,14.23,0.111,3668,4.987,-0.165,0.271,0.276,11.48,361.7,0.032
201436499,10 53 50.135,-00 24 47.71,1,15.749,,,,10535013-0024477,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,13.459,0.022,12.862,0.023,12.589,0.027,3545,5.043,-0.043,0.243,0.236,16.34,110.2,0.02
201436931,10 52 30.243,-00 24 25.10,1,13.107,,,448-052118,10523025-0024250,,STAR,gri,-42.5,2.9,-10.6,1.8,,,14.039,0.02,13.337,0.03,,,13.639,0.02,13.111,0.01,12.879,0.04,,,11.949,0.024,11.523,0.022,11.458,0.023,4832,1.691,-1.234,21.27,0.832,8.28E-05,7406,0.033
201437341,10 52 42.256,-00 24 02.57,1,9.71,,4914-190-1,448-052122,10524225-0024025,,STAR,gri,-2.1,1.1,-50.2,1.2,,,10.951,0.055,10,0.032,,,10.728,0.02,9.807,0.04,9.274,0.06,,,8.146,0.026,7.667,0.046,7.527,0.026,4817,3.378,0.103,3.758,1.327,0.022,240.3,0.03
201437560,10 54 46.737,-00 23 51.11,1,12.368,,,449-050710,10544673-0023511,,STAR,gri,0.6,1.5,-0.1,1.7,,,13.606,0.03,12.66,0.02,,,13.102,0.03,12.369,0.01,12.053,0.07,,,10.96,0.022,10.48,0.021,10.409,0.025,4870,3.211,-0.226,4.165,1.125,0.014,956.4,0.035
201437903,10 54 39.450,-00 23 32.88,1,12.76,,,449-050706,10543944-0023329,,STAR,gri,-19.4,1.7,0.6,1.6,,,13.629,0.02,12.946,0.03,,,13.241,0.04,12.762,0.01,12.554,0.05,,,11.692,0.022,11.396,0.022,11.321,0.023,5876,4.356,-0.108,1.108,1.018,0.743,452.3,0.034
201438227,10 51 56.942,-00 23 14.28,1,18.249,,,,10515694-0023142,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.689,0.145,15.726,0.134,15.223,0.164,3790,4.973,-0.23,0.277,0.32,10.61,696.6,0.033
201438739,10 53 27.222,-00 22 48.05,1,14.592,,,449-050681,10532722-0022481,,STAR,gri,18.8,3.7,-12,4.2,,,15.579,0.03,14.889,0.03,,,15.194,0.04,14.648,0.03,14.334,0.06,,,13.416,0.027,12.963,0.028,12.917,0.034,5341,4.548,-0.676,0.781,0.798,1.682,620.1,0.033
201438901,10 52 42.772,-00 22 40.37,1,15.465,,,449-050668,10524277-0022405,,STAR,gri,-70.2,3.4,0.6,3.4,,,18.134,0.23,16.696,0.09,,,17.442,0.02,16.027,0.07,14.617,0.06,,,12.622,0.024,12.047,0.022,11.789,0.023,3542,5.027,-0.029,0.246,0.241,15.46,77.76,0.016
201439028,10 51 38.457,-00 22 32.09,1,17.051,,,,10513845-0022320,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,14.991,0.04,14.322,0.035,14.19,0.069,4160,4.796,-0.218,0.465,0.53,4.677,541.8,0.033
201439215,10 52 00.069,-00 22 22.32,1,9.85,,4914-170-1,449-050654,10520006-0022223,,STAR,gri,-75.9,1.2,-25.1,1.2,,,10.397,0.036,9.944,0.033,,,10.524,0.02,9.914,0.01,9.561,0.01,,,8.788,0.018,8.494,0.049,8.444,0.025,5251,3.239,-1.09,3.663,0.879,0.017,334.7,0.037
201439373,10 50 25.069,-00 22 12.09,1,13.732,,,449-050621,10502506-0022120,,STAR,gri,2,2.6,0.1,2.3,,,15.11,0.02,14.01,0.04,,,14.527,0.01,13.73,0.04,13.391,0.03,,,12.115,0.021,11.528,0.022,11.492,0.025,4750,2.274,-0.9,10.89,0.882,6.32E-04,4018,0.033
201439444,10 51 42.273,-00 22 08.45,1,11.954,,4914-164-1,449-050648,10514227-0022082,,STAR,gri,-9,1.9,-35,2.1,,,12.999,0.357,12.071,0.205,,,12.622,0.02,12.061,0.02,11.668,0.39,,,10.875,0.022,10.522,0.025,10.404,0.019,5590,4.469,-0.093,0.936,0.955,1.132,244.2,0.031
201439736,10 54 22.234,-00 21 53.85,1,15.504,,,,10542223-0021538,,EXTENDED,J,,,,,,,,,,,,,,,,,,,,,14.149,0.09,13.532,0.109,12.936,0.078,,,,,,,,
201440104,10 53 49.134,-00 21 36.91,1,18.319,,,,10534913-0021369,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.76,0.175,16.027,0.166,,,,,,,,,,
201441046,10 53 06.349,-00 20 48.72,1,17.441,,,,10530634-0020487,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,14.913,0.056,14.232,0.067,13.941,0.074,3930,4.891,-0.153,0.374,0.404,7.354,394.9,0.032
201441056,10 54 41.006,-00 20 48.48,1,18.116,,,,10544100-0020484,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.57,0.135,16.306,0.208,15.104,0.161,3557,5.035,-0.185,0.238,0.223,16.34,460.6,0.031
201441105,10 54 27.835,-00 20 46.04,1,14.197,,,449-050700,10542783-0020461,,STAR,gri,-60.5,3.7,-41.3,4.8,,,15.413,0.01,14.513,0.02,,,14.95,0.04,14.17,0.02,13.875,0.06,,,12.75,0.026,12.225,0.024,12.153,0.027,5178,3.719,-0.356,2.337,0.994,0.081,1300,0.033
201441884,10 54 37.782,-00 20 04.08,1,18.238,,,,10543778-0020040,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.679,0.155,,,,,,,,,,,,
201441922,10 50 21.437,-00 20 01.42,1,17.496,,,,10502143-0020014,,STAR,J,,,,,,,,,,,,,,,,,,,,,16,0.09,15.306,0.104,14.824,0.105,3674,4.997,-0.165,0.271,0.285,12,430,0.032
201441977,10 53 03.383,-00 19 58.41,1,16.855,,,,10530338-0019584,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.403,0.076,14.815,0.085,14.305,0.094,3627,5.004,-0.125,0.248,0.268,14.38,300.4,0.03
201443037,10 51 33.418,-00 19 04.56,1,11.037,,4914-126-1,449-050644,10513341-0019044,,STAR,gri,-58.8,1.8,27,2,,,12.093,0.163,11.533,0.13,,,11.583,0.01,11.194,0.03,10.803,0.3,,,10.14,0.026,9.86,0.025,9.77,0.023,6067,4.284,-0.311,1.19,0.978,0.59,242.2,0.028
201443169,10 52 27.722,-00 18 58.74,1,14.976,,,449-050659,10522772-0018586,,STAR,gri,-24.2,2.6,-86.4,2.9,,,17.316,0.07,15.829,0.08,,,16.651,0.03,15.264,0.03,14.259,0.07,,,12.524,0.024,11.932,0.022,11.705,0.027,3589,4.999,0.06,0.278,0.285,12.57,89.96,0.016
201443467,10 50 26.005,-00 18 43.03,1,18.954,,,,10502600-0018430,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,16.412,0.13,15.903,0.151,15.422,0.183,3777,4.965,-0.265,0.294,0.316,11.37,624.7,0.033
201443585,10 53 05.775,-00 18 36.95,1,17.27,,,,10530577-0018369,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.79,0.093,15.288,0.115,14.61,0.115,3568,5.026,-0.125,0.239,0.25,14.82,338.5,0.031
201443737,10 50 47.539,-00 18 28.07,1,18.203,,,,10504753-0018280,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.648,0.126,16.035,0.152,15.178,0.156,3571,5.035,-0.185,0.23,0.231,15.08,487.4,0.032
201443856,10 52 27.841,-00 18 21.70,1,15.901,,,,10522784-0018216,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,14.074,0.029,13.406,0.026,13.344,0.047,4154,4.947,-0.686,0.336,0.379,8.957,254.2,0.028
201444091,10 50 38.118,-00 18 09.76,1,16.93,,,,10503811-0018097,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,14.822,0.032,14.271,0.033,14.007,0.057,3582,5.021,-0.073,0.249,0.249,13.83,225.1,0.027
201444633,10 51 56.952,-00 17 41.02,1,14.956,,,449-050653,10515694-0017410,,STAR,gri,-0.8,2.6,-5.2,2.9,,,16.298,0.01,15.28,0.06,,,15.779,0.01,14.874,0.01,14.604,0.05,,,13.404,0.027,12.887,0.023,12.771,0.029,4793,4.607,0.025,0.722,0.781,2.02,501.6,0.031
201444706,10 52 52.427,-00 17 37.67,1,14.601,,,449-050671,10525243-0017375,,STAR,gri,1.4,2.7,-8.1,3.6,,,15.719,0.06,14.903,0.04,,,15.256,0.02,14.645,0.02,14.321,0.07,,,13.259,0.022,12.771,0.026,12.714,0.03,5093,2.508,-1.332,8.167,0.827,0.001,5694,0.037
201444773,10 54 22.691,-00 17 34.57,1,10.794,,4914-97-1,449-050699,10542268-0017346,,STAR,gri,-6.7,1.5,27.3,1.5,,,11.574,0.076,10.941,0.07,,,11.208,0.03,10.779,0.01,10.616,0.06,,,9.795,0.022,9.499,0.023,9.398,0.021,5985,4.12,-0.076,1.412,1.109,0.32,237.5,0.03
201444820,10 53 42.998,-00 17 32.17,1,15.73,,,,10534299-0017321,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,13.518,0.027,12.943,0.021,12.672,0.029,3538,5.049,-0.043,0.232,0.22,16.44,107.2,0.02
