EPIC,KepMag,Kmag,Teff,Radius,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integer,float,float,integer,float,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201448376,15.596,13.384,4702,27.036,0.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201448444,17.724,15.174,3777,0.303,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201448854,18.572,15.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201449060,18.922,15.212,3985,0.392,0.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201449480,17.002,14.459,3751,0.307,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201450009,11.592,10.176,5648,2.032,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201450090,16.898,14.639,4419,0.48,0.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201451176,17.248,14.08,3502,0.221,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201451361,17.286,14.647,3816,0.313,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201451623,18.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201451811,12.563,11.092,5746,1.019,1.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201452069,11.077,9.718,5301,2.436,0.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201452080,12.75,11.576,6234,1.34,1.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201452160,13.145,10.92,4709,0.643,0.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201452440,18.184,15.331,3750,0.266,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201452623,17.853,14.929,3723,0.288,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201452834,13.847,11.806,4890,4.482,0.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201453259,12.503,11.326,6242,1.409,1.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
