EPIC,KepMag,Kmag,Teff,Radius,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integer,float,float,integer,float,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452113,18.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452116,13.885,12.132,5386,0.825,0.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452148,17.207,14.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452150,14.812,12.833,5079,0.795,0.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452152,12.078,10.416,5567,0.901,0.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452172,10.971,9.649,6333,1.664,1.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452184,17.819,15.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452196,18.201,14.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452201,17.247,14.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452247,17.738,14.612,3749,0.311,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452250,18.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452261,17.773,15.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452277,14.634,12.728,5279,0.805,0.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452286,16.935,14.33,4240,0.537,0.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452313,18.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452320,16.346,14.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452342,17.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452397,14.669,12.589,4886,5.03,0.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452412,16.869,14.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452445,17.875,14.534,3440,0.197,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452522,17.304,15.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452546,18.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452553,17.44,13.53,3384,0.188,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452640,18.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452642,18.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452644,18.257,15.232,3693,0.255,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452659,18.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452672,17.645,14.694,3827,0.333,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452675,17.135,14.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452679,11.044,9.56,5925,1.455,1.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452689,14.074,11.692,4439,0.596,0.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452692,12.717,11.444,6234,1.385,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452707,16.392,13.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452756,12.692,11.135,5689,0.954,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452757,15.895,12.402,4135,0.496,0.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452770,19.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452777,17.26,15.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452812,11.527,9.853,5651,1.678,1.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452826,18.146,14.789,3437,0.206,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452853,17.468,13.949,3330,0.187,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452859,15.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452897,16.319,14.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452921,17.388,14.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452931,14.508,12.4,4877,0.684,0.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452933,16.677,14.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452942,10.849,9.413,5903,1.225,0.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452968,17.954,14.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452970,18.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248452972,14.606,12.728,5262,0.843,0.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453008,16.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453031,11.067,7.933,4230,0.578,0.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453034,18.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453043,11.867,9.535,4721,11.34,0.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453061,17.806,14.935,3704,0.28,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453081,18.32,15.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453098,13.675,11.626,5069,2.607,0.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453109,17.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453129,17.687,14.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453165,11.578,10.104,5672,1.186,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453189,17.47,14.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453204,17.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453228,14.874,12.191,4211,0.479,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453291,13.612,11.745,5172,0.803,0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453296,10.42,8.394,4949,10.145,0.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453341,10.833,7.433,3953,52.352,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453350,17.829,15.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453389,17.825,14.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453399,18.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453426,18.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453469,17.019,14.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453495,13.05,10.967,4908,0.721,0.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453508,18.452,15.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453532,14.563,11.569,3907,0.406,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453583,16.981,15.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453624,17.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453632,16.958,14.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453634,18.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453672,18.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453687,14.486,12.262,4773,0.69,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453700,12.635,11.11,5673,1.021,1.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453702,18.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453742,17.034,13.213,3609,0.277,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453757,10.414,9.222,6403,1.605,1.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453764,14.047,11.31,4024,0.469,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453786,11.468,10.14,6275,1.351,1.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453801,18.288,15.416,3750,0.264,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453805,17.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453872,17.567,14.854,3680,0.274,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453879,12.809,11.49,6067,1.18,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453897,15.956,13.139,3945,0.329,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453904,17.553,14.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248453932,13.529,11.279,4633,0.673,0.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454007,18.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454020,17.864,15.052,3761,0.288,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454022,11.573,10.198,6244,1.417,1.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454038,18.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454046,12.607,11.194,6090,1.271,0.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454128,18.925,14.825,3843,0.348,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454133,17.796,14.997,3898,0.366,0.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454190,19.107,15.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454234,12.669,11.376,6254,1.338,1.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454244,14.682,12.49,4761,0.69,0.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454257,18.487,14.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454307,15.517,14.045,5445,0.662,0.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454310,14.217,12.369,5021,0.721,0.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454381,17.679,13.573,3501,0.221,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454405,12.964,10.858,5024,3.029,1.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454409,18.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454420,17.643,15.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454430,16.234,12.064,3626,0.274,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454441,16.415,14.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454459,17.112,14.566,3880,0.337,0.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454482,17.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454523,10.788,9.583,6527,1.755,1.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454534,18.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454537,10.96,9.169,5077,3.769,0.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454539,16.374,14.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454555,17.951,14.318,3307,0.169,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454577,16.756,14.064,3667,0.29,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454589,16.758,13.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454595,12.224,10.313,5085,3.86,0.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454604,16.99,14.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454615,16.486,13.842,4343,0.572,0.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454665,18.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454666,14.666,12.665,5076,3.048,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454689,18.017,14.262,3613,0.264,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454744,17.179,14.091,3606,0.248,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454761,18.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454767,9.255,6.366,4442,16.579,1.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454783,14.228,12.324,5187,2.437,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454785,16.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454803,16.608,14.016,3639,0.268,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454811,18.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454814,17.978,14.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454817,17.693,14.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454829,11.113,9.683,5857,1.076,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454880,16.437,14.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454906,17.888,14.895,3590,0.241,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454918,9.971,7.711,4789,10.772,1.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454936,17.419,15.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454955,17.504,14.002,3402,0.198,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454964,17.416,14.71,4154,0.41,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248454991,13.805,11.287,4113,0.37,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455000,18.094,15.088,3724,0.283,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455046,11.398,9.551,4989,5.043,0.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455049,17.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455051,18.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455055,17.374,14.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455060,12.071,10.666,6030,1.357,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455094,16.561,13.933,4203,0.544,0.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455102,18.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455106,17.772,15.22,3779,0.303,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455117,17.039,14.492,4132,0.481,0.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455138,17.732,14.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455140,13.297,11.126,4827,3.607,0.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455143,11.246,8.74,4541,10.182,1.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455156,17.924,14.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455160,18.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455165,18.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455199,17.65,14.701,3564,0.228,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455222,11.986,10.633,6130,1.337,0.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455240,11.896,10.597,6272,1.318,0.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455242,17.616,14.994,3432,0.183,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455249,14.39,12.556,5135,3.004,0.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455283,17.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455284,14.191,11.439,3990,0.444,0.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455290,18.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455295,18.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455319,14.433,10.875,3757,0.357,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455320,18.059,14.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455341,17.274,13.483,3541,0.242,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455374,16.485,13.669,4015,0.317,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455387,14.651,12.776,5234,0.813,0.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455402,17.7,14.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455413,16.883,14.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455451,18.17,15.137,3639,0.234,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455467,17.322,14.966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455493,17.42,14.632,4249,0.475,0.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455496,17.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455500,16.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455514,17.379,14.338,4068,0.452,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455521,13.411,11.575,5474,0.812,0.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455531,17.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455535,17.702,14.822,3645,0.255,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455566,17.255,13.853,3455,0.186,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455574,17.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455588,14.6,11.717,4267,0.507,0.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455600,15.029,12.38,4425,0.629,0.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455641,15.333,12.488,3999,0.446,0.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455656,17.078,14.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455694,14.933,12.945,4967,2.33,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455724,16.596,13.581,3914,0.406,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455725,16.643,14.439,4990,0.706,0.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455737,17.355,14.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455828,17.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455861,17.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455927,17.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455950,11.244,9.252,5006,5.852,0.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455953,18.916,15.209,3201,0.167,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248455972,17.525,15.039,4278,0.497,0.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456018,12.934,11.481,5816,0.972,0.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456021,14.404,12.592,5153,3.183,0.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456043,13.598,11.369,4869,0.696,0.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456058,10.94,8.597,4655,11.224,1.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456071,18.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456096,18.12,15.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456138,12.662,10.857,5210,3.182,0.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456157,14.628,12.347,4755,0.692,0.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456193,15.304,12.221,3782,0.324,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456224,16.873,14.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456237,16.33,13.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456254,13.93,11.921,5063,0.77,0.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456268,17.59,14.212,3974,0.409,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456271,11.831,10.441,5783,1.235,1.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456276,16.747,14.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456289,16.117,14.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456311,13.499,11.474,4986,0.723,0.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456315,18.83,15.163,3943,0.352,0.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456332,13.456,11.369,5019,4.658,0.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456344,16.214,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456378,14.15,11.577,4242,0.534,0.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456424,14.102,11.997,5012,3.137,0.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456443,18.072,15.026,3671,0.254,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456460,12.789,11.518,6317,1.389,1.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456469,16.819,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456470,18.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456478,14.335,12.53,5153,0.715,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456482,17.557,15.164,4514,0.539,0.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456516,14.738,11.572,3585,0.256,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456522,16.438,14.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456524,18.927,15.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456529,17.103,14.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456543,17.591,14.738,3749,0.304,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456554,17.739,15.153,4251,0.439,0.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456571,12.798,11.467,6000,1.241,1.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456594,18.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456601,18.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456667,17.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456669,18.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456670,18.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456692,13.801,11.877,5026,4.098,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456693,17.234,15.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456703,18.651,14.414,2699,0.12,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456722,18.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456733,18.489,14.961,3842,0.319,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456757,13.344,11.32,4991,13.062,0.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456805,17.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456860,18.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456867,18.657,15.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456869,13.735,10.395,3474,0.222,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456878,17.004,14.312,4224,0.536,0.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456932,14.276,12.454,5169,2.267,0.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456936,17.049,14.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456942,10.887,8.642,4798,10.153,0.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456944,16.284,13.828,4383,0.567,0.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456952,17.866,14.902,3401,0.176,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456963,17.647,14.538,3766,0.325,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248456987,14.098,12.294,5104,4.403,0.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457005,18.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457031,16.627,13.761,3624,0.262,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457041,16.773,13.696,3648,0.196,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457061,18.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457070,13.231,11.063,4864,3.565,0.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457074,15.617,14.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457096,17.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457103,17.879,14.843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457104,12.785,11.255,6002,1.2,1.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457108,17.695,15.18,3785,0.319,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457115,14.478,12.617,5241,0.646,0.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457174,17.599,14.866,3843,0.318,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457178,17.853,13.829,3553,0.214,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457186,17.334,14.283,3816,0.354,0.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457224,18.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457231,11.446,9.62,5020,3.688,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457265,12.535,11.267,6258,1.345,1.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457269,16.74,14.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457291,17.702,15.018,3810,0.324,0.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248457319,17.559,15.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
