EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V)
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,float,float,float,float,float,float,float
248858527,10 53 36.064,+12 07 20.69,1,17.499,,,,10533606+1207206,3538-301-5-0303-0150,STAR,gri,81,4,-80,4,,,,,,,22.311,0.25,19.522,0.014,18.027,0.007,16.632,0.005,15.935,0.007,14.505,0.029,13.911,0.03,13.707,0.038,3494,5.122,-0.231,0.189,0.176,25.29,137.1,0.021
248858620,10 47 27.161,+12 07 29.30,1,14.416,,,511-050786,10472716+1207293,,STAR,gri,-2.6,2.7,-21.8,3,,,15.623,0.04,14.668,0.03,,,15.149,0.06,14.425,0.03,14.102,0.02,,,13.089,0.023,12.591,0.024,12.519,0.022,4918,4.633,-0.368,0.667,0.713,2.274,415.6,0.028
248858668,10 48 16.251,+12 07 34.45,1,18.504,,,,10481625+1207344,3538-301-5-0295-0115,EXTENDED,gri,-4,3,3,3,,,,,,,19.11,0.025,18.977,0.011,18.441,0.01,18.301,0.014,17.716,0.027,16.911,0.127,15.98,0.14,15.483,0.153,,,,,,,,
248858728,10 38 49.790,+12 07 40.74,1,14.532,,,511-050565,,3836-301-5-0076-0013,EXTENDED,gri,32.7,8.2,-7.9,7.9,,,15.912,0.05,14.867,0.01,,,15.438,0.1,14.601,0.08,14.144,0.01,,,,,,,,,,,,,,,,
248858762,10 38 49.242,+12 07 43.72,1,16.896,,,511-050564,10384918+1207436,3836-301-5-0076-0015,EXTENDED,JHK,-24.6,18.7,-0.8,18.6,,,,,,,,,,,,,,,,,14.392,0.075,13.711,0.108,13.437,0.078,,,,,,,,
248858769,10 52 49.473,+12 07 44.43,1,15.662,,,,10524947+1207444,3538-301-5-0302-0162,EXTENDED,gri,-3,3,3,3,,,,,,,18.209,0.036,16.583,0.005,15.694,0.004,15.267,0.005,14.947,0.01,15.458,0.099,15.118,0.155,14.548,0.142,,,,,,,,
248858795,11 00 49.089,+12 07 46.57,1,17.33,,,,11004908+1207465,3836-301-4-0112-0214,EXTENDED,gri,-10,3,14,3,,,,,,,18.585,0.025,17.73,0.006,17.366,0.006,17.158,0.007,16.934,0.02,16.666,0.142,15.829,0.144,15.683,0.212,,,,,,,,
248858806,10 52 51.504,+12 07 47.55,1,18.028,,,,10525150+1207475,3538-301-5-0302-0168,EXTENDED,gri,-12,3,2,3,,,,,,,20.689,0.108,19.015,0.014,18.024,0.009,17.605,0.011,17.264,0.023,16.712,0.125,15.99,0.145,15.42,0.167,,,,,,,,
248858807,11 01 30.543,+12 07 47.58,1,14.608,,,,,3836-301-4-0113-0093,EXTENDED,gri,-1,3,-9,3,,,,,,,16.73,0.012,15.315,0.002,14.661,0.002,14.305,0.002,14.046,0.004,,,,,,,,,,,,,,
248858837,10 30 07.026,+12 07 50.04,1,13.374,,,511-050365,10300704+1207505,,STAR,gri,-14.6,1.5,-3.8,1.8,,,14.63,0.06,13.653,0.01,,,14.127,0.08,13.361,0.03,13.051,0.03,,,11.842,0.022,11.273,0.022,11.195,0.02,4836,3.2,-0.355,3.861,0.894,0.014,1419,0.036
248858847,11 01 40.771,+12 07 51.24,1,16.933,,,,11014077+1207512,3836-301-4-0113-0149,STAR,gri,0,3,-6,3,,,,,,,20.283,0.057,17.839,0.005,16.869,0.005,16.545,0.005,16.323,0.008,15.263,0.048,14.699,0.05,14.584,0.091,4584,4.681,-0.271,0.613,0.66,2.823,932.4,0.033
