,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
12,12,12,12,12,12,246392982,23 32 05.073,-01 12 16.56,1,13.901,,,444-131872,23320507-0112165,,STAR,gri,rpm,15.3,2.5,-20,2.9,,,15.007,0.02,14.014,0.02,,,14.643,0.01,13.752,0.03,13.583,0.01,,,12.67,0.024,12.289,0.022,12.175,0.027,4978,99,59,4.578,0.02,0.02,0.091,0.05,0.08,0.786,0.016,0.02,0.852,0.02,0.02,1.76,0.106,0.106,409.3,18.5,12.28,0.041,0.002,0.007,AAA-222-111-000-0-0,82.6,
13,13,13,13,13,13,246392985,23 31 29.071,-01 12 16.43,1,12.976,,,444-131848,23312906-0112164,,STAR,gri,rpm,26.1,3.4,-12,2.1,,,14.47,0.02,13.232,0.01,,,14.009,0.01,12.836,0.03,12.534,0.062,,,11.383,0.022,10.851,0.022,10.752,0.021,4425,71,159,4.655,0.096,0.02,0.212,0.05,0.4,0.652,0.024,0.114,0.706,0.029,0.103,2.484,1.328,0.166,157.7,17.21,32.14,0.029,0.018,0.003,AAA-222-111-000-0-0,32.2,
14,14,14,14,14,14,246392986,23 11 02.869,-01 12 16.30,1,18.379,,,,23110286-0112163,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.816,0.171,,,15.596,0.208,,,,,,,,,,,,,,,,,,,,,,,,,CDC-222-111-000-0-0,31.2,0887-0674847
15,15,15,15,15,15,246392999,23 11 34.006,-01 12 14.60,1,17.342,,,,23113400-0112145,,STAR,JHK,rpm,-6,2,10,3,,,,,,,,,,,,,,,,,15.923,0.07,15.481,0.123,15.359,0.178,4642,1129,941,4.687,0.266,0.228,-0.527,0.45,0.54,0.563,0.268,0.249,0.623,0.147,0.265,2.797,6.637,1.489,1238,883.6,715,0.038,0.011,0.008,ABC-222-111-000-0-0,24.2,0887-0674963
16,16,16,16,16,16,246393015,23 03 39.201,-01 12 13.09,1,18.215,,,,23033920-0112130,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.659,0.168,15.857,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,CCD-222-111-000-0-0,29.7,0887-0673651
17,17,17,17,17,17,246393017,23 14 37.233,-01 12 13.02,1,15.265,,,444-131421,23143721-0112129,,STAR,JHK,rpm,40,3.2,15.6,3.3,,,,,,,,,,,,,,,,,13.174,0.022,12.545,0.026,12.364,0.026,3949,254,159,4.869,0.06,0.084,-0.088,0.16,0.28,0.414,0.087,0.061,0.46,0.095,0.079,6.164,2.151,2.11,196.4,60.35,39.3,0.032,0.01,0.007,AAA-222-111-000-0-0,60.6,
18,18,18,18,18,18,246393044,23 32 52.508,-01 12 10.34,1,12.825,,,444-131897,23325251-0112103,,STAR,gri,rpm,9,1.5,-3.4,2.5,,,13.581,0.03,12.791,0.01,,,13.32,0.03,12.643,0.02,12.613,0.03,,,11.773,0.021,11.472,0.024,11.423,0.02,5585,89,66,4.409,0.065,0.52,0.132,0.06,0.08,1.023,1.007,0.084,1.03,0.169,0.056,0.937,0.229,0.794,415,378.7,47.51,0.038,0.01,0.01,AAA-222-111-000-0-0,54.3,
19,19,19,19,19,19,246393045,23 06 02.887,-01 12 10.30,1,16.238,,,,23060288-0112102,,STAR,JHK,rpm,88,2,-34,5,,,,,,,,,,,,,,,,,13.961,0.03,13.425,0.032,13.095,0.034,3444,130,209,5.092,0.066,0.066,-0.037,0.15,0.15,0.195,0.046,0.031,0.186,0.046,0.046,21.89,9.03,6.393,109.2,28.9,26.81,0.024,0.007,0.006,AAA-222-111-000-0-0,44.6,0887-0673962
20,20,20,20,20,20,246393056,23 25 06.100,-01 12 09.04,1,14.732,,,444-131694,23250610-0112090,,STAR,gri,rpm,3.8,4.1,-3,4.5,,,16.011,0.04,14.757,0.01,,,15.516,0.01,14.591,0.01,14.396,0.06,,,13.386,0.024,12.87,0.026,12.77,0.033,4784,76,57,4.605,0.032,0.02,0.034,0.18,0.18,0.728,0.027,0.037,0.79,0.024,0.029,2.014,0.24,0.156,508.2,17.13,35.23,0.036,0.015,0.008,AAA-222-111-000-0-0,28,
21,21,21,21,21,21,246393089,23 32 26.907,-01 12 06.16,1,18.182,,,,23322690-0112061,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.339,0.08,14.548,0.105,14.17,0.09,3911,357,357,4.887,0.162,0.135,-0.183,0.25,0.3,0.365,0.138,0.132,0.408,0.16,0.192,7.786,9.092,4.194,454.2,250.9,208.8,0.036,0.013,0.008,AAA-222-111-000-0-0,5,0887-0678867
