EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
206345844,22 59 30.270,-07 30 57.68,1,15.084,,,413-147500,22593026-0730576,8100-301-2-0220-0002,STAR,gri,rpm,18.9,2.9,11.7,3.6,,,16.632,0.06,15.471,0.053,,,16.135,0.053,15.079,0.056,14.634,0.083,,,13.427,0.024,12.885,0.03,12.776,0.027,4608,111,111,4.657,0.042,0.042,-0.111,0.24,0.2,0.657,0.053,0.059,0.707,0.054,0.065,2.477,0.528,0.369,436.6,45.44,56.51,0.038,0.013,0.008,AAA-222-111-000-0-0,54.3,
206352083,22 59 15.063,-07 24 48.39,1,16.975,,,,22591506-0724483,8095-301-3-0199-0216,EXTENDED,gri,,-2,2,3,2,,,,,,,19.613,0.065,17.881,0.007,16.995,0.005,16.586,0.005,16.23,0.012,15.982,0.099,15.103,0.107,14.607,0.12,,,,,,,,,,,,,,,,,,,,,,,,,AAB-222-111-000-0-0,30.6,
206353615,22 59 16.112,-07 23 18.10,1,13.69,,,414-143113,22591611-0723181,8095-301-3-0199-0067,STAR,gri,rpm,-16.2,1.9,-4.5,2.3,,,14.486,0.048,13.883,0.035,,,14.113,0.034,13.684,0.044,13.509,0.067,,,12.65,0.027,12.385,0.022,12.357,0.019,6017,146,121,4.283,0.105,0.168,-0.304,0.25,0.35,1.154,0.278,0.165,0.969,0.124,0.103,0.606,0.29,0.282,744.9,176.6,121,0.037,0.013,0.006,AAA-222-111-000-0-0,27.5,
206354259,22 59 12.938,-07 22 40.80,1,13.287,,,414-143108,22591293-0722408,,STAR,gri,rpm,1.4,1.7,1.1,2.1,,,14.147,0.045,13.476,0.033,,,13.78,0.033,13.269,0.042,13.075,0.064,,,12.28,0.027,11.947,0.022,11.893,0.021,5733,138,138,4.354,0.105,0.483,-0.148,0.25,0.3,1.091,0.931,0.184,0.988,0.172,0.107,0.703,0.453,0.58,582.8,468,115.6,0.036,0.01,0.007,AAA-222-111-000-0-0,36,
206354847,22 59 14.399,-07 22 07.14,1,15.314,,,414-143111,22591440-0722071,8095-301-3-0199-0211,STAR,gri,rpm,2.6,8.5,15.2,8.6,,,17.076,0.09,15.785,0.06,,,16.514,0.06,15.29,0.06,14.8,0.087,,,13.319,0.027,12.724,0.022,12.568,0.027,4086,198,132,4.827,0.065,0.091,-0.199,0.25,0.25,0.447,0.101,0.07,0.511,0.112,0.08,5.339,2.031,1.939,237,76.58,38.05,0.034,0.011,0.007,AAA-222-111-000-0-0,38,0826-0872593
206356366,22 59 16.194,-07 20 34.12,1,13.787,,,414-143114,22591619-0720341,8095-301-3-0199-0061,STAR,gri,rpm,-6.6,2,-5,2.4,,,14.712,0.05,13.989,0.036,,,14.343,0.036,13.767,0.044,13.549,0.067,,,12.658,0.026,12.335,0.022,12.213,0.024,5678,138,138,4.436,0.06,0.444,-0.076,0.16,0.2,0.966,0.64,0.101,0.978,0.079,0.079,0.987,0.284,0.781,602.3,425.3,75.3,0.04,0.016,0.009,AAA-222-111-000-0-0,63,
206356841,22 59 01.934,-07 20 07.04,1,15.513,,,414-143103,22590194-0720068,8095-301-3-0199-0169,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,13.47,0.028,12.892,0.023,12.674,0.029,3649,173,173,4.993,0.09,0.075,-0.066,0.15,0.24,0.278,0.069,0.074,0.3,0.091,0.109,12.53,7.515,4.06,141.7,44.66,45.14,0.027,0.01,0.007,AAA-222-111-000-0-0,25.2,
206363823,22 58 50.618,-07 13 15.47,1,11.837,,5241-813-1,414-143097,22585061-0713154,,STAR,gri,plx,9.4,2.5,-6.5,2.8,,,12.782,0.217,12.203,0.178,,,12.264,0.03,11.81,0.04,11.655,0.06,,,10.853,0.026,10.565,0.022,10.493,0.023,5985,120,120,4.283,0.12,0.192,-0.081,0.16,0.24,1.228,0.338,0.205,1.054,0.101,0.101,0.55,0.282,0.267,345.6,82.1,82.1,0.037,0.011,0.008,AAA-222-111-000-0-0,30.7,
206365359,22 58 54.688,-07 11 44.28,1,14.311,,,415-146050,22585469-0711443,8100-301-3-0218-0051,STAR,gri,rpm,1.6,2.8,-17.4,3.2,,,15.042,0.02,14.422,0.039,,,14.704,0.038,14.245,0.047,14.143,0.074,,,13.272,0.03,12.911,0.027,12.938,0.034,5829,138,173,4.408,0.08,0.304,-0.399,0.25,0.35,0.98,0.435,0.121,0.893,0.089,0.074,0.95,0.331,0.606,810.2,382.7,120.6,0.037,0.012,0.006,AAA-222-111-000-0-0,24.2,
