,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
2075,2075,2075,211982810,08 32 52.239,+19 58 35.93,1,12.735,,,550-045590,08325223+1958359,,STAR,gri,rpm,-32.2,1.7,-12.8,2.1,,,14.138,0.02,13.05,0.01,,,13.602,0.02,12.648,0.01,12.364,0.01,,,11.145,0.022,10.683,0.018,10.56,0.02,4760,96,96,4.608,0.02,0.02,0.112,0.06,0.1,0.722,0.034,0.02,0.793,0.042,0.05,2.06,0.124,0.138,184.4,5.533,21.71,0.024,0.006,0.003
2076,2076,2076,211982820,08 14 07.232,+19 58 36.56,1,13.475,,,550-044610,08140724+1958364,,STAR,gri,rpm,-6,1.7,3.6,2.2,,,14.087,0.01,13.512,0.02,,,13.76,0.01,13.408,0.02,13.353,0.02,,,12.517,0.021,12.267,0.024,12.262,0.022,6295,101,101,4.195,0.138,0.184,-0.172,0.16,0.24,1.372,0.37,0.215,1.146,0.13,0.13,0.415,0.228,0.19,882.1,212.2,145,0.034,0.011,0.008
2077,2077,2077,211982821,08 18 12.728,+19 58 36.73,1,12.284,,,550-044838,08181272+1958366,,STAR,gri,rpm,0.5,1.2,-11.7,2.8,,,12.842,0.01,12.306,0.01,,,12.536,0.01,12.207,0.01,12.177,0.061,,,11.354,0.021,11.108,0.02,11.062,0.021,6348,101,127,4.193,0.132,0.22,-0.115,0.15,0.3,1.39,0.502,0.199,1.19,0.141,0.197,0.395,0.228,0.224,514.9,193.6,69.52,0.032,0.01,0.007
2078,2078,2078,211982945,08 38 01.138,+19 58 43.01,1,17.093,,,,08380113+1958430,5037-301-4-0113-0341,STAR,gri,rpm,-35,3,-14,3,,,,,,,21.433,0.09,19.262,0.01,17.794,0.007,16.163,0.005,15.26,0.006,13.805,0.029,13.101,0.032,12.862,0.024,3567,115,172,5.043,0.055,0.025,-0.14,0.2,0.16,0.24,0.024,0.041,0.227,0.033,0.052,16.8,5.863,2.168,130.7,16.29,29.77,0.02,0.005,0.005
2079,2079,2079,211982960,08 51 56.713,+19 58 44.14,1,13.301,,,550-046402,08515671+1958442,,STAR,gri,lam,3.1,1.5,-5.2,2.5,,,14.044,0.01,13.362,0.01,,,13.69,0.03,13.208,0.042,13.134,0.03,,,12.203,0.023,11.858,0.024,11.809,0.019,5912,115,161,4.16,0.216,0.18,-0.233,0.15,0.12,1.33,0.348,0.324,0.996,0.095,0.068,0.382,0.446,0.181,679.6,166.2,179.3,0.033,0.01,0.007
2080,2080,2080,211982967,08 12 54.785,+19 58 44.39,1,13.157,,,550-044555,08125479+1958443,,STAR,gri,rpm,-17,1.6,-6.4,2,,,13.851,0.01,13.225,0.02,,,13.506,0.01,13.111,0.042,13.008,0.03,,,12.159,0.022,11.878,0.022,11.824,0.02,6070,96,96,4.275,0.11,0.176,-0.3,0.25,0.25,1.159,0.33,0.168,0.999,0.128,0.128,0.584,0.29,0.301,615.2,178.4,120.6,0.032,0.01,0.007
2081,2081,2081,211983013,08 37 38.634,+19 58 46.74,1,12.866,,,550-045803,08373863+1958468,,STAR,gri,rpm,44,8,-175,8,,,13.974,0.01,13.092,0.02,,,13.528,0.02,12.814,0.01,12.582,0.062,,,11.539,0.027,11.016,0.03,10.942,0.02,4984,91,213,4.699,0.045,0.081,-1.008,0.57,0.09,0.581,0.096,0.047,0.617,0.08,0.044,3.065,0.62,0.865,148.8,15.26,20.27,0.025,0.003,0.011
2082,2082,2082,211983015,08 28 57.803,+19 58 46.83,1,13.741,,,550-045389,08285780+1958468,,STAR,gri,rpm,-3.6,1.2,-1.5,1.8,,,14.509,0.04,13.836,0.03,,,14.17,0.02,13.701,0.02,13.556,0.02,,,12.686,0.021,12.402,0.023,12.333,0.024,5898,96,96,4.267,0.156,0.312,-0.145,0.16,0.24,1.209,0.561,0.231,1.036,0.106,0.106,0.523,0.437,0.333,776.5,345.9,159.7,0.037,0.016,0.008
2083,2083,2083,211983023,08 32 01.888,+19 58 47.18,1,17.302,,,,08320188+1958471,5045-301-5-0116-0265,STAR,gri,rpm,-33,3,-15,3,,,,,,,21.839,0.159,19.41,0.012,17.953,0.006,16.398,0.004,15.565,0.005,14.105,0.031,13.427,0.023,13.21,0.028,3618,88,111,5.034,0.04,0.04,-0.137,0.16,0.2,0.249,0.031,0.033,0.248,0.039,0.039,15.47,4.095,2.749,160.3,21.65,26.05,0.024,0.008,0.005
2084,2084,2084,211983081,08 41 21.910,+19 58 51.01,1,11.936,,1395-816-1,550-045998,08412192+1958510,,STAR,gri,rpm,-5.5,1.3,-5.9,1.4,,,12.279,0.176,12.484,0.263,,,12.153,0.03,11.863,0.02,11.796,0.02,,,11.05,0.022,10.868,0.021,10.802,0.02,6526,131,131,4.083,0.204,0.204,-0.057,0.1,0.14,1.595,0.628,0.276,1.344,0.193,0.138,0.283,0.196,0.154,542.4,223.4,118.5,0.033,0.01,0.008
2085,2085,2085,211983083,08 57 23.755,+19 58 51.27,1,13.661,,,550-046595,08572376+1958513,,STAR,gri,rpm,0.1,4.2,6.7,1.6,,,14.197,0.03,13.676,0.034,,,13.866,0.04,13.593,0.01,13.443,0.01,,,12.688,0.02,12.446,0.019,12.391,0.022,6260,126,100,4.185,0.125,0.175,-0.356,0.25,0.35,1.349,0.336,0.198,1.076,0.138,0.165,0.42,0.208,0.2,912.9,204,141.2,0.034,0.011,0.007
2086,2086,2086,211983107,08 24 58.396,+19 58 52.33,1,13.545,,,550-045214,08245839+1958523,,STAR,gri,rpm,3,2.4,5.5,2.9,,,14.363,0.03,13.72,0.02,,,14.007,0.02,13.53,0.01,13.347,0.02,,,12.484,0.023,12.159,0.024,12.077,0.021,5793,89,111,4.381,0.096,0.528,-0.178,0.16,0.32,1.035,0.916,0.136,0.988,0.115,0.115,0.814,0.352,0.687,607.5,520.6,98.47,0.034,0.013,0.008
2087,2087,2087,211983125,08 39 07.876,+19 58 53.23,1,12.486,,,550-045873,08390787+1958532,,STAR,gri,rpm,1.2,1.5,2,1.7,,,13.097,0.01,12.548,0.02,,,12.787,0.01,12.441,0.01,12.357,0.01,,,11.546,0.02,11.325,0.021,11.26,0.022,6330,101,101,4.083,0.21,0.252,-0.032,0.12,0.21,1.701,0.598,0.442,1.301,0.205,0.114,0.257,0.292,0.154,683.1,247.7,155.3,0.034,0.011,0.007
2088,2088,2088,211983132,08 41 21.407,+19 58 53.59,1,17.807,,,,08412140+1958535,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.289,0.19,15.827,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,
2089,2089,2089,211983198,08 20 08.576,+19 58 58.09,1,11.382,,1386-538-1,550-044936,08200856+1958581,,STAR,gri,plx,-4.9,1.8,1,2.1,,,12.828,0.282,12.051,0.189,,,12.078,0.04,11.323,0.01,11.083,0.04,,,9.887,0.021,9.422,0.028,9.331,0.019,4937,80,60,2.42,0.414,0.054,-0.539,0.16,0.16,10.309,0.611,3.259,1.011,0.211,0.088,9.12E-04,0.002,1.27E-04,1232,554,554,0.034,0.011,0.008
2090,2090,2090,211983210,08 32 28.546,+19 58 58.66,1,18.429,,,,08322854+1958586,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.862,0.179,,,15.427,0.164,,,,,,,,,,,,,,,,,,,,,,,,
2091,2091,2091,211983226,08 50 52.915,+19 58 59.55,1,13.58,,,550-046360,08505291+1958595,,STAR,gri,rpm,-23.6,17.5,-15.4,3.3,,,14.666,0.06,13.751,0.01,,,14.206,0.02,13.491,0.02,13.312,0.08,,,12.219,0.023,11.81,0.021,11.755,0.018,5207,83,104,4.552,0.035,0.077,-0.085,0.16,0.2,0.818,1.119,0.065,0.889,0.064,0.089,1.605,0.281,0.365,368.3,54.76,34.72,0.03,0.011,0.007
2092,2092,2092,211983238,08 53 19.110,+19 59 00.59,1,15.766,,,,08531911+1959005,5071-301-4-0130-0272,EXTENDED,gri,,3,2,2,2,,,,,,,18.535,0.031,16.741,0.004,15.782,0.003,15.348,0.003,14.99,0.006,14.777,0.061,14.038,0.072,13.593,0.064,,,,,,,,,,,,,,,,,,,,,,,,
2093,2093,2093,211983336,08 18 04.913,+19 59 06.16,1,16.868,,,,08180491+1959061,,EXTENDED,JHK,,,,,,,,,,,,,,,,,,,,,,14.626,0.086,14.098,0.079,13.771,0.088,,,,,,,,,,,,,,,,,,,,,,,,
2094,2094,2094,211983352,08 29 18.279,+19 59 07.03,1,13.842,,,550-045409,08291827+1959069,,STAR,gri,rpm,-4.5,2.2,-7.1,2.6,,,14.608,0.08,13.942,0.06,,,14.258,0.03,13.84,0.045,13.665,0.07,,,12.858,0.025,12.514,0.026,12.476,0.023,5930,138,173,4.321,0.132,0.352,-0.269,0.2,0.24,1.091,0.568,0.162,0.99,0.102,0.102,0.689,0.342,0.499,774.4,386.9,130.3,0.033,0.011,0.008
2095,2095,2095,211983364,08 17 07.131,+19 59 07.93,1,14.8,,,,08170713+1959079,6597-301-3-0196-0212,EXTENDED,gri,,2,2,0,2,,,,,,,17.216,0.016,15.648,0.003,14.849,0.003,14.437,0.003,14.102,0.005,14.294,0.061,13.623,0.076,13.329,0.067,,,,,,,,,,,,,,,,,,,,,,,,
