,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
1,1,1,211920142,08 40 29.581,+19 01 37.61,1,13.503,,,546-046689,08402957+1901377,,STAR,gri,rpm,-4,2,4.6,2.1,,,13.985,0.02,13.525,0.01,,,13.669,0.01,13.447,0.02,13.371,0.01,,,12.708,0.022,12.503,0.023,12.484,0.026,6624,132,106,4.171,0.126,0.126,-0.216,0.12,0.3,1.466,0.293,0.207,1.241,0.132,0.158,0.367,0.176,0.138,1058,234,140.7,0.032,0.007,0.006
2,2,2,211920155,08 26 36.444,+19 01 38.44,1,11.61,,1387-823-1,546-046024,08263642+1901385,,STAR,gri,plx,-19.9,1.9,-18.7,2,,,12.142,0.159,12.137,0.219,,,12.042,0.02,11.596,0.01,11.425,0.01,,,10.568,0.021,10.265,0.022,10.193,0.021,5888,71,71,4.423,0.04,0.048,-0.146,0.15,0.18,1.001,0.078,0.06,0.988,0.072,0.087,0.944,0.152,0.155,248.3,21.91,21.91,0.027,0.008,0.007
3,3,3,211920158,08 37 01.688,+19 01 38.65,1,10.2,,1395-855-1,546-046524,08370168+1901384,,STAR,gri,plx,-15.7,1.5,-8.5,1.6,,,11.58,0.13,10.375,0.057,,,10.95,0.02,10.303,0.09,9.879,0.01,,,8.74,0.029,8.305,0.031,8.171,0.021,5021,124,124,3.021,0.315,0.567,-0.567,0.35,0.42,4.986,4.603,1.618,1.034,0.34,0.142,0.008,0.014,0.007,366.8,98.55,98.55,0.03,0.011,0.006
4,4,4,211920209,08 53 41.388,+19 01 42.06,1,16.394,,,546-047221,,,STAR,BV,,1.7,10,-10.3,8.3,,,16.113,0.08,16.231,0.05,,,16.002,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,211920210,08 15 26.249,+19 01 42.09,1,15.119,,,,08152624+1901420,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,13.072,0.022,12.495,0.03,12.275,0.021,3631,179,179,4.995,0.084,0.07,-0.061,0.15,0.24,0.276,0.063,0.069,0.288,0.089,0.106,12.7,8.572,3.914,115.9,33.39,34.59,0.017,0.007,0.006
6,6,6,211920250,08 30 03.694,+19 01 44.12,1,15.084,,,546-046201,08300369+1901443,5037-301-4-0099-0045,STAR,gri,col,,,,,,,16.612,0.01,15.456,0.06,,,16.156,0.04,15.012,0.055,14.624,0.16,,,13.452,0.025,12.818,0.026,12.681,0.022,4274,127,127,4.756,0.084,0.06,-0.172,0.2,0.28,0.53,0.076,0.09,0.581,0.085,0.085,3.771,1.781,0.91,316,63.05,61.98,0.029,0.01,0.007
7,7,7,211920275,08 53 17.543,+19 01 45.75,1,12.911,,,546-047200,08531754+1901456,,STAR,gri,rpm,-7.3,1.5,-8.4,1.6,,,13.961,0.03,13.138,0.02,,,13.53,0.01,12.867,0.04,12.646,0.06,,,11.635,0.023,11.242,0.021,11.17,0.022,5277,107,107,3.835,0.715,0.33,-0.242,0.25,0.4,1.893,1.149,1.16,0.948,0.205,0.079,0.109,1.575,0.074,660.9,358,405.9,0.032,0.008,0.007
8,8,8,211920311,08 18 50.425,+19 01 47.51,1,14.638,,,546-045592,08185041+1901475,4569-301-3-0087-0048,STAR,gri,rpm,-3.5,4.5,5.9,5,,,15.274,0.05,14.751,0.03,,,14.966,0.01,14.652,0.051,14.498,0.06,,,13.696,0.021,13.44,0.029,13.328,0.036,6219,126,126,4.231,0.115,0.161,-0.451,0.25,0.35,1.225,0.253,0.178,0.978,0.145,0.121,0.496,0.255,0.219,1314,293.7,203.3,0.033,0.011,0.007
9,9,9,211920328,08 24 38.689,+19 01 48.37,1,12.579,,,546-045934,08243868+1901483,,STAR,gri,rpm,7.6,1.9,-29.9,2.4,,,13.573,0.04,12.77,0.03,,,13.13,0.02,12.535,0.01,12.343,0.06,,,11.37,0.02,11,0.022,10.912,0.017,5508,65,87,4.512,0.035,0.063,-0.013,0.12,0.24,0.881,0.078,0.072,0.945,0.051,0.101,1.313,0.23,0.298,284.9,40.26,25.67,0.029,0.011,0.007
10,10,10,211920346,08 17 04.305,+19 01 49.28,1,13.343,,,546-045502,08170430+1901492,,STAR,gri,rpm,-12.3,2.1,3.3,2.6,,,14.018,0.03,13.432,0.02,,,13.666,0.01,13.302,0.02,13.204,0.07,,,12.364,0.021,12.116,0.022,12.049,0.021,6219,99,99,4.223,0.125,0.175,-0.212,0.16,0.28,1.293,0.345,0.188,1.105,0.107,0.149,0.47,0.233,0.224,757.5,190.9,117.5,0.034,0.013,0.008
11,11,11,211920389,08 51 46.614,+19 01 51.51,1,12.8,,,546-047141,08514661+1901516,,STAR,gri,lam,51,1.5,-32.6,1.7,,,14.041,0.02,13.091,0.03,,,13.55,0.02,12.739,0.04,12.478,0.06,,,11.431,0.023,10.914,0.021,10.862,0.018,4827,174,174,4.613,0.025,0.03,0.044,0.1,0.1,0.728,0.05,0.039,0.8,0.041,0.041,2.035,0.248,0.263,209.6,24.49,21.93,0.024,0.008,0.007
12,12,12,211920429,08 41 10.758,+19 01 53.94,1,17.085,,,,08411075+1901539,5037-301-1-0115-0327,STAR,gri,rpm,-32,3,-9,3,,,,,,,22,0.129,19.278,0.011,17.788,0.006,16.145,0.005,15.257,0.006,13.705,0.026,13.077,0.031,12.842,0.028,3559,35,214,5.073,0.035,0.035,-0.166,0.18,0.06,0.212,0.033,0.028,0.206,0.041,0.041,20.04,5.188,4.121,110,17.47,25.63,0.022,0.001,0.007
13,13,13,211920430,08 12 32.737,+19 01 54.01,1,13.856,,,546-045261,08123274+1901540,,STAR,gri,rpm,7.4,2,-8.9,2.3,,,14.645,0.06,13.994,0.02,,,14.25,0.04,13.824,0.03,13.687,0.05,,,12.744,0.021,12.46,0.017,12.356,0.022,5997,123,98,4.282,0.12,0.216,-0.191,0.2,0.28,1.169,0.322,0.165,1.039,0.087,0.104,0.593,0.305,0.312,783.9,220.9,127.4,0.034,0.014,0.008
14,14,14,211920433,08 40 24.793,+19 01 54.06,1,13.376,,,546-046684,08402478+1901541,,STAR,gri,lam,-2.7,2.6,-2.2,2.2,,,14.094,0.02,13.475,0.01,,,13.733,0.01,13.33,0.02,13.223,0.04,,,12.405,0.022,12.114,0.021,12.076,0.024,5945,117,141,4.309,0.114,0.152,-0.047,0.12,0.14,1.154,0.237,0.144,1.05,0.073,0.073,0.622,0.319,0.264,658.6,142.8,99.34,0.033,0.011,0.008
15,15,15,211920497,08 55 39.174,+19 01 57.73,1,13.21,,,546-047302,08553917+1901577,,STAR,gri,rpm,8.3,2,-6.5,1.5,,,14.294,0.05,13.444,0.01,,,13.853,0.01,13.194,0.01,12.934,0.03,,,11.863,0.022,11.448,0.022,11.346,0.02,5128,83,62,3.397,0.368,0.322,-0.698,0.45,0.25,3.155,1.121,0.827,0.908,0.245,0.021,0.026,0.053,0.016,1186,425.8,313.3,0.034,0.016,0.01
16,16,16,211920528,08 44 30.346,+19 01 58.97,1,12.279,,,546-046879,08443034+1901590,,STAR,gri,rpm,1.3,2.5,-2.1,4.2,,,12.883,0.04,12.393,0.01,,,12.561,0.04,12.253,0.03,12.158,0.04,,,11.367,0.025,11.093,0.024,11.034,0.019,6262,126,126,4.132,0.165,0.231,-0.181,0.2,0.44,1.453,0.657,0.272,1.142,0.238,0.238,0.309,0.234,0.184,547.1,249.6,114.5,0.032,0.008,0.006
17,17,17,211920578,08 54 56.300,+19 02 01.27,1,11.823,,1397-254-1,546-047273,,,STAR,gri,,-0.4,2.2,-2.9,2.3,,,12.006,0.152,11.989,0.23,,,11.895,0.03,11.799,0.01,11.715,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,18,211920604,08 43 50.990,+19 02 02.61,1,12.258,,,546-046845,08435099+1902027,,STAR,gri,rpm,3.7,1.5,1.5,0.5,,,12.892,0.06,12.37,0.01,,,12.564,0.05,12.242,0.02,12.127,0.04,,,11.305,0.022,11.045,0.02,10.972,0.019,6225,150,125,4.11,0.22,0.264,-0.114,0.15,0.21,1.576,0.675,0.405,1.188,0.254,0.152,0.26,0.336,0.164,540.8,260.6,132.5,0.032,0.008,0.006
19,19,19,211920612,08 43 56.136,+19 02 03.03,1,8.433,42853,1396-218-1,546-046848,08435613+1902030,,STAR,BV,plx,-20.75,1.55,1.55,0.82,3.43,0.97,8.444,0.016,8.35,0.014,,,,,,,,,,,7.617,0.027,7.319,0.038,7.235,0.021,5939,108,252,3.338,0.1,0.024,-0.042,0.12,0.08,4.956,0.21,0.457,1.963,0.047,0.083,0.016,0.004,0.001,314.4,34.85,34.85,0.036,0.005,0.015
20,20,20,211920633,08 51 15.794,+19 02 04.21,1,15.548,,,,08511579+1902042,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,13.46,0.024,12.846,0.023,12.651,0.023,3822,181,151,4.912,0.088,0.055,-0.092,0.16,0.28,0.355,0.066,0.072,0.387,0.075,0.105,8.296,4.377,2.258,187.2,39.43,43.95,0.023,0.008,0.006
21,21,21,211920671,08 33 15.241,+19 02 06.22,1,15.42,,,546-046350,08331526+1902063,,STAR,gri,rpm,-158,8,-68,8,,,17.951,0.14,16.238,0.072,,,17.126,0.04,15.781,0.01,14.688,0.04,,,12.982,0.025,12.362,0.021,12.172,0.018,3416,41,54,5.084,0.025,0.03,-0.002,0.08,0.06,0.205,0.02,0.015,0.189,0.022,0.018,21.3,3.156,3.255,70.31,17.88,25.62,0.01,0.007,0.004
22,22,22,211920677,08 36 00.412,+19 02 06.49,1,17.553,,,,08360041+1902064,,STAR,JHK,rpm,4,4,6,2,,,,,,,,,,,,,,,,,15.127,0.077,14.455,0.079,14.209,0.081,4257,387,387,4.749,0.132,0.11,-0.136,0.2,0.28,0.518,0.124,0.134,0.584,0.121,0.17,3.924,3.553,1.448,639.4,259.6,214.6,0.032,0.011,0.007
23,23,23,211920704,08 30 53.663,+19 02 07.63,1,14.229,,,546-046235,08305366+1902077,,STAR,gri,rpm,-52.7,3.8,11,4.2,,,16.379,0.01,14.945,0.11,,,15.748,0.01,14.357,0.03,13.578,0.01,,,12.01,0.022,11.312,0.023,11.142,0.019,3764,60,37,4.931,0.036,0.036,-0.037,0.08,0.06,0.351,0.029,0.031,0.388,0.041,0.035,8.799,1.421,1.447,95.75,9.625,5.564,0.02,0.003,0.008
24,24,24,211920710,08 45 22.405,+19 02 08.25,1,16.948,,,,08452240+1902082,5061-301-4-0118-0334,STAR,gri,rpm,-35,3,-10,3,,,,,,,21.278,0.085,19.077,0.009,17.621,0.006,16.036,0.005,15.172,0.006,13.698,0.026,13.092,0.021,12.828,0.026,3554,57,57,5.043,0.042,0.035,-0.036,0.15,0.18,0.242,0.026,0.031,0.238,0.034,0.04,16.57,3.861,2.723,129.4,13.93,20.28,0.021,0.006,0.007
25,25,25,211920711,08 31 56.254,+19 02 08.26,1,14.161,,,546-046303,08315624+1902083,,STAR,gri,col,,,,,,,16.538,0.13,15.007,0.07,,,15.79,0.03,14.435,0.05,13.463,0.03,,,11.715,0.021,11.025,0.021,10.812,0.019,3667,59,88,4.936,0.07,0.035,0.141,0.08,0.1,0.34,0.024,0.067,0.371,0.027,0.088,9.299,4.019,1.529,76.6,14.23,16.26,0.011,0.005,0.003
26,26,26,211920732,08 38 59.036,+19 02 09.36,1,12.7,,,546-046618,08385903+1902093,,STAR,gri,rpm,18.1,1.6,-36.3,1.8,,,13.767,0.03,12.903,0.02,,,13.296,0.01,12.644,0.02,12.445,0.03,,,11.456,0.021,11.057,0.021,10.966,0.02,5286,63,85,4.551,0.04,0.04,-0.173,0.25,0.3,0.801,0.064,0.079,0.843,0.067,0.08,1.573,0.362,0.249,266.4,28,35.45,0.027,0.008,0.008
27,27,27,211920741,08 39 22.629,+19 02 09.78,1,12.396,,,546-046638,08392263+1902097,,STAR,gri,rpm,-6,1.5,-13.1,1.6,,,13.434,0.04,12.615,0.01,,,12.968,0.01,12.352,0.01,12.152,0.04,,,11.134,0.02,10.769,0.023,10.686,0.02,5434,87,109,4.469,0.075,0.675,-0.057,0.25,0.25,0.929,1.197,0.124,0.947,0.108,0.077,1.169,0.426,1.059,270.9,344.6,38.2,0.03,0.008,0.005
28,28,28,211920782,08 41 03.593,+19 02 11.82,1,13.492,,,546-046720,08410359+1902119,,STAR,gri,lam,-4.4,2,-6,2.4,,,14.616,0.01,13.696,0.01,,,14.13,0.03,13.408,0.02,13.219,0.05,,,12.166,0.023,11.802,0.021,11.713,0.023,5346,222,95,4.501,0.024,0.06,0.216,0.1,0.1,0.898,0.096,0.022,0.942,0.056,0.022,1.278,0.11,0.267,407.2,60.32,22.78,0.03,0.013,0.007
29,29,29,211920814,08 55 41.666,+19 02 13.03,1,17.096,,,,08554166+1902130,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,14.927,0.066,14.174,0.081,14.004,0.087,4152,350,291,4.79,0.12,0.1,-0.141,0.2,0.28,0.481,0.108,0.133,0.532,0.112,0.157,4.349,3.547,1.509,570.5,206.2,200.1,0.032,0.011,0.008
30,30,30,211920850,08 42 19.239,+19 02 14.82,1,16.222,,,,08421923+1902148,5037-301-1-0116-0321,STAR,gri,rpm,-32,3,-4,3,,,,,,,20.61,0.047,18.078,0.006,16.632,0.005,15.426,0.005,14.789,0.005,13.437,0.024,12.838,0.024,12.529,0.023,3516,71,71,5.038,0.04,0.04,0.039,0.1,0.24,0.237,0.034,0.029,0.23,0.046,0.034,16.32,4.32,2.9,108.3,19.53,13.98,0.017,0.007,0.005
31,31,31,211920867,08 33 38.445,+19 02 15.68,1,14.423,,,546-046364,08333844+1902156,,STAR,gri,rpm,-2.7,2.7,0.5,3.6,,,15.43,0.058,14.586,0.01,,,14.944,0.04,14.342,0.01,14.2,0.03,,,13.145,0.04,12.727,0.032,12.687,0.031,5482,109,131,4.488,0.06,0.69,-0.126,0.16,0.32,0.908,1.256,0.091,0.939,0.109,0.093,1.252,0.306,1.148,661.8,854.3,85.39,0.033,0.011,0.007
32,32,32,211920892,08 31 46.887,+19 02 17.16,1,13.101,,,546-046292,08314688+1902171,,STAR,gri,rpm,-3.7,1.4,-9.5,2.5,,,13.834,0.06,13.22,0.03,,,13.46,0.03,13.089,0.04,12.947,0.06,,,12.094,0.023,11.797,0.023,11.751,0.018,6077,121,121,4.202,0.175,0.21,-0.266,0.2,0.28,1.333,0.341,0.319,1.037,0.12,0.12,0.432,0.391,0.233,676.8,169.4,159.1,0.033,0.011,0.007
33,33,33,211920962,08 26 56.488,+19 02 20.79,1,15.188,,,546-046047,08265649+1902209,,STAR,gri,rpm,-15.2,4.2,7.9,4.9,,,16.301,0.05,15.37,0.04,,,15.788,0.02,15.085,0.05,14.931,0.08,,,13.784,0.024,13.305,0.024,13.259,0.028,5124,123,102,4.591,0.035,0.042,-0.241,0.2,0.28,0.74,0.062,0.068,0.797,0.073,0.087,1.863,0.398,0.277,666.3,81.99,73,0.032,0.011,0.008
34,34,34,211920978,08 52 33.228,+19 02 21.44,1,16.727,,,,08523322+1902214,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.284,0.051,14.471,0.068,13.87,0.048,2072,44,48,5.366,0.02,0.02,-0.266,0.06,0.18,0.094,0.002,0.002,0.076,0.002,0.002,89,5.34,6.322,34.1,9.829,1.023,0.005,0.002,0.001
35,35,35,211920983,08 31 20.075,+19 02 21.54,1,12.689,,,546-046267,08312007+1902216,,STAR,gri,rpm,-5,1.3,-6.6,2.3,,,13.504,0.05,12.874,0.04,,,13.151,0.02,12.698,0.02,12.491,0.01,,,11.597,0.023,11.256,0.027,11.18,0.02,5778,141,283,3.984,0.456,0.342,-0.337,0.3,0.66,1.573,1.214,0.685,0.988,0.14,0.117,0.189,0.86,0.155,608.4,386.5,265.6,0.034,0.013,0.009
36,36,36,211921016,08 36 16.859,+19 02 23.45,1,18.815,,,,,5061-301-6-0105-0256,STAR,gri,,-24,3,-36,3,,,,,,,19.27,0.024,18.757,0.008,18.835,0.01,18.982,0.014,19.144,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,37,211921026,08 18 52.619,+19 02 23.98,1,13.618,,,546-045594,08185261+1902240,,STAR,gri,rpm,-4.6,2.3,-7,2.8,,,14.47,0.02,13.757,0.02,,,14.062,0.01,13.599,0.02,13.427,0.08,,,12.494,0.023,12.169,0.024,12.089,0.021,5876,93,93,4.35,0.108,0.396,-0.138,0.16,0.24,1.085,0.691,0.143,1.005,0.1,0.1,0.743,0.295,0.56,646.2,387.4,98.72,0.033,0.011,0.007
38,38,38,211921039,08 31 12.998,+19 02 24.72,1,14.037,,,546-046260,08311299+1902248,,STAR,gri,rpm,0.3,2.5,-4.4,5.7,,,15.371,0.08,14.338,0.02,,,14.825,0.03,14.032,0.01,13.699,0.02,,,12.507,0.022,11.946,0.025,11.859,0.02,4770,75,93,2.275,0.624,1.404,-0.823,0.42,1.61,11.181,32.722,5.952,0.896,0.095,0.095,4.43E-04,0.005,4.36E-04,4989,12530,2506,0.032,0.025,0.005
39,39,39,211921097,08 33 05.753,+19 02 28.10,1,19.093,,,,08330575+1902280,5045-301-3-0114-0345,STAR,gri,rpm,-32,5,-8,5,,,,,,,23.808,0.697,21.475,0.048,19.938,0.024,18.072,0.008,17.093,0.013,15.578,0.058,14.972,0.062,14.631,0.08,2910,29,29,5.217,0.02,0.02,0.118,0.12,0.21,0.136,0.003,0.003,0.113,0.002,0.002,43.99,2.639,2.639,123.1,3.693,3.693,0.02,0.002,0.007
40,40,40,211921144,08 26 22.641,+19 02 30.38,1,15.211,,,546-046014,08262264+1902304,5037-301-5-0094-0051,STAR,gri,rpm,-11.9,4.2,-7.8,4.8,,,16.213,0.08,15.38,0.01,,,15.805,0.02,15.071,0.03,14.956,0.07,,,13.865,0.024,13.44,0.027,13.326,0.029,5152,103,83,4.57,0.03,0.036,-0.096,0.16,0.2,0.776,0.054,0.05,0.828,0.062,0.062,1.734,0.234,0.244,739.4,67.61,61.94,0.034,0.013,0.009
41,41,41,211921177,08 48 03.442,+19 02 32.27,1,13.519,,,546-047018,08480343+1902322,,STAR,gri,lam,1,2.3,9.5,2.5,,,14.207,0.02,13.625,0.03,,,13.845,0.02,13.47,0.02,13.379,0.04,,,12.57,0.025,12.274,0.037,12.206,0.024,5979,119,143,4.388,0.072,0.108,-0.266,0.12,0.15,1.025,0.158,0.088,0.966,0.082,0.068,0.87,0.213,0.257,628,100.4,63.12,0.033,0.01,0.007
42,42,42,211921220,08 44 06.623,+19 02 34.14,1,13.832,,,546-046859,08440662+1902341,,STAR,gri,lam,-4.8,2.1,-3.8,2.5,,,14.453,0.06,13.948,0.01,,,14.136,0.04,13.803,0.03,13.702,0.05,,,12.912,0.025,12.633,0.022,12.555,0.019,6082,121,121,4.126,0.161,0.138,-0.537,0.15,0.15,1.352,0.28,0.232,0.944,0.077,0.066,0.348,0.274,0.136,1007,165.2,167.8,0.034,0.01,0.007
43,43,43,211921250,08 53 54.374,+19 02 36.01,1,13.339,,,546-047236,08535437+1902359,,STAR,gri,lam,-12.8,1.7,2.7,1.9,,,14.46,0.05,13.55,0.01,,,13.972,0.02,13.279,0.04,13.068,0.04,,,11.945,0.022,11.52,0.029,11.384,0.023,4983,99,79,3.611,0.126,0.09,-0.084,0.1,0.1,2.74,0.37,0.386,1.191,0.096,0.096,0.055,0.028,0.016,1036,130.7,116.1,0.034,0.011,0.007
44,44,44,211921278,08 48 30.212,+19 02 37.78,1,14.653,,,,08483021+1902377,5071-301-3-0120-0261,EXTENDED,gri,,-11,2,10,2,,,,,,,17.664,0.043,15.531,0.003,14.702,0.003,14.276,0.003,13.968,0.005,14.876,0.117,14.04,0.115,13.819,0.123,,,,,,,,,,,,,,,,,,,,,,,,
45,45,45,211921308,08 19 25.858,+19 02 39.26,1,13.56,,,546-045626,08192585+1902393,,STAR,gri,rpm,8.2,2.6,0.2,3.1,,,14.451,0.05,13.739,0.04,,,14.041,0.01,13.544,0.01,13.354,0.07,,,12.465,0.021,12.074,0.022,12.005,0.021,5650,112,112,4.445,0.075,0.675,-0.388,0.3,0.3,0.985,1.242,0.16,0.929,0.085,0.12,0.995,0.49,0.899,547.1,644.9,101.4,0.033,0.008,0.007
46,46,46,211921327,08 39 45.119,+19 02 40.20,1,13.765,,,546-046655,08394511+1902403,,STAR,gri,rpm,23.8,3.2,-8.6,2.3,,,14.707,0.02,13.958,0.01,,,14.268,0.01,13.732,0.01,13.55,0.05,,,12.685,0.023,12.32,0.021,12.229,0.024,5576,89,89,4.491,0.055,0.517,-0.321,0.25,0.3,0.876,0.787,0.092,0.888,0.078,0.078,1.264,0.346,1.063,526.1,478.2,59.37,0.03,0.01,0.006
47,47,47,211921414,08 39 04.617,+19 02 45.41,1,11.439,,1395-1240-1,546-046620,08390461+1902453,,STAR,gri,rpm,-8.6,1.8,1.9,1.9,,,11.924,0.128,11.866,0.21,,,11.629,0.01,11.376,0.04,11.335,0.03,,,10.625,0.02,10.402,0.021,10.352,0.018,6510,156,104,4.087,0.16,0.288,-0.084,0.15,0.21,1.64,0.845,0.333,1.358,0.18,0.154,0.254,0.198,0.164,448,233.8,84.86,0.031,0.01,0.006
48,48,48,211921422,08 25 49.251,+19 02 45.79,1,15.253,,,546-045989,08254926+1902457,,STAR,gri,rpm,-10.5,4.1,-7.5,4.8,,,16.571,0.07,15.61,0.04,,,16.129,0.03,15.23,0.03,14.878,0.08,,,13.814,0.024,13.303,0.026,13.207,0.031,4805,96,77,4.622,0.03,0.036,-0.081,0.16,0.24,0.706,0.044,0.049,0.775,0.039,0.069,2.152,0.29,0.303,601.8,44.53,57.23,0.034,0.013,0.008
49,49,49,211921444,08 48 52.612,+19 02 47.01,1,16.233,,,,08485261+1902470,5071-301-3-0121-0200,STAR,gri,rpm,-28,2,-5,2,,,,,,,20.629,0.057,17.994,0.006,16.537,0.005,15.479,0.005,14.93,0.005,13.684,0.027,13.037,0.034,12.822,0.023,3564,125,83,5.024,0.049,0.035,-0.049,0.18,0.15,0.256,0.028,0.043,0.257,0.044,0.061,14.35,4.83,2.192,135.4,19.2,26.85,0.022,0.006,0.007
50,50,50,211921456,08 30 38.966,+19 02 47.43,1,11.592,,1387-1202-1,546-046225,08303895+1902474,,STAR,gri,plx,-16,1.8,-8.3,1.9,,,12.312,0.283,11.683,0.21,,,11.729,0.03,11.546,0.03,11.481,0.06,,,10.876,0.023,10.722,0.021,10.675,0.021,6873,210,168,4.201,0.07,0.168,-0.046,0.1,0.1,1.546,0.404,0.187,1.43,0.124,0.124,0.363,0.127,0.164,398.1,107.5,107.5,0.031,0.015,0.005
51,51,51,211921520,08 47 49.226,+19 02 51.60,1,15.119,,,,08474922+1902516,5071-301-3-0119-0129,EXTENDED,gri,,-1,2,3,2,,,,,,,18.011,0.026,16.096,0.004,15.133,0.003,14.7,0.003,14.365,0.005,14.507,0.058,13.947,0.085,13.511,0.08,,,,,,,,,,,,,,,,,,,,,,,,
52,52,52,211921619,08 45 21.654,+19 02 56.67,1,16.686,,,,08452165+1902566,5061-301-4-0118-0340,STAR,gri,rpm,145,6,-129,6,,,,,,,21.379,0.091,18.907,0.008,17.398,0.006,15.734,0.005,14.827,0.005,13.338,0.024,12.704,0.023,12.422,0.023,3005,73,73,5.206,0.02,0.02,-0.013,0.06,0.34,0.143,0.007,0.006,0.12,0.007,0.005,40.98,3.44,3.778,52.1,23.87,18.24,0.008,0.004,0.004
53,53,53,211921630,08 13 46.863,+19 02 57.44,1,18.44,,,,08134686+1902574,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.872,0.171,,,15.752,0.212,,,,,,,,,,,,,,,,,,,,,,,,
54,54,54,211921647,08 45 46.535,+19 02 58.06,1,8.678,42993,1396-1624-1,546-046936,08454653+1902581,,STAR,gri,plx,-40.12,1.03,-13.69,0.65,5.46,0.85,8.25,0.017,7.997,0.012,,,9.644,0.01,9.197,0.12,8.265,0.1,,,7.578,0.023,7.556,0.02,7.534,0.027,7571,277,277,4.074,0.06,0.06,0.055,0.12,0.15,1.985,0.147,0.137,1.749,0.071,0.071,0.219,0.051,0.041,155.8,10.54,10.54,0.021,0.008,0.007
55,55,55,211921685,08 32 45.598,+19 02 59.92,1,18.079,,,,08324559+1902599,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.537,0.121,16.065,0.174,15.453,0.173,3825,775,352,4.951,0.125,0.25,-0.246,0.25,0.4,0.298,0.257,0.107,0.339,0.254,0.158,9.638,10.5,6.673,668.3,862,298.5,0.032,0.011,0.008
56,56,56,211921708,08 44 47.481,+19 03 01.45,1,11.393,,1396-132-1,546-046890,08444748+1903012,,STAR,gri,rpm,0.6,1.7,8.2,2,,,12.367,0.235,11.783,0.196,,,12.075,0.04,11.364,0.02,11.101,0.03,,,9.983,0.022,9.477,0.022,9.361,0.019,4939,79,79,2.435,0.665,0.114,-0.539,0.2,0.36,9.992,1.076,5.19,1.005,0.183,0.115,9.95E-04,0.009,2.81E-04,1405,146.2,688.3,0.034,0.01,0.008
57,57,57,211921713,08 41 37.131,+19 03 01.78,1,12.712,,,546-046743,08413713+1903017,,STAR,gri,rpm,10.9,1.4,-5.8,1.4,,,13.219,0.03,12.746,0.01,,,12.9,0.03,12.649,0.03,12.523,0.05,,,11.83,0.02,11.586,0.021,11.563,0.018,6387,150,100,4.172,0.108,0.189,-0.222,0.2,0.48,1.42,0.343,0.173,1.173,0.154,0.216,0.371,0.191,0.18,665.2,187.4,84.23,0.03,0.01,0.007
58,58,58,211921748,08 16 25.186,+19 03 03.23,1,12.669,,,546-045467,08162519+1903032,,STAR,gri,rpm,-6.7,1.8,1.3,2.3,,,13.143,0.04,12.696,0.02,,,12.846,0.01,12.61,0.03,12.529,0.06,,,11.804,0.023,11.575,0.022,11.547,0.019,6607,106,133,4.126,0.125,0.175,-0.197,0.2,0.24,1.564,0.453,0.23,1.276,0.171,0.147,0.302,0.166,0.138,739.5,190.2,111.5,0.031,0.01,0.007
59,59,59,211921762,08 57 41.486,+19 03 03.91,1,17.549,,,,08574148+1903039,5071-301-1-0134-0128,STAR,gri,rpm,-41,3,-46,3,,,,,,,22.518,0.258,19.592,0.013,18.14,0.007,16.673,0.005,15.833,0.006,14.423,0.029,13.778,0.035,13.476,0.034,3532,85,85,5.049,0.042,0.035,-0.061,0.15,0.18,0.232,0.028,0.025,0.225,0.038,0.038,17.37,4.298,3.445,166.3,26.4,22.78,0.021,0.008,0.005
60,60,60,211921771,08 29 46.414,+19 03 04.22,1,16.175,,,,08294641+1903042,5037-301-4-0099-0220,EXTENDED,gri,,-2,3,3,3,,,,,,,19.083,0.043,17.198,0.005,16.186,0.004,15.737,0.004,15.362,0.008,15.203,0.092,14.452,0.093,14.006,0.071,,,,,,,,,,,,,,,,,,,,,,,,
