EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
211300479,08 54 32.196,+09 51 16.99,1,13.75,,,500-052622,08543219+0951170,,STAR,gri,rpm,-3.4,1.2,0.8,1.8,,,14.286,0.02,13.823,0.06,,,13.973,0.02,13.675,0.02,13.594,0.03,,,12.805,0.021,12.562,0.031,12.497,0.026,6393,101,152,4.18,0.126,0.168,-0.306,0.25,0.25,1.413,0.369,0.255,1.145,0.117,0.164,0.399,0.198,0.189,1024,249.9,170.4,0.033,0.011,0.007
211300495,08 56 25.708,+09 51 17.87,1,11.2,,811-1241-1,500-052729,08562570+0951177,,STAR,gri,rpm,4.4,1.9,-19.7,1.8,,,11.026,0.061,10.962,0.083,,,11.114,0.03,11.229,0.04,11.466,0.03,,,11.094,0.024,11.111,0.025,11.097,0.024,8671,314,209,4.221,0.036,0.096,-0.142,0.08,0.1,1.731,0.284,0.07,1.838,0.131,0.044,0.35,0.038,0.104,437.6,194.9,73.62,0.029,0.01,0.006
211301171,08 55 49.480,+09 52 08.80,1,13.249,,,500-052690,08554947+0952086,,STAR,gri,rpm,-5.5,2.6,2.4,2.4,,,13.965,0.03,13.394,0.06,,,13.595,0.033,13.229,0.01,13.101,0.05,,,12.235,0.023,11.945,0.024,11.921,0.027,6143,97,121,4.182,0.165,0.231,-0.226,0.2,0.24,1.354,0.462,0.301,1.082,0.143,0.119,0.397,0.334,0.228,727.3,239.4,153.6,0.033,0.01,0.007
211301433,08 55 36.534,+09 52 28.43,1,12.034,,,500-052673,08553654+0952282,,STAR,gri,rpm,-0.7,1.2,-78,2.4,,,13.154,0.01,12.302,0.07,,,12.697,0.02,11.98,0.01,11.75,0.04,,,10.641,0.023,10.231,0.026,10.104,0.021,5183,124,82,4.534,0.054,0.042,0.106,0.09,0.33,0.832,0.017,0.089,0.871,0.042,0.063,1.473,0.377,0.239,212.6,22.23,62.5,0.026,0.01,0.008
211301456,08 53 53.193,+09 52 29.96,1,11.808,,811-1057-1,500-052592,08535318+0952299,,STAR,gri,lam,-10.8,2.9,-3.9,2.9,,,12.62,0.286,11.676,0.171,,,12.023,0.02,11.737,0.05,11.683,0.06,,,10.942,0.022,10.721,0.031,10.674,0.022,6396,128,128,4.225,0.085,0.102,0.002,0.08,0.1,1.391,0.206,0.151,1.26,0.076,0.063,0.43,0.157,0.134,443.7,61.07,53.68,0.031,0.01,0.007
211301689,08 55 26.154,+09 52 46.78,1,9.251,,811-1381-1,500-052664,08552615+0952467,,STAR,gri,plx,3.1,2.1,-5.1,2,,,11.984,0.273,10.015,0.045,,,10.98,0.11,9.75,0.02,8.51,0.01,,,6.338,0.021,5.512,0.023,5.232,0.018,3879,76,76,1.11,0.13,0.182,-0.085,0.15,0.21,51.642,10.847,8.964,1.261,0.213,0.177,8.90E-06,6.39E-06,4.25E-06,1703,2672,2672,0.035,0.013,0.008
211301777,08 55 09.288,+09 52 52.38,1,13.815,,,500-052652,08550928+0952523,5972-301-1-0120-0116,STAR,gri,rpm,12.9,2.5,-2.2,2.8,,,14.42,0.02,13.93,0.04,,,14.108,0.02,13.774,0.02,13.69,0.03,,,12.863,0.026,12.585,0.033,12.506,0.028,6224,100,100,4.238,0.108,0.144,-0.464,0.25,0.3,1.227,0.237,0.168,0.982,0.14,0.117,0.509,0.227,0.205,910.8,161.8,137.4,0.033,0.01,0.008
211301854,08 55 38.084,+09 52 58.48,1,17.857,,,,08553808+0952584,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.763,0.085,15.276,0.1,14.952,0.168,4070,1062,579,4.821,0.216,0.252,-0.242,0.25,0.4,0.416,0.285,0.194,0.468,0.281,0.234,5.415,8.664,3.694,710,971.3,410.2,0.032,0.011,0.008
211301903,08 50 26.025,+09 53 01.99,1,18.81,,,,08502602+0953019,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,16.316,0.095,15.716,0.142,15.367,0.156,3937,595,372,4.899,0.145,0.203,-0.246,0.25,0.35,0.358,0.202,0.129,0.391,0.226,0.189,7.039,8.901,4.399,723.2,605,329.4,0.032,0.011,0.008
211302183,08 55 06.972,+09 53 23.16,1,13.012,,,500-052650,08550696+0953231,,STAR,gri,lam,-12.3,1.3,-19.9,1.6,,,13.864,0.02,13.166,0.04,,,13.451,0.01,12.957,0.03,12.824,0.09,,,11.876,0.023,11.531,0.03,11.481,0.026,5650,137,171,4.451,0.055,0.088,0.062,0.1,0.1,0.978,0.118,0.08,1.002,0.052,0.052,1.061,0.229,0.285,413.3,62.54,45.79,0.029,0.008,0.007
211302193,08 50 54.071,+09 53 24.49,1,12.486,,,500-052466,08505408+0953245,,STAR,gri,rpm,-25.7,1.3,-14.9,2.3,,,13.855,0.08,12.823,0.03,,,13.364,0.06,12.413,0.02,12.11,0.08,,,10.955,0.021,10.5,0.022,10.357,0.018,4902,78,58,4.57,0.028,0.02,0.125,0.08,0.18,0.789,0.016,0.037,0.837,0.043,0.017,1.709,0.217,0.102,183.2,17.68,5.497,0.026,0.013,0.006
211302464,08 54 22.586,+09 53 46.07,1,17.446,,,,08542258+0953460,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.005,0.04,14.377,0.057,14.081,0.052,3734,408,255,4.951,0.11,0.154,-0.109,0.16,0.28,0.3,0.138,0.094,0.341,0.168,0.14,9.484,10.51,4.986,332.7,209.4,128.5,0.029,0.01,0.008
211302521,08 50 28.376,+09 53 50.79,1,12.581,,,500-052447,08502837+0953506,,STAR,gri,rpm,-7.3,1.1,11.5,2,,,13.278,0.09,12.723,0.03,,,12.983,0.05,12.549,0.01,12.409,0.04,,,11.701,0.024,11.426,0.033,11.407,0.027,6003,120,144,4.265,0.138,0.276,-0.075,0.12,0.3,1.208,0.522,0.199,1.092,0.101,0.121,0.533,0.302,0.335,512,211.9,99.65,0.034,0.011,0.007
211302817,08 50 24.613,+09 54 12.83,1,12.81,,,500-052446,08502461+0954127,,STAR,gri,rpm,-18.9,1.4,-4.4,3.5,,,13.718,0.08,12.988,0.03,,,13.329,0.07,12.765,0.03,12.588,0.08,,,11.646,0.02,11.326,0.022,11.265,0.018,5767,137,137,4.418,0.065,0.403,-0.105,0.18,0.18,1.021,0.635,0.112,0.996,0.064,0.076,0.935,0.283,0.699,392.2,246.8,45.05,0.031,0.011,0.008
211302881,08 50 51.612,+09 54 16.55,1,13.055,,,500-052464,08505161+0954166,,STAR,gri,lam,-1.5,1.4,-31.8,1.7,,,13.808,0.08,13.2,0.03,,,13.459,0.06,13.031,0.01,12.882,0.07,,,11.997,0.02,11.711,0.022,11.64,0.02,5888,175,175,4.441,0.072,0.084,-0.518,0.15,0.18,0.92,0.105,0.094,0.856,0.069,0.058,1.071,0.309,0.281,421.8,61.38,53.58,0.032,0.007,0.007
211302942,08 48 51.844,+09 54 21.34,1,15.812,,,500-052374,08485184+0954213,,STAR,gri,rpm,2.5,4.2,-4.5,4.8,,,16.973,0.1,16.029,0.066,,,16.7,0.49,15.833,0.26,15.431,0.1,,,14.589,0.037,14.057,0.045,14.059,0.053,4891,244,244,4.616,0.045,0.063,-0.221,0.2,0.36,0.701,0.093,0.069,0.768,0.064,0.076,2.093,0.482,0.461,864.1,184.4,128.6,0.034,0.011,0.008
211302959,08 56 31.778,+09 54 22.98,1,13.076,,,500-052736,08563177+0954226,,STAR,gri,rpm,-8.9,2.5,-7.8,2.6,,,14.117,0.04,13.365,0.07,,,13.683,0.05,13.065,0.02,12.816,0.08,,,11.923,0.032,11.556,0.035,11.397,0.032,5412,129,193,4.472,0.072,0.984,-0.149,0.2,0.6,0.933,1.948,0.116,0.932,0.123,0.056,1.148,0.386,1.107,395.2,678.3,58.83,0.031,0.012,0.006
211303031,08 51 01.267,+09 54 29.34,1,13.698,,,500-052471,08510127+0954293,,STAR,gri,rpm,-16.7,1.7,5.6,2,,,14.635,0.08,13.9,0.01,,,14.228,0.07,13.707,0.04,13.471,0.13,,,12.533,0.021,12.169,0.024,12.148,0.023,5654,168,168,4.479,0.045,0.099,-0.213,0.2,0.24,0.902,0.153,0.068,0.927,0.073,0.087,1.19,0.224,0.404,517,101.7,52.81,0.032,0.011,0.007
211303180,08 55 31.479,+09 54 40.41,1,13.566,,,500-052668,08553147+0954403,,STAR,gri,rpm,11.1,1.9,-17.5,3.1,,,14.39,0.02,13.72,0.04,,,13.974,0.04,13.518,0.043,13.392,0.01,,,12.449,0.023,12.117,0.032,12.057,0.027,5867,116,162,4.401,0.085,0.221,-0.246,0.2,0.28,1.029,0.38,0.162,0.956,0.084,0.1,0.88,0.349,0.485,576.9,210.3,91.5,0.033,0.011,0.007
211303246,08 49 48.242,+09 54 46.83,1,12.449,,,500-052418,08494824+0954467,,STAR,gri,lam,-10.3,1.5,-2.4,1.3,,,13.564,0.1,12.68,0.03,,,13.116,0.07,12.403,0.02,12.163,0.09,,,11.03,0.024,10.577,0.023,10.464,0.02,4993,60,60,3.205,0.14,0.12,-0.524,0.18,0.12,4.052,0.639,0.552,1.01,0.138,0.077,0.014,0.008,0.004,979.3,179.8,128.3,0.035,0.01,0.008
