,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
13,13,13,211433073,08 30 06.437,+12 08 30.14,1,14.328,,,511-046107,08300643+1208302,5194-301-3-0093-0066,STAR,gri,rpm,8,2.1,-40.6,2.3,,,16.453,0.13,15.012,0.01,,,15.796,0.08,14.451,0.07,13.698,0.02,,,12.063,0.024,11.379,0.022,11.23,0.02,3935,62,62,4.847,0.042,0.03,0.038,0.08,0.1,0.441,0.033,0.042,0.497,0.036,0.05,5.698,1.28,0.678,125.9,13.56,16.05,0.019,0.012,0.005
14,14,14,211433077,08 24 12.967,+12 08 30.41,1,13.408,,,511-045768,08241296+1208305,,STAR,gri,rpm,-8.7,2.1,-7.9,2.4,,,14.406,0.04,13.612,0.04,,,13.945,0.02,13.376,0.04,13.178,0.04,,,12.261,0.027,11.821,0.027,11.741,0.021,5365,150,129,3.792,0.729,0.486,-0.443,0.35,0.7,2.108,1.199,1.314,0.902,0.139,0.042,0.093,1.496,0.073,957.2,495.6,569.6,0.033,0.008,0.007
15,15,15,211433094,08 50 34.782,+12 08 31.21,1,13.875,,,511-047097,08503478+1208312,,STAR,gri,rpm,-5.6,1.4,-2,1.4,,,14.473,0.02,13.873,0.01,,,14.214,0.22,13.738,0.06,13.73,0.24,,,12.765,0.022,12.559,0.023,12.433,0.021,6330,196,196,4.205,0.11,0.154,-0.126,0.15,0.24,1.412,0.301,0.21,1.191,0.128,0.128,0.394,0.202,0.173,1015,240.7,165,0.036,0.013,0.01
16,16,16,211433158,08 51 24.026,+12 08 34.66,1,17.173,,,,08512402+1208346,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.008,0.036,14.483,0.044,14.176,0.052,3558,209,251,5.039,0.096,0.08,-0.064,0.15,0.24,0.238,0.077,0.068,0.223,0.108,0.077,15.85,11.69,5.849,223.8,96.73,78.38,0.025,0.01,0.008
17,17,17,211433200,08 40 26.406,+12 08 36.94,1,12.163,,805-996-1,511-046627,08402640+1208367,,STAR,gri,rpm,0.3,2.4,22.8,2.6,,,12.806,0.286,12.166,0.221,,,12.679,0.15,12.112,0.02,11.941,0.05,,,10.952,0.022,10.521,0.024,10.479,0.018,5265,188,125,3.82,0.742,0.371,-0.207,0.25,0.6,1.993,0.814,1.238,0.921,0.235,0.071,0.11,1.453,0.076,525.7,198.6,324.7,0.029,0.008,0.008
18,18,18,211433203,08 51 43.748,+12 08 37.13,1,15.754,,,511-047203,08514374+1208370,,STAR,gri,rpm,-6.9,2.2,-0.4,2.3,,,17.232,0.12,16.04,0.03,,,16.832,0.14,15.703,0.13,15.292,0.06,,,13.998,0.028,13.318,0.027,13.221,0.03,4305,139,174,4.725,0.054,0.045,-0.021,0.12,0.18,0.567,0.055,0.059,0.637,0.053,0.064,3.27,0.866,0.581,441.4,67.74,58.73,0.031,0.01,0.008
19,19,19,211433225,08 47 37.938,+12 08 38.37,1,12.661,,,511-046943,08473793+1208384,,STAR,gri,rpm,-4.5,1,-0.6,1,,,13.138,0.1,12.722,0.07,,,12.942,0.26,12.595,0.04,12.541,0.03,,,11.777,0.021,11.572,0.025,11.529,0.021,6430,194,194,4.13,0.135,0.189,-0.092,0.15,0.21,1.539,0.505,0.25,1.264,0.139,0.139,0.328,0.192,0.171,702.1,230.3,114.1,0.032,0.011,0.007
20,20,20,211433308,08 52 10.030,+12 08 42.24,1,15.441,,,511-047240,08521002+1208422,,STAR,JHK,rpm,14.2,2.8,-29.1,3.4,,,,,,,,,,,,,,,,,14.008,0.026,13.519,0.03,13.436,0.03,4986,235,196,4.637,0.064,0.04,-0.52,0.25,0.45,0.664,0.055,0.091,0.692,0.061,0.074,2.355,0.822,0.387,632.4,81.75,105.4,0.035,0.01,0.01
21,21,21,211433313,08 53 21.701,+12 08 42.58,1,15.778,,,511-047314,08532172+1208423,,STAR,JHK,rpm,-41.3,2.7,-16,2.8,,,,,,,,,,,,,,,,,14.641,0.03,14.421,0.041,14.284,0.048,6338,155,259,4.367,0.136,0.085,-1.699,0.35,0.42,0.926,0.114,0.148,0.754,0.018,0.028,0.878,0.627,0.265,1520,241.4,301.5,0.035,0.006,0.008
22,22,22,211433343,08 33 01.811,+12 08 43.95,1,13.669,,,511-046259,,5182-301-2-0090-0226,STAR,gri,,3.2,1.2,4,1.5,,,14.385,0.07,13.865,0.05,,,14.061,0.1,13.73,0.06,13.502,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,23,211433349,08 52 51.584,+12 08 44.22,1,16.592,,,,08525158+1208442,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,14.464,0.029,13.894,0.036,13.643,0.035,3598,190,190,5.014,0.102,0.085,-0.078,0.15,0.21,0.257,0.079,0.071,0.26,0.113,0.094,13.08,9.652,4.828,198.3,80.51,66.55,0.023,0.01,0.007
24,24,24,211433352,08 51 08.669,+12 08 44.42,1,17.093,,,,08510866+1208444,6004-301-6-0115-0413,STAR,gri,rpm,-10,3,-1,3,,,,,,,20.959,0.072,18.349,0.007,17.059,0.005,16.555,0.005,16.266,0.007,15.094,0.037,14.453,0.043,14.304,0.055,4048,64,48,4.831,0.064,0.04,-0.181,0.15,0.21,0.444,0.042,0.059,0.504,0.049,0.069,5.473,1.876,0.921,537.2,61.4,85.41,0.033,0.011,0.008
25,25,25,211433378,08 39 26.766,+12 08 46.08,1,13.883,,,511-046572,08392676+1208460,,STAR,gri,rpm,-5.3,1.5,4.1,1.7,,,14.427,0.09,13.926,0.03,,,14.097,0.1,13.812,0.03,13.707,0.05,,,12.91,0.024,12.687,0.027,12.616,0.026,6268,191,153,4.205,0.125,0.15,-0.257,0.2,0.28,1.326,0.296,0.205,1.132,0.133,0.16,0.399,0.234,0.17,1010,243,166.1,0.033,0.011,0.007
26,26,26,211433381,08 52 25.485,+12 08 46.27,1,17.802,,,,08522548+1208462,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.497,0.047,14.748,0.056,14.622,0.072,4160,249,207,4.781,0.084,0.07,-0.155,0.2,0.28,0.496,0.08,0.094,0.547,0.081,0.097,4.484,2.118,1.236,744.5,188.5,176.6,0.034,0.011,0.008
27,27,27,211433467,08 51 40.252,+12 08 51.26,1,16.811,,,,08514025+1208512,6004-301-6-0116-0324,STAR,gri,rpm,-9,2,-2,2,,,,,,,20.575,0.056,17.988,0.006,16.759,0.004,16.306,0.004,16.033,0.007,14.951,0.032,14.321,0.041,14.166,0.052,4168,49,66,4.79,0.07,0.035,-0.181,0.18,0.27,0.493,0.04,0.071,0.557,0.047,0.085,4.539,1.727,0.798,566.4,63.29,88.3,0.032,0.01,0.007
28,28,28,211433501,08 27 45.053,+12 08 52.96,1,12.508,,,511-045963,08274505+1208529,,STAR,gri,rpm,8.2,1.6,-0.4,1.7,,,13.198,0.05,12.649,0.03,,,12.871,0.07,12.513,0.04,12.352,0.06,,,11.521,0.021,11.183,0.023,11.127,0.018,5966,139,208,4.053,0.34,0.204,-0.242,0.25,0.3,1.516,0.527,0.498,1.049,0.16,0.1,0.253,0.554,0.136,578.4,161.6,188.4,0.035,0.01,0.008
29,29,29,211433535,08 28 24.168,+12 08 54.88,1,13.815,,,511-046014,08282416+1208547,,STAR,gri,rpm,-11.4,2.3,0,2.6,,,14.682,0.05,13.983,0.03,,,14.288,0.07,13.787,0.04,13.612,0.05,,,12.686,0.021,12.311,0.03,12.26,0.026,5624,167,167,4.477,0.055,0.583,-0.169,0.2,0.36,0.916,0.927,0.092,0.928,0.085,0.085,1.168,0.302,1.021,565.6,597.7,70.71,0.033,0.01,0.008
30,30,30,211433596,08 49 32.769,+12 08 57.81,1,13.272,,,511-047039,08493277+1208578,,STAR,gri,rpm,-6.1,2,-7.1,2.1,,,13.908,0.1,13.239,0.09,,,13.758,0.6,13.023,0.03,13.064,0.48,,,11.955,0.022,11.65,0.022,11.573,0.018,5935,172,172,4.263,0.155,0.279,-0.149,0.2,0.24,1.201,0.543,0.225,1.032,0.116,0.097,0.55,0.439,0.359,555.6,256.4,117.3,0.033,0.011,0.007
31,31,31,211433632,08 51 35.505,+12 08 59.46,1,16.941,,,,08513550+1208594,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,14.948,0.031,14.302,0.037,14.167,0.055,4170,279,279,4.788,0.1,0.1,-0.186,0.2,0.28,0.478,0.109,0.104,0.539,0.113,0.135,4.261,2.843,1.478,553.7,195,168.2,0.032,0.011,0.008
32,32,32,211433715,08 51 02.741,+12 09 03.88,1,16.114,,,511-047150,08510274+1209039,6004-301-6-0115-0125,STAR,gri,rpm,-7.9,2.6,-3.2,2.8,,,17.5,0.04,16.436,0.03,,,16.992,0.08,16.152,0.07,15.738,0.19,,,14.499,0.027,14.042,0.039,13.871,0.043,5020,152,152,4.6,0.035,0.042,-0.181,0.2,0.28,0.735,0.065,0.071,0.78,0.073,0.073,1.93,0.412,0.34,894.3,109.1,115.4,0.035,0.013,0.008
33,33,33,211433723,08 28 52.070,+12 09 04.22,1,13.571,,,511-046035,08285206+1209042,,STAR,gri,rpm,2.9,1.8,2.7,2.2,,,14.329,0.06,13.667,0.01,,,13.959,0.07,13.534,0.05,13.405,0.07,,,12.523,0.023,12.263,0.022,12.193,0.02,6101,183,147,4.203,0.155,0.248,-0.132,0.2,0.24,1.367,0.496,0.271,1.111,0.153,0.127,0.421,0.311,0.247,843.2,313.3,170.3,0.034,0.011,0.008
34,34,34,211433739,08 47 49.673,+12 09 04.81,1,11.607,,,511-046950,08474967+1209048,,STAR,gri,rpm,-8.8,0.9,-8.2,1.2,,,12.149,0.1,11.674,0.07,,,11.942,0.26,11.534,0.03,11.464,0.02,,,10.647,0.023,10.454,0.025,10.414,0.02,6466,156,195,4.112,0.19,0.228,-0.02,0.15,0.15,1.604,0.594,0.37,1.355,0.177,0.148,0.28,0.272,0.156,465.7,160.2,119.2,0.032,0.008,0.007
35,35,35,211433771,08 51 27.946,+12 09 06.75,1,16.347,,,,08512794+1209067,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,14.56,0.026,14.03,0.033,13.843,0.037,3710,866,254,4.975,0.095,0.266,-0.141,0.2,0.32,0.304,0.251,0.086,0.322,0.309,0.119,11,7.895,7.653,242.3,366.8,82.94,0.025,0.01,0.008
36,36,36,211433800,08 39 50.184,+12 09 08.07,1,11.666,,805-1043-1,511-046591,08395018+1209080,,STAR,gri,rpm,-12.9,2.2,-27.9,2.3,,,12.307,0.197,11.839,0.179,,,11.99,0.09,11.658,0.03,11.528,0.03,,,10.697,0.022,10.42,0.022,10.355,0.018,6024,172,123,4.201,0.198,0.198,-0.253,0.25,0.35,1.274,0.387,0.253,1.023,0.121,0.121,0.436,0.366,0.199,336.4,91.02,71.64,0.03,0.008,0.008
37,37,37,211433807,08 51 24.530,+12 09 08.33,1,18.527,,,,08512452+1209083,,STAR,JHK,rpm,14,4,2,5,,,,,,,,,,,,,,,,,16.002,0.075,15.464,0.114,15.032,0.108,3792,522,261,4.93,0.1,0.18,-0.157,0.2,0.32,0.325,0.165,0.094,0.361,0.192,0.137,8.329,8.29,4.609,577.6,409.7,208.1,0.031,0.011,0.008
38,38,38,211433835,08 53 24.647,+12 09 10.07,1,15.451,,,511-047319,08532467+1209100,,STAR,gri,rpm,2.9,2,-7.8,2.3,,,16.552,0.25,15.697,0.26,,,15.976,0.1,15.5,0.22,15.227,0.04,,,14.3,0.028,13.942,0.034,13.908,0.046,5682,269,224,4.464,0.07,0.182,-0.308,0.25,0.35,0.907,0.256,0.106,0.889,0.081,0.081,1.145,0.382,0.537,1167,412.4,180.6,0.033,0.011,0.008
39,39,39,211433859,08 40 26.334,+12 09 11.30,1,13.399,,,511-046625,08402633+1209113,,STAR,gri,rpm,-22.5,2,-62.4,2.3,,,13.999,0.06,13.502,0.04,,,13.713,0.14,13.362,0.02,13.264,0.08,,,12.424,0.024,12.113,0.027,12.091,0.023,5925,179,179,4.443,0.085,0.153,-0.87,0.3,0.3,0.866,0.208,0.098,0.792,0.065,0.04,1.119,0.408,0.48,442.9,156.8,86.2,0.033,0.008,0.008
40,40,40,211433862,08 36 49.330,+12 09 11.57,1,13.127,,,511-046439,08364933+1209115,,STAR,gri,rpm,-4.1,1.2,-15.9,1.5,,,14.016,0.09,13.28,0.06,,,13.609,0.12,13.083,0.06,12.921,0.04,,,11.997,0.02,11.67,0.023,11.638,0.021,5783,206,137,4.418,0.07,0.35,-0.134,0.18,0.3,1.004,0.517,0.107,0.973,0.094,0.094,0.944,0.286,0.664,453,249.9,52.04,0.034,0.013,0.008
41,41,41,211433866,08 50 49.408,+12 09 11.67,1,19.538,,,,08504940+1209116,6004-301-6-0114-0686,STAR,gri,,-10,4,-7,4,,,,,,,24.99,0.668,21.466,0.043,19.98,0.021,18.711,0.011,17.917,0.017,16.426,0.107,,,15.617,0.174,,,,,,,,,,,,,,,,,,,,,,,,
42,42,42,211433899,08 48 42.709,+12 09 14.09,1,15.765,,,511-046991,08484269+1209141,5935-301-3-0105-0179,STAR,JHK,rpm,-36.2,5.3,1,5.6,,,,,,,,,,,,,,,,,13.583,0.025,13.025,0.027,12.746,0.03,3571,144,123,5.006,0.063,0.045,0.024,0.12,0.15,0.261,0.051,0.049,0.256,0.082,0.055,13.47,5.427,3.393,127.7,38.78,29.74,0.016,0.006,0.003
43,43,43,211433907,08 38 26.533,+12 09 14.32,1,12.591,,,511-046528,08382653+1209144,,STAR,gri,rpm,0.1,1.2,-8.5,1.1,,,13.061,0.02,12.618,0.06,,,12.78,0.08,12.528,0.09,12.431,0.09,,,11.697,0.024,11.408,0.022,11.366,0.021,6077,202,126,4.156,0.205,0.246,-0.152,0.15,0.27,1.327,0.558,0.277,1.102,0.18,0.15,0.372,0.432,0.225,584.1,198.4,148.1,0.031,0.01,0.008
44,44,44,211433938,08 50 15.496,+12 09 16.06,1,17.131,,,511-047080,08501549+1209160,6004-301-6-0114-0417,STAR,JHK,rpm,-4.4,5.2,8.8,3.7,,,,,,,,,,,,,,,,,14.989,0.034,14.318,0.04,14.164,0.047,4217,241,241,4.762,0.096,0.08,-0.146,0.2,0.24,0.501,0.089,0.089,0.568,0.092,0.11,3.972,2.04,1.16,601.9,162.9,150.3,0.033,0.011,0.007
45,45,45,211433978,08 47 01.534,+12 09 18.40,1,13.637,,,511-046924,08470152+1209184,,STAR,gri,rpm,-0.8,1.1,-10.1,1.9,,,14.516,0.09,13.798,0.03,,,14.188,0.27,13.587,0.01,13.401,0.05,,,12.44,0.023,12.099,0.023,12.056,0.019,5704,171,137,4.437,0.07,0.504,-0.138,0.2,0.32,0.994,0.812,0.123,0.978,0.094,0.094,0.967,0.325,0.805,555,425.2,91.24,0.034,0.014,0.008
46,46,46,211433983,08 39 40.773,+12 09 18.74,1,16.196,,,,08394077+1209187,5194-301-1-0108-0268,EXTENDED,gri,,-1,2,1,2,,,,,,,19.251,0.041,17.216,0.005,16.202,0.004,15.759,0.004,15.404,0.007,15.078,0.062,14.476,0.079,13.92,0.066,,,,,,,,,,,,,,,,,,,,,,,,
47,47,47,211434023,08 52 37.841,+12 09 20.43,1,18.556,,,,08523784+1209204,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,16.257,0.091,15.53,0.104,15.384,0.143,4061,380,380,4.838,0.168,0.14,-0.246,0.25,0.35,0.423,0.144,0.158,0.46,0.144,0.202,5.638,7.609,2.575,838.4,448.2,336.9,0.032,0.011,0.007
48,48,48,211434041,08 36 16.804,+12 09 21.52,1,11.836,,805-897-1,511-046409,08361679+1209215,,STAR,gri,rpm,-3.8,3,-3.5,3,,,12.177,0.214,11.779,0.223,,,11.997,0.13,11.783,0.05,11.746,0.07,,,11.013,0.02,10.81,0.022,10.752,0.02,6521,244,203,4.091,0.15,0.21,-0.052,0.12,0.15,1.627,0.659,0.28,1.364,0.208,0.156,0.258,0.19,0.151,561.4,201.2,110.3,0.032,0.01,0.006
49,49,49,211434053,08 50 16.713,+12 09 22.15,1,18.698,,,,08501671+1209221,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,16.539,0.109,16.121,0.181,15.709,0.178,3941,1123,481,4.907,0.155,0.279,-0.291,0.3,0.48,0.35,0.291,0.139,0.402,0.273,0.195,8.063,11.06,5.656,778.1,1153,371.6,0.033,0.011,0.008
50,50,50,211434061,08 50 06.582,+12 09 22.54,1,17.301,,,,08500658+1209225,5935-301-3-0107-0123,STAR,gri,rpm,-12,3,-3,3,,,,,,,21.297,0.095,18.636,0.008,17.317,0.005,16.729,0.005,16.431,0.008,15.223,0.044,14.584,0.053,14.307,0.052,3947,47,47,4.868,0.049,0.035,-0.151,0.12,0.15,0.406,0.044,0.046,0.459,0.051,0.06,6.497,1.645,0.967,496.9,58.07,68.08,0.033,0.01,0.008
51,51,51,211434151,08 29 13.449,+12 09 26.68,1,10.352,,804-731-1,511-046051,08291344+1209266,,STAR,gri,plx,-33.3,1.4,-12.2,1.3,,,11.036,0.068,10.401,0.054,,,10.828,0.05,10.279,0.05,10.149,0.03,,,9.277,0.022,9.02,0.024,8.928,0.018,5943,141,141,3.911,0.114,0.095,0.033,0.15,0.18,2.001,0.361,0.258,1.294,0.138,0.138,0.138,0.074,0.042,281.1,43.48,43.48,0.029,0.011,0.007
52,52,52,211434189,08 50 56.045,+12 09 28.82,1,13.31,,,511-047138,08505604+1209288,,STAR,gri,rpm,-6.3,1.8,-1.4,1.3,,,13.94,0.15,13.428,0.19,,,13.606,0.17,13.219,0.06,13.183,0.16,,,12.294,0.021,12.087,0.022,11.983,0.018,6379,154,193,4.194,0.1,0.2,-0.064,0.12,0.21,1.455,0.407,0.208,1.238,0.117,0.141,0.37,0.206,0.18,836.5,242.1,122.9,0.035,0.011,0.008
53,53,53,211434243,08 36 00.104,+12 09 32.37,1,14.077,,,511-046399,08360010+1209323,,STAR,gri,rpm,4.9,1.9,-3.6,2.1,,,14.535,0.14,14.113,0.12,,,14.26,0.19,14.016,0.12,14.011,0.19,,,13.287,0.023,13.032,0.023,12.975,0.03,6166,189,189,4.233,0.12,0.168,-0.285,0.24,0.28,1.278,0.281,0.195,1.07,0.116,0.139,0.467,0.248,0.21,1137,277.3,189.1,0.033,0.011,0.007
54,54,54,211434251,08 50 45.177,+12 09 32.90,1,17.801,,,,08504517+1209329,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.619,0.055,14.863,0.061,14.782,0.086,4179,250,250,4.778,0.105,0.075,-0.162,0.2,0.28,0.488,0.083,0.096,0.548,0.084,0.101,4.321,2.575,1.227,767.6,210,193.3,0.034,0.011,0.008
55,55,55,211434257,08 48 07.485,+12 09 33.18,1,12.283,,,511-046963,08480748+1209332,,STAR,gri,rpm,-16.1,2.7,-1.1,1.2,,,12.911,0.1,12.379,0.07,,,12.651,0.27,12.22,0.03,12.125,0.02,,,11.339,0.023,11.108,0.029,11.065,0.024,6203,188,188,4.203,0.13,0.208,-0.085,0.15,0.24,1.354,0.472,0.188,1.153,0.146,0.146,0.442,0.243,0.241,484.7,184.4,72.16,0.033,0.01,0.008
56,56,56,211434259,08 28 30.416,+12 09 33.33,1,16.225,,,,08283041+1209333,5194-301-3-0090-0171,EXTENDED,gri,,-2,2,9,2,,,,,,,19.059,0.042,17.184,0.005,16.265,0.004,15.814,0.004,15.457,0.008,15.217,0.073,14.577,0.089,14.224,0.086,,,,,,,,,,,,,,,,,,,,,,,,
57,57,57,211434311,08 53 34.467,+12 09 35.22,1,10.239,,814-699-1,511-047329,08533445+1209352,,STAR,gri,rpm,16,1.5,-14.5,1.4,,,10.57,0.038,10.204,0.037,,,10.313,0.13,10.214,0.28,9.92,0.03,,,9.283,0.022,9.135,0.023,9.06,0.021,6821,280,280,4.053,0.17,0.204,-0.008,0.12,0.1,1.858,0.591,0.382,1.52,0.165,0.138,0.214,0.185,0.113,292.1,91.91,69.91,0.028,0.008,0.007
58,58,58,211434324,08 31 43.025,+12 09 36.06,1,17.89,,,,08314302+1209360,5182-301-2-0088-0301,STAR,gri,rpm,-9,3,-7,3,,,,,,,19.132,0.023,18.82,0.009,18.13,0.007,17.491,0.006,17.112,0.011,15.739,0.074,15.142,0.091,14.91,0.118,4760,47,57,1.105,0.14,0.1,-2.292,0.25,0.4,40.728,4.97,6.063,0.795,0.016,0.016,1.11E-05,6.88E-06,3.23E-06,80990,5593,11990,0.04,0.016,0.008
59,59,59,211434347,08 32 06.729,+12 09 37.21,1,12.665,,,511-046197,08320674+1209373,,STAR,gri,rpm,-1.4,1.3,-5.5,1.5,,,13.396,0.1,12.78,0.03,,,13.031,0.11,12.656,0.08,12.508,0.03,,,11.673,0.021,11.382,0.023,11.333,0.023,6006,179,179,4.172,0.22,0.22,-0.092,0.15,0.21,1.384,0.457,0.402,1.118,0.141,0.121,0.36,0.536,0.215,572.6,201.2,169.6,0.032,0.011,0.007
