,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
1,1,1,211432847,08 51 14.402,+12 08 17.56,1,17.293,,,,08511440+1208175,6004-301-6-0115-0439,STAR,gri,rpm,-12,3,-5,3,,,,,,,21.255,0.089,18.611,0.008,17.261,0.005,16.728,0.005,16.423,0.008,15.311,0.049,14.617,0.051,14.322,0.06,3969,48,48,4.887,0.09,0.05,-0.296,0.2,0.16,0.38,0.062,0.07,0.43,0.062,0.087,7.099,3.353,1.525,485.6,71.94,96.3,0.036,0.011,0.01
2,2,2,211432851,08 26 23.431,+12 08 18.11,1,13.057,,,511-045888,08262343+1208182,,STAR,gri,rpm,-3.2,1.7,-11,2,,,13.85,0.03,13.197,0.02,,,13.451,0.02,13.026,0.05,12.888,0.06,,,12.011,0.021,11.679,0.024,11.632,0.018,5898,142,118,4.369,0.095,0.361,-0.234,0.25,0.25,1.075,0.534,0.166,0.995,0.097,0.097,0.746,0.357,0.533,511.7,241.7,89.99,0.031,0.01,0.005
3,3,3,211432888,08 51 11.822,+12 08 20.36,1,16.343,,,,08511182+1208203,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,14.571,0.03,13.914,0.031,13.859,0.039,4340,214,250,4.731,0.084,0.06,-0.141,0.2,0.28,0.547,0.075,0.09,0.613,0.075,0.09,3.494,1.568,0.813,569.3,119.9,133.7,0.032,0.011,0.008
4,4,4,211432899,08 39 44.731,+12 08 20.64,1,19,,,,,5194-301-1-0108-0287,STAR,gri,,0,3,0,3,,,,,,,19.916,0.033,19.167,0.01,18.944,0.01,18.763,0.011,18.513,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,211432922,08 51 29.273,+12 08 22.16,1,18.17,,,,08512927+1208221,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.706,0.055,15.029,0.075,14.772,0.081,3986,411,342,4.861,0.14,0.14,-0.197,0.2,0.28,0.405,0.144,0.14,0.451,0.152,0.183,6.027,6.681,2.79,620.9,332,280,0.032,0.011,0.008
6,6,6,211432946,08 50 32.951,+12 08 23.40,1,14.398,,,511-047093,08503296+1208239,6004-301-6-0114-0490,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,12.028,0.021,11.429,0.022,11.131,0.02,3475,121,559,5.057,0.144,0.06,-0.019,0.12,0.18,0.217,0.052,0.082,0.21,0.07,0.084,18.05,21.53,5.418,59.01,23.77,29.03,0.008,0.006,0.005
7,7,7,211432962,08 51 04.389,+12 08 24.57,1,13.238,,,511-047153,08510439+1208246,,STAR,gri,rpm,-8.2,1.1,-2.6,1.3,,,13.958,0.16,13.371,0.17,,,13.576,0.14,13.149,0.06,13.094,0.13,,,12.181,0.022,11.917,0.02,11.85,0.02,6091,183,146,4.207,0.155,0.217,-0.146,0.2,0.24,1.353,0.45,0.251,1.12,0.138,0.115,0.425,0.322,0.232,731.6,227.5,147.8,0.034,0.013,0.008
8,8,8,211432968,08 40 30.626,+12 08 24.81,1,13.71,,,511-046631,08403063+1208247,,STAR,gri,rpm,-7.3,1.6,-3.8,2.1,,,14.336,0.07,13.806,0.05,,,14.035,0.15,13.662,0.01,13.57,0.07,,,12.742,0.022,12.46,0.026,12.408,0.021,6057,187,150,4.234,0.15,0.2,-0.185,0.2,0.28,1.229,0.336,0.195,1.068,0.109,0.13,0.516,0.302,0.269,851.5,254.1,144.9,0.033,0.011,0.007
9,9,9,211432980,08 42 41.098,+12 08 25.51,1,13.338,,,511-046730,08424109+1208254,,STAR,gri,rpm,2.5,2.1,1.1,1.5,,,13.818,0.1,13.365,0.09,,,13.569,0.2,13.23,0.02,13.239,0.12,,,12.38,0.025,12.256,0.03,12.201,0.024,6667,246,205,4.155,0.102,0.17,-0.107,0.09,0.12,1.566,0.417,0.193,1.349,0.117,0.117,0.313,0.124,0.141,1013,276.9,160.6,0.035,0.012,0.006
10,10,10,211432983,08 44 57.390,+12 08 25.75,1,16.272,,,,08445739+1208257,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,14.863,0.04,14.233,0.047,13.636,0.041,2342,919,170,5.314,0.03,0.168,-0.063,0.15,0.21,0.103,0.066,0.006,0.082,0.069,0.006,73.35,8.95,42.77,118.8,167.5,42.27,0.017,0.013,0.007
11,11,11,211433027,08 50 59.650,+12 08 27.83,1,17.507,,,,08505964+1208278,6004-301-6-0115-0361,STAR,gri,rpm,-14,3,-3,3,,,,,,,21.613,0.116,18.874,0.009,17.503,0.005,16.921,0.005,16.583,0.008,15.435,0.046,14.802,0.058,14.705,0.075,3909,46,46,4.93,0.066,0.066,-0.293,0.15,0.12,0.347,0.054,0.055,0.387,0.07,0.07,8.35,3.283,2.016,460.2,82.98,70.3,0.034,0.013,0.008
12,12,12,211433029,08 28 19.738,+12 08 27.87,1,13.102,,,511-046008,08281973+1208276,,STAR,gri,rpm,-3.6,1.6,3.7,2,,,13.93,0.05,13.237,0.03,,,13.549,0.07,13.059,0.05,12.91,0.04,,,11.985,0.019,11.771,0.032,11.633,0.022,6080,181,145,4.176,0.185,0.222,-0.056,0.15,0.18,1.382,0.536,0.256,1.164,0.17,0.106,0.362,0.32,0.193,684.3,236.3,130.6,0.033,0.014,0.008
