,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
1,1,1,212588084,13 38 57.916,-10 51 13.96,1,14.837,,,396-055991,13385792-1051139,,STAR,BV,rpm,27.1,5.3,-43.2,4.1,,,16.021,0.06,15.011,0.24,,,15.522,0.045,,,,,,,11.334,0.027,10.657,0.026,10.493,0.023,4182,197,197,4.759,0.081,0.054,-0.053,0.16,0.16,0.522,0.058,0.081,0.591,0.069,0.092,3.864,1.619,0.759,116.4,27.6,19.41,0.028,0.013,0.009,AAA-222-111-000-0-0,,
2,2,2,212588102,13 29 09.514,-10 51 13.06,1,18.045,,,,13290951-1051130,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.506,0.147,15.757,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,BBD-222-111-000-0-0,28.7,
3,3,3,212588109,13 36 39.324,-10 51 12.39,1,17.657,,,,13363932-1051123,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.15,0.112,15.456,0.117,14.984,0.149,3803,514,385,4.954,0.125,0.175,-0.218,0.25,0.4,0.317,0.174,0.112,0.335,0.217,0.155,9.791,10.43,5.691,556.2,432.9,243.4,0.04,0.023,0.013,BBB-222-111-000-0-0,,
4,4,4,212588126,13 36 38.903,-10 51 11.14,1,18.135,,,,13363890-1051111,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.587,0.153,15.726,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,BBD-222-111-000-0-0,6.4,
5,5,5,212588134,13 42 58.916,-10 51 10.63,1,13.899,,,396-056130,13425891-1051107,,STAR,gri,rpm,-44.5,6.4,12.1,12.7,,,15.264,0.05,14.261,0.03,,,14.764,0.05,13.89,0.04,13.528,0.07,,,12.456,0.023,11.925,0.022,11.826,0.021,4807,115,76,4.617,0.02,0.024,-0.127,0.2,0.16,0.71,0.033,0.04,0.768,0.032,0.057,2.119,0.204,0.222,324.1,15.59,24.4,0.039,0.019,0.012,AAA-222-111-000-0-0,,
6,6,6,212588164,13 26 53.298,-10 51 08.97,1,17.963,,,,13265329-1051089,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.432,0.127,15.4,0.137,14.821,0.137,3816,415,415,4.951,0.14,0.168,-0.218,0.25,0.35,0.311,0.158,0.121,0.318,0.198,0.165,10.03,11.91,5.446,662.3,454.7,308.6,0.04,0.023,0.013,BBB-222-111-000-0-0,64.1,
7,7,7,212588176,13 56 32.325,-10 51 07.93,1,12.796,,,396-056615,13563232-1051079,,STAR,gri,rpm,-24.7,1.7,7.8,3.7,,,13.104,0.03,12.814,0.03,,,12.856,0.02,12.776,0.03,12.784,0.21,,,12.087,0.026,11.936,0.024,11.931,0.024,6545,696,290,4.139,0.13,1.17,-1.267,1.12,0.8,1.422,3.281,0.18,0.851,0.317,0.058,0.348,0.172,0.34,760.8,1812,121.6,0.033,0.009,0.001,AAA-222-111-000-0-0,94.6,
8,8,8,212588180,13 41 42.437,-10 51 07.59,1,15.869,,,,13414243-1051075,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,14.489,0.062,13.71,0.074,13.284,0.057,3745,375,312,4.931,0.14,0.168,-0.087,0.2,0.24,0.327,0.149,0.119,0.367,0.174,0.174,8.709,9.072,4.443,278.3,175.1,123.4,0.037,0.022,0.014,AAA-222-111-000-0-0,,
9,9,9,212588193,13 15 53.383,-10 51 06.76,1,13.491,,,396-055290,13155338-1051067,,STAR,gri,rpm,-29.4,9,0.4,3,,,14.384,0.01,13.644,0.02,,,13.975,0.03,13.444,0.02,13.283,0.07,,,12.291,0.023,11.939,0.022,11.884,0.023,5690,114,114,4.454,0.066,0.143,-0.21,0.2,0.24,0.942,0.203,0.108,0.937,0.066,0.106,1.129,0.309,0.398,479.5,109.9,65.7,0.042,0.031,0.014,AAA-222-111-000-0-0,,
