,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
686,686,686,251578202,13 30 15.996,-01 47 45.70,1,17.728,,,,13301599-0147456,2333-301-5-0038-0198,STAR,gri,rpm,-5,3,-2,3,,,,,,,20.038,0.043,18.322,0.007,17.702,0.006,17.474,0.007,17.355,0.015,16.383,0.096,15.944,0.122,15.368,0.182,5268,125,104,4.611,0.06,0.924,-0.903,0.36,0.42,0.672,1.473,0.066,0.703,0.097,0.049,2.187,0.598,2.101,2113,5142,259.8,0.045,0.025,0.017,ABC-222-111-000-0-0,23.5,
687,687,687,251578212,13 30 34.489,-01 47 44.78,1,16.92,,,,13303448-0147447,2333-301-5-0039-0112,EXTENDED,gri,,2,3,0,3,,,,,,,19.799,0.066,17.856,0.007,16.925,0.005,16.519,0.005,16.168,0.012,15.791,0.084,15.264,0.116,14.972,0.147,,,,,,,,,,,,,,,,,,,,,,,,,ABB-222-111-000-0-0,32.9,
688,688,688,251578218,13 32 22.581,-01 47 44.07,1,16.237,,,,13322258-0147440,2333-301-5-0042-0062,EXTENDED,gri,,-4,3,-8,3,,,,,,,19.313,0.05,17.224,0.005,16.254,0.004,15.814,0.004,15.464,0.007,15.179,0.079,14.48,0.086,13.979,0.088,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,26.4,
689,689,689,251578221,13 17 07.265,-01 47 43.85,1,17.93,,,,13170726-0147438,2333-301-5-0016-0259,STAR,gri,rpm,0,3,-7,3,,,,,,,20.763,0.075,18.736,0.009,17.881,0.007,17.584,0.007,17.4,0.016,16.466,0.115,15.796,0.119,15.217,0.171,4726,94,75,4.698,0.066,0.055,-0.723,0.3,0.3,0.566,0.078,0.058,0.611,0.074,0.046,3.22,0.881,0.692,1583,270,194.7,0.041,0.026,0.013,BBC-222-111-000-0-0,63.7,
690,690,690,251578224,13 32 47.631,-01 47 43.67,1,18.29,,,,,2333-301-5-0042-0310,EXTENDED,gri,,-7,4,-13,4,,,,,,,20.009,0.109,18.928,0.02,18.326,0.018,18.017,0.022,17.889,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,691,691,251578247,13 17 37.600,-01 47 42.15,1,16.288,,,442-056124,13173757-0147419,2333-301-5-0017-0060,EXTENDED,BV,,-11.2,5.8,-16.8,4.3,,,17.527,0.118,16.474,0.079,,,16.951,0.1,,,,,,,14.924,0.039,14.566,0.036,14.546,0.09,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,53.4,
692,692,692,251578281,13 17 06.689,-01 47 39.77,1,18.516,,,,,2333-301-5-0016-0260,EXTENDED,gri,,,,,,,,,,,,19.999,0.102,19.006,0.02,18.528,0.021,18.306,0.026,18.078,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,693,693,251578286,13 47 18.440,-01 47 39.62,1,11.584,,4967-24-1,442-056885,13471843-0147396,,STAR,gri,rpm,16.9,1.7,-4.7,1.6,,,12.098,0.201,11.744,0.215,,,12.007,0.03,11.564,0.04,11.402,0.04,,,10.605,0.024,10.311,0.025,10.267,0.021,5998,121,121,4.153,0.225,0.225,-0.057,0.16,0.24,1.416,0.455,0.344,1.114,0.138,0.115,0.362,0.44,0.223,347.6,114.9,86.34,0.04,0.023,0.013,AAA-222-111-000-0-0,51.1,
694,694,694,251578288,13 18 00.066,-01 47 39.46,1,18.009,,,,13180006-0147394,2333-301-5-0018-0111,STAR,gri,,-3,3,-3,3,,,,,,,21.19,0.102,18.879,0.009,17.962,0.007,17.636,0.007,17.463,0.016,16.572,0.122,16.016,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,BBD-222-111-000-0-0,38.8,
695,695,695,251578289,13 31 10.508,-01 47 39.37,1,16.725,,,,,2333-301-5-0040-0294,EXTENDED,gri,,-7,3,13,3,,,,,,,18.921,0.051,17.447,0.009,16.777,0.006,16.416,0.007,16.153,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,696,696,251578297,13 23 23.287,-01 47 38.28,1,13.045,,,442-056271,13232331-0147381,,STAR,gri,rpm,-11.3,1.9,-20.1,2.3,,,14.071,0.03,13.204,0.02,,,13.623,0.04,12.954,0.03,12.798,0.17,,,11.774,0.024,11.399,0.022,11.309,0.026,5429,132,110,4.494,0.05,0.07,0.022,0.15,0.21,0.891,0.131,0.065,0.919,0.068,0.068,1.267,0.292,0.272,344.8,60.49,35.22,0.047,0.022,0.022,AAA-222-111-000-0-0,27.6,
697,697,697,251578329,13 40 41.161,-01 47 36.51,1,13.683,,,442-056715,13404114-0147364,,STAR,gri,rpm,-8.7,2.3,-19.6,2.6,,,14.49,0.04,13.786,0.03,,,14.083,0.03,13.599,0.02,13.511,0.12,,,12.524,0.026,12.117,0.026,12.138,0.03,5715,132,165,4.409,0.09,0.666,-0.382,0.25,0.55,0.99,1.063,0.179,0.884,0.106,0.053,0.935,0.432,0.84,560.7,527.6,104.9,0.038,0.014,0.009,AAA-222-111-000-0-0,28.9,
698,698,698,251578339,13 30 32.384,-01 47 35.53,1,15.724,,,,13303238-0147355,2333-301-5-0039-0099,EXTENDED,gri,,3,3,-3,3,,,,,,,18.631,0.035,16.731,0.005,15.742,0.003,15.293,0.003,14.928,0.006,14.952,0.085,14.28,0.094,13.779,0.09,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,32.9,
699,699,699,251578344,13 29 28.236,-01 47 35.21,1,17.649,,,,13292823-0147352,2333-301-5-0037-0028,STAR,gri,,-3,3,-18,3,,,,,,,20.001,0.042,18.304,0.007,17.622,0.006,17.368,0.006,17.26,0.014,16.334,0.093,15.951,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD-222-111-000-0-0,20.8,
700,700,700,251578375,13 30 11.896,-01 47 33.17,1,17.288,,,,13301189-0147331,2333-301-5-0038-0185,EXTENDED,gri,,6,3,2,3,,,,,,,20.118,0.082,18.231,0.009,17.339,0.007,16.884,0.007,16.6,0.015,16.21,0.104,15.595,0.114,15.259,0.176,,,,,,,,,,,,,,,,,,,,,,,,,ABC-222-111-000-0-0,28.7,
