EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
212393814,13 42 46.593,-15 03 21.19,1,18.646,,,,13424659-1503211,STAR,JHK,col,,,,,,,,,,,,,,,,,15.993,0.084,15.234,0.101,14.884,0.135,3892,415,346,4.902,0.145,0.145,-0.218,0.25,0.35,0.371,0.146,0.138,0.411,0.162,0.194,7.769,9.543,3.784,602.9,352.6,256,0.04,0.023,0.013,AAB-222-111-000-0-0,32.8,
212394446,13 42 45.201,-15 02 30.28,1,9.356,,6122-604-1,375-066838,13424520-1502303,STAR,gri,rav,-30.7,1.3,8.6,1.3,,,9.866,0.026,9.372,0.022,9.921,0.19,9.499,0.24,9.113,0.13,8.463,0.027,8.307,0.059,8.176,0.031,6235,124,124,3.756,0.108,0.09,0.031,0.1,0.1,2.74,0.391,0.467,1.615,0.143,0.171,0.074,0.044,0.021,266.3,43,43.78,0.036,0.019,0.012,AAA-111-111-000-0-0,38.5,
212394734,13 42 53.621,-15 02 06.90,1,8.58,66920,6122-580-1,375-066842,13425361-1502068,STAR,gri,plx,-4.82,1.17,-29.1,0.62,6.07,0.86,8.825,0.018,8.343,0.014,9.591,0.17,9.01,0.22,8.147,0.15,7.417,0.024,7.274,0.055,7.172,0.021,6489,331,331,3.813,0.1,0.1,0.04,0.1,0.1,2.553,0.378,0.329,1.658,0.122,0.122,0.09,0.045,0.03,164.7,23.34,23.34,0.033,0.015,0.011,AAA-111-111-000-0-0,37.6,
212394760,13 42 11.071,-15 02 04.28,1,13.751,,,375-066819,13421107-1502042,STAR,gri,rpm,-5.7,2.7,-10.6,2.6,,,15.1,0.02,14.094,0.05,14.568,0.06,13.754,0.05,13.401,0.1,12.185,0.022,11.651,0.022,11.506,0.023,4874,58,58,3.307,1.168,0.73,-0.301,0.3,0.48,3.854,4.386,3.011,0.94,0.194,0.139,0.015,1.162,0.014,1538,1653,1181,0.05,0.019,0.023,AAA-222-111-000-0-0,,
212394944,13 42 20.387,-15 01 47.84,1,17.927,,,,13422038-1501478,STAR,J,col,,,,,,,,,,,,,,,,,16.399,0.12,15.771,0.135,15.389,0.208,3866,805,366,4.931,0.145,0.232,-0.303,0.3,0.48,0.325,0.252,0.124,0.375,0.25,0.179,8.961,11.1,6.061,689.2,760,318.2,0.04,0.024,0.012,BBC-222-111-000-0-0,21.2,
212395001,13 41 40.624,-15 01 43.88,1,18.249,,,,13414062-1501438,STAR,J,,,,,,,,,,,,,,,,,,16.689,0.158,16.125,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,CCU-220-110-000-0-0,37.9,
212395111,13 42 00.996,-15 01 33.99,1,11.836,,,375-066814,13420099-1501340,STAR,gri,rpm,16.2,1.2,-2,1.3,,,12.289,0.04,11.881,0.06,12.001,0.07,11.782,0.04,11.728,0.1,11.085,0.026,10.875,0.025,10.84,0.023,6497,158,198,4.187,0.075,0.12,-0.076,0.09,0.24,1.484,0.248,0.18,1.257,0.133,0.133,0.371,0.135,0.131,495.7,86.17,61.97,0.035,0.016,0.01,AAA-222-111-000-0-0,,
212395255,13 41 19.438,-15 01 21.43,1,18.226,,,,13411943-1501214,STAR,J,,14,4,6,4,,,,,,,,,,,,,16.669,0.128,15.694,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,BBD-222-111-000-0-0,37.3,0749-0280305
212396132,13 41 29.747,-15 00 10.42,1,16.592,,,,13412974-1500104,STAR,JHK,col,,,,,,,,,,,,,,,,,14.619,0.03,14.018,0.035,13.844,0.061,3943,590,268,4.884,0.12,0.192,-0.192,0.25,0.35,0.384,0.189,0.109,0.444,0.205,0.146,6.337,5.195,3.596,364.4,286.6,123.6,0.038,0.02,0.013,AAA-222-111-000-0-0,34.4,
