EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
203371102,15 52 23.476,-26 21 57.31,1,12.235,,,319-081253,15522347-2621572,,STAR,JHK,rpm,-24.1,1.3,-33.6,2.8,,,,,,,,,,,,,,,,,9.964,0.022,9.312,0.024,9.1,0.021,4076,275,275,4.803,0.105,0.09,-0.018,0.1,0.16,0.489,0.083,0.113,0.56,0.077,0.14,4.695,2.885,1.417,66.28,20.85,11.05,0.045,0.007,0.011,AAA-222-111-000-0-0,14.2,
203371909,15 52 24.231,-26 21 47.28,1,13.755,,,319-081257,15522422-2621472,,STAR,JHK,rpm,-21.7,2,-31.4,3,,,,,,,,,,,,,,,,,11.399,0.026,10.777,0.024,10.507,0.021,3570,185,42,5.01,0.02,0.092,0.024,0.08,0.05,0.267,0.095,0.008,0.271,0.125,0.016,13.98,0.839,5.654,60.07,20.89,5.688,0.039,0.021,0.004,AAA-222-111-000-0-0,14.2,
203385347,15 52 15.329,-26 19 04.56,1,9.342,77736,6786-1366-1,319-081237,15521532-2619045,,STAR,BV,plx,-20.98,1.33,-34.39,1.27,7.25,1.26,10.056,0.034,9.452,0.027,,,,,,,,,,,8.312,0.027,8.026,0.031,7.953,0.02,6122,218,182,4.103,0.168,0.14,-0.084,0.2,0.28,1.571,0.301,0.298,1.176,0.138,0.138,0.273,0.191,0.112,137.9,23.97,23.97,0.076,0.042,0.021,AAA-111-111-000-0-0,20.8,
203425665,15 51 45.951,-26 10 50.33,1,16.594,,,,15514595-2610503,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.161,0.081,14.429,0.09,13.991,0.081,3942,491,421,4.851,0.155,0.186,-0.103,0.2,0.32,0.394,0.187,0.147,0.418,0.243,0.203,6.571,8.139,3.636,442.9,325,214.1,0.135,0.097,0.044,AAA-222-111-000-0-0,27,
203438965,15 52 07.399,-26 08 10.13,1,15.281,,,320-082468,15520739-2608101,,STAR,JHK,rpm,-87.5,2.4,-11.3,2.4,,,,,,,,,,,,,,,,,12.998,0.024,12.365,0.025,12.13,0.028,3726,175,175,4.963,0.07,0.084,-0.116,0.2,0.24,0.299,0.076,0.061,0.323,0.092,0.092,10.73,5.966,3.834,123.3,33.71,31.04,0.08,0.05,0.028,AAA-222-111-000-0-0,18.6,
203442414,15 51 43.039,-26 07 28.58,1,17.811,,,,15514303-2607285,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.292,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUU-266-200-c00-0-0,0.2,
203443099,15 52 03.073,-26 07 19.86,1,9.116,,6782-1862-1,320-082461,15520307-2607198,,STAR,BV,rpm,-17.5,1.6,-17,1.6,,,9.857,0.028,9.233,0.022,,,,,,,,,,,7.986,0.026,7.724,0.04,7.628,0.024,6252,368,204,3.934,0.318,0.265,0.038,0.12,0.15,1.981,0.909,0.722,1.453,0.256,0.299,0.152,0.34,0.095,155,70.06,55.92,0.082,0.046,0.033,AAA-111-111-000-0-0,6.1,
203445263,15 52 17.896,-26 06 53.14,1,15.357,,,320-082491,15521790-2606530,,STAR,JHK,rpm,-72.5,2,-36.7,2.4,,,,,,,,,,,,,,,,,14.108,0.027,13.744,0.031,13.66,0.05,5855,179,269,4.582,0.1,0.06,-1.757,0.49,0.42,0.709,0.052,0.106,0.697,0.031,0.056,1.934,0.914,0.34,690.9,163,188.1,0.125,0.076,0.017,AAA-222-111-000-0-0,16.5,
203448829,15 52 08.139,-26 06 10.95,1,18.033,,,,15520813-2606109,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.34,0.089,14.577,0.078,14.218,0.09,4021,447,372,4.818,0.174,0.145,-0.103,0.2,0.32,0.431,0.153,0.149,0.508,0.162,0.227,5.189,7.403,2.434,568.8,322.4,236.9,0.147,0.108,0.045,AAA-222-111-000-0-0,14.2,
