,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
1,1,1,249878702,15 43 41.140,-16 53 54.19,1,12.351,,,366-070286,15434114-1653540,,STAR,gri,rpm,-15.5,1.7,-19.4,1.4,,,13.544,0.03,12.601,0.03,,,13.068,0.01,12.314,0.04,12.044,0.01,,,10.891,0.026,10.384,0.021,10.302,0.021,5087,102,102,3.277,0.582,1.067,-0.882,0.55,0.66,3.323,7.291,1.379,0.888,0.072,0.087,0.014,0.081,0.014,825.3,1572,341.1,0.132,0.061,0.046,AAA-222-111-000-0-0,10.6,
2,2,2,249878739,15 34 37.583,-16 53 52.83,1,13.826,,,366-069494,15343758-1653527,,STAR,gri,rpm,-5.9,1.6,-31.9,1.7,,,14.943,0.01,14.062,0.036,,,14.447,0.03,13.802,0.02,13.56,0.04,,,12.505,0.027,12.085,0.027,12.005,0.026,5500,166,133,4.527,0.04,0.104,-0.331,0.25,0.25,0.823,0.165,0.065,0.834,0.097,0.069,1.44,0.291,0.58,435.9,95.96,45.61,0.125,0.099,0.035,AAA-222-111-000-0-0,17.4,
3,3,3,249878777,15 26 49.099,-16 53 51.30,1,13.527,,,366-068840,15264910-1653512,,STAR,gri,rpm,-20.6,1.9,3.3,1.9,,,14.727,0.04,13.835,0.05,,,14.254,0.02,13.541,0.03,13.216,0.03,,,11.965,0.021,11.475,0.022,11.381,0.023,5161,62,104,3.53,0.85,0.425,-0.731,0.3,0.12,2.422,1.533,1.514,0.897,0.018,0.097,0.047,0.832,0.036,973.2,565.7,584,0.142,0.015,0.021,AAA-222-111-000-0-0,30.1,
4,4,4,249878792,15 30 44.983,-16 53 50.34,1,18.328,,,,15304498-1653503,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.975,0.081,15.284,0.096,15.084,0.156,4207,654,467,4.751,0.198,0.165,-0.152,0.25,0.45,0.485,0.233,0.178,0.569,0.185,0.222,3.741,4.949,1.888,904.6,638.7,428.1,0.151,0.108,0.045,AAC-222-111-000-0-0,29.8,0731-0352178
5,5,5,249878839,15 35 55.325,-16 53 48.39,1,17.538,,,,15355532-1653483,,EXTENDED,JHK,,-14,2,2,2,,,,,,,,,,,,,,,,,14.998,0.094,14.498,0.144,14.012,0.099,,,,,,,,,,,,,,,,,,,,,,,,,ABA-222-111-000-1-0,29.4,0731-0354583
6,6,6,249878885,15 47 49.824,-16 53 45.77,1,18.035,,,,15474982-1653457,,STAR,JHK,rpm,0,8,-36,6,,,,,,,,,,,,,,,,,15.988,0.079,15.131,0.077,15.191,0.16,4017,300,360,4.891,0.132,0.11,-0.45,0.35,0.42,0.37,0.105,0.109,0.401,0.137,0.159,7.294,6.102,2.899,644.3,247.1,235.3,0.148,0.101,0.047,AAC-222-111-000-0-0,14.3,0731-0359347
7,7,7,249878891,15 31 37.465,-16 53 45.59,1,14.057,,,366-069251,15313746-1653455,,STAR,gri,rpm,-10.6,2.2,-12.8,2.2,,,15.305,0.19,14.202,0.04,,,14.869,0.45,14.011,0.12,13.71,0.12,,,12.084,0.026,11.592,0.023,11.473,0.024,5124,154,154,3.636,0.972,0.54,-0.399,0.4,0.64,2.207,1.937,1.512,0.887,0.115,0.072,0.059,1.887,0.049,909.7,742.7,634,0.151,0.11,0.055,AAA-222-111-000-0-0,13.4,
8,8,8,249878906,15 47 30.548,-16 53 45.00,1,12.938,,,366-070622,15473054-1653449,,STAR,gri,rpm,-4.1,2.2,1.4,2.6,,,14.246,0.02,13.284,0.1,,,13.718,0.02,12.941,0.05,12.604,0.05,,,11.377,0.025,10.86,0.026,10.733,0.025,5006,149,119,2.396,0.576,0.16,-0.792,0.3,0.42,9.898,1.758,4.751,0.903,0.063,0.035,9.11E-04,0.006,3.81E-04,2535,498.7,1158,0.149,0.076,0.038,AAA-222-111-000-0-0,17.4,
9,9,9,249878907,15 18 06.051,-16 53 44.99,1,10.949,,6174-1024-1,366-068166,15180605-1653450,,STAR,gri,rpm,-23.5,2.2,-10.8,2.2,,,11.766,0.118,11.194,0.108,,,11.43,0.1,10.919,0.03,10.744,0.03,,,9.798,0.026,9.531,0.024,9.381,0.022,6125,189,189,4.007,0.342,0.19,0.019,0.09,0.18,1.767,0.666,0.638,1.23,0.249,0.178,0.192,0.467,0.103,303.7,108.8,105.9,0.153,0.11,0.061,AAA-222-111-000-0-0,34.9,
10,10,10,249878916,15 18 51.077,-16 53 44.27,1,12.544,,,366-068217,15185108-1653443,,STAR,gri,rpm,-12.1,1.4,10.4,1.4,,,13.926,0.03,12.875,0.01,,,13.377,0.04,12.534,0.02,12.187,0.02,,,10.873,0.026,10.336,0.024,10.229,0.024,4946,102,122,2.826,0.522,0.522,-0.666,0.3,0.36,5.694,4.648,2.231,0.929,0.096,0.053,0.003,0.017,0.003,1288,776.8,556.9,0.195,0.097,0.069,AAA-222-111-000-0-0,16.4,
11,11,11,249878933,15 45 19.444,-16 53 43.48,1,14.424,,,366-070425,15451944-1653434,,STAR,gri,rpm,-20.2,3.6,-15.5,4,,,16.064,0.02,14.876,0.04,,,15.456,0.01,14.393,0.05,13.982,0.1,,,12.645,0.023,12.07,0.029,11.956,0.024,4680,95,114,4.636,0.03,0.036,0.05,0.15,0.21,0.688,0.051,0.04,0.755,0.048,0.048,2.237,0.331,0.333,315,35.51,24.25,0.134,0.086,0.043,AAA-222-111-000-0-0,24.8,
12,12,12,249878948,15 39 18.849,-16 53 42.72,1,18.227,,,,15391884-1653427,,STAR,J,,-10,6,-16,4,,,,,,,,,,,,,,,,,16.67,0.153,15.953,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,BBU-220-110-000-0-0,25.8,0731-0355823
13,13,13,249878952,15 44 36.888,-16 53 42.58,1,13.352,,,366-070360,15443688-1653426,,STAR,gri,rpm,-1.3,2.8,-0.9,3.1,,,14.77,0.03,13.641,0.01,,,14.229,0.01,13.321,0.02,12.976,0.05,,,11.628,0.024,11.12,0.023,10.952,0.023,4901,121,101,2.434,0.986,0.174,-0.447,0.28,0.42,9.622,2.053,6.08,0.972,0.244,0.076,9.94E-04,0.024,4.53E-04,2736,611.5,1669,0.206,0.109,0.078,AAA-222-111-000-0-0,34.4,
14,14,14,249878982,15 45 17.305,-16 53 41.30,1,16.847,,,,15451730-1653413,,STAR,J,,,,,,,,,,,,,,,,,,,,,,15.396,0.066,14.819,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,AAU-226-210-c00-0-0,3.9,0731-0358306
15,15,15,249879112,15 33 05.742,-16 53 34.97,1,12.618,,,366-069370,15330574-1653349,,STAR,gri,rav,-12.5,2.2,-1.9,4.3,,,14.024,0.02,12.957,0.02,,,13.467,0.02,12.548,0.02,12.254,0.02,,,11.02,0.026,10.474,0.024,10.356,0.023,4456,133,133,2.141,0.16,0.224,-0.259,0.16,0.24,14.406,3.514,2.396,1.004,0.15,0.058,3.21E-04,2.61E-04,1.61E-04,2821,702.7,414.4,0.169,0.094,0.059,AAA-222-111-000-0-0,14.2,
16,16,16,249879175,15 31 37.643,-16 53 32.34,1,11.646,,,366-069252,15313764-1653323,,STAR,gri,rav,-31.2,2.1,7.6,2.4,,,12.764,0.01,11.889,0.01,,,12.28,0.02,11.616,0.01,11.374,0.01,,,10.323,0.026,9.989,0.023,9.884,0.021,5487,164,131,4.487,0.035,0.07,0.11,0.1,0.1,0.927,0.097,0.056,0.964,0.054,0.039,1.161,0.228,0.247,181.8,26.93,12.13,0.088,0.049,0.019,AAA-222-111-000-0-0,11.6,
17,17,17,249879178,15 25 47.104,-16 53 32.27,1,12.066,,,366-068761,15254710-1653323,,STAR,gri,rpm,-8.5,1,-1.2,1.1,,,12.741,0.03,12.218,0.05,,,12.413,0.01,12.055,0.03,11.917,0.06,,,11.026,0.022,10.766,0.027,10.715,0.021,6499,180,129,4.12,0.135,0.216,-0.038,0.12,0.18,1.641,0.617,0.335,1.333,0.2,0.167,0.284,0.23,0.168,515.6,200.7,107.9,0.133,0.06,0.03,AAA-222-111-000-0-0,50.9,
18,18,18,249879229,15 46 21.385,-16 53 29.83,1,11.799,,,366-070533,15462137-1653297,,STAR,gri,rpm,4.5,1.5,2.1,1.7,,,13.165,0.01,12.123,0.02,,,12.621,0.01,11.796,0.02,11.447,0.08,,,10.088,0.024,9.48,0.022,9.36,0.019,4847,115,115,2.234,0.621,0.345,-0.989,0.48,0.3,11.687,5.128,5.615,0.892,0.088,0.021,4.58E-04,0.003,3.15E-04,1618,641.5,788.4,0.152,0.023,0.041,AAA-222-111-000-0-0,39.3,
19,19,19,249879241,15 46 33.116,-16 53 29.47,1,12.028,,,366-070551,15463311-1653294,,STAR,gri,rav,-17.6,1.1,-4.8,1.3,,,12.678,0.01,12.123,0.01,,,12.343,0.01,12.015,0.02,11.892,0.06,,,11.01,0.026,10.786,0.023,10.706,0.019,6449,130,130,4.241,0.075,0.09,-0.069,0.12,0.18,1.367,0.16,0.143,1.244,0.076,0.091,0.444,0.141,0.125,436.3,60.5,44.75,0.142,0.088,0.04,AAA-222-111-000-0-0,9,
20,20,20,249879273,15 47 27.664,-16 53 28.27,1,10.873,,6190-1889-1,366-070619,15472766-1653281,,STAR,gri,rpm,-21.8,2.6,10.1,2.7,,,11.6,0.092,10.996,0.089,,,11.238,0.02,10.888,0.03,10.717,0.05,,,9.849,0.025,9.569,0.026,9.489,0.026,6345,177,101,4.094,0.192,0.12,-0.09,0.16,0.44,1.504,0.428,0.218,1.224,0.222,0.266,0.27,0.243,0.094,268.8,84.56,37.25,0.104,0.06,0.02,AAA-222-111-000-0-0,28.3,
21,21,21,249879292,15 49 43.579,-16 53 27.45,1,9.882,,6190-1856-1,366-070802,15494357-1653275,,STAR,gri,rav,-3,1.8,-3.5,1.9,,,11.406,0.09,10.335,0.05,,,10.845,0.03,9.819,0.04,9.47,0.06,,,8.047,0.027,7.485,0.027,7.301,0.024,4779,94,75,3.104,0.165,0.231,0.04,0.12,0.1,5.165,2.429,0.996,1.385,0.565,0.2,0.009,0.007,0.005,300.5,156.4,56.81,0.122,0.073,0.04,AAA-111-111-000-0-0,19.6,
22,22,22,249879435,15 48 15.323,-16 53 20.94,1,11.928,,,366-070672,15481532-1653209,,STAR,gri,rpm,-10.3,1.1,3.5,1.3,,,12.489,0.041,12.054,0.03,,,12.141,0.03,11.857,0.04,11.75,0.06,,,10.913,0.022,10.686,0.023,10.652,0.023,6720,201,201,4.111,0.125,0.175,-0.006,0.1,0.16,1.648,0.485,0.236,1.413,0.167,0.119,0.281,0.14,0.134,516.9,167.6,80.17,0.13,0.056,0.031,AAA-222-111-000-0-0,26.4,
