EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
210693497,04 22 39.562,+18 16 09.60,1,12.135,,,542-008979,04223953+1816097,,STAR,gri,rpm,128.6,2.9,-37.1,4.4,,,14.46,0.02,13.04,0.02,,,13.765,0.01,12.453,0.01,11.436,0.05,,,9.605,0.021,8.971,0.024,8.726,0.018,3820,133,111,4.893,0.04,0.064,0.012,0.12,0.12,0.379,0.07,0.041,0.417,0.095,0.043,7.507,1.623,2.018,33.51,14.75,6.83,0.04,0.035,0.022,,,
210693615,04 31 25.141,+18 16 16.72,1,10.12,,1269-469-1,542-009381,04312513+1816168,,STAR,gri,rpm,-38.2,1.2,-10.9,1.3,,,11.062,0.088,10.314,0.064,,,10.783,0.2,10.075,0.06,9.836,0.09,,,8.667,0.019,8.244,0.042,8.098,0.027,5450,468,292,3.78,0.65,1.17,-0.213,0.3,0.72,2.135,4.925,1.226,1.021,0.267,0.134,0.069,0.671,0.068,193.7,372.9,103.7,0.275,0.232,0.145,,,
210693972,04 29 34.733,+18 16 34.50,0,15.566,,,542-009346,04293473+1816345,,STAR,JHK,,18,4.8,-1.4,5.3,,,,,,,,,,,,,,,,,13.155,0.021,12.352,0.017,12.132,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,
210694066,04 30 33.119,+18 16 38.96,0,15.617,,,542-009365,04303311+1816388,6485-301-2-0173-0080,STAR,JHK,,7.3,4.4,1.8,4.9,,,,,,,,,,,,,,,,,13.09,0.029,12.328,0.03,12.024,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,
210694125,04 25 47.799,+18 16 41.96,1,11.757,,,542-009179,04254780+1816419,,STAR,gri,rpm,-10.8,1.2,-15.1,1.6,,,12.894,0.01,12.035,0.06,,,12.45,0.02,11.74,0.05,11.46,0.04,,,10.299,0.02,9.921,0.022,9.804,0.018,5967,242,194,4.286,0.145,0.319,-0.015,0.08,0.1,1.257,0.607,0.29,1.121,0.193,0.107,0.532,0.403,0.339,246.8,119.6,54.87,0.418,0.126,0.108,,,
210694146,04 30 05.814,+18 16 42.91,0,15.629,,,542-009358,04300581+1816429,6485-301-2-0172-0174,STAR,gri,,16.7,3.2,-8.6,3.7,,,17.67,0.125,16.297,0.073,,,17.072,0.13,15.788,0.09,15.011,0.07,,,12.843,0.023,12.15,0.023,11.863,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,
210694602,04 31 26.019,+18 17 05.96,0,17.032,,,,04312601+1817059,6003-301-2-0163-0175,STAR,gri,,-37,3,-13,3,,,,,,,21.684,0.129,19.102,0.01,17.573,0.006,16.145,0.005,15.366,0.006,13.986,0.031,13.355,0.029,13.105,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,
210694644,04 27 18.375,+18 17 08.57,1,12.668,,,542-009232,04271836+1817086,,STAR,gri,rpm,-6.8,2,-24.6,2.7,,,13.816,0.03,13,0.03,,,13.393,0.01,12.708,0.02,12.358,0.02,,,11.127,0.024,10.755,0.023,10.612,0.018,6044,192,96,4.276,0.084,0.364,-0.446,0.15,0.12,1.193,0.622,0.2,0.939,0.186,0.057,0.563,0.281,0.404,351.7,166.1,71.05,0.541,0.077,0.067,,,
210694698,04 29 23.660,+18 17 11.13,0,14.566,,,542-009342,04292365+1817110,6485-301-2-0172-0077,EXTENDED,gri,,3.9,4.2,-14.7,5.1,,,17.008,0.03,15.371,0.03,,,16.324,0.05,14.63,0.02,13.813,0.02,,,11.73,0.021,10.934,0.022,10.696,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
210695325,04 24 39.501,+18 17 44.94,0,18.477,,,,04243950+1817449,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,,16.038,0.086,15.596,0.123,15.115,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,
