EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
248138492,04 38 26.791,+26 55 01.56,1,12.423,,,585-012370,04382677+2655015,,STAR,gri,rpm,26.1,3.1,-59.2,3.1,,,14.067,0.08,12.876,0.05,,,13.479,0.06,12.47,0.05,11.97,0.01,,,10.514,0.023,10.004,0.022,9.877,0.02,5760,57,57,2.601,0.02,0.02,-1.487,0.05,0.05,0.867,1.993,0.073,0.83,0.017,0.017,1.23,0.391,1.193,1278,38.33,38.33,0.86,0.001,0.001,AAA-222-111-000-0-0,25.9,
248138504,04 44 36.507,+26 55 01.78,0,14.29,,,585-012832,04443650+2655016,,STAR,gri,,2.8,3.6,-0.7,4,,,16.509,0.11,14.983,0.11,,,15.762,0.04,14.331,0.03,13.659,0.11,,,11.846,0.02,11.1,0.019,10.892,0.016,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,18.6,
248138567,04 38 06.801,+26 55 03.65,0,17.597,,,,04380680+2655036,,STAR,J,,0,9,8,3,,,,,,,,,,,,,,,,,16.094,0.103,15.085,0.103,14.812,0.124,,,,,,,,,,,,,,,,,,,,,,,,,AAB-222-111-000-0-0,29.1,1169-0061073
248138586,04 55 36.874,+26 55 04.29,0,16.296,,,,04553687+2655042,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,,13.846,0.024,13.238,0.024,12.918,0.026,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,30.3,1169-0068384
248138681,04 48 35.940,+26 55 07.27,0,14.101,,,585-013179,04483593+2655071,,STAR,JHK,,-1.3,3.6,-5.3,4,,,,,,,,,,,,,,,,,11.747,0.022,10.959,0.022,10.746,0.02,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,13.7,
248138724,04 52 29.685,+26 55 08.69,1,15.665,,,,04522968+2655086,,STAR,JHK,rpm,-34,3,-80,1,,,,,,,,,,,,,,,,,13.315,0.022,12.722,0.026,12.425,0.022,3502,102,123,5.045,0.09,0.04,-0.027,0.16,0.2,0.223,0.041,0.047,0.215,0.058,0.058,17.36,10.16,4.343,107.7,29.46,30.93,0.173,0.095,0.068,AAA-222-111-000-0-0,15.9,1169-0066998
248138791,04 53 40.500,+26 55 10.83,0,15.06,,,585-013555,04534050+2655109,,STAR,JHK,,3.4,2.9,2.3,3.1,,,,,,,,,,,,,,,,,12.559,0.021,11.847,0.022,11.606,0.025,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,23.4,
248138796,04 42 05.181,+26 55 10.88,0,15.707,,,585-012641,04420517+2655110,,STAR,JHK,,6.9,3.9,0.7,4.2,,,,,,,,,,,,,,,,,13.417,0.023,12.633,0.021,12.442,0.026,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,18.2,
248138918,04 41 01.663,+26 55 14.93,0,15.715,,,585-012559,04410167+2655147,,STAR,JHK,,41.6,7.5,-23.7,7.6,,,,,,,,,,,,,,,,,13.276,0.023,12.611,0.021,12.353,0.023,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,12.3,
248139148,04 48 38.146,+26 55 22.85,0,15.38,,,585-013183,04483814+2655228,,STAR,JHK,,9.2,3.7,-19.1,4,,,,,,,,,,,,,,,,,13.242,0.026,12.582,0.027,12.418,0.026,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,19.7,
