EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
203008341,16 09 16.164,-27 34 41.70,1,12.568,,,313-087447,16091615-2734416,STAR,JHK,rpm,23.5,3.6,-17.8,1.1,,,,,,,,,,,,,11.246,0.024,10.814,0.022,10.743,0.023,5539,215,215,4.467,0.075,0.6,-0.133,0.24,0.28,0.937,0.976,0.121,0.923,0.127,0.091,1.128,0.376,0.994,274.6,268.3,43.02,0.234,0.178,0.111,AAA-222-111-000-0-0,,
203008651,16 11 48.872,-27 34 37.37,1,14.474,,,313-087859,16114888-2734372,STAR,JHK,rpm,-85.1,2,-135.1,2.5,,,,,,,,,,,,,12.417,0.022,11.866,0.023,11.617,0.023,3541,586,488,5.028,0.14,0.168,-0.179,0.2,0.48,0.225,0.162,0.082,0.232,0.209,0.104,15.32,18.19,9.329,74.28,59.89,28.9,0.073,0.095,0.043,AAA-222-111-000-0-0,,
203009087,16 26 51.605,-27 34 31.71,1,12.763,,,313-089440,16265160-2734317,STAR,J,rpm,-1.6,2.1,-7.2,1.9,,,,,,,,,,,,,11.163,0.021,10.145,0.022,9.883,0.021,3841,187,156,0.693,0.17,0.204,-0.586,0.25,0.25,70.99,18.794,12.619,0.95,0.036,0.044,2.50E-06,1.95E-06,1.25E-06,10070,2525,1713,0.72,0.283,0.283,AAA-222-111-000-0-0,,
203009516,16 09 15.967,-27 34 26.53,1,12.131,,6788-455-1,313-087446,16091596-2734261,STAR,gri,rpm,0.5,3.2,-17.6,3.1,,,12.497,0.25,11.905,0.196,12.823,0.74,11.912,0.05,11.834,0.05,10.956,0.022,10.737,0.023,10.67,0.021,6573,318,265,4.208,0.095,0.152,0.013,0.15,0.21,1.523,0.315,0.221,1.345,0.158,0.113,0.366,0.176,0.155,469.4,85.93,85.75,0.225,0.112,0.062,AAA-222-111-000-0-0,,
203009876,16 09 07.781,-27 34 22.07,1,14.532,,,,16090778-2734220,STAR,JHK,col,,,,,,,,,,,,,,,,,12.281,0.024,11.687,0.023,11.423,0.021,3646,2494,254,4.968,0.12,0.984,-0.041,0.2,0.28,0.29,1.505,0.098,0.29,0.889,0.139,10.58,10.29,10.4,83.53,591.1,37.54,0.121,1.577,0.088,AAA-222-111-000-0-0,,
203009906,16 09 49.354,-27 34 21.69,1,13.647,,,313-087547,16094934-2734217,STAR,JHK,rpm,67.3,2.2,-29.9,2.7,,,,,,,,,,,,,11.458,0.024,10.882,0.023,10.619,0.021,3555,115,144,5.02,0.09,0.054,0.015,0.12,0.15,0.258,0.054,0.07,0.26,0.074,0.088,14.04,9.802,3.266,55.86,15.77,16.42,0.044,0.084,0.023,AAA-222-111-000-0-0,,
203010316,16 25 12.569,-27 34 16.16,1,13.511,,,313-089216,16251256-2734162,STAR,gri,rpm,-8.2,1.7,0.4,2.3,,,15.335,0.05,13.982,0.036,14.715,0.038,13.482,0.043,12.994,0.063,11.216,0.022,10.54,0.022,10.355,0.021,4628,175,146,2.358,0.24,0.336,-0.165,0.25,0.7,10.92,4.505,2.731,1.093,0.208,0.208,7.15E-04,0.001,4.51E-04,2221,723.1,545.5,0.513,0.161,0.161,AAA-222-111-000-0-0,,
203010516,16 29 36.730,-27 34 13.72,1,9.746,80778,6803-1524-1,313-089793,16293672-2734136,STAR,BV,plx,5.06,1.64,4.07,1.2,2.51,1.38,10.192,0.031,9.782,0.029,,,,,,,8.61,0.02,8.44,0.038,8.329,0.024,7218,739,528,3.847,0.18,0.252,0.043,0.1,0.1,2.603,1.301,0.583,1.853,0.477,0.238,0.097,0.088,0.063,398.4,219,219,0.247,0.242,0.11,AAA-111-111-000-0-0,,
203010841,16 25 29.534,-27 34 09.53,1,13.201,,,313-089249,16252953-2734093,STAR,gri,rpm,17.5,1.5,-4.8,2.4,,,14.634,0.03,13.612,0.034,14.165,0.035,13.206,0.042,12.789,0.062,11.375,0.023,10.896,0.022,10.754,0.023,5669,212,496,4.138,0.175,0.455,0.035,0.12,0.33,1.466,1.096,0.357,1.057,0.115,0.138,0.338,0.298,0.264,426.9,242.2,104.5,0.632,0.1,0.22,AAA-222-111-000-0-0,,
203011203,16 28 06.350,-27 34 04.88,1,14.022,,,313-089600,16280634-2734048,STAR,JHK,rpm,-4,1.8,-10.2,1.9,,,,,,,,,,,,,11.595,0.024,10.837,0.026,10.566,0.023,4813,117,382,2.326,0.655,0.786,-0.52,0.5,0.5,8.677,9.704,3.917,0.943,0.266,0.063,8.26E-04,0.004,7.43E-04,2141,2804,915.6,1.219,0.287,0.43,AAA-222-111-000-0-0,,
