12,204241377,16 36 54.324,-23 06 35.64,1,14.542,,,335-085224,16365433-2306354,,STAR,JHK,rpm,-1.1,2.7,-6.1,2.7,,,,,,,,,,,,,,,,,12.539,0.024,11.973,0.023,11.755,0.021,5177,722,433,2.632,1.3,0.4,-0.534,0.55,0.55,5.797,4.162,4.377,0.919,0.33,0.053,0.003,0.271,0.003,2357,1854,1748,0.688,0.535,0.382,AAA-222-111-000-0-0,,
13,204241683,16 03 34.176,-23 06 31.18,1,11.594,,,335-081493,16033417-2306312,,STAR,gri,rpm,-12.4,1.9,2.7,1.1,,,13.347,0.04,12.053,0.01,,,12.677,0.06,11.606,0.01,11.13,0.03,,,9.641,0.023,8.925,0.025,8.761,0.026,4483,89,107,1.79,0.378,1.08,-0.716,0.3,1.02,19.865,44.477,4.657,0.919,0.093,0.107,1.04E-04,1.49E-04,1.02E-04,1986,4236,493.2,0.372,0.06,0.19,AAA-222-111-000-0-0,,
14,204241711,16 22 27.040,-23 06 30.62,1,6.782,,,,16222704-2306306,,STAR,J,rav,14,1,2,4,,,,,,,,,,,,,,,,,6.782,0.023,5.333,0.024,4.792,0.023,4130,116,83,1.352,0.14,0.14,-0.408,0.15,0.15,34.824,5.809,4.979,1.046,0.129,0.092,2.40E-05,1.45E-05,9.01E-06,833,123.4,127.3,0.31,0.283,0.118,AAA-111-111-000-0-0,,0668-0416818
15,204241719,15 56 32.474,-23 06 30.49,1,12.066,,,335-080530,15563247-2306304,,STAR,gri,rpm,0,1.6,3.3,0.9,,,14.36,0.03,12.715,0.04,,,13.569,0.02,12.095,0.03,11.421,0.02,,,9.601,0.026,8.782,0.047,8.527,0.019,4014,303,116,1.054,0.525,0.375,-0.577,0.72,0.6,43.57,25.93,16.256,0.955,0.251,0.078,9.19E-06,3.17E-05,7.12E-06,3595,1907,1073,0.355,0.293,0.195,AAA-212-111-000-0-0,,
16,204241921,16 24 20.220,-23 06 27.59,1,14.356,,,335-084343,16242023-2306275,,STAR,JHK,rpm,-10.2,2.7,-11,2.3,,,,,,,,,,,,,,,,,11.948,0.022,11.18,0.025,10.926,0.025,4565,294,294,2.095,1.014,1.014,-0.549,0.35,0.42,13.72,20.982,9.214,0.953,0.111,0.061,3.08E-04,0.009,2.98E-04,3436,5727,2377,0.862,0.609,0.435,AAA-222-111-000-0-0,,
17,204242055,16 02 27.392,-23 06 25.35,1,13.046,,,335-081320,16022739-2306252,,STAR,gri,rpm,-4,1.2,-3.7,1.2,,,14.837,0.04,13.509,0.03,,,14.115,0.06,13.014,0.06,12.588,0.06,,,11.089,0.023,10.433,0.027,10.282,0.025,4617,138,110,2.347,0.318,0.636,-0.286,0.4,0.72,11.486,9.415,2.971,1.069,0.258,0.184,6.09E-04,0.001,5.32E-04,2374,2010,535.4,0.351,0.121,0.101,AAA-222-111-000-0-0,,
18,204242152,16 07 23.761,-23 06 23.98,1,13.966,,,335-082078,16072376-2306238,,STAR,gri,rpm,-6.8,1.8,-25,1.6,,,16.777,0.08,15.112,0.047,,,16.002,0.051,14.486,0.049,13.093,0.063,,,10.805,0.027,10.119,0.023,9.851,0.027,5101,324,270,3.602,0.175,0.595,-0.314,0.3,0.42,2.571,2.497,0.367,1.103,0.148,0.178,0.052,0.039,0.046,522.1,287.3,51.17,1.248,0.148,0.148,AAA-222-111-000-0-0,,
19,204242194,16 10 25.356,-23 06 23.39,1,7.829,79250,6780-663-1,335-082472,16102535-2306233,,STAR,BV,plx,-17.73,0.86,-30.99,0.6,9.06,0.84,7.997,0.016,7.789,0.012,,,,,,,,,,,7.369,0.019,7.317,0.047,7.245,0.018,7799,500,500,4.231,0.045,0.072,-0.02,0.15,0.12,1.635,0.145,0.084,1.664,0.144,0.103,0.372,0.067,0.082,110.4,10.23,10.23,0.097,0.1,0.05,AAA-111-111-000-0-0,,
20,204242520,15 57 16.298,-23 06 18.74,1,12.98,,,335-080618,15571630-2306187,,STAR,gri,rpm,-3.7,1.2,6.5,2.4,,,14.232,0.01,13.281,0.02,,,13.722,0.033,12.934,0.041,12.663,0.01,,,11.485,0.022,11.011,0.022,10.95,0.025,5223,106,127,2.451,0.781,0.055,-0.868,0.25,0.25,9.191,0.767,5.582,0.906,0.022,0.022,0.001,0.025,2.24E-04,2557,164,1473,0.249,0.073,0.073,AAA-222-111-000-0-0,,
21,204242564,16 00 55.549,-23 06 18.03,1,15.693,,,,16005554-2306180,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,13.36,0.029,12.763,0.027,12.476,0.03,3552,140,140,5.024,0.078,0.065,-0.033,0.18,0.18,0.246,0.063,0.059,0.245,0.087,0.073,15.33,8.856,5.613,107.8,35.28,31.05,0.067,0.038,0.024,AAA-222-111-000-0-0,,
22,204242600,16 25 05.958,-23 06 17.44,1,15.591,,,335-084421,16250593-2306177,,STAR,JHK,rpm,5.2,3.8,7.1,2.7,,,,,,,,,,,,,,,,,13.101,0.029,12.436,0.026,12.154,0.025,5382,763,635,3.883,0.42,1.54,-0.105,0.25,0.85,1.975,7.584,0.882,1.037,0.233,0.174,0.12,0.468,0.119,969.1,3388,417.6,1.416,0.661,0.661,AAA-222-111-000-0-0,,
23,204242747,16 01 16.454,-23 06 15.05,1,12.142,,,335-081152,16011645-2306150,,STAR,gri,rpm,5.8,0.9,-0.8,1.1,,,12.933,0.04,12.28,0.04,,,12.546,0.02,12.058,0.02,11.968,0.06,,,11.045,0.024,10.737,0.024,10.712,0.027,6095,170,97,4.085,0.24,0.24,0.011,0.12,0.21,1.514,0.803,0.374,1.212,0.254,0.159,0.279,0.406,0.184,459.5,230.3,109,0.122,0.061,0.034,AAA-222-111-000-0-0,,
24,204242877,16 26 28.596,-23 06 13.11,1,12.214,,,335-084570,16262859-2306127,,STAR,gri,rpm,-10.9,2.4,8.7,1.7,,,14.108,0.01,12.931,0.02,,,13.634,0.032,12.359,0.041,11.605,0.06,,,9.683,0.026,9.104,0.024,8.834,0.024,4989,160,360,2.39,0.066,0.03,-0.596,0.6,0.3,10.307,1.381,0.206,0.954,0.486,0.048,8.74E-04,5.25E-05,5.84E-05,1051,129.9,31.54,0.782,0.269,0.202,AAA-222-111-000-0-0,,
25,204243018,16 02 06.264,-23 06 11.08,1,11.519,,,335-081278,16020626-2306110,,STAR,gri,rpm,-7.8,0.8,-0.5,0.8,,,13.213,0.03,11.899,0.05,,,12.571,0.05,11.47,0.05,11.069,0.02,,,9.596,0.021,8.944,0.019,8.795,0.021,4599,110,110,2.383,0.125,0.275,-0.082,0.18,0.42,11.673,2.569,0.749,1.227,0.248,0.248,7.46E-04,2.84E-04,4.23E-04,1187,290.2,50.81,0.314,0.084,0.101,AAA-222-111-000-0-0,,
26,204243178,16 00 17.715,-23 06 09.14,1,11.335,,,335-081023,16001771-2306090,,STAR,gri,rpm,2.8,1.4,2.8,1.3,,,12.859,0.01,11.69,0.01,,,12.252,0.01,11.284,0.01,10.941,0.03,,,9.595,0.024,9.044,0.055,8.863,0.021,4816,114,114,2.445,0.34,0.102,-0.232,0.25,0.3,10.634,0.893,1.583,1.194,0.867,0.228,9.51E-04,0.001,2.28E-04,1162,109.2,118.7,0.241,0.098,0.082,AAA-212-111-000-0-0,,
27,204243465,16 00 53.018,-23 06 05.35,1,13.545,,,335-081102,16005302-2306053,,STAR,gri,rpm,3.2,1.2,-4.7,1.5,,,15.075,0.053,13.891,0.01,,,14.474,0.02,13.501,0.01,13.147,0.03,,,11.785,0.029,11.151,0.024,11.066,0.023,4751,112,112,2.219,0.415,0.581,-0.806,0.42,0.35,11.028,9.123,3.858,0.909,0.08,0.027,4.69E-04,0.001,4.04E-04,3481,2798,1197,0.265,0.086,0.072,AAA-222-111-000-0-0,,
28,204243708,16 01 17.857,-23 06 01.75,1,12.131,,,335-081158,16011786-2306017,,STAR,gri,rpm,-8,0.9,-30.2,0.8,,,13.095,0.041,12.32,0.03,,,12.674,0.031,12.085,0.01,11.898,0.01,,,10.921,0.024,10.583,0.023,10.498,0.021,5773,171,97,4.416,0.054,0.297,-0.022,0.15,0.18,1.033,0.499,0.102,1.012,0.152,0.101,0.909,0.225,0.597,282.6,124.4,43.18,0.138,0.143,0.042,AAA-222-111-000-0-0,,
29,204243734,16 28 53.484,-23 06 01.35,1,14.995,,,335-084663,16285348-2306013,,STAR,JHK,rpm,11.7,4.7,1.7,3,,,,,,,,,,,,,,,,,12.589,0.026,11.96,0.028,11.679,0.029,5334,946,591,3.661,0.516,1.29,-0.059,0.16,0.8,2.405,6.789,1.11,1.069,0.366,0.203,0.061,0.321,0.06,1008,2768,487.2,1.199,0.858,0.613,AAA-222-111-000-0-0,,
30,204243913,16 29 55.149,-23 05 58.76,1,13.941,,,335-084709,16295513-2305586,,STAR,J,rpm,-7.7,2.4,-5.6,3.5,,,,,,,,,,,,,,,,,12.578,0.026,11.83,0.023,11.574,0.023,4737,250,250,2.377,1.008,0.84,-0.521,0.55,0.66,8.65,13.128,5.793,0.957,0.206,0.086,7.79E-04,0.023,7.34E-04,3203,4806,2137,1.008,0.355,0.355,AAA-222-111-000-0-0,,
31,204244064,15 55 54.696,-23 05 56.53,1,12.175,,,335-080467,15555470-2305565,,STAR,gri,rpm,5.7,2.3,-9.5,1.3,,,13.809,0.02,12.607,0.02,,,13.207,0.01,12.189,0.02,11.733,0.02,,,10.238,0.023,9.595,0.022,9.448,0.021,4685,112,74,1.214,1.026,0.228,-1.648,0.8,0.48,35.895,10.775,24.386,0.831,0.078,0.026,1.63E-05,5.47E-04,8.87E-06,4979,1335,3336,0.391,0.028,0.112,AAA-222-111-000-0-0,,
32,204244182,16 15 27.346,-23 05 54.65,1,11.37,,6793-802-1,335-083273,16152734-2305544,,STAR,gri,rpm,3.6,3.4,-2.1,3.6,,,12.28,0.175,11.576,0.119,,,11.848,0.03,11.437,0.04,11.166,0.04,,,10.265,0.024,10.005,0.024,9.897,0.021,6569,502,334,3.847,0.315,0.225,0.008,0.12,0.12,2.264,1.039,0.825,1.623,0.325,0.325,0.105,0.207,0.062,536.5,228.4,209.9,0.315,0.196,0.118,AAA-222-111-000-0-0,,
