EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
201048855,12 07 56.269,-08 09 07.91,1,12.110,,,410-054668,12075627-0809079,,STAR,gri,rav,-9.400,1.100,5.200,1.600,,,12.656,0.050,12.355,0.350,,,12.320,0.040,12.040,0.010,11.914,0.040,,,11.190,0.023,10.970,0.022,10.953,0.023,,,,,,,,,5946,165,118,4.067,0.115,0.115,-0.134,0.150,0.150,1.526,0.254,0.218,1.090,0.096,0.080,0.268,0.138,0.091,502.000,82.390,70.770,0.026,0.014,0.006,,,
201049999,12 08 12.521,-08 06 41.65,1,13.005,,,410-054677,12081252-0806416,,STAR,gri,rpm,-15.100,2.600,-14.800,2.100,,,13.715,0.040,13.171,0.020,,,13.353,0.030,13.013,0.030,12.856,0.060,,,12.042,0.023,11.730,0.022,11.729,0.023,,,,,,,,,6102,97,97,4.132,0.207,0.115,-0.636,0.360,0.300,1.338,0.188,0.282,0.901,0.138,0.042,0.374,0.352,0.127,658.200,80.310,135.400,0.026,0.010,0.007,,,
201050049,12 08 03.193,-08 06 34.49,1,13.524,,,410-054671,12080319-0806345,,STAR,gri,rpm,-45.600,1.900,12.400,5.300,,,14.480,0.040,13.756,0.030,,,14.043,0.040,13.486,0.010,13.302,0.070,,,12.308,0.023,11.928,0.025,11.867,0.021,,,,,,,,,5537,89,134,4.520,0.063,0.045,-0.359,0.200,0.400,0.807,0.080,0.086,0.825,0.080,0.080,1.451,0.410,0.272,399.200,47.680,42.600,0.031,0.018,0.013,,,
201050511,12 07 52.725,-08 05 35.25,1,11.056,,5519-954-1,410-054667,12075272-0805351,,STAR,gri,plx,-0.400,2.300,-53.800,2.500,,,11.832,0.107,11.416,0.116,,,11.405,0.030,10.968,0.020,10.907,0.150,,,10.069,0.026,9.753,0.022,9.650,0.021,,,,,,,,,5906,119,95,4.396,0.055,0.099,-0.149,0.180,0.240,1.037,0.135,0.087,0.998,0.096,0.096,0.866,0.187,0.257,195.200,28.620,28.620,0.024,0.013,0.006,,,
201051317,12 08 10.144,-08 03 47.54,1,14.462,,,410-054674,12081014-0803475,,STAR,gri,rpm,-20.200,2.700,-12.000,3.300,,,15.951,0.010,14.859,0.060,,,15.405,0.040,14.443,0.040,14.057,0.030,,,12.833,0.023,12.277,0.023,12.176,0.023,,,,,,,,,4649,94,113,4.644,0.045,0.045,-0.091,0.200,0.240,0.665,0.053,0.073,0.723,0.055,0.077,2.392,0.517,0.425,344.400,32.530,50.320,0.029,0.025,0.009,,,
201051625,12 07 58.675,-08 03 06.06,1,11.913,,,410-054669,12075867-0803061,,STAR,gri,rav,-12.900,1.400,7.800,1.700,,,13.411,0.040,12.287,0.020,,,12.821,0.040,11.885,0.020,11.524,0.060,,,10.234,0.023,9.617,0.022,9.480,0.021,,,,,,,,,4380,105,88,1.664,0.132,0.110,-0.554,0.120,0.120,23.456,2.923,3.083,0.956,0.019,0.039,7.125e-5,3.961e-5,2.196e-5,3210.000,435.000,322.600,0.029,0.014,0.008,,,
201052484,12 08 16.524,-08 01 11.58,1,13.295,,,410-054678,12081652-0801116,,STAR,gri,rpm,-19.000,1.800,-7.400,2.100,,,14.088,0.030,13.515,0.120,,,13.713,0.050,13.288,0.020,13.116,0.040,,,12.270,0.023,11.949,0.023,11.917,0.021,,,,,,,,,5899,107,142,4.355,0.100,0.300,-0.284,0.250,0.450,1.065,0.469,0.165,0.931,0.120,0.075,0.745,0.332,0.479,573.800,240.100,99.610,0.028,0.015,0.007,,,
201054099,12 08 09.222,-07 57 50.36,1,14.619,,,411-053708,12080922-0757504,,STAR,gri,rpm,-11.600,3.500,-8.500,4.100,,,15.605,0.050,14.905,0.150,,,15.164,0.020,14.572,0.020,14.385,0.050,,,13.407,0.023,13.005,0.027,12.888,0.029,,,,,,,,,5395,128,106,4.525,0.045,0.711,-0.275,0.250,0.400,0.838,1.126,0.079,0.864,0.066,0.092,1.423,0.308,1.307,681.300,866.600,79.660,0.027,0.018,0.007,,,
201054338,12 08 49.732,-07 57 19.65,1,11.738,,5519-902-1,411-053721,12084972-0757195,,STAR,gri,rpm,14.700,2.200,-71.800,2.400,,,12.698,0.351,11.365,0.121,,,12.188,0.050,11.692,0.020,11.545,0.050,,,10.704,0.026,10.393,0.027,10.263,0.023,,,,,,,,,5746,139,139,4.445,0.065,0.143,-0.263,0.250,0.300,0.948,0.223,0.125,0.910,0.083,0.100,1.083,0.312,0.431,232.100,58.490,30.420,0.025,0.013,0.007,,,
