EPIC,KepMag,Kmag,Teff,mass,Radius
integer,float,float,integer,float,float
201048855,12.110,10.953,5946,1.090,1.526
201049999,13.005,11.729,6102,0.901,1.338
201050049,13.524,11.867,5537,0.825,0.807
201050511,11.056,9.650,5906,0.998,1.037
201051317,14.462,12.176,4649,0.723,0.665
201051625,11.913,9.480,4380,0.956,23.456
201052484,13.295,11.917,5899,0.931,1.065
201054099,14.619,12.888,5395,0.864,0.838
201054338,11.738,10.263,5746,0.910,0.948
201054542,14.242,12.327,5054,0.848,0.787
201054991,14.564,12.422,4968,0.820,0.767
201071559,15.292,12.209,3710,0.375,0.339
201071583,16.119,13.178,3738,0.315,0.298
201071950,14.255,12.357,5069,0.804,0.754
201071997,15.510,12.727,3954,0.452,0.396
201072036,13.981,10.922,3854,0.441,0.395
201072501,18.428,14.376,3906,0.417,0.353
201072674,14.406,12.702,5248,0.886,2.439
201073202,14.159,10.926,3829,0.398,0.365
201073315,14.847,12.781,5082,0.829,0.775
201073427,13.547,11.895,5496,0.861,0.847
201073453,13.402,11.836,5936,0.898,1.053
201073867,15.539,12.843,4030,0.470,0.416
201073911,15.043,12.123,3942,0.501,0.445
201074123,15.828,12.909,3656,0.304,0.288
201074196,15.945,13.497,3868,0.429,0.378
201074212,11.031,9.174,5128,0.923,2.984
201074290,17.247,14.650,3776,0.334,0.311
201074395,17.614,14.522,4023,0.485,0.420
201074453,16.639,13.345,3552,0.224,0.240
201074528,16.608,13.593,3428,0.189,0.202
201074534,14.836,12.937,5193,0.784,0.757
201074629,17.847,13.755,3752,0.336,0.313
201074673,13.388,11.319,4973,0.925,3.951
201074674,12.611,11.275,5924,1.075,1.243
201074775,10.786,7.671,3986,0.960,51.808
201074882,14.413,12.345,5042,0.844,0.781
201075088,17.982,14.985,3968,0.429,0.388
201075204,17.767,14.829,3797,0.340,0.302
201075355,16.288,13.519,3630,0.272,0.265
201075442,11.953,10.633,6155,1.186,1.450
201075527,16.021,12.694,3553,0.240,0.242
201075635,13.411,12.040,6063,0.999,1.257
201075849,13.525,12.212,6173,0.984,1.275
201075874,13.550,12.036,5742,0.998,1.003
201076064,15.448,12.705,3498,0.218,0.223
201076194,13.442,12.056,5813,0.934,1.252
201076292,15.561,15.188,5871,0.819,0.925
201076319,12.319,11.116,6309,1.222,1.418
201076697,16.097,13.087,3656,0.291,0.277
201076706,13.911,12.177,5588,0.883,2.033
201076819,13.742,12.174,5906,0.981,1.080
201076850,11.282,9.549,5326,0.900,0.842
201076871,11.509,9.683,5377,0.908,0.844
201076903,13.804,12.252,5628,0.896,1.919
201077030,15.672,12.631,3946,0.482,0.427
201077184,17.696,14.505,3709,0.302,0.291
201077202,14.990,12.824,4856,0.702,0.652
201077357,15.797,13.045,4249,0.590,0.540
201077482,11.219,8.080,3654,0.293,0.283
201077624,15.037,13.484,5612,0.780,0.795
201077651,17.177,14.593,3751,0.306,0.298
201077748,15.877,12.875,3918,0.454,0.392
201077777,17.452,14.508,3594,0.246,0.256
201077878,13.316,11.548,5206,0.853,0.806
201077887,13.167,11.785,6025,0.798,0.889
201077909,15.112,13.236,5212,0.874,0.831
201078059,13.242,11.869,6045,0.990,1.147
201078078,15.820,12.624,3858,0.428,0.393
201078111,13.992,11.602,4488,0.712,0.656
201078156,13.766,11.733,5130,0.888,0.814
201078167,16.182,13.102,3536,0.227,0.226
201078238,11.623,9.626,4995,1.168,2.753
201078264,13.824,12.376,5734,0.880,1.060
201078353,16.720,14.241,3774,0.324,0.300
201078494,13.662,12.054,5310,0.817,0.780
201078539,14.875,13.079,5510,0.864,0.868
201078640,14.540,12.709,5324,0.863,1.413
201078666,14.747,12.687,4757,0.711,0.662
201078672,14.923,13.006,5041,0.875,1.905
201078691,14.174,12.181,5099,0.886,3.769
201078738,17.180,14.618,3763,0.329,0.304
201078863,15.882,12.850,3541,0.238,0.236
201078924,12.520,11.142,5980,0.967,1.235
201078967,13.786,10.878,3908,0.439,0.387
201079143,13.464,11.807,5889,0.989,1.078
201079159,17.779,,,,
201079299,18.235,,,,
201079336,17.317,14.586,3633,0.247,0.253
201079388,13.857,10.722,3978,0.504,0.440
201079514,14.334,12.462,5104,0.879,2.421
201079515,11.722,10.368,6048,1.074,1.412
201079541,11.446,9.272,4824,0.967,7.355
201079710,14.045,12.569,5902,0.916,1.161
201079736,16.305,13.531,3564,0.242,0.227
201079852,13.850,11.833,5051,0.942,3.221
201079872,14.665,11.733,3945,0.468,0.416
201080018,17.762,14.756,3729,0.315,0.288
201080048,15.645,12.440,3583,0.260,0.260
201080092,18.228,14.700,3848,0.362,0.347
201080381,14.338,12.772,5614,0.728,0.724
201080601,10.285,8.075,4685,0.994,12.028
201080676,17.021,14.338,3783,0.349,0.319
201080761,14.931,12.673,4781,0.722,0.670
201080830,13.724,10.406,3501,0.228,0.234
201080836,13.921,12.251,5343,0.875,1.731
201080975,15.317,13.231,4852,0.743,0.690
201081010,13.738,11.274,4430,0.698,0.634
201081029,14.943,13.147,5179,0.871,2.692
201081112,16.995,14.014,2485,0.113,0.118
201081143,13.736,12.125,5786,0.949,1.008
201081174,16.902,14.198,3783,0.361,0.339
201081231,11.710,10.594,6299,1.078,1.267
201081367,13.229,11.078,4726,0.743,0.685
201081514,15.413,12.905,4371,0.623,0.559
201081526,10.302,8.885,5988,1.040,1.304
201081594,14.261,12.534,5547,0.872,0.910
201081635,17.973,,,,
201081666,12.448,10.830,5652,0.889,0.871
201081700,13.873,11.678,4701,0.694,0.640
201081732,14.537,11.500,3722,0.387,0.359
201081826,17.109,14.278,3628,0.260,0.265
201081907,16.871,14.245,3690,0.293,0.292
201082003,14.760,12.811,5054,0.871,3.167
201082013,15.764,13.661,4473,0.673,0.610
201082051,14.289,12.285,5018,0.839,0.781
201082137,13.581,12.254,6072,0.869,1.034
201082151,16.487,13.390,3619,0.265,0.270
201082152,11.004,8.672,4832,1.083,5.711
201082211,17.229,14.305,3704,0.297,0.287
201082312,14.920,12.878,4715,0.723,0.663
201082355,15.675,13.988,5592,0.809,0.825
201082356,15.218,11.606,3417,0.204,0.220
201082377,13.912,12.471,5762,0.892,0.913
201082378,16.248,13.583,3606,0.277,0.269
201082422,18.459,14.942,3734,0.325,0.283
201082451,13.349,10.069,3733,0.356,0.323
201082471,13.706,12.099,5690,0.780,0.793
201082676,17.382,14.715,3842,0.353,0.314
201082687,17.164,14.627,3841,0.374,0.350
201082690,17.652,14.813,3520,0.229,0.227
201082692,12.683,10.813,5007,1.021,3.345
201082753,17.417,14.874,3895,0.393,0.337
201082787,15.914,13.453,3751,0.319,0.292
201082794,17.385,14.783,3829,0.345,0.327
201082831,13.870,12.366,5830,0.846,0.929
201082897,11.130,9.156,4720,0.935,12.960
201082923,12.010,11.527,7589,1.269,1.960
201082948,13.073,11.271,5506,0.831,0.801
201083047,16.089,13.001,3791,0.378,0.345
201083062,18.361,,,,
201083242,13.813,11.855,4956,0.743,0.700
201083290,13.927,11.853,4887,0.769,0.721
201083483,15.800,13.687,4954,0.783,0.742
201083494,17.543,14.686,3684,0.283,0.276
201083617,15.629,14.131,5756,0.824,0.879
201083632,14.455,12.678,5275,0.681,0.658
201083636,15.890,13.002,3669,0.281,0.274
201083735,9.260,7.812,6262,1.370,1.922
201083752,12.615,10.430,4759,0.949,8.582
201083895,16.224,13.283,3848,0.396,0.355
201084003,15.672,14.340,5425,0.789,0.792
201084028,16.985,14.374,,,
201084059,14.123,12.463,5651,0.843,0.845
201084168,14.188,11.992,4933,0.822,0.769
201084221,11.647,10.366,6094,1.116,1.306
201084250,12.031,10.817,6112,1.220,1.588
201084254,10.459,7.525,4019,0.555,0.493
201084268,13.682,12.174,5662,0.856,0.882
201084357,11.267,8.062,3763,0.370,0.347
201084371,12.111,10.923,6183,1.114,1.538
201084381,12.396,11.044,5923,1.039,1.160
201084449,12.141,9.909,4737,0.952,8.518
201084454,14.535,12.392,4906,0.728,0.685
201084564,13.854,12.305,5898,0.912,1.004
201084649,13.060,11.444,5501,0.916,0.871
201084659,15.085,13.126,5084,0.744,0.717
201084664,14.398,12.327,5072,0.885,2.983
201084752,17.779,13.784,3978,0.434,0.395
201084809,12.712,11.499,6030,1.110,1.411
201084816,14.878,12.798,4817,0.728,0.681
201084880,9.727,6.712,4194,1.097,26.902
201085039,13.093,9.784,3538,0.273,0.270
201085153,17.327,14.519,3945,0.439,0.383
201085209,18.271,14.148,3762,0.342,0.308
201085274,12.959,,,,
201085280,12.422,10.984,5726,1.017,1.500
201085287,13.618,12.171,5865,0.882,0.938
201085288,14.891,12.606,4700,0.785,0.715
201085324,18.254,,,,
201085332,13.336,11.856,5847,0.953,1.141
201085356,12.321,10.709,5514,0.940,1.082
201085409,9.362,6.934,4439,1.223,15.056
201085427,17.784,,,,
201085536,15.244,13.533,5346,0.812,0.798
201085593,13.748,12.405,6036,0.927,1.148
201085616,8.603,6.102,4300,1.001,81.895
201085651,14.685,12.521,4800,0.716,0.660
201085696,14.440,12.395,5021,0.833,0.783
201085760,15.089,12.813,4627,0.695,0.649
201085811,17.219,14.585,3600,0.240,0.243
201085841,13.278,11.192,4880,0.958,10.493
201085932,13.180,11.241,5083,0.764,0.726
201085951,16.075,13.021,3498,0.208,0.227
201085976,13.910,12.327,5365,0.884,0.851
201085992,12.189,10.905,6029,1.087,1.300
201086013,12.211,10.926,6122,1.004,1.253
201086018,12.740,11.001,5768,1.033,1.180
201086154,13.449,11.925,5582,0.883,0.891
201086181,13.882,11.482,4631,0.831,26.242
201086199,18.566,15.040,3715,0.303,0.280
201086218,12.745,10.613,4830,0.949,8.690
201086242,13.293,11.914,5903,0.943,1.067
201086283,17.078,14.442,3690,0.298,0.296
201086288,15.087,13.192,5073,0.788,0.748
201086315,12.961,11.488,5882,1.049,1.104
201086400,14.481,11.301,3520,0.261,0.267
201086540,12.548,10.593,5035,0.830,0.770
201086563,13.744,12.502,6199,1.028,1.290
201086592,17.774,14.523,3524,0.213,0.217
201086665,15.774,14.152,5246,0.799,0.771
201086670,13.107,10.670,4561,0.946,12.048
201086671,15.403,12.341,3510,0.235,0.238
201086703,14.797,11.881,3896,0.489,0.436
201086754,12.355,10.476,5186,0.895,4.313
201086761,17.574,14.708,3864,0.398,0.361
201086827,18.126,15.181,3794,0.322,0.298
201086879,10.201,9.039,6273,1.242,1.468
201086920,14.429,11.635,3963,0.505,0.441
201086955,16.228,13.415,3885,0.419,0.375
201087011,13.808,11.863,5074,0.902,2.332
201087034,15.263,12.011,3595,0.288,0.281
201087067,14.771,12.903,5110,0.775,0.731
201087075,11.840,10.419,5829,0.972,1.097
201087126,13.423,12.039,5835,0.935,0.980
201087168,10.371,9.077,6035,1.332,2.243
201087176,13.779,12.099,5480,0.931,0.896
201087178,15.757,14.284,5683,0.812,0.855
201087275,15.244,11.992,3849,0.405,0.371
201087298,17.165,14.571,3690,0.286,0.290
201087309,16.278,13.399,3678,0.277,0.274
201087316,12.888,11.621,6028,1.109,1.363
201087349,14.955,13.055,5225,0.845,0.797
201087354,10.273,8.914,,,
201087378,17.966,,,,
201087387,13.542,10.597,4200,0.593,0.517
201087401,14.839,12.736,4973,0.827,0.765
201087434,13.672,12.387,6172,1.122,1.311
201087455,16.410,13.105,3492,0.201,0.213
201087457,16.759,14.218,3795,0.345,0.326
201087484,11.647,9.545,4951,0.891,8.542
201087490,17.525,14.798,3619,0.258,0.261
201087542,14.583,12.535,4925,0.839,0.804
201087553,12.544,11.171,6068,1.038,1.299
201087710,11.463,9.663,4925,0.807,0.738
201087723,15.746,13.700,4841,0.711,0.661
201087730,15.703,13.437,4920,0.739,0.695
201087759,15.045,12.916,4932,0.778,0.715
201087779,11.455,10.283,6372,1.152,1.361
201087784,11.681,10.350,5928,1.100,1.210
201087792,17.886,14.802,4079,0.492,0.432
201087808,16.362,13.448,3581,0.239,0.250
201087826,16.937,14.155,3652,0.289,0.275
201088126,9.238,6.046,3919,1.025,55.412
201088127,14.037,12.492,5563,0.877,1.421
201088156,14.934,13.595,6008,0.703,0.719
201088164,16.954,14.174,3527,0.210,0.222
201088178,11.392,9.080,4641,1.100,10.789
201088225,13.017,11.327,5417,0.923,0.919
201088255,15.469,12.515,3487,0.212,0.214
201088265,16.210,13.388,3548,0.238,0.245
201088357,14.732,12.809,4900,0.742,0.691
201088400,17.782,13.996,3879,0.423,0.374
201088413,13.995,12.436,5658,0.965,0.959
201088417,14.634,12.794,5099,0.839,0.797
201088502,17.026,14.389,3631,0.258,0.258
201088505,15.165,11.944,3468,0.198,0.212
201088519,15.460,13.339,4820,0.731,0.679
201088564,17.885,14.952,3688,0.278,0.257
201088671,14.439,10.972,3765,0.427,0.387
201088726,11.466,9.358,4845,1.157,4.633
201088799,13.243,12.097,6108,1.033,1.345
201088888,16.463,13.444,4122,0.539,0.472
201088899,15.580,14.846,6034,0.828,0.986
201088948,13.969,10.574,3451,0.185,0.192
201088960,15.354,12.083,3628,0.298,0.283
201089019,17.455,14.755,3775,0.334,0.294
201089025,15.352,11.730,3577,0.259,0.256
201089069,15.668,13.066,,,
201089071,13.689,12.008,5494,0.935,0.918
201089087,13.457,12.146,6084,1.048,1.230
201089091,16.122,13.536,3713,0.322,0.290
201089146,13.853,12.461,5892,0.899,0.987
201089154,15.062,13.232,5541,0.889,0.892
201089164,13.986,11.791,4858,0.763,0.713
201089182,15.798,12.836,4119,0.530,0.469
201089247,15.773,12.977,3741,0.329,0.300
201089310,14.237,11.524,3745,0.308,0.295
201089316,12.507,10.347,4871,1.111,4.144
201089317,12.828,11.565,6295,0.955,1.227
201089352,12.974,11.233,5452,0.888,0.850
201089370,13.809,12.262,5767,0.983,1.653
201089374,14.769,12.840,5168,0.874,3.459
201089381,14.280,12.589,5709,0.753,0.770
201089427,17.359,14.486,3612,0.239,0.247
201089429,13.342,11.730,5481,0.885,0.851
201089435,17.356,14.414,3632,0.269,0.251
201089436,18.252,,,,
201089468,15.509,13.642,4978,0.731,0.690
201089487,12.588,11.135,5848,1.047,1.188
201089552,15.412,12.030,3174,0.140,0.156
201089555,12.135,10.126,4914,0.630,0.591
201089632,10.007,8.499,5353,0.982,2.443
201089722,17.689,14.858,3973,0.435,0.392
201089772,14.164,12.559,5872,0.982,1.104
201089811,14.337,11.331,3629,0.247,0.246
201089857,13.498,11.714,5414,0.914,0.866
201089868,17.211,14.533,3968,0.442,0.388
201089882,15.160,13.325,5481,0.765,0.761
201089913,18.069,15.106,3719,0.292,0.284
201089918,15.769,13.582,4720,0.710,0.665
201090013,17.061,14.515,3763,0.336,0.306
201090037,13.694,12.181,5927,0.881,1.005
201090041,11.200,8.437,4390,0.969,18.321
201090101,14.720,11.577,4118,0.550,0.500
