EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
228759057,12 07 58.408,-08 31 19.88,1,10.048,,5519-1207-1,408-055977,12075840-0831199,,STAR,gri,plx,-12.300,1.700,3.500,1.800,,,11.446,0.092,10.449,0.055,,,11.010,0.050,10.011,0.050,9.636,0.060,,,8.346,0.023,7.775,0.029,7.649,0.027,,,,,,,,,4577,74,92,2.353,0.138,0.575,-0.063,0.200,0.600,12.138,7.547,0.966,1.215,0.275,0.275,6.737e-4,3.046e-4,5.626e-4,2124.000,2487.000,2487.000,0.030,0.016,0.010,AAA-111-111-000-0-0,7.600,
228759076,12 50 23.465,-08 31 16.67,1,15.251,,,408-057128,12502345-0831167,,STAR,gri,rpm,-23.300,2.600,-15.600,3.100,,,17.293,0.108,15.794,0.060,,,16.699,0.080,15.347,0.040,14.631,0.090,,,13.052,0.023,12.425,0.026,12.208,0.024,,,,,,,,,3832,61,107,4.885,0.088,0.020,-0.007,0.090,0.150,0.400,0.011,0.081,0.444,0.023,0.096,6.953,3.693,0.417,171.100,10.730,36.940,0.026,0.014,0.008,AAA-222-111-000-0-0,19.200,
228759083,12 19 48.794,-08 31 15.79,1,15.392,,,408-056315,12194880-0831157,,STAR,JHK,rpm,-9.500,3.900,1.200,3.500,,,,,,,,,,,,,,,,,14.148,0.027,13.710,0.035,13.704,0.054,,,,,,,,,5264,211,211,4.530,0.066,1.067,-0.344,0.300,0.600,0.818,1.954,0.094,0.828,0.078,0.078,1.523,0.439,1.476,920.700,2117.000,140.700,0.029,0.014,0.008,AAA-222-111-000-0-0,8.900,
228759087,12 50 29.120,-08 31 15.27,1,14.333,,,408-057135,12502910-0831152,,STAR,gri,rpm,-13.300,6.600,-29.600,3.000,,,16.002,0.060,14.825,0.040,,,15.465,0.030,14.359,0.060,13.847,0.080,,,12.347,0.023,11.760,0.027,11.618,0.027,,,,,,,,,4373,132,132,4.710,0.048,0.040,-0.081,0.180,0.270,0.587,0.052,0.066,0.640,0.058,0.069,3.155,0.780,0.531,218.700,30.100,26.460,0.026,0.010,0.007,AAA-222-111-000-0-0,29.000,
228759097,12 52 02.920,-08 31 14.12,1,15.286,,,408-057173,12520293-0831140,,STAR,JHK,rpm,-31.000,9.700,9.300,8.000,,,,,,,,,,,,,,,,,14.011,0.033,13.623,0.023,13.543,0.046,,,,,,,,,5458,263,219,4.550,0.070,0.084,-0.552,0.400,0.480,0.773,0.142,0.101,0.774,0.101,0.084,1.583,0.552,0.478,823.600,181.300,125.800,0.029,0.015,0.008,AAA-222-111-c00-0-0,19.900,0814-0256807
228759112,12 15 13.434,-08 31 12.47,1,16.190,,,,12151343-0831124,,STAR,JHK,rpm,-56.000,6.000,24.000,7.000,,,,,,,,,,,,,,,,,13.817,0.032,13.157,0.022,12.919,0.029,,,,,,,,,3779,189,189,4.939,0.096,0.080,-0.111,0.180,0.240,0.329,0.075,0.082,0.358,0.092,0.110,9.380,5.624,3.038,204.000,61.840,63.180,0.023,0.013,0.007,AAA-222-111-000-0-0,81.900,0814-0248996
228759123,12 43 41.083,-08 31 11.13,1,13.947,,,408-056945,12434108-0831109,,STAR,gri,rpm,-11.900,2.600,3.100,3.000,,,14.794,0.040,14.148,0.030,,,14.418,0.020,13.961,0.040,13.745,0.070,,,12.769,0.022,12.377,0.027,12.351,0.027,,,,,,,,,5685,170,170,4.408,0.095,0.722,-0.525,0.350,0.560,1.014,1.183,0.185,0.874,0.083,0.069,0.886,0.512,0.808,649.000,663.900,115.400,0.026,0.013,0.006,AAA-222-111-000-0-0,72.700,
228759134,12 50 09.557,-08 31 08.92,1,14.428,,,408-057120,12500954-0831089,,STAR,gri,rpm,-34.800,11.600,-9.700,9.700,,,16.392,0.140,15.008,0.020,,,15.746,0.040,14.409,0.040,13.863,0.110,,,12.422,0.026,11.767,0.023,11.657,0.023,,,,,,,,,4045,81,81,4.811,0.030,0.030,-0.021,0.100,0.080,0.478,0.026,0.029,0.547,0.028,0.039,4.877,0.723,0.530,165.100,16.180,12.720,0.026,0.016,0.010,AAA-222-111-000-0-0,33.500,
228759178,12 50 00.374,-08 31 02.17,1,14.983,,,408-057114,12500035-0831021,,STAR,gri,rpm,-20.300,5.500,-1.500,7.100,,,16.202,0.090,15.214,0.050,,,15.699,0.040,14.917,0.060,14.675,0.150,,,13.481,0.030,12.984,0.027,12.886,0.032,,,,,,,,,4980,119,119,4.596,0.048,0.040,-0.225,0.250,0.300,0.728,0.063,0.080,0.779,0.070,0.082,1.936,0.446,0.307,553.300,63.240,67.390,0.029,0.014,0.008,AAA-222-111-000-0-0,22.100,
228759185,12 47 55.552,-08 31 00.98,1,15.859,,,408-057059,12475552-0831010,6121-301-1-0106-0133,STAR,JHK,rpm,-37.800,8.600,22.400,8.400,,,,,,,,,,,,,,,,,13.637,0.026,13.057,0.032,12.788,0.026,,,,,,,,,3602,126,105,5.001,0.040,0.048,-0.010,0.120,0.120,0.278,0.053,0.039,0.278,0.074,0.046,13.060,3.687,3.288,143.800,34.100,23.370,0.021,0.010,0.006,AAA-222-111-000-0-0,56.500,
228759202,12 19 34.832,-08 30 57.66,1,14.095,,,408-056306,12193484-0830575,,STAR,gri,rpm,-25.900,16.900,-26.200,2.900,,,16.209,0.170,14.743,0.020,,,15.472,0.070,14.110,0.040,13.505,0.080,,,11.894,0.024,11.276,0.024,11.093,0.023,,,,,,,,,3896,47,78,4.896,0.054,0.045,-0.111,0.150,0.120,0.385,0.045,0.048,0.439,0.043,0.069,7.208,2.164,1.416,103.700,11.320,17.640,0.016,0.017,0.003,AAA-222-111-000-0-0,31.900,
228759205,12 16 10.642,-08 30 56.93,1,15.739,,,408-056223,12161064-0830570,,STAR,JHK,rpm,0.800,3.100,-3.800,3.700,,,,,,,,,,,,,,,,,14.311,0.038,13.753,0.039,13.742,0.046,,,,,,,,,4831,237,237,4.605,0.055,1.672,-0.269,0.250,0.700,0.719,4.758,0.091,0.768,0.100,0.083,2.035,0.527,2.029,770.800,4930.000,128.200,0.028,0.014,0.007,AAA-222-111-000-0-0,59.600,
228759206,12 23 19.965,-08 30 56.81,1,14.227,,,408-056393,12231997-0830568,,STAR,gri,rpm,15.600,2.500,-31.100,2.200,,,15.500,0.050,14.505,0.020,,,15.003,0.020,14.124,0.040,13.895,0.130,,,12.620,0.026,12.039,0.026,11.950,0.024,,,,,,,,,4728,93,75,4.642,0.036,0.030,-0.191,0.200,0.240,0.660,0.046,0.051,0.716,0.059,0.070,2.360,0.458,0.281,315.000,30.390,32.960,0.026,0.010,0.006,AAA-222-111-000-0-0,44.900,
228759219,12 11 07.878,-08 30 55.31,1,11.008,,5519-380-1,408-056059,12110787-0830553,,STAR,gri,plx,21.100,1.800,-14.600,1.900,,,11.506,0.090,10.939,0.087,,,11.185,0.040,10.949,0.040,10.933,0.140,,,10.152,0.022,9.998,0.026,9.945,0.021,,,,,,,,,6713,205,205,4.184,0.080,0.112,-0.026,0.120,0.150,1.521,0.283,0.175,1.367,0.114,0.114,0.360,0.126,0.123,265.500,67.190,67.190,0.026,0.014,0.007,AAA-222-111-000-0-0,49.000,
228759227,12 23 33.802,-08 30 54.26,1,13.873,,,408-056404,12233380-0830541,,STAR,gri,rpm,-5.800,1.800,-0.700,2.700,,,14.550,0.030,13.949,0.010,,,14.167,0.030,13.770,0.020,13.746,0.080,,,12.770,0.027,12.449,0.023,12.370,0.026,,,,,,,,,6018,95,119,4.236,0.170,0.238,-0.246,0.200,0.320,1.228,0.427,0.270,1.005,0.119,0.119,0.456,0.412,0.245,843.000,262.200,200.000,0.026,0.013,0.006,AAA-222-111-000-0-0,24.300,
228759249,12 16 19.252,-08 30 50.48,1,16.380,,,,12161925-0830504,,STAR,JHK,rpm,-46.000,7.000,-12.000,6.000,,,,,,,,,,,,,,,,,14.090,0.034,13.517,0.033,13.220,0.039,,,,,,,,,3599,137,164,5.011,0.080,0.050,-0.025,0.120,0.210,0.261,0.054,0.060,0.259,0.073,0.073,14.160,7.722,3.784,165.500,45.270,47.530,0.020,0.008,0.005,AAA-222-111-000-0-0,76.900,0814-0249216
228759265,12 49 36.058,-08 30 48.58,1,16.930,,,,,6005-301-1-0107-0115,EXTENDED,gri,,2.000,3.000,0.000,3.000,,,,,,,19.882,0.084,17.886,0.009,16.937,0.006,16.521,0.006,16.195,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228759291,12 19 54.773,-08 30 44.24,1,15.372,,,408-056319,12195479-0830435,,STAR,JHK,rpm,-12.400,5.100,-26.700,15.200,,,,,,,,,,,,,,,,,15.266,0.051,14.972,0.078,15.355,0.200,,,,,,,,,5881,321,385,4.405,0.145,0.261,-0.843,0.350,0.420,0.892,0.320,0.175,0.796,0.069,0.069,1.034,0.742,0.599,1919.000,814.400,490.000,0.029,0.014,0.007,AAC-222-111-000-0-0,34.100,
228759294,12 48 31.785,-08 30 43.88,1,14.846,,,408-057079,12483178-0830438,6121-301-1-0106-0029,STAR,gri,apo,-9.600,3.800,-4.900,4.700,,,16.149,0.090,15.104,0.030,,,15.586,0.010,14.801,0.030,14.529,0.140,,,13.331,0.026,12.783,0.025,12.718,0.021,,,,,,,,,4785,76,76,2.967,0.120,0.168,-0.316,0.180,0.150,5.327,0.993,0.726,0.990,0.030,0.036,0.006,0.004,0.002,3533.000,793.500,369.700,0.031,0.014,0.010,AAA-222-111-000-0-0,29.000,
228759295,12 13 16.182,-08 30 43.52,1,14.718,,,408-056130,12131618-0830434,,STAR,gri,rpm,-2.900,2.000,0.200,2.300,,,15.767,0.070,14.979,0.080,,,15.355,0.060,14.793,0.040,14.446,0.080,,,13.371,0.023,12.949,0.030,12.854,0.030,,,,,,,,,5234,189,126,3.378,0.970,0.970,-0.900,0.640,0.480,2.723,5.520,2.002,0.876,0.044,0.062,0.015,0.844,0.014,2235.000,4020.000,1585.000,0.030,0.013,0.008,AAA-222-111-000-0-0,43.000,
228759297,12 20 23.882,-08 30 43.00,1,16.814,,,,12202388-0830430,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.365,0.071,14.433,0.067,13.318,0.040,,,,,,,,,1813,116,31,5.382,0.020,0.020,-0.136,0.210,0.150,0.090,0.002,0.002,0.073,0.001,0.001,97.450,5.847,5.874,43.670,13.240,20.540,0.007,0.004,0.002,AAA-222-111-000-0-0,48.800,0814-0250013
228759298,12 07 35.309,-08 30 42.97,1,17.388,,,408-055964,12073539-0830410,,STAR,J,rpm,-28.600,4.500,-36.200,4.700,,,,,,,,,,,,,,,,,15.900,0.107,15.261,0.110,14.805,0.124,,,,,,,,,3541,308,256,5.060,0.096,0.080,-0.178,0.200,0.360,0.211,0.083,0.051,0.203,0.100,0.063,17.670,13.470,6.649,315.000,147.700,116.400,0.026,0.014,0.007,ABB-222-111-000-0-0,27.100,
228759350,12 50 48.988,-08 30 37.13,1,12.641,,,408-057144,12504898-0830371,,STAR,gri,rpm,-17.100,2.100,0.700,1.600,,,13.748,0.040,12.878,0.020,,,13.293,0.020,12.600,0.030,12.362,0.050,,,11.383,0.032,10.939,0.033,10.873,0.033,,,,,,,,,5134,101,101,3.648,0.822,0.685,-0.341,0.300,0.420,2.416,2.241,1.571,0.984,0.176,0.151,0.043,0.899,0.038,732.000,624.800,490.900,0.029,0.013,0.009,AAA-222-111-000-0-0,87.400,
228759360,12 45 05.724,-08 30 34.62,1,14.597,,,408-056976,12450572-0830346,6121-301-3-0105-0111,STAR,gri,rpm,-54.500,3.300,-20.700,5.900,,,15.730,0.050,14.886,0.050,,,15.217,0.050,14.624,0.030,14.331,0.110,,,13.297,0.027,12.836,0.027,12.738,0.030,,,,,,,,,5177,125,125,4.646,0.040,0.056,-0.831,0.300,0.250,0.637,0.069,0.040,0.672,0.053,0.033,2.458,0.484,0.465,468.700,50.450,45.550,0.030,0.016,0.008,AAA-222-111-000-0-0,31.400,
228759376,12 23 33.218,-08 30 31.46,1,16.763,,,,12233321-0830314,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.318,0.078,14.777,0.073,14.202,0.077,,,,,,,,,3495,202,283,5.052,0.102,0.085,-0.069,0.180,0.240,0.218,0.075,0.065,0.211,0.103,0.073,18.370,14.450,7.044,236.900,111.100,87.580,0.025,0.014,0.007,AAA-222-111-000-0-0,24.300,0814-0250626
228759383,12 11 57.027,-08 30 30.21,1,14.553,,,408-056086,12115702-0830303,,STAR,gri,rpm,-52.400,3.400,1.000,2.300,,,16.524,0.081,15.036,0.046,,,15.875,0.090,14.575,0.050,13.987,0.040,,,12.698,0.024,12.037,0.022,11.919,0.019,,,,,,,,,4040,47,79,4.810,0.040,0.025,-0.023,0.140,0.080,0.477,0.022,0.042,0.540,0.025,0.051,4.892,1.003,0.481,187.200,15.620,16.710,0.028,0.013,0.007,AAA-222-111-000-0-0,8.100,
228759384,12 46 32.459,-08 30 30.03,1,10.880,,5535-1642-1,408-057015,12463245-0830299,,STAR,gri,rav,-35.900,2.000,39.000,2.100,,,11.577,0.101,10.842,0.084,,,11.211,0.030,10.839,0.030,10.738,0.080,,,9.863,0.027,9.563,0.022,9.465,0.019,,,,,,,,,5495,163,163,3.814,0.720,0.080,-0.649,0.180,0.150,1.922,0.205,1.165,0.896,0.081,0.130,0.118,1.469,0.029,314.800,26.420,189.200,0.025,0.013,0.007,AAA-222-111-000-0-0,43.400,
228759428,12 45 29.933,-08 30 23.36,1,15.224,,,408-056985,12452992-0830233,6005-301-3-0107-0005,STAR,gri,rpm,-18.000,3.700,14.700,4.700,,,16.323,0.010,15.561,0.030,,,15.941,0.060,15.263,0.080,14.917,0.100,,,13.783,0.023,13.258,0.031,13.207,0.027,,,,,,,,,4931,148,118,4.618,0.042,0.030,-0.304,0.200,0.280,0.693,0.051,0.066,0.734,0.057,0.080,2.163,0.462,0.279,597.600,59.160,73.980,0.027,0.014,0.006,AAA-222-111-000-0-0,8.500,
228759437,12 49 11.056,-08 30 22.08,1,16.020,,,,12491105-0830220,6005-301-1-0107-0122,EXTENDED,gri,,2.000,3.000,3.000,3.000,,,,,,,19.093,0.039,17.013,0.005,16.009,0.003,15.594,0.003,15.238,0.006,15.007,0.078,14.342,0.091,13.931,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,105.500,
228759446,12 12 20.445,-08 30 20.63,1,15.603,,,,12122044-0830206,,STAR,JHK,rpm,-14.000,2.000,-4.000,3.000,,,,,,,,,,,,,,,,,15.171,0.045,14.703,0.055,15.131,0.201,,,,,,,,,5157,403,403,4.604,0.078,0.091,-0.579,0.420,0.350,0.691,0.120,0.086,0.718,0.089,0.075,2.144,0.715,0.626,1164.000,320.500,213.600,0.028,0.014,0.007,AAC-222-111-000-0-0,16.500,0814-0248282
228759480,12 44 25.281,-08 30 14.56,1,17.488,,,,12442528-0830145,6005-301-4-0107-0171,STAR,gri,rpm,-72.000,22.000,-24.000,14.000,,,,,,,21.402,0.098,18.802,0.008,17.501,0.006,16.925,0.006,16.599,0.009,15.400,0.060,14.875,0.058,14.587,0.105,,,,,,,,,3924,46,46,4.926,0.096,0.060,-0.344,0.160,0.200,0.341,0.067,0.081,0.380,0.072,0.100,8.534,5.499,2.060,444.300,99.290,104.800,0.026,0.012,0.005,AAA-222-111-000-0-0,24.200,0814-0255172
228759501,12 09 02.417,-08 30 11.43,1,18.248,,,,12090241-0830114,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.434,0.096,14.614,0.090,14.274,0.100,,,,,,,,,3916,337,337,4.870,0.162,0.135,-0.160,0.200,0.320,0.384,0.133,0.145,0.412,0.148,0.178,6.564,8.612,2.957,511.200,259.000,223.200,0.028,0.015,0.008,AAA-222-111-000-0-0,9.900,0814-0247490
228759508,12 44 14.392,-08 30 10.86,1,15.681,,,408-056958,12441439-0830110,6005-301-4-0107-0002,STAR,BV,rpm,-9.600,3.700,4.700,4.800,,,16.722,0.100,15.880,0.062,,,16.224,0.050,,,,,,,14.588,0.034,14.068,0.022,14.062,0.066,,,,,,,,,4906,198,158,4.607,0.054,0.072,-0.273,0.250,0.400,0.704,0.113,0.071,0.751,0.079,0.079,2.044,0.471,0.515,873.900,193.300,116.300,0.028,0.016,0.008,AAA-222-111-000-0-0,57.700,
228759516,12 16 54.858,-08 30 09.76,1,15.709,,,408-056242,12165485-0830096,,STAR,BV,rpm,37.500,20.100,10.100,6.000,,,16.712,0.087,15.898,0.062,,,16.251,0.180,,,,,,,15.300,0.048,14.854,0.109,15.044,0.165,,,,,,,,,5061,797,1116,4.600,0.270,0.225,-0.563,0.450,0.540,0.640,0.264,0.296,0.674,0.134,0.294,2.151,5.054,1.244,1114.000,782.000,686.200,0.028,0.014,0.007,ABC-222-222-ccc-0-0,4.000,
228759534,12 49 40.684,-08 30 06.94,1,13.662,,,408-057102,12494068-0830069,,STAR,gri,rpm,-13.100,2.800,-11.900,2.500,,,14.112,0.040,13.678,0.020,,,13.828,0.020,13.607,0.030,13.518,0.080,,,12.778,0.024,12.602,0.023,12.546,0.023,,,,,,,,,6591,65,132,4.184,0.020,0.033,-1.452,0.150,0.120,1.225,0.048,0.024,0.840,0.017,0.017,0.450,0.027,0.047,893.000,31.810,26.790,0.027,0.022,0.002,AAA-222-111-000-0-0,62.600,
228759535,12 17 16.488,-08 30 06.76,1,13.404,,,408-056258,12171651-0830065,,STAR,gri,rpm,-25.400,4.000,-5.900,1.900,,,14.312,0.060,13.579,0.020,,,13.909,0.040,13.362,0.020,13.188,0.060,,,12.410,0.041,11.927,0.035,11.848,0.029,,,,,,,,,5425,128,128,4.523,0.048,0.760,-0.369,0.300,0.480,0.830,1.208,0.085,0.858,0.068,0.082,1.437,0.355,1.336,433.600,600.700,55.070,0.028,0.013,0.006,AAA-222-111-000-0-0,28.200,
228759555,12 13 17.316,-08 30 03.93,1,12.247,,,408-056131,12131732-0830038,,STAR,gri,rpm,3.200,1.300,-14.200,1.300,,,13.495,0.040,12.539,0.040,,,13.005,0.040,12.168,0.050,11.922,0.060,,,10.794,0.023,10.385,0.026,10.259,0.021,,,,,,,,,5037,121,101,3.616,0.819,0.455,-0.104,0.200,0.360,2.626,1.527,1.828,1.086,0.216,0.216,0.052,0.957,0.040,597.600,323.700,403.700,0.030,0.016,0.010,AAA-222-111-000-0-0,43.000,
228759562,12 48 38.227,-08 30 02.61,1,11.008,,5535-1461-1,408-057082,12483822-0830026,,STAR,gri,plx,-25.500,2.200,-18.300,2.400,,,12.069,0.192,11.312,0.122,,,11.640,0.020,10.968,0.030,10.737,0.090,,,9.754,0.024,9.300,0.023,9.216,0.023,,,,,,,,,5198,83,62,4.569,0.025,0.025,-0.078,0.150,0.150,0.785,0.037,0.035,0.856,0.040,0.065,1.698,0.199,0.149,114.900,9.785,9.785,0.018,0.009,0.004,AAA-222-111-000-0-0,33.600,
228759565,12 20 44.288,-08 30 02.55,1,15.470,,,408-056333,12204429-0830026,,STAR,JHK,rpm,3.600,2.200,-18.300,2.900,,,,,,,,,,,,,,,,,14.211,0.032,13.802,0.027,13.755,0.050,,,,,,,,,5396,259,216,4.549,0.060,0.084,-0.449,0.350,0.490,0.772,0.104,0.092,0.792,0.094,0.078,1.598,0.461,0.419,914.900,183.000,129.000,0.029,0.016,0.008,AAA-222-111-000-0-0,49.200,
228759584,12 11 45.459,-08 29 59.86,1,11.925,,,408-056082,12114545-0829599,,STAR,gri,rpm,19.700,1.700,-23.000,1.000,,,12.564,0.040,11.935,0.090,,,12.214,0.030,11.787,0.040,11.801,0.250,,,10.815,0.026,10.526,0.022,10.521,0.024,,,,,,,,,6021,119,119,4.243,0.156,0.208,-0.142,0.200,0.280,1.236,0.353,0.203,1.067,0.109,0.130,0.524,0.316,0.278,340.000,90.020,60.440,0.027,0.013,0.007,AAA-222-111-000-0-0,11.700,
