EPIC,KepMag,Kmag,Teff,mass,Radius
integer,float,float,integer,float,float
229159990,13.731,11.786,5157,0.892,3.437
229160096,12.706,10.955,5399,0.858,2.450
229160115,16.679,15.197,5321,0.795,0.784
229160150,17.405,,,,
229160158,17.308,,,,
229160267,14.250,12.518,5453,0.829,0.802
229160301,13.167,11.879,6243,0.989,1.331
229160305,12.821,10.750,5075,0.936,2.639
229160336,13.964,12.511,5788,0.905,0.955
229160415,14.608,11.539,3768,0.391,0.360
229160432,12.615,11.216,5904,1.110,1.230
229160505,14.250,12.267,5049,0.685,0.670
229160618,15.676,13.652,,,
229160669,13.693,11.648,4943,0.774,0.716
229160687,18.373,,,,
229160873,15.386,12.525,3397,0.182,0.197
229160885,14.795,12.967,5107,0.887,2.605
229160886,19.160,,,,
229161019,9.980,8.963,6438,1.385,1.690
229161131,16.777,,,,
229161135,13.840,10.980,3988,0.501,0.445
229161149,17.115,,,,
229161245,16.267,12.808,3672,0.296,0.283
229161280,12.391,10.950,5860,1.003,1.151
229161291,17.928,,,,
229161343,9.041,6.369,4302,1.194,18.250
229161437,11.757,10.261,6048,1.044,1.276
229161448,15.293,12.179,3966,0.494,0.439
229161481,11.801,10.241,5988,1.042,1.125
229161498,15.085,13.238,5010,0.749,0.701
229161640,17.116,14.429,,,
229161645,13.277,11.245,4916,0.945,4.412
229161648,14.516,12.569,5076,0.859,1.788
229161657,16.140,14.000,,,
229161713,16.785,14.782,,,
229161741,16.581,14.208,,,
229161806,13.764,11.306,4655,0.697,0.648
229161827,13.461,11.998,5778,0.935,0.950
229161834,17.552,14.454,4066,0.516,0.454
229161846,16.096,14.236,,,
229161869,12.478,11.190,6202,1.114,1.314
229161951,17.397,14.872,3788,0.324,0.309
229161959,14.887,12.918,5056,0.792,0.749
229161966,18.530,,,,
229162100,15.104,13.207,4971,0.825,0.775
229162114,14.872,12.988,5391,0.849,0.847
229162178,11.688,10.252,5983,0.998,1.246
229162202,14.048,11.884,4982,0.785,0.728
229162209,15.740,12.410,4058,0.535,0.475
229162223,15.313,13.220,4975,0.776,0.711
229162229,16.800,14.780,5440,0.797,2.456
229162274,12.034,10.459,5608,1.003,1.011
229162336,13.953,11.848,5050,0.731,0.691
229162376,12.211,10.163,5061,0.897,9.276
229162508,10.113,8.860,5940,1.241,2.004
229162512,16.840,,,,
229162567,16.946,,,,
229162578,16.890,14.582,4421,0.614,0.552
229162596,17.376,,,,
229162664,16.264,14.547,5284,0.814,0.806
229162793,15.908,13.011,3817,0.405,0.365
229162890,14.964,12.225,4093,0.545,0.483
229162902,14.973,13.052,5312,0.820,2.250
229163080,12.955,11.754,6183,1.066,1.319
229163081,18.186,,,,
229163114,12.903,11.476,6003,1.105,1.396
229163137,19.261,,,,
229163177,11.851,9.278,4543,0.957,14.014
229163185,17.294,,,,
229163252,13.701,11.534,4945,0.939,2.867
229163259,13.903,12.449,6038,0.981,1.135
229163311,16.162,14.329,4950,0.813,2.894
229163318,17.139,,,,
229163335,10.756,9.400,6051,1.010,1.089
229163381,13.455,11.538,5155,0.871,0.805
229163398,16.059,13.176,3754,0.307,0.291
229163478,12.954,11.378,5765,0.848,0.900
229163519,18.276,,,,
229163571,13.787,12.110,5343,0.872,0.827
229163602,15.055,13.044,5043,0.823,0.776
229163674,12.545,10.693,5337,0.824,0.777
229163682,13.791,11.955,5441,0.920,1.415
229163742,18.098,14.647,3712,0.292,0.296
229163767,13.506,12.035,5882,0.871,0.946
229163880,10.705,9.499,6334,1.478,2.147
229163941,15.284,12.092,3663,0.281,0.272
229163942,10.413,8.861,5780,1.041,1.501
229163993,14.477,13.179,6405,0.781,1.044
229164049,14.117,12.193,5086,0.809,0.758
229164066,14.319,12.143,4933,0.810,0.753
229164068,13.750,12.128,5638,0.894,0.902
229164070,15.563,13.933,,,
229164077,16.588,14.663,5037,0.809,11.363
229164119,14.907,12.174,4133,0.545,0.485
229164170,18.323,,,,
229164178,13.410,11.863,5753,0.970,1.175
229164198,17.262,14.785,,,
229164199,16.336,15.149,5833,0.677,0.660
229164263,19.045,,,,
229164381,14.795,12.869,5097,0.827,0.773
229164406,13.563,11.485,4945,0.920,8.207
229164457,12.932,10.036,3902,0.464,0.408
229164472,13.264,11.988,6022,1.094,1.276
229164583,14.702,12.843,4996,0.635,0.592
229164660,17.445,14.239,3414,0.189,0.207
229164663,18.604,,,,
229164724,19.359,,,,
229164725,8.898,7.470,6453,1.274,1.336
229164781,18.484,,,,
229164802,13.487,11.959,5716,0.801,0.831
229164831,12.830,11.180,5658,0.952,1.037
229164833,17.417,14.691,3646,0.264,0.270
229164835,18.532,,,,
229164839,12.878,11.522,5964,0.956,1.140
229164853,15.734,12.376,3284,0.145,0.169
229165160,16.818,15.056,5388,0.802,3.659
229165302,17.629,15.275,4454,0.631,0.574
229165311,11.374,10.033,6092,0.996,1.122
229165345,18.721,,,,
229165347,14.190,12.376,5217,0.863,0.807
229165392,15.491,11.972,3508,0.240,0.247
229165483,15.376,13.103,4938,0.815,0.754
229165541,14.434,11.272,3865,0.486,0.432
229165552,10.275,8.696,5435,0.911,0.850
229165704,18.698,,,,
229165713,14.131,12.055,4959,0.761,0.715
229165930,14.137,12.336,5258,0.894,0.838
229165995,18.928,,,,
229166111,15.581,12.833,3696,0.274,0.268
229166114,16.318,14.140,,,
229166208,13.167,11.611,5636,0.946,0.938
229166221,18.259,,,,
229166488,14.958,12.832,4925,0.746,0.686
229166501,13.959,12.348,5833,0.979,1.083
229166533,14.944,12.789,5052,0.766,0.730
229166544,16.444,13.001,3561,0.223,0.237
229166579,16.039,13.988,,,
229166612,9.156,6.862,4729,1.390,11.078
229166643,16.699,14.656,5080,0.634,0.596
229166848,14.382,12.265,4860,0.799,0.733
229166864,14.504,11.423,3843,0.448,0.396
229166866,13.830,12.210,5761,0.952,0.988
229166902,15.156,12.352,3698,0.252,0.249
229166939,14.234,12.310,5058,0.892,3.161
229166960,15.367,12.405,4099,0.523,0.473
229166965,16.154,14.064,,,
229166981,14.389,12.234,4922,0.777,0.720
229166992,15.722,12.834,3889,0.453,0.402
229167100,17.409,,,,
229167114,16.918,14.693,,,
229167133,15.367,13.521,5227,0.860,2.333
229167146,15.133,12.795,4697,0.737,0.670
229167156,13.101,11.775,6258,0.931,1.180
229167157,18.029,,,,
229167237,11.011,9.618,6127,1.200,1.749
229167295,12.851,9.616,3647,0.307,0.293
229167366,14.424,13.393,6610,0.787,1.270
229167376,15.914,14.489,5510,0.641,0.593
229167465,14.320,12.268,4950,0.684,0.649
229167571,17.495,15.351,5590,0.762,0.749
229167688,13.082,11.160,5214,0.902,6.598
229167733,10.666,9.229,5813,0.920,0.925
229167756,15.765,13.467,,,
229167793,14.481,12.465,5015,0.796,0.735
229167825,18.023,,,,
229167848,12.492,11.076,5963,0.996,1.174
229168051,16.123,12.617,3446,0.197,0.214
229168054,16.587,14.862,,,
229168242,18.985,,,,
229168315,16.482,14.909,5478,0.689,0.670
229168317,13.402,11.656,5163,0.903,3.232
229168400,13.983,12.540,5785,0.897,0.957
229168435,16.876,14.098,3703,0.300,0.283
229168456,15.308,12.786,4412,0.655,0.594
229168530,10.366,8.264,4838,0.963,8.118
229168556,17.403,14.285,3934,0.415,0.377
229168618,16.466,,,,
229168626,13.492,12.094,6001,1.016,1.308
229168639,18.740,,,,
229168651,18.337,14.825,3727,0.324,0.294
229168757,13.933,12.374,5529,0.839,0.810
229168809,14.711,11.069,3360,0.171,0.190
229168824,17.609,,,,
229168931,12.640,11.260,6039,0.959,1.166
229169040,15.011,12.616,4511,0.648,0.600
229169270,14.610,12.764,5437,0.816,0.783
229169358,13.831,12.368,5785,0.964,0.998
229169512,17.018,14.428,,,
229169570,13.871,10.723,3743,0.403,0.362
229169606,16.797,14.831,5138,0.810,8.810
229169617,13.963,11.005,3144,0.144,0.169
229169708,12.292,9.774,4478,0.812,67.540
229169771,13.356,11.494,5333,0.877,1.899
229169801,13.867,11.850,5187,0.849,0.784
229169805,14.595,12.813,5450,0.881,0.852
229169959,10.184,8.512,5633,0.970,0.932
229170025,15.750,13.185,4410,0.662,0.600
229170124,15.426,12.168,3720,0.383,0.353
229170181,16.845,15.043,5265,0.805,3.916
229170192,13.597,11.700,5142,0.883,3.922
229170194,13.666,12.229,5970,0.891,1.025
229170277,13.954,12.541,6171,0.940,1.225
229170329,12.004,10.614,6011,1.024,1.256
229170395,16.235,14.100,,,
229170601,13.079,10.965,4755,0.773,0.711
229170928,16.097,14.780,5404,0.805,0.908
229170952,15.268,13.345,5261,0.778,0.750
229170973,17.754,14.290,3333,0.172,0.193
229170976,12.625,10.478,4811,0.779,0.700
229171016,12.802,11.621,6448,1.134,1.382
229171202,19.292,,,,
229171248,14.221,12.331,5167,0.801,0.743
229171260,12.466,11.067,6045,0.994,1.159
229171332,13.526,11.746,5382,0.894,0.843
229171334,17.179,,,,
229171362,18.234,,,,
229171529,16.719,14.502,,,
229171586,18.897,,,,
229171649,15.143,12.918,4864,0.740,0.686
229171772,16.226,12.848,3624,0.309,0.293
229171906,15.940,12.717,3648,0.330,0.304
229171918,18.972,,,,
229171954,14.899,11.959,4027,0.531,0.467
229172008,17.233,,,,
229172079,16.467,12.875,3611,0.238,0.241
229172091,19.360,,,,
229172131,13.508,11.461,4983,0.969,3.524
229172202,15.172,13.053,3746,0.345,0.322
229172226,12.790,11.370,5813,0.945,1.272
229172236,12.359,10.907,5890,0.999,1.123
229172270,13.741,12.322,6033,0.910,1.093
229172294,17.105,14.423,,,
229172416,12.920,9.816,3747,0.295,0.281
229172440,13.762,11.667,4995,0.930,3.324
229172442,11.785,10.533,6181,0.987,1.242
229172467,15.201,13.077,4850,0.743,0.693
229172551,16.836,,,,
229172570,18.254,,,,
229172613,14.440,12.280,4669,0.673,0.628
229172727,14.006,12.302,5692,0.968,0.995
229172752,12.482,11.065,5946,0.916,1.031
229172765,14.464,12.381,4911,0.785,0.730
229172845,16.655,13.888,4181,0.582,0.521
229172857,16.033,14.387,5560,0.633,0.583
229172892,8.461,,,,
229172938,15.851,12.721,3675,0.335,0.312
229173052,10.832,8.105,4313,0.929,28.465
229173112,15.531,12.493,3679,0.338,0.315
229173295,16.176,,,,
229173310,12.650,10.593,5053,0.905,7.437
229173516,17.948,,,,
229173591,11.079,8.776,4638,0.759,0.686
229173647,14.985,12.984,5090,0.684,0.654
229173692,14.310,12.483,5126,0.885,2.584
229173698,16.526,14.295,,,
229173838,15.648,12.077,3800,0.358,0.330
229173865,14.875,12.883,4999,0.892,3.799
229173935,13.536,11.940,5738,0.973,1.025
229174034,13.728,11.003,4285,0.806,88.024
229174057,16.472,,,,
229174139,12.596,,,,
229174250,16.665,14.719,5522,0.713,0.699
229174256,14.957,12.927,5224,0.814,0.769
229174287,18.981,,,,
229174350,17.825,,,,
229174473,12.740,10.835,5111,0.795,0.746
229174483,16.102,12.711,3479,0.230,0.239
229174584,12.418,10.363,4998,1.200,2.549
229174655,12.832,11.459,6058,0.927,1.136
229174743,14.340,12.253,4871,0.787,0.718
229174815,9.549,8.034,5973,1.070,1.555
229174876,12.913,11.596,5631,0.931,0.969
229174884,16.535,14.761,,,
229174901,15.236,12.445,4243,0.586,0.532
229174998,13.959,12.490,5833,0.947,1.036
229175056,16.077,,,,
229175339,15.301,12.101,4132,0.562,0.498
