EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
228814238,12 27 29.462,-06 10 55.98,1,14.504,,,420-056245,12272946-0610560,,STAR,gri,rpm,-29.700,3.300,-10.400,4.100,,,15.572,0.080,14.634,0.040,,,15.226,0.130,14.321,0.060,14.195,0.280,,,12.997,0.027,12.502,0.023,12.351,0.026,,,,,,,,,4878,147,88,4.619,0.025,0.035,-0.196,0.200,0.200,0.702,0.054,0.043,0.746,0.075,0.047,2.139,0.261,0.319,414.200,46.710,31.900,0.029,0.014,0.009,AAA-222-111-000-0-0,47.400,
228814248,12 29 32.499,-06 10 54.91,1,15.359,,,420-056285,12293248-0610549,,STAR,gri,rpm,-17.900,3.400,5.000,4.200,,,16.248,0.070,15.378,0.020,,,15.923,0.190,15.175,0.140,15.117,0.330,,,13.848,0.023,13.443,0.028,13.334,0.034,,,,,,,,,5340,191,159,4.549,0.045,0.063,-0.277,0.250,0.400,0.791,0.105,0.078,0.817,0.072,0.086,1.600,0.346,0.384,763.500,135.200,96.980,0.030,0.016,0.008,AAA-222-111-000-0-0,56.100,
228814253,12 22 17.458,-06 10 54.43,1,15.417,,,420-056108,12221744-0610544,,STAR,BV,rpm,-4.000,4.100,-39.300,4.200,,,16.143,0.020,15.530,0.080,,,15.770,0.050,,,,,,,14.399,0.032,14.125,0.044,14.096,0.061,,,,,,,,,6045,375,375,4.447,0.102,0.119,-1.215,0.450,0.720,0.852,0.156,0.114,0.764,0.035,0.044,1.192,0.539,0.421,1188.000,300.800,209.000,0.028,0.017,0.005,AAA-222-111-000-0-0,90.200,
228814370,12 18 00.373,-06 10 39.15,1,15.020,,,420-056009,12180036-0610392,,STAR,JHK,rpm,-1.600,4.000,-9.000,4.200,,,,,,,,,,,,,,,,,13.787,0.027,13.381,0.035,13.352,0.037,,,,,,,,,5432,259,215,4.489,0.070,0.812,-0.302,0.300,0.600,0.883,1.427,0.110,0.867,0.063,0.076,1.211,0.423,1.143,879.300,1329.000,147.900,0.029,0.017,0.007,AAA-222-111-000-0-0,18.200,
228814382,12 28 19.341,-06 10 37.17,1,16.383,,,,12281934-0610371,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,14.047,0.029,13.403,0.034,13.162,0.038,,,,,,,,,3828,278,232,4.905,0.120,0.100,-0.129,0.200,0.280,0.355,0.099,0.104,0.391,0.124,0.149,7.804,5.947,2.936,241.300,94.080,78.750,0.025,0.014,0.007,AAA-222-111-000-0-0,60.500,0838-0239619
228814406,12 22 03.745,-06 10 34.37,1,15.659,,,420-056097,12220374-0610343,,STAR,BV,rpm,-11.000,3.400,10.000,4.400,,,16.651,0.270,15.845,0.060,,,16.189,0.010,,,,,,,14.442,0.026,14.022,0.032,13.928,0.051,,,,,,,,,5302,259,216,4.560,0.055,0.110,-0.443,0.350,0.490,0.779,0.178,0.094,0.801,0.089,0.089,1.686,0.486,0.562,987.800,294.700,133.400,0.028,0.016,0.006,AAA-222-111-000-0-0,28.100,
228814461,12 17 59.433,-06 10 27.58,1,14.489,,,420-056008,12175942-0610276,,STAR,JHK,rpm,1.800,3.400,-10.200,4.200,,,,,,,,,,,,,,,,,13.205,0.026,12.775,0.022,12.730,0.027,,,,,,,,,5289,157,157,4.513,0.060,1.200,-0.294,0.300,0.720,0.860,2.565,0.094,0.869,0.066,0.079,1.370,0.375,1.348,639.400,1723.000,106.600,0.029,0.015,0.008,AAA-222-111-000-0-0,18.200,
228814491,12 22 09.467,-06 10 22.72,1,14.745,,,420-056101,12220946-0610227,,STAR,gri,rpm,-21.800,3.400,-1.600,4.200,,,16.027,0.090,14.991,0.030,,,15.475,0.120,14.634,0.040,14.433,0.090,,,13.282,0.027,12.788,0.026,12.678,0.025,,,,,,,,,4974,119,149,4.600,0.036,0.030,-0.184,0.240,0.280,0.721,0.056,0.052,0.779,0.059,0.071,2.010,0.330,0.239,496.900,41.710,45.810,0.029,0.013,0.008,AAA-222-111-000-0-0,52.600,
228814532,12 22 43.874,-06 10 17.21,1,11.436,,4947-749-1,420-056117,12224387-0610174,,STAR,gri,rpm,-6.700,2.400,11.200,2.600,,,12.036,0.127,12.131,0.209,,,11.847,0.080,11.379,0.010,11.260,0.020,,,10.397,0.026,10.087,0.023,10.003,0.019,,,,,,,,,5890,141,141,4.129,0.265,0.265,-0.071,0.200,0.240,1.438,0.622,0.434,1.075,0.184,0.115,0.326,0.522,0.201,316.100,129.400,91.800,0.028,0.016,0.008,AAA-222-111-000-0-0,33.400,
228814651,12 21 43.673,-06 09 59.46,1,9.605,,4947-858-1,420-056087,12214368-0609593,,STAR,gri,rpm,-55.900,1.300,9.100,1.300,,,10.027,0.031,9.529,0.026,,,10.210,0.340,9.590,0.150,9.345,0.030,,,8.663,0.024,8.479,0.046,8.389,0.026,,,,,,,,,6259,261,261,4.161,0.140,0.196,-0.002,0.150,0.180,1.465,0.455,0.296,1.268,0.156,0.188,0.356,0.256,0.189,166.500,46.510,36.350,0.022,0.011,0.005,AAA-111-111-000-0-0,30.700,
228814667,12 25 20.500,-06 09 57.13,1,11.809,,,420-056186,12252048-0609572,,STAR,gri,rav,-27.100,1.400,7.600,1.800,,,12.692,0.060,11.935,0.040,,,12.291,0.090,11.692,0.010,11.602,0.150,,,10.495,0.027,10.131,0.022,10.057,0.021,,,,,,,,,5702,169,169,3.921,0.144,0.090,-0.025,0.120,0.150,1.873,0.282,0.334,1.138,0.118,0.098,0.158,0.103,0.048,434.800,57.570,69.460,0.028,0.014,0.007,AAA-222-111-000-0-0,37.600,
228814746,12 16 49.080,-06 09 46.89,1,13.587,,,420-055982,12164908-0609469,,STAR,gri,rpm,-29.400,2.900,-29.800,3.300,,,14.785,0.080,13.868,0.030,,,14.314,0.060,13.506,0.010,13.275,0.050,,,12.183,0.026,11.684,0.026,11.597,0.023,,,,,,,,,4951,118,98,4.606,0.025,0.025,-0.152,0.150,0.180,0.716,0.045,0.037,0.770,0.064,0.053,2.041,0.197,0.214,294.000,25.410,23.390,0.026,0.011,0.006,AAA-222-111-000-0-0,96.700,
228814754,12 25 04.209,-06 09 45.85,1,14.574,,,,12250420-0609458,,STAR,JHK,rpm,30.000,5.000,-246.000,2.000,,,,,,,,,,,,,,,,,12.631,0.027,12.190,0.025,11.865,0.023,,,,,,,,,3521,467,467,5.079,0.120,0.120,-0.223,0.250,0.600,0.208,0.086,0.061,0.204,0.126,0.079,19.970,15.950,8.868,67.360,46.830,23.970,0.013,0.009,0.005,AAA-222-111-000-0-0,44.100,0838-0239133
228814760,12 28 47.960,-06 09 44.74,1,14.756,,,420-056266,12284795-0609448,,STAR,JHK,rpm,-59.400,8.500,-5.900,8.100,,,,,,,,,,,,,,,,,12.601,0.027,11.996,0.022,11.772,0.027,,,,,,,,,3697,146,146,4.941,0.072,0.045,-0.034,0.200,0.240,0.337,0.038,0.075,0.366,0.044,0.104,9.467,5.095,1.982,115.800,16.430,30.830,0.017,0.010,0.006,AAA-222-111-000-0-0,26.500,
228814761,12 25 01.260,-06 09 44.58,1,13.510,,,420-056174,12250125-0609446,,STAR,gri,rpm,-31.100,2.500,7.900,2.900,,,14.754,0.050,13.785,0.050,,,14.263,0.080,13.402,0.030,13.187,0.230,,,11.794,0.030,11.274,0.023,11.095,0.021,,,,,,,,,4789,115,96,4.622,0.045,0.025,-0.066,0.160,0.320,0.707,0.042,0.070,0.762,0.053,0.088,2.140,0.493,0.211,231.200,24.890,26.000,0.026,0.011,0.005,AAA-222-111-000-0-0,35.200,
228814797,12 18 35.565,-06 09 38.37,1,16.282,,,,12183556-0609383,,STAR,J,rpm,6.000,0.000,6.000,2.000,,,,,,,,,,,,,,,,,14.872,0.062,14.224,0.091,13.758,0.065,,,,,,,,,3854,506,316,4.864,0.162,0.162,-0.077,0.150,0.210,0.378,0.160,0.130,0.433,0.181,0.181,6.735,7.016,3.436,408.100,269.200,185.900,0.028,0.014,0.008,AAA-222-111-000-0-0,32.500,0838-0237979
228814818,12 22 58.022,-06 09 35.61,1,14.099,,,420-056119,12225801-0609356,,STAR,gri,rpm,-10.900,2.900,-17.300,3.400,,,15.049,0.090,14.281,0.020,,,14.628,0.110,14.039,0.030,13.872,0.070,,,12.989,0.027,12.630,0.022,12.523,0.029,,,,,,,,,5561,164,164,4.487,0.055,0.088,-0.203,0.250,0.350,0.880,0.151,0.094,0.898,0.079,0.095,1.260,0.344,0.404,614.800,126.400,76.860,0.031,0.014,0.009,AAA-222-111-000-0-0,37.700,
228814875,12 27 30.185,-06 09 27.82,1,14.846,,,420-056246,12273018-0609278,,STAR,gri,rpm,-33.800,3.300,-3.000,4.200,,,16.783,0.130,15.359,0.110,,,16.154,0.100,14.731,0.080,14.285,0.290,,,12.440,0.027,11.815,0.025,11.643,0.023,,,,,,,,,3912,187,93,4.851,0.063,0.045,-0.029,0.120,0.180,0.429,0.047,0.063,0.479,0.051,0.082,6.053,2.380,1.018,146.700,22.120,29.520,0.021,0.012,0.005,AAA-222-111-000-0-0,43.700,
228814889,12 29 51.264,-06 09 25.43,1,15.781,,,420-056294,12295127-0609254,,STAR,JHK,rpm,-61.600,3.000,-111.600,2.900,,,,,,,,,,,,,,,,,14.449,0.043,14.091,0.038,13.939,0.063,,,,,,,,,5405,99,2014,4.745,0.368,0.020,-0.956,0.910,0.780,0.554,0.011,0.364,0.603,0.020,0.434,3.623,21.440,0.217,604.800,27.340,474.200,0.022,0.005,0.003,AAA-222-111-c00-0-0,6.900,
