EPIC,KepMag,Kmag,Teff,mass,Radius
integer,float,float,integer,float,float
228785729,17.253,14.492,3470,0.182,0.199
228785739,15.942,14.395,5588,0.719,0.697
228785758,15.713,13.357,4426,0.511,0.466
228785809,15.741,12.998,4185,0.556,0.491
228785837,14.544,12.675,5031,0.697,0.658
228785848,12.508,11.089,6504,1.246,1.368
228785893,12.717,10.665,4864,0.955,8.597
228785905,13.175,11.483,5347,1.181,2.109
228785909,12.846,11.580,6073,1.087,1.458
228785914,12.966,11.271,5568,0.977,1.020
228785943,13.245,11.653,5682,0.936,0.951
228785948,15.847,14.580,6153,0.837,1.066
228785951,9.431,7.021,4730,1.415,10.997
228785957,11.891,9.599,4730,0.978,9.513
228785962,11.360,9.256,4927,0.967,6.526
228785970,14.651,12.510,4945,0.716,0.679
228786013,16.354,13.674,3642,0.283,0.268
228786022,13.206,11.400,5524,0.899,0.888
228786041,15.704,13.667,4588,0.641,0.603
228786068,14.277,11.645,4134,0.561,0.497
228786077,13.393,11.643,5416,0.896,0.856
228786122,16.493,14.034,3929,0.407,0.367
228786174,11.533,8.755,4366,0.957,24.509
228786201,13.945,11.857,4964,0.858,0.800
228786217,9.595,7.238,4668,1.293,11.129
228786255,15.530,12.765,3612,0.263,0.252
228786263,11.878,10.514,6158,1.042,1.251
228786283,15.734,14.250,5272,0.823,0.846
228786317,16.050,13.267,3629,0.274,0.267
228786322,12.802,10.570,4779,0.943,8.921
228786340,15.128,11.964,3991,0.515,0.452
228786343,12.728,11.419,6140,1.054,1.194
228786363,14.556,12.675,5178,0.817,0.760
228786368,12.924,11.190,5496,0.890,1.259
228786374,12.978,11.328,5816,1.004,1.099
228786387,15.810,14.062,4885,0.601,0.553
228786393,15.721,14.181,5494,0.837,0.914
228786395,13.595,12.040,5724,0.941,0.984
228786399,16.354,13.370,3763,0.360,0.322
228786433,13.988,12.460,5308,0.751,0.728
228786441,15.511,14.005,5477,0.849,0.861
228786448,13.712,11.179,4034,0.511,0.454
228786449,15.223,12.080,3525,0.219,0.229
228786483,14.236,11.445,4190,0.582,0.519
228786508,13.280,11.175,4950,0.964,3.213
228786524,14.037,12.062,5079,0.899,6.857
228786526,13.536,11.108,4509,0.684,0.620
228786530,14.841,12.873,5220,0.876,2.397
228786539,16.289,13.362,3604,0.268,0.266
228786554,13.830,9.987,3648,0.271,0.264
228786571,17.009,,,,
228786574,15.957,12.831,4149,0.557,0.501
228786578,13.527,11.997,5766,0.918,0.962
228786590,12.662,11.339,6084,0.968,1.119
228786634,13.429,11.861,5682,0.954,0.990
228786635,13.597,12.148,5884,0.995,1.078
228786650,15.528,13.984,5868,0.862,0.997
228786689,10.554,9.220,5986,1.150,1.746
228786698,14.653,12.708,5402,0.879,0.881
228786700,13.363,11.915,5926,1.058,1.268
228786735,8.811,7.192,6346,1.205,1.280
228786776,15.960,14.478,,,
228786781,15.179,13.484,5432,0.790,0.782
228786787,12.462,11.130,6129,1.023,1.381
228786808,18.966,,,,
228786838,14.704,12.559,4799,0.694,0.646
228786842,15.222,12.196,3867,0.397,0.365
228786848,15.048,13.208,4965,0.673,0.643
228786853,18.915,15.297,3068,0.129,0.152
228786859,12.779,10.759,5198,0.908,2.171
228786861,16.810,14.999,5494,0.791,0.860
228786869,14.831,12.661,4828,0.781,0.720
228786893,9.723,7.321,4811,1.104,10.989
228786901,13.594,11.012,4132,0.549,0.489
228786902,14.723,12.325,4734,0.734,0.670
228786905,12.149,10.647,6029,1.035,1.292
228786920,13.902,12.629,6172,0.933,1.225
228786921,11.116,9.879,6154,1.107,1.221
228786928,13.125,11.790,6122,0.870,1.182
228786939,14.074,12.077,4835,0.888,9.233
228786948,11.757,9.491,4715,0.885,17.825
228786952,12.886,11.655,6371,1.102,1.293
228786993,13.456,10.993,4377,0.662,0.602
228786995,13.546,11.832,5659,0.937,0.947
228787022,11.327,9.866,6023,0.888,1.101
