EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
229160505,12 28 59.240,+02 16 34.37,1,14.250,,,462-049197,12285924+0216344,1462-301-3-0413-0052,STAR,gri,rpm,-55.400,2.500,16.500,6.400,,,15.384,0.060,14.496,0.060,,,14.898,0.030,14.180,0.040,13.973,0.090,,,12.793,0.028,12.349,0.026,12.267,0.026,,,,,,,,,5049,120,80,4.622,0.070,0.050,-0.586,0.350,0.420,0.670,0.090,0.080,0.685,0.098,0.065,2.272,0.723,0.549,374.400,69.950,49.800,0.025,0.012,0.005,AAA-222-111-000-0-0,20.000,
229160618,12 33 50.373,+02 16 45.60,1,15.676,,,,12335037+0216455,1462-301-3-0421-0150,EXTENDED,gri,,0.000,3.000,-1.000,3.000,,,,,,,18.692,0.041,16.676,0.005,15.674,0.003,15.247,0.003,14.907,0.007,14.898,0.093,14.141,0.095,13.652,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-1-0,37.100,
229160669,12 41 36.582,+02 16 49.66,1,13.693,,,462-049456,12413658+0216495,,STAR,gri,rpm,7.600,1.900,-54.700,2.200,,,14.968,0.050,14.010,0.020,,,14.488,0.050,13.656,0.030,13.352,0.100,,,12.240,0.029,11.750,0.022,11.648,0.023,,,,,,,,,4943,79,99,4.607,0.035,0.035,-0.144,0.240,0.200,0.716,0.060,0.048,0.774,0.050,0.059,2.047,0.303,0.313,307.500,28.430,34.200,0.028,0.012,0.006,AAA-222-111-000-0-0,41.600,
229160687,12 38 28.055,+02 16 51.59,1,18.373,,,,,1462-301-3-0429-0013,STAR,gri,,7.000,3.000,-2.000,3.000,,,,,,,18.711,0.020,18.518,0.008,18.325,0.008,18.111,0.009,18.159,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229160873,12 35 33.604,+02 17 09.59,1,15.386,,,462-049339,12353361+0217097,1458-301-3-0428-0131,STAR,JHK,rpm,-91.300,3.700,-44.300,3.800,,,,,,,,,,,,,,,,,13.326,0.023,12.807,0.026,12.525,0.027,,,,,,,,,3397,161,134,5.099,0.035,0.077,-0.016,0.120,0.120,0.197,0.059,0.026,0.182,0.070,0.035,23.000,6.089,8.047,81.110,35.270,13.400,0.014,0.007,0.006,AAA-222-111-000-0-0,47.800,
229160885,12 42 57.110,+02 17 10.27,1,14.795,,,462-049488,12425712+0217103,6005-301-6-0178-0068,STAR,gri,rpm,0.600,2.300,4.800,2.600,,,15.911,0.090,15.096,0.100,,,15.465,0.030,14.791,0.040,14.508,0.100,,,13.520,0.025,13.055,0.027,12.967,0.032,,,,,,,,,5107,101,121,3.345,1.136,0.710,-0.665,0.450,0.450,2.605,3.227,1.888,0.887,0.053,0.086,0.024,1.158,0.022,2196.000,2488.000,1634.000,0.029,0.014,0.008,AAA-222-111-000-0-0,54.000,
229160886,12 42 10.602,+02 17 10.28,1,19.160,,,,,6121-301-6-0177-0347,STAR,gri,,-25.000,4.000,32.000,4.000,,,,,,,23.910,0.904,20.866,0.030,19.395,0.014,18.429,0.011,17.937,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229161019,12 31 01.967,+02 17 25.17,1,9.980,,289-75-1,462-049249,12310196+0217251,,STAR,gri,plx,-45.700,1.300,7.200,1.300,,,10.247,0.040,9.928,0.042,,,10.355,0.070,9.795,0.030,9.819,0.060,,,9.160,0.026,9.024,0.022,8.963,0.019,,,,,,,,,6438,194,194,4.114,0.075,0.090,0.073,0.100,0.120,1.690,0.198,0.149,1.385,0.072,0.072,0.271,0.086,0.077,240.800,22.720,22.720,0.027,0.014,0.008,AAA-222-111-000-0-0,86.200,
229161131,12 40 19.463,+02 17 35.88,1,16.777,,,,,1458-301-3-0436-0127,EXTENDED,gri,,10.000,4.000,0.000,4.000,,,,,,,19.505,0.086,17.805,0.010,16.803,0.006,16.337,0.006,16.001,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229161135,12 41 54.436,+02 17 36.21,1,13.840,,,462-049464,12415444+0217362,,STAR,gri,rpm,-54.900,2.200,5.300,2.500,,,15.836,0.050,14.435,0.030,,,15.221,0.060,13.827,0.020,13.248,0.080,,,11.863,0.024,11.166,0.022,10.980,0.019,,,,,,,,,3988,62,93,4.839,0.042,0.036,-0.070,0.140,0.060,0.445,0.033,0.045,0.501,0.041,0.050,5.502,1.409,0.776,117.200,21.510,15.350,0.022,0.010,0.005,AAA-222-111-000-0-0,58.900,
