EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
210491860,04 29 12.350,+15 16 26.03,1,11.603,,,527-008570,04291234+1516259,,STAR,gri,rpm,102.6,3.8,-19.2,3,,,13.77,0.08,12.316,0.01,,,13.089,0.07,11.725,0.02,10.967,0.04,,,9.308,0.024,8.706,0.031,8.486,0.02,3744,59,37,4.924,0.06,0.03,-0.01,0.1,0.12,0.353,0.024,0.048,0.391,0.032,0.064,8.47,3.008,1.294,57.95,16.81,23.13,0.083,0.061,0.051,,,
210495378,04 29 05.331,+15 20 00.73,1,14.1,,,527-008566,04290532+1520007,,STAR,gri,rpm,22,5,-1.5,5.3,,,15.735,0.08,14.564,0.02,,,15.141,0.03,14.141,0.04,13.654,0.02,,,12.128,0.027,11.655,0.03,11.505,0.02,5940,240,480,4.296,0.186,0.403,-0.339,0.3,0.3,1.151,0.742,0.278,0.962,0.206,0.088,0.552,0.565,0.417,472.6,298.8,124.7,0.978,0.082,0.299,,,
210499005,04 29 28.461,+15 23 47.95,1,15.262,,,527-008584,04292846+1523484,,STAR,JHK,rpm,44.4,9.4,-13.2,9.4,,,,,,,,,,,,,,,,,13.027,0.023,12.5,0.024,12.174,0.021,3364,116,116,5.102,0.025,0.045,0.046,0.14,0.1,0.195,0.033,0.021,0.175,0.036,0.026,23.64,4.135,5.375,67.67,13.54,9.54,0.096,0.013,0.021,,,
210500010,04 28 52.931,+15 24 50.41,1,12.198,,,528-008796,04285295+1524505,,STAR,gri,rpm,-0.6,5.6,-25.5,2.8,,,13.634,0.07,12.585,0.01,,,13.106,0.06,12.247,0.02,11.809,0.03,,,10.451,0.024,10.065,0.023,9.963,0.021,6571,79,319,4.07,0.087,0.02,-0.415,0.3,0.05,1.643,0.033,0.075,1.163,0.121,0.023,0.262,0.072,0.016,318.4,9.553,13.35,1.044,0.015,0.171,,,
210500754,04 29 13.977,+15 25 32.72,1,12.134,,,528-008810,04291397+1525327,,STAR,gri,rpm,52.8,2.3,-16.4,2.9,,,13.858,0.08,12.6,0.03,,,13.239,0.05,12.156,0.02,11.66,0.03,,,10.121,0.026,9.641,0.032,9.469,0.018,5982,59,59,4.14,0.138,0.02,-0.307,0.08,0.05,1.404,0.028,0.18,0.995,0.02,0.02,0.358,0.209,0.021,300,9.001,32.63,1.069,0.001,0.038,,,
210503084,04 29 56.939,+15 27 50.54,1,14.594,,,528-008838,04295693+1527506,,STAR,gri,rpm,19.5,3.2,-3.7,3.5,,,16.871,0.15,15.281,0.01,,,16.099,0.05,14.637,0.03,13.949,0.04,,,12.061,0.024,11.456,0.027,11.202,0.021,5428,572,1574,4.36,0.5,0.6,-0.378,0.28,0.16,1.099,0.925,0.74,0.889,0.171,0.513,0.584,7.851,0.505,401,295.8,309.1,1.213,0.365,1.003,,,
210503185,04 28 58.626,+15 27 57.03,1,14.088,,,528-008801,04285863+1527570,,STAR,gri,rpm,3.1,4.9,-3.6,5.2,,,16.011,0.13,14.654,0.02,,,15.311,0.05,14.173,0.01,13.563,0.05,,,11.97,0.026,11.435,0.032,11.24,0.018,5539,704,440,3.507,0.522,1.131,-0.374,0.35,0.7,2.804,6.853,1.094,1.106,0.409,0.227,0.046,0.177,0.045,987.2,1834,403.2,0.995,0.301,0.226,,,
210504221,04 29 47.634,+15 29 01.87,1,13.711,,,528-008827,04294763+1529019,,STAR,gri,rpm,31.1,7.9,-8.2,2.9,,,15.327,0.09,14.168,0.02,,,14.754,0.07,13.77,0.01,13.263,0.01,,,11.822,0.024,11.431,0.024,11.258,0.02,6395,195,312,4.107,0.156,0.156,-0.134,0.12,0.18,1.617,0.436,0.386,1.21,0.242,0.201,0.263,0.213,0.118,577.8,182.1,138.5,1.107,0.094,0.062,,,
210509151,04 28 41.999,+15 33 53.52,1,15.066,,,,04284199+1533535,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,12.877,0.022,12.288,0.023,12.038,0.023,3613,2169,174,4.996,0.09,0.72,-0.045,0.15,0.24,0.285,1.069,0.079,0.278,0.74,0.103,11.73,8.193,11.29,99.55,565.8,31.47,0.149,1.242,0.064,,,
210513593,04 30 08.598,+15 38 16.22,1,5.673,20995,1265-1175-1,529-008644,,,STAR,BV,plx,107.32,0.82,-24.52,0.58,21.82,0.79,5.961,0.014,5.666,0.01,,,,,,,,,,,,,,,,,7175,660,550,4.208,0.09,0.09,-0.001,0.12,0.1,1.612,0.198,0.204,1.536,0.162,0.195,0.366,0.137,0.1,45.83,1.659,1.659,0.055,0.022,0.018,,,
210516147,04 29 17.877,+15 40 44.72,1,12.823,,,529-008601,04291787+1540448,,STAR,gri,rpm,-2,3.2,-15.5,3.4,,,14.864,0.09,13.368,0.01,,,14.15,0.05,12.819,0.03,12.255,0.02,,,10.525,0.027,9.9,0.03,9.724,0.02,4855,178,119,2.961,0.375,0.45,-0.471,0.45,0.09,5.352,3.308,1.71,1.082,0.178,0.111,0.006,0.016,0.005,835.1,600.2,253.1,0.84,0.116,0.136,,,
210517121,04 29 46.848,+15 41 40.39,1,14.896,,,529-008624,04294683+1541404,,STAR,JHK,rpm,-6.8,3.2,-58.1,3.5,,,,,,,,,,,,,,,,,12.531,0.021,11.799,0.022,11.636,0.02,4172,168,134,4.784,0.045,0.081,-0.071,0.15,0.24,0.498,0.098,0.043,0.56,0.092,0.046,4.337,0.877,1.337,183.2,34.84,21.43,0.259,0.132,0.075,,,
