,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,0,0,0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
5770,5770,5770,5770,5770,5770,247294826,05 18 58.215,+20 30 19.26,1,14.154,,,553-013941,05185821+2030192,,STAR,gri,rpm,10.1,5.6,5.7,6.2,,,15.458,0.05,14.52,0.03,,,15.012,0.05,14.186,0.08,13.786,0.03,,,12.467,0.02,12.095,0.022,11.96,0.02,6169,303,253,4.183,0.19,0.266,-0.085,0.15,0.21,1.412,0.555,0.341,1.16,0.216,0.18,0.386,0.393,0.242,746.7,313.9,189.3,0.66,0.169,0.169,AAA-222-111-000-0-0,26.7,
5771,5771,5771,5771,5771,5771,247294965,05 14 57.989,+20 30 23.72,1,13.867,,,553-013414,05145798+2030239,,STAR,gri,rpm,-0.3,3.6,0.5,4,,,15.814,0.14,14.398,0.06,,,15.107,0.04,13.902,0.09,13.336,0.05,,,11.756,0.025,11.153,0.034,10.989,0.019,4853,181,121,2.505,0.5,0.12,-0.346,0.2,0.28,10.243,1.197,4.456,1.21,0.352,0.22,0.001,0.005,2.94E-04,2788,360.4,1142,0.603,0.158,0.132,AAA-222-111-000-0-0,11.7,
5772,5772,5772,5772,5772,5772,247294985,04 37 20.524,+20 30 24.33,1,14.206,,,553-010383,04372052+2030245,6003-301-4-0180-0047,STAR,gri,rpm,1.2,4.5,-4.6,2.9,,,15.696,0.04,14.722,0.042,,,15.129,0.041,14.304,0.048,13.81,0.069,,,12.539,0.026,12.087,0.03,11.964,0.026,5795,355,426,4.003,0.441,0.378,-0.232,0.25,0.35,1.643,1.046,0.733,1.043,0.206,0.147,0.234,0.736,0.177,805.7,598.3,343.4,0.568,0.2,0.167,AAA-222-111-000-0-0,20,
5773,5773,5773,5773,5773,5773,247295086,04 54 59.010,+20 30 27.69,1,11.106,,,553-011567,04545901+2030277,,STAR,gri,rpm,-2.4,1.4,1.8,1.2,,,12.874,0.03,11.58,0.04,,,12.228,0.04,11.14,0.05,10.626,0.03,,,9.123,0.023,8.518,0.023,8.326,0.017,4859,121,121,2.458,0.288,0.096,-0.192,0.15,0.33,10.874,1.984,1.227,1.383,0.976,0.444,9.22E-04,0.001,2.69E-04,923.8,148.7,108,0.525,0.096,0.115,AAA-212-111-000-0-0,27.4,
5774,5774,5774,5774,5774,5774,247295191,04 47 01.149,+20 30 31.14,1,12.763,,,553-010925,04470115+2030311,,STAR,gri,rpm,-1.6,1.9,-20.8,3,,,13.904,0.05,12.519,0.04,,,13.268,0.05,12.011,0.03,12.547,0.9,,,9.944,0.023,9.327,0.022,9.133,0.017,4825,173,86,2.751,0.69,0.414,-0.36,0.35,0.49,6.653,3.67,3.68,0.99,0.207,0.092,0.003,0.032,0.002,815.3,320.5,422.2,0.61,0.162,0.097,AAA-222-111-000-0-0,51.8,
5775,5775,5775,5775,5775,5775,247295238,05 15 07.176,+20 30 32.80,1,12.645,,,553-013435,05150717+2030329,,STAR,gri,rpm,0.3,3.2,-5,2.8,,,14.797,0.04,13.23,0.08,,,14.019,0.05,12.668,0.08,12.056,0.04,,,10.357,0.027,9.641,0.034,9.461,0.02,4668,141,169,2.374,0.215,0.344,-0.217,0.2,0.32,11.827,5.466,1.876,1.2,0.393,0.164,7.34E-04,7.92E-04,4.89E-04,1580,730.2,222.7,0.714,0.138,0.166,AAA-222-111-000-0-0,6.2,
5776,5776,5776,5776,5776,5776,247295305,05 15 26.257,+20 30 34.92,1,12.107,,,553-013469,05152625+2030349,,STAR,gri,rpm,2.4,2.2,-3.5,1,,,13.14,0.04,12.342,0.08,,,12.711,0.03,12.113,0.06,11.848,0.03,,,10.796,0.023,10.517,0.028,10.413,0.02,6564,414,345,3.903,0.357,0.255,0.001,0.12,0.15,2.139,0.896,0.828,1.542,0.345,0.345,0.127,0.342,0.077,574.4,259.7,207.3,0.479,0.181,0.129,AAA-222-111-000-0-0,15.9,
5777,5777,5777,5777,5777,5777,247295308,05 19 46.710,+20 30 35.01,1,11.96,,1291-156-1,553-014029,05194671+2030348,,STAR,gri,rpm,7.3,2.5,-11.5,2.7,,,12.969,0.491,11.466,0.165,,,12.545,0.05,11.952,0.06,11.709,0.05,,,10.714,0.02,10.42,0.022,10.305,0.02,6396,459,287,4.072,0.225,0.27,-0.016,0.12,0.15,1.636,0.759,0.445,1.372,0.238,0.198,0.248,0.347,0.161,429.8,203,118.4,0.436,0.187,0.117,AAA-222-111-000-0-0,17.5,
5778,5778,5778,5778,5778,5778,247295392,05 21 49.758,+20 30 37.07,1,15.191,,,553-014356,05214976+2030370,,STAR,BV,rpm,0.6,5.3,-3.9,5.7,,,16.085,0.04,15.35,0.051,,,15.706,0.04,,,,,,,13.804,0.024,13.515,0.026,13.415,0.034,6412,329,274,4.2,0.115,0.207,-0.189,0.15,0.21,1.395,0.405,0.232,1.209,0.189,0.157,0.41,0.225,0.206,1477,490.8,273.7,0.468,0.184,0.102,AAA-222-111-000-0-0,14,
5779,5779,5779,5779,5779,5779,247295413,04 54 27.366,+20 30 37.66,1,13.494,,,553-011509,04542736+2030376,,STAR,gri,rpm,-5.8,3.5,-19.8,2.1,,,14.725,0.04,13.827,0.04,,,14.269,0.03,13.507,0.05,13.162,0.03,,,11.957,0.022,11.531,0.023,11.431,0.02,5782,240,288,4.432,0.102,0.408,-0.264,0.25,0.35,0.978,0.536,0.179,0.921,0.128,0.106,0.979,0.482,0.738,391.4,219.9,71.79,0.475,0.115,0.138,AAA-222-111-000-0-0,10.2,
5780,5780,5780,5780,5780,5780,247295577,05 21 15.716,+20 30 42.64,1,13.612,,,553-014280,05211571+2030428,,STAR,gri,rpm,2.9,3.4,2,4,,,14.852,0.04,13.928,0.05,,,14.376,0.05,13.632,0.07,13.285,0.05,,,12.087,0.02,11.675,0.022,11.578,0.021,5826,295,295,4.131,0.3,0.36,-0.098,0.16,0.24,1.368,0.907,0.473,1.087,0.197,0.147,0.285,0.803,0.192,612.2,299.6,232.6,0.483,0.164,0.14,AAA-222-111-000-0-0,10.6,
5781,5781,5781,5781,5781,5781,247295609,04 47 27.257,+20 30 43.70,1,14.707,,,553-010960,04472726+2030437,,STAR,gri,rpm,4.2,3.5,3.4,3.8,,,15.646,0.07,14.703,0.04,,,15.18,0.05,14.375,0.04,14.505,0.58,,,12.877,0.023,12.417,0.02,12.325,0.024,5592,267,267,4.432,0.108,0.702,-0.15,0.16,0.36,0.998,1.379,0.164,0.966,0.167,0.093,0.945,0.505,0.867,617.2,770.9,122.4,0.435,0.137,0.098,AAA-222-111-000-0-0,7.8,
5782,5782,5782,5782,5782,5782,247295645,04 39 24.833,+20 30 44.67,1,12.505,,,553-010478,04392483+2030446,,STAR,gri,rpm,-2.5,2.2,-7.7,1.5,,,13.742,0.05,12.864,0.04,,,13.244,0.032,12.607,0.041,12.189,0.061,,,11.049,0.023,10.745,0.02,10.638,0.019,6458,404,303,4.008,0.26,0.26,-0.014,0.08,0.1,1.929,0.758,0.633,1.439,0.216,0.216,0.191,0.289,0.115,568.8,231,190.9,0.566,0.127,0.127,AAA-222-111-000-0-0,10.6,
5783,5783,5783,5783,5783,5783,247295646,05 20 30.201,+20 30 44.67,1,16.737,,,,05203020+2030446,,STAR,JHK,rpm,58,2,-68,2,,,,,,,,,,,,,,,,,14.326,0.029,13.663,0.026,13.414,0.034,3670,413,258,5.043,0.084,0.07,-0.317,0.3,0.36,0.238,0.069,0.062,0.242,0.11,0.078,16.38,10.93,5.683,159.9,82.14,46.71,0.247,0.135,0.09,AAA-222-111-000-0-0,17.7,1105-0072367
5784,5784,5784,5784,5784,5784,247295717,05 21 22.824,+20 30 46.59,1,14.568,,,553-014296,05212282+2030467,,STAR,gri,rpm,1.2,5.2,-2.5,5.5,,,16.279,0.08,14.965,0.06,,,15.656,0.05,14.595,0.07,14.102,0.05,,,12.57,0.021,11.917,0.022,11.81,0.02,4810,145,145,2.598,0.603,0.335,-0.482,0.25,0.35,7.853,3.935,3.583,1.035,0.212,0.151,0.002,0.01,0.001,3224,1589,1456,0.49,0.134,0.112,AAA-222-111-000-0-0,12.2,
5785,5785,5785,5785,5785,5785,247295783,05 16 03.471,+20 30 49.20,1,13.414,,,553-013546,05160347+2030493,,STAR,gri,rpm,-5.9,2.8,-14.4,3.1,,,14.996,0.05,13.849,0.07,,,14.407,0.01,13.442,0.07,12.988,0.04,,,11.65,0.02,11.214,0.022,11.075,0.02,5925,288,288,4.161,0.294,0.245,-0.071,0.15,0.33,1.37,0.513,0.434,1.043,0.2,0.071,0.35,0.636,0.202,447.2,211.2,143.5,0.735,0.167,0.139,AAA-222-111-000-0-0,22.6,
5786,5786,5786,5786,5786,5786,247295796,05 18 53.367,+20 30 49.73,1,15.877,,,553-013927,05185336+2030496,,STAR,BV,rpm,9.4,5.3,3.6,6.2,,,17.03,0.13,16.045,0.066,,,,,,,,,,,14.076,0.026,13.526,0.029,13.414,0.037,5181,285,203,4.555,0.05,0.96,-0.225,0.25,0.4,0.804,1.848,0.084,0.861,0.127,0.091,1.616,0.395,1.56,759.4,1709,104,0.491,0.221,0.123,AAA-222-111-000-0-0,12.1,
5787,5787,5787,5787,5787,5787,247295810,05 17 46.547,+20 30 50.28,1,12.256,,,553-013800,05174654+2030502,,STAR,gri,rpm,3,2.4,-3.4,3.7,,,14.125,0.03,12.704,0.05,,,13.454,0.06,12.241,0.08,11.742,0.05,,,10.135,0.02,9.492,0.027,9.354,0.018,4731,145,116,2.477,0.253,0.115,-0.206,0.2,0.2,10.899,1.134,1.779,1.334,0.436,0.262,9.77E-04,9.59E-04,3.04E-04,1415,172.6,210.6,0.515,0.139,0.116,AAA-222-111-000-0-0,17.3,
5788,5788,5788,5788,5788,5788,247295887,05 18 57.201,+20 30 52.60,1,14.138,,,553-013936,05185720+2030525,,STAR,gri,rpm,4.8,5.5,-4.4,6.1,,,15.775,0.02,14.604,0.06,,,15.236,0.05,14.177,0.07,13.667,0.07,,,12.15,0.021,11.647,0.022,11.508,0.02,5345,533,266,3.582,0.61,1.098,-0.294,0.25,0.45,2.446,4.733,1.312,1.073,0.313,0.174,0.058,0.419,0.056,907.8,1542,461.1,0.647,0.291,0.182,AAA-222-111-000-0-0,21.6,
5789,5789,5789,5789,5789,5789,247295914,04 36 56.270,+20 30 53.54,1,12.875,,,553-010361,04365627+2030537,,STAR,gri,rpm,16.7,2.3,-12.6,2.4,,,14.157,0.045,13.293,0.032,,,13.631,0.033,12.968,0.041,12.552,0.062,,,11.39,0.02,11.036,0.021,10.911,0.018,6054,228,190,4.204,0.192,0.16,-0.114,0.15,0.33,1.308,0.292,0.239,1.073,0.129,0.107,0.464,0.365,0.204,425.6,92.24,75.81,0.46,0.1,0.1,AAA-222-111-000-0-0,35.8,
5790,5790,5790,5790,5790,5790,247295935,05 15 23.642,+20 30 54.33,1,12.86,,,553-013464,05152364+2030543,,STAR,gri,rpm,5.5,1.7,-12,2.2,,,14.259,0.06,13.235,0.08,,,13.742,0.04,12.889,0.06,12.482,0.04,,,11.192,0.023,10.803,0.028,10.67,0.02,6138,246,345,4.183,0.2,0.35,-0.016,0.12,0.15,1.393,0.888,0.342,1.221,0.211,0.151,0.324,0.489,0.216,428.6,221.9,125.9,0.711,0.119,0.178,AAA-222-111-000-0-0,25.9,
5791,5791,5791,5791,5791,5791,247295961,05 14 28.913,+20 30 55.12,1,14.359,,,553-013358,05142890+2030551,,STAR,BV,rpm,-6.9,3,-3.5,3.4,,,15.421,0.05,14.564,0.04,,,15.32,0.043,,,,,,,11.926,0.023,11.499,0.03,11.345,0.021,5978,372,372,4.046,0.36,0.3,-0.074,0.15,0.24,1.592,0.801,0.616,1.171,0.274,0.205,0.246,0.707,0.167,623.8,311.7,240.2,0.633,0.326,0.204,AAA-222-111-000-0-0,17,
5792,5792,5792,5792,5792,5792,247296098,04 56 51.848,+20 30 58.92,1,13.598,,,553-011754,04565185+2030590,,STAR,gri,rpm,5.6,6,-45,3.6,,,15.235,0.03,14.032,0.07,,,14.63,0.01,13.64,0.04,13.155,0.02,,,11.84,0.023,11.275,0.023,11.139,0.023,5044,253,253,4.613,0.02,0.076,-0.401,0.27,0.12,0.692,0.128,0.014,0.741,0.105,0.023,2.172,0.13,0.634,226.1,54.37,9.179,0.545,0.056,0.254,AAA-222-111-000-0-0,6,
5793,5793,5793,5793,5793,5793,247296118,04 54 47.020,+20 30 59.56,1,13.117,,,553-011543,04544701+2030595,,STAR,gri,rpm,9.2,3.2,-7,1.4,,,14.308,0.01,13.428,0.03,,,13.856,0.05,13.119,0.04,12.8,0.01,,,11.657,0.022,11.247,0.023,11.142,0.018,5910,239,335,4.031,0.376,0.235,-0.146,0.2,0.4,1.548,0.695,0.627,1.061,0.191,0.136,0.227,0.692,0.132,587.2,257.7,234.4,0.522,0.106,0.148,AAA-222-111-000-0-0,7.3,
5794,5794,5794,5794,5794,5794,247296121,04 50 42.006,+20 30 59.67,1,15.81,,,553-011183,04504200+2030596,,STAR,JHK,rpm,-0.1,3.6,-40.3,3.5,,,,,,,,,,,,,,,,,13.34,0.024,12.593,0.026,12.403,0.024,4122,241,120,4.78,0.05,0.07,-0.091,0.16,0.2,0.498,0.069,0.051,0.564,0.067,0.055,4.333,1.059,1.143,254.8,48.44,29.79,0.345,0.191,0.106,AAA-222-111-000-0-0,6.3,
5795,5795,5795,5795,5795,5795,247296165,04 50 41.574,+20 31 01.19,1,14.472,,,553-011182,04504156+2031013,,STAR,gri,rpm,17.4,6.7,-43.3,2.4,,,15.554,0.07,14.512,0.06,,,15.075,0.08,14.045,0.06,14.214,0.87,,,12.583,0.037,12.095,0.041,11.983,0.035,5007,537,167,4.61,0.05,0.08,-0.433,0.25,0.3,0.694,0.085,0.076,0.743,0.047,0.085,2.079,0.538,0.573,327.3,49.53,36.26,0.334,0.336,0.084,AAA-222-111-000-0-0,6.3,
5796,5796,5796,5796,5796,5796,247296207,05 19 43.796,+20 31 02.59,1,12.285,,,553-014022,05194379+2031025,,STAR,gri,rpm,2.8,1.2,-9.1,2.6,,,13.151,0.03,12.464,0.02,,,12.814,0.05,12.28,0.07,12.058,0.04,,,11.07,0.02,10.837,0.022,10.719,0.018,6893,404,347,4.139,0.12,0.216,-0.057,0.12,0.12,1.658,0.567,0.295,1.462,0.212,0.151,0.302,0.16,0.162,534.8,183.3,89.97,0.495,0.146,0.125,AAA-222-111-000-0-0,7.8,
5797,5797,5797,5797,5797,5797,247296236,05 18 21.449,+20 31 03.53,1,9.012,,1291-117-1,553-013869,05182144+2031034,,STAR,gri,rpm,9.8,1.1,-11.9,1.1,,,10.714,0.066,9.294,0.024,,,10.247,0.01,9.373,0.05,8.483,0.05,,,6.784,0.019,6.18,0.016,5.998,0.016,4839,95,76,2.497,0.29,0.145,-0.369,0.3,0.25,10.75,0.875,3.367,1.199,0.866,0.228,0.001,0.002,3.87E-04,324.1,43.92,93.16,0.258,0.091,0.057,AAA-111-111-000-0-0,13.3,
5798,5798,5798,5798,5798,5798,247296324,05 14 28.025,+20 31 06.63,1,14.193,,,553-013356,05142801+2031066,,STAR,JHK,rpm,-1.2,3.6,-3,3.8,,,,,,,,,,,,,,,,,12.309,0.024,11.713,0.031,11.561,0.021,4934,151,151,2.839,0.609,0.522,-0.401,0.25,0.3,6.725,3.982,3.53,1.105,0.253,0.181,0.003,0.02,0.002,2503,1329,1237,0.549,0.163,0.136,AAA-222-111-000-0-0,17,
