,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
1,1,1,251277559,09 19 27.260,+14 10 32.52,1,15.022,,,521-048680,09192724+1410325,5935-301-3-0157-0056,STAR,gri,rpm,1.6,4.1,0.1,4.5,,,16.139,0.09,15.3,0.02,,,15.683,0.07,15.043,0.04,14.738,0.23,,,13.764,0.025,13.371,0.024,13.243,0.031,5365,162,130,4.534,0.04,0.128,-0.183,0.2,0.36,0.835,0.22,0.072,0.872,0.07,0.07,1.463,0.337,0.704,796.2,234.7,88.22,0.035,0.01,0.007,AAA-222-111-000-0-0,66,
2,2,2,251277567,09 18 52.206,+14 10 34.65,1,19.949,,,,,5312-301-3-0051-0152,STAR,gri,,6,5,4,5,,,,,,,20.53,0.056,20.061,0.018,19.912,0.02,19.948,0.025,19.76,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,251277701,09 20 28.111,+14 11 17.46,1,16.014,,,521-048721,09202811+1411172,5935-301-3-0158-0132,STAR,gri,rpm,-6.8,4.5,-4.5,4.8,,,16.422,0.1,16.047,0.1,,,16.142,0.05,15.971,0.09,15.883,0.18,,,15.338,0.049,15.177,0.097,15.135,0.143,6266,197,197,4.259,0.12,0.168,-1.007,0.35,0.35,1.107,0.229,0.16,0.841,0.04,0.04,0.593,0.315,0.266,2566,497.8,416.9,0.032,0.008,0.006,AAB-222-111-000-0-0,64.7,
4,4,4,251277736,09 18 39.401,+14 11 27.41,1,19.019,,,,,5312-301-3-0050-0249,STAR,gri,,3,3,2,3,,,,,,,19.214,0.025,19.224,0.011,18.913,0.011,18.931,0.013,19.083,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,251277752,09 17 29.308,+14 11 32.16,1,17.975,,,,09172930+1411321,5312-301-3-0049-0187,STAR,gri,rpm,-74,3,-14,3,,,,,,,23.347,0.463,20.043,0.018,18.51,0.009,17.089,0.006,16.309,0.008,14.888,0.04,14.366,0.046,14.059,0.059,3381,160,107,5.13,0.025,0.03,-0.13,0.24,0.28,0.181,0.014,0.013,0.162,0.017,0.014,27.22,3.674,3.837,149.7,18.74,12.67,0.023,0.007,0.006,AAA-222-111-000-0-0,62.3,
6,6,6,251277795,09 16 57.273,+14 11 46.28,1,12.01,,,521-048586,09165727+1411463,,STAR,gri,lam,-4.4,1.7,4.5,1.9,,,12.879,0.06,12.185,0.03,,,12.459,0.05,11.991,0.01,11.817,0.04,,,10.883,0.02,10.511,0.016,10.464,0.018,5552,133,200,4.514,0.048,0.04,-0.187,0.12,0.18,0.862,0.06,0.077,0.892,0.073,0.073,1.381,0.295,0.205,226.5,21.28,30.32,0.026,0.007,0.006,AAA-222-111-000-0-0,33.8,
7,7,7,251277817,09 21 38.689,+14 11 55.95,1,17.389,,,,09213868+1411559,,EXTENDED,J,,-10,9,22,5,,,,,,,,,,,,,,,,,15.901,0.096,15.282,0.112,14.727,0.111,,,,,,,,,,,,,,,,,,,,,,,,,ABB-222-111-000-1-0,5.6,1041-0172109
8,8,8,251277823,09 17 33.171,+14 11 58.95,1,11.761,,825-442-1,521-048614,09173317+1411590,,STAR,gri,rpm,-9.6,2.4,-21.7,2.5,,,12.413,0.292,11.636,0.191,,,12.127,0.04,11.736,0.01,11.605,0.03,,,10.768,0.021,10.468,0.023,10.404,0.02,6037,72,120,4.18,0.228,0.19,-0.202,0.2,0.28,1.338,0.378,0.345,1.045,0.141,0.117,0.432,0.45,0.248,363,107.9,97.35,0.031,0.007,0.007,AAA-222-111-000-0-0,16.9,
9,9,9,251277826,09 21 38.441,+14 12 00.22,1,17.647,,,,09213844+1412002,5935-301-3-0160-0128,EXTENDED,gri,,17.4,9,22,9,,,,,,,20.825,0.138,18.766,0.013,17.625,0.008,17.167,0.007,16.825,0.019,16.228,0.115,15.36,0.123,15.172,0.184,,,,,,,,,,,,,,,,,,,,,,,,,BBC-222-111-000-2-0,5.6,1042-0172659
10,10,10,251277855,09 22 30.995,+14 12 10.30,1,13.99,,,522-048232,09223099+1412102,5935-301-3-0162-0007,STAR,gri,rpm,7,4.3,-37.1,4.6,,,15.051,0.12,14.232,0.06,,,14.54,0.04,13.952,0.09,13.754,0.04,,,12.883,0.023,12.414,0.022,12.309,0.022,5121,181,120,4.608,0.072,0.045,-0.442,0.3,0.66,0.714,0.064,0.112,0.737,0.086,0.101,2.051,0.806,0.345,422.5,49.38,76.23,0.03,0.011,0.008,AAA-222-111-000-0-0,8.3,
