,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
2773,2773,2773,212003518,09 04 58.805,+20 18 48.02,1,17.366,,,,09045880+2018480,5071-301-2-0147-0077,EXTENDED,gri,,1,2,-2,2,,,,,,,19.2,0.039,17.95,0.007,17.434,0.007,17.116,0.007,16.951,0.019,16.674,0.143,16.052,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774,2774,2774,212003539,08 26 30.339,+20 18 49.22,1,13.552,,,552-043574,08263034+2018493,,STAR,BV,rpm,2.5,2.4,3.8,2.9,,,14.634,0.03,13.762,0.034,,,14.201,0.035,,,,,,,12.199,0.021,11.763,0.023,11.66,0.018,5166,157,125,3.373,0.945,0.945,-0.464,0.42,0.56,2.611,5.761,1.797,0.914,0.261,0.054,0.034,0.93,0.033,1113,1673,759.7,0.034,0.008,0.007,,,
2775,2775,2775,212003549,08 51 11.273,+20 18 49.84,1,9.479,,1399-289-1,552-044581,08511127+2018497,,STAR,gri,plx,0.8,1.1,-4,1,,,9.118,0.022,8.946,0.02,,,10.178,0.1,9.655,0.05,9.18,0.04,,,8.648,0.026,8.636,0.018,8.621,0.017,7421,312,223,3.785,0.085,0.119,0.042,0.12,0.12,2.992,0.501,0.372,2.02,0.155,0.129,0.073,0.026,0.026,386.5,52.87,52.87,0.03,0.01,0.006,,,
2776,2776,2776,212003556,08 55 53.692,+20 18 50.01,1,15.42,,,,08555369+2018500,5071-301-4-0134-0223,EXTENDED,gri,,1,2,4,2,,,,,,,17.83,0.026,16.214,0.004,15.453,0.003,15.079,0.003,14.794,0.008,15.395,0.092,14.698,0.118,14.482,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777,2777,2777,212003607,09 04 49.847,+20 18 52.67,1,14.171,,,552-045053,09044982+2018527,5071-301-2-0147-0054,STAR,gri,rpm,3.5,1.8,-4.8,2.7,,,15.408,0.06,14.459,0.04,,,14.948,0.08,14.094,0.07,13.838,0.12,,,12.69,0.022,12.173,0.022,12.118,0.019,4934,98,78,3.394,1.21,0.66,-0.306,0.3,0.42,3.309,2.904,2.624,0.936,0.218,0.121,0.022,1.388,0.019,1768,1228,1405,0.032,0.009,0.005,,,
2778,2778,2778,212003611,08 30 02.873,+20 18 52.86,1,12.066,,,552-043743,08300287+2018528,,STAR,BV,rpm,4.6,0.7,-12.9,1.7,,,12.708,0.041,12.156,0.03,,,12.422,0.03,,,,,,,11.062,0.022,10.75,0.023,10.718,0.018,5984,140,176,4.189,0.23,0.276,-0.102,0.2,0.28,1.294,0.559,0.335,1.068,0.151,0.126,0.372,0.461,0.231,400,185.7,108.9,0.03,0.01,0.008,,,
2779,2779,2779,212003656,08 50 46.605,+20 18 55.37,1,15.317,,,552-044564,08504661+2018554,,STAR,gri,rpm,-3.3,2.9,-2.9,3,,,16.608,0.084,15.669,0.057,,,16.026,0.04,15.311,0.03,15.014,0.093,,,13.813,0.026,13.286,0.027,13.209,0.029,4996,98,98,3.567,1.022,0.876,-0.478,0.35,0.42,2.557,4.433,1.991,0.836,0.106,0.088,0.052,1.697,0.05,2014,3181,1444,0.035,0.01,0.008,,,
2780,2780,2780,212003661,08 33 42.419,+20 18 55.89,1,12.778,,,552-043889,08334242+2018558,,STAR,BV,rpm,-1.9,1.4,5.4,1.6,,,13.871,0.02,12.991,0.032,,,13.432,0.032,,,,,,,11.552,0.022,11.219,0.023,11.053,0.019,5653,271,169,3.83,0.58,0.12,-0.087,0.2,0.28,2.158,0.454,1.153,1.226,0.104,0.27,0.111,0.832,0.04,777.8,140.3,409,0.035,0.011,0.008,,,
2781,2781,2781,212003671,08 28 41.223,+20 18 56.30,1,17.514,,,,08284122+2018563,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.124,0.041,14.543,0.054,14.22,0.052,3609,264,220,5,0.105,0.105,-0.099,0.18,0.24,0.255,0.097,0.07,0.266,0.142,0.102,13.04,9.883,5.622,275.2,141.3,107.8,0.028,0.008,0.007,,,
2782,2782,2782,212003673,08 29 01.351,+20 18 56.33,1,12.581,,,552-043690,08290135+2018562,,STAR,BV,rpm,13.8,1.1,-8.2,1.4,,,13.455,0.042,12.734,0.031,,,13.068,0.031,,,,,,,11.32,0.022,10.94,0.022,10.869,0.021,5490,195,162,4.477,0.06,0.696,-0.082,0.16,0.32,0.918,1.312,0.083,0.941,0.154,0.064,1.184,0.306,1.085,305.2,414.5,44.83,0.029,0.01,0.008,,,
2783,2783,2783,212003718,08 32 35.799,+20 18 59.22,1,14.194,,,552-043837,08323580+2018591,,STAR,JHK,rpm,-7,2.7,2.3,2.7,,,,,,,,,,,,,,,,,12.779,0.03,12.389,0.027,12.217,0.021,5374,214,214,4.472,0.085,0.901,-0.181,0.25,0.5,0.927,1.747,0.139,0.918,0.12,0.08,1.134,0.449,1.085,576.5,965.3,106.8,0.033,0.008,0.006,,,
2784,2784,2784,212003737,09 11 03.472,+20 19 00.29,1,15.043,,,552-045295,09110346+2019004,5071-301-1-0156-0072,STAR,gri,rpm,-3.4,3.2,6.2,3.3,,,16.422,0.09,15.391,0.02,,,15.906,0.02,15.012,0.03,14.673,0.06,,,13.496,0.023,12.949,0.027,12.816,0.025,4781,75,113,4.625,0.03,0.025,-0.055,0.12,0.21,0.706,0.037,0.055,0.773,0.038,0.069,2.179,0.323,0.237,506.5,37.48,54.67,0.033,0.008,0.008,,,
2785,2785,2785,212003815,08 29 55.975,+20 19 04.99,1,14.03,,,552-043739,08295597+2019048,6728-301-1-0122-0045,STAR,BV,rpm,-1.7,3.5,-2.8,2.1,,,14.899,0.04,14.182,0.037,,,14.522,0.037,,,,,,,12.623,0.022,12.17,0.023,12.077,0.018,5147,123,153,3.484,0.978,0.815,-0.496,0.4,0.56,2.55,3.225,1.738,0.911,0.212,0.059,0.041,0.991,0.038,1441,1718,1030,0.033,0.011,0.008,,,
2786,2786,2786,212003828,08 57 36.966,+20 19 05.76,1,15.186,,,552-044806,08573696+2019060,5061-301-4-0139-0049,STAR,gri,rpm,3.6,4.5,-6.6,4.8,,,16.345,0.05,15.49,0.053,,,15.912,0.05,15.135,0.057,14.875,0.089,,,13.811,0.025,13.369,0.024,13.266,0.028,5124,102,122,4.573,0.035,0.07,-0.143,0.2,0.32,0.772,0.103,0.058,0.83,0.071,0.071,1.731,0.341,0.485,707.1,137.9,66.66,0.034,0.011,0.006,,,
2787,2787,2787,212003875,09 03 23.293,+20 19 08.87,1,17.081,,,,09032329+2019088,5061-301-3-0147-0250,STAR,gri,col,,,,,,,,,,,21.932,0.13,19.127,0.01,17.713,0.006,16.204,0.005,15.407,0.006,13.943,0.025,13.354,0.024,13.136,0.026,3630,108,86,5.005,0.042,0.035,-0.067,0.15,0.18,0.27,0.034,0.036,0.274,0.054,0.045,13.33,3.764,2.495,163.9,26.47,26.95,0.022,0.007,0.005,,,
2788,2788,2788,212003882,08 51 29.158,+20 19 09.44,1,13.433,,,552-044598,08512915+2019094,,STAR,gri,rpm,35.1,2.3,-103.6,2.4,,,15.439,0.02,14.073,0.01,,,14.844,0.02,13.495,0.06,12.829,0.02,,,11.227,0.022,10.592,0.021,10.411,0.018,3841,61,46,4.892,0.064,0.04,-0.127,0.24,0.15,0.38,0.045,0.046,0.426,0.049,0.059,7.479,2.38,1.4,93.08,42.08,28.98,0.014,0.005,0.003,,,
2789,2789,2789,212003891,09 06 54.830,+20 19 10.05,1,11.926,,,552-045134,09065482+2019102,,STAR,gri,rpm,1.7,2.2,-5.2,2.6,,,13.179,0.04,12.17,0.05,,,12.706,0.08,11.86,0.09,11.592,0.08,,,10.494,0.024,9.982,0.027,9.881,0.021,4852,116,116,2.693,0.624,0.39,-0.343,0.25,0.3,7.253,3.929,3.625,1.14,0.159,0.159,0.003,0.018,0.002,1264,635.8,549.5,0.034,0.01,0.007,,,
