EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
211489896,09 07 08.473,+12 59 37.39,1,17.655,,,,09070847+1259373,6004-301-6-0142-0170,EXTENDED,gri,,-3,2,0,2,,,,,,,20.375,0.093,18.651,0.01,17.664,0.007,17.228,0.007,16.907,0.015,16.252,0.132,15.614,0.131,15.37,0.144,,,,,,,,,,,,,,,,,,,,,,,,
211489920,08 55 55.650,+12 59 38.46,1,17.018,,,,08555564+1259384,5935-301-4-0118-0167,EXTENDED,gri,,0,2,-1,2,,,,,,,19.921,0.07,18.041,0.008,17.024,0.005,16.579,0.005,16.244,0.013,15.693,0.068,15.023,0.088,14.596,0.077,,,,,,,,,,,,,,,,,,,,,,,,
211489972,09 02 38.277,+12 59 41.25,1,13.171,,,515-049366,09023828+1259411,,STAR,gri,rpm,-10.2,2.2,-7.8,1.5,,,14.337,0.06,13.431,0.02,,,13.838,0.04,13.141,0.02,12.886,0.04,,,11.75,0.022,11.287,0.022,11.193,0.018,5058,80,80,3.388,1.079,0.498,-0.545,0.3,0.36,3.108,2.031,2.295,0.905,0.136,0.045,0.027,1.206,0.021,1094,804.7,807.3,0.033,0.008,0.007
211490070,08 41 37.362,+12 59 45.86,1,14.492,,,515-048505,08413736+1259460,5182-301-2-0106-0011,STAR,gri,rpm,-5.7,2.7,-2.4,3.3,,,15.621,0.02,14.739,0.02,,,15.133,0.03,14.496,0.03,14.217,0.04,,,13.116,0.027,12.685,0.03,12.569,0.024,5186,151,120,3.583,0.966,0.805,-0.572,0.45,0.45,2.367,3.22,1.656,0.879,0.088,0.088,0.043,1.036,0.04,1489,1938,1025,0.033,0.011,0.009
211490142,09 05 29.387,+12 59 49.42,1,15.739,,,515-049478,09052938+1259493,6004-301-6-0139-0090,EXTENDED,gri,,1.7,6.5,2.9,6.7,,,16.7,0.1,15.867,0.11,,,16.471,0.45,15.612,0.05,15.425,0.1,,,14.502,0.036,14.073,0.045,13.978,0.049,,,,,,,,,,,,,,,,,,,,,,,,
211490148,08 40 24.966,+12 59 49.97,1,11.761,,805-636-1,515-048437,08402495+1259497,,STAR,gri,rpm,-5.1,3.1,0.7,3.2,,,12.652,0.375,11.149,0.11,,,11.983,0.06,11.686,0.9,10.869,0.09,,,9.678,0.02,9.131,0.022,9.058,0.019,4772,96,96,2.448,0.396,0.108,-0.268,0.2,0.28,10.754,0.994,3.944,1.159,0.254,0.182,9.29E-04,0.003,2.43E-04,1286,118.9,422.1,0.034,0.008,0.007
211490186,08 38 38.384,+12 59 51.96,1,15.507,,,515-048361,08383839+1259518,5194-301-3-0108-0234,STAR,gri,rpm,-24.7,3.3,-20.2,3.5,,,17.37,0.111,16.168,0.01,,,16.987,0.01,15.971,0.68,14.873,0.14,,,13.157,0.024,12.567,0.025,12.37,0.024,3739,150,150,4.914,0.077,0.042,0.009,0.08,0.2,0.358,0.043,0.078,0.393,0.059,0.109,8.052,4.477,1.597,162.4,25.09,46.25,0.019,0.006,0.003
211490213,08 55 06.497,+12 59 52.87,1,15.721,,,,08550649+1259528,5935-301-4-0117-0242,STAR,gri,rpm,-55,2,-58,2,,,,,,,20.09,0.043,17.656,0.005,16.239,0.004,14.892,0.004,14.146,0.004,12.701,0.02,12.113,0.017,11.874,0.02,3603,63,106,5.019,0.03,0.036,0.009,0.12,0.18,0.26,0.036,0.023,0.26,0.044,0.031,14.48,2.338,2.737,89.94,18.14,13.11,0.014,0.004,0.005
211490270,08 52 51.983,+12 59 55.48,1,13.754,,,515-049013,08525197+1259555,,STAR,gri,lam,8.4,2.1,-13.1,1.6,,,14.857,0.04,13.993,0.02,,,14.366,0.02,13.724,0.03,13.492,0.03,,,12.411,0.019,11.961,0.021,11.852,0.017,5084,143,102,3.666,0.09,0.108,-0.179,0.15,0.12,2.573,0.365,0.32,1.161,0.111,0.133,0.066,0.026,0.022,1219,153.8,115,0.033,0.008,0.007
211490288,08 49 19.281,+12 59 56.29,1,15.625,,,515-048859,08491927+1259563,5935-301-5-0107-0149,STAR,gri,rpm,-0.1,3.6,-2.1,4,,,16.851,0.11,15.901,0.07,,,16.259,0.01,15.558,0.02,15.354,0.04,,,14.18,0.026,13.694,0.031,13.616,0.035,5131,81,101,4.568,0.04,1.144,-0.263,0.25,0.4,0.79,2.46,0.083,0.833,0.078,0.094,1.67,0.361,1.643,854.4,2308,106.8,0.033,0.008,0.007
