EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
211703569,08 29 17.455,+15 57 44.59,1,14.516,,,530-047491,08291745+1557447,5112-301-4-0118-0243,STAR,gri,rpm,-7.2,4.6,-7.1,5.1,,,15.616,0.03,14.802,0.03,,,15.141,0.03,14.541,0.04,14.248,0.05,,,13.227,0.02,12.847,0.031,12.721,0.029,5418,125,157,4.518,0.045,0.729,-0.185,0.2,0.48,0.86,1.325,0.085,0.893,0.077,0.092,1.374,0.316,1.273,640.5,939.1,77.49,0.035,0.011,0.008
211703730,08 24 34.572,+15 57 51.35,1,10.452,,1379-920-1,530-047192,08243455+1557512,,STAR,gri,rpm,-0.4,1.7,4.8,1.7,,,11.766,0.139,10.745,0.073,,,11.329,0.02,10.446,0.03,10.076,0.03,,,8.802,0.029,8.232,0.02,8.072,0.023,4655,74,74,2.423,0.135,0.27,-0.19,0.15,0.36,11.533,3.6,1.465,1.252,0.282,0.235,8.16E-04,4.48E-04,4.76E-04,903.8,268.1,110.1,0.035,0.013,0.008
211703740,08 54 07.624,+15 57 51.79,1,12.143,,,530-048761,08540762+1557517,,STAR,gri,lam,-22.2,1.2,1.2,2,,,13.217,0.03,12.412,0.02,,,12.757,0.02,12.122,0.02,11.879,0.02,,,10.792,0.022,10.336,0.021,10.237,0.019,5131,152,182,4.606,0.025,0.03,-0.329,0.18,0.15,0.721,0.054,0.042,0.766,0.064,0.054,1.993,0.264,0.233,166.1,15.19,16.56,0.02,0.008,0.005
211703777,08 55 30.258,+15 57 53.97,1,12.702,,,530-048817,08553025+1557539,,STAR,gri,lam,-21.7,1.3,-19.1,1.7,,,13.782,0.03,12.927,0.02,,,13.301,0.02,12.644,0.03,12.445,0.03,,,11.431,0.021,11.011,0.02,10.923,0.017,5220,186,186,4.54,0.03,0.048,0.092,0.08,0.1,0.836,0.084,0.049,0.899,0.055,0.055,1.487,0.201,0.273,258.9,49.23,23.87,0.028,0.008,0.007
211703822,08 36 23.240,+15 57 56.24,1,11.815,,,530-047888,08362325+1557562,,STAR,gri,rpm,-54.9,1.5,-41.3,1.8,,,13.275,0.03,12.208,0.02,,,12.738,0.03,11.756,0.02,11.42,0.03,,,10.203,0.021,9.664,0.023,9.521,0.017,4601,55,92,4.659,0.036,0.03,-0.007,0.12,0.18,0.664,0.03,0.043,0.732,0.029,0.053,2.511,0.536,0.324,100.4,7.427,8.24,0.015,0.004,0.002
211703878,08 27 22.443,+15 57 59.16,1,16.468,,,530-047357,08272244+1557591,5071-301-1-0081-0339,STAR,BV,rpm,-13.2,5.5,-1.3,5.2,,,18.425,0.29,16.804,0.091,,,,,,,,,,,12.929,0.021,12.33,0.03,12.1,0.023,3697,171,128,4.988,0.02,0.117,-0.016,0.1,0.14,0.3,0.111,0.021,0.324,0.139,0.035,11.91,1,5.352,116.3,58.09,13.31,0.016,0.008,0.004
211703885,08 55 03.640,+15 57 59.48,1,12.981,,,530-048800,08550364+1557595,,STAR,gri,lam,-5,1.3,-5.2,1.7,,,13.699,0.02,13.114,0.02,,,13.322,0.02,12.939,0.02,12.835,0.03,,,12.001,0.019,11.71,0.021,11.672,0.02,5964,120,144,4.357,0.075,0.15,-0.025,0.1,0.12,1.121,0.219,0.106,1.065,0.079,0.066,0.712,0.227,0.302,533.2,115,61.26,0.032,0.011,0.007
211703887,08 30 07.669,+15 57 59.67,1,16.888,,,530-047556,08300767+1557592,,STAR,BV,rpm,6.5,3.8,-51.9,6.3,,,17.878,0.16,17.073,0.12,,,,,,,,,,,15.31,0.051,14.795,0.066,14.735,0.096,3720,591,295,5.006,0.105,0.126,-0.359,0.3,0.54,0.263,0.145,0.081,0.285,0.175,0.11,13.09,11,6.794,310.1,236.3,116.7,0.029,0.01,0.008
211703951,08 19 31.941,+15 58 02.90,1,15.801,,,530-046864,08193193+1558030,5071-301-3-0070-0098,STAR,gri,rpm,14.7,5,-33.2,5,,,17.875,0.136,16.322,0.074,,,17.156,0.12,15.863,0.06,15.22,0.06,,,13.609,0.025,12.929,0.026,12.712,0.025,3941,79,79,4.856,0.042,0.042,-0.038,0.12,0.15,0.424,0.043,0.039,0.481,0.047,0.056,5.94,1.201,0.999,247.7,29.58,31.36,0.026,0.012,0.005
211704034,08 40 27.916,+15 58 06.85,1,11.083,,1392-1620-1,530-048111,08402791+1558068,,STAR,gri,apo,3.5,2.1,-15.1,2.2,,,12.295,0.295,11.198,0.126,,,11.772,0.03,11.053,0.02,10.787,0.02,,,9.617,0.02,9.121,0.027,8.977,0.019,4784,96,77,2.888,0.15,0.15,-0.223,0.12,0.15,6.443,2.058,1.157,1.187,0.27,0.15,0.004,0.003,0.002,771.5,223.8,128.3,0.034,0.011,0.008
