EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
211985375,08 13 37.212,+20 01 07.22,1,12.741,,,551-043701,08133721+2001072,,STAR,gri,rpm,-14.5,1.5,-0.8,2,,,13.589,0.06,12.925,0.1,,,13.238,0.09,12.672,0.06,12.528,0.05,,,11.696,0.02,11.366,0.022,11.337,0.023,5788,135,202,4.39,0.095,0.418,-0.045,0.09,0.27,1.036,0.767,0.116,0.999,0.116,0.083,0.876,0.32,0.679,406.2,304.6,47.49,0.031,0.012,0.006
211985391,08 29 31.122,+20 01 08.23,1,13.173,,,551-044480,08293112+2001081,,STAR,BV,rpm,-19.9,4,-3,2,,,14.304,0.02,13.336,0.032,,,13.833,0.033,,,,,,,11.624,0.022,11.146,0.021,11.068,0.017,5072,140,100,3.632,0.999,0.666,-0.414,0.4,0.48,2.267,2.5,1.61,0.895,0.116,0.087,0.053,1.489,0.045,804.8,652.9,559.5,0.029,0.012,0.007
211985395,08 33 15.861,+20 01 08.49,1,17.484,,,,,5045-301-5-0118-0029,STAR,gri,,0,3,-2,3,,,,,,,18.765,0.018,17.497,0.005,17.48,0.005,17.515,0.007,17.555,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211985404,08 57 50.527,+20 01 09.08,1,16.833,,,,,5071-301-3-0136-0234,EXTENDED,gri,,6,2,-1,2,,,,,,,18.594,0.038,17.398,0.007,16.842,0.007,16.591,0.008,16.413,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211985408,08 24 09.578,+20 01 09.26,1,13.19,,,551-044218,08240957+2001092,,STAR,BV,rpm,0.9,2.2,-1.2,2.7,,,14.438,0.03,13.378,0.033,,,,,,,,,,,11.583,0.021,11.067,0.02,10.974,0.018,4871,117,78,2.992,0.474,0.632,-0.295,0.25,0.45,5.005,4.471,1.832,1.097,0.178,0.214,0.007,0.019,0.006,1596,1219,614.8,0.033,0.011,0.006
211985439,08 50 00.633,+20 01 11.33,1,12.196,,1399-209-1,551-045449,08500064+2001114,,STAR,gri,rpm,5.1,2.3,-7.2,2.6,,,12.496,0.284,12.003,0.241,,,12.479,0.01,12.126,0.01,12.075,0.04,,,11.3,0.021,11.099,0.029,10.978,0.025,6339,103,103,4.109,0.182,0.156,-0.047,0.15,0.18,1.609,0.376,0.35,1.282,0.168,0.12,0.275,0.278,0.112,589.3,151.9,138.3,0.033,0.013,0.006
211985447,09 02 39.073,+20 01 11.69,1,18.064,,,,09023907+2001116,5071-301-2-0143-0255,EXTENDED,gri,,,,,,,,,,,,19.383,0.035,18.288,0.027,17.99,0.008,17.651,0.009,17.592,0.024,16.61,0.138,16.107,0.165,15.65,0.183,,,,,,,,,,,,,,,,,,,,,,,,
211985449,09 08 30.283,+20 01 11.77,1,17.125,,,,09083028+2001117,5061-301-1-0154-0309,STAR,gri,rpm,-11,3,-45,3,,,,,,,21.52,0.094,18.857,0.009,17.511,0.006,16.383,0.005,15.79,0.006,14.447,0.034,13.91,0.042,13.665,0.043,3398,40,68,5.07,0.044,0.02,0.119,0.06,0.1,0.216,0.007,0.026,0.2,0.006,0.029,19.61,5.364,1.177,147.1,4.82,19.57,0.017,0.014,0.002
211985487,09 03 59.805,+20 01 13.90,1,11.293,,,551-045952,09035980+2001138,,STAR,gri,rpm,-11.3,2,0.4,1.4,,,12.586,0.04,11.573,0.04,,,12.078,0.07,11.256,0.07,10.957,0.12,,,9.788,0.022,9.271,0.021,9.158,0.022,4827,97,97,2.576,0.6,0.24,-0.313,0.25,0.25,8.843,2.654,4.255,1.142,0.194,0.194,0.001,0.01,7.92E-04,1148,276.1,546.6,0.033,0.011,0.008
211985491,08 56 52.148,+20 01 14.03,1,10.894,,,551-045717,08565215+2001137,,STAR,gri,rpm,-1.4,4.2,1.7,1.2,,,12.996,0.05,11.392,0.03,,,12.282,0.06,10.857,0.07,10.298,0.02,,,8.702,0.029,7.894,0.029,7.712,0.036,3936,77,62,1.048,0.305,0.488,-0.33,0.35,0.49,49.664,25.367,12.678,1.043,0.225,0.15,6.74E-06,1.54E-05,5.05E-06,2884,1425,750,0.036,0.018,0.008
211985503,08 38 52.690,+20 01 15.37,1,11.396,,,551-044955,08385269+2001154,,STAR,gri,rpm,0.3,0.9,-5.6,1,,,11.888,0.01,11.438,0.03,,,11.603,0.02,11.327,0.04,11.233,0.08,,,10.573,0.023,10.37,0.021,10.334,0.02,6520,155,155,4.079,0.168,0.308,-0.05,0.12,0.18,1.662,1.049,0.288,1.379,0.261,0.163,0.266,0.196,0.186,475.9,217.1,116.9,0.032,0.01,0.007
211985566,08 39 14.530,+20 01 19.22,1,14.994,,,551-044978,08391453+2001191,5037-301-4-0115-0512,STAR,gri,rpm,-35.1,3.6,-10.7,3.8,,,17.206,0.01,15.866,0.03,,,16.646,0.01,15.283,0.01,14.285,0.08,,,12.602,0.022,11.936,0.021,11.716,0.022,3671,58,44,4.944,0.042,0.02,0.115,0.06,0.1,0.337,0.008,0.029,0.363,0.009,0.035,9.485,1.919,0.569,111.4,6.657,10.27,0.016,0.004,0.003
211985568,08 44 56.866,+20 01 19.24,1,13.812,,,551-045257,08445686+2001192,5071-301-6-0118-0063,STAR,gri,rpm,1.9,2.2,-11.2,2.7,,,14.981,0.02,14.07,0.02,,,14.509,0.01,13.791,0.03,13.513,0.1,,,12.452,0.023,11.957,0.022,11.895,0.02,5025,80,60,3.387,1.066,0.41,-0.425,0.3,0.36,2.95,1.536,2.178,0.926,0.146,0.081,0.032,1.382,0.023,1383,729.8,995.2,0.032,0.013,0.007
211985569,09 09 03.691,+20 01 19.25,1,9.628,44921,1407-80-1,551-046120,09090368+2001192,,STAR,gri,plx,-23.3,2.33,33,0.92,1.79,1.78,10.075,0.043,9.614,0.039,,,10.346,0.03,9.661,0.04,9.32,0.1,,,8.647,0.019,8.463,0.027,8.391,0.021,5756,203,135,3.79,0.16,0.12,0.155,0.15,0.12,2.459,0.326,0.541,1.372,0.187,0.155,0.09,0.077,0.03,558.7,555.5,555.5,0.028,0.01,0.007
211985576,09 08 36.846,+20 01 19.57,1,11.386,,,551-046108,09083684+2001195,,STAR,gri,rpm,-35.7,2.8,11.5,2.4,,,12.088,0.07,11.447,0.04,,,11.858,0.03,11.349,0.04,11.183,0.1,,,10.412,0.022,10.113,0.033,10.108,0.021,5857,139,139,4.377,0.08,0.304,-0.081,0.2,0.2,1.072,0.512,0.123,1.037,0.087,0.105,0.781,0.338,0.531,242.9,111.3,38.81,0.027,0.01,0.006
211985579,08 45 38.002,+20 01 19.66,1,11.821,,1399-120-1,551-045282,08453800+2001195,,STAR,gri,plx,5.6,2,-2.8,2.1,,,12.185,0.179,11.824,0.184,,,12.106,0.02,11.773,0.03,11.698,0.07,,,11.055,0.023,10.873,0.022,10.748,0.021,6418,156,130,4.072,0.165,0.198,-0.018,0.08,0.16,1.708,0.452,0.358,1.339,0.153,0.127,0.253,0.224,0.119,737.7,417.8,417.8,0.034,0.013,0.008
211985588,08 45 50.065,+20 01 20.19,1,7.519,43004,1399-581-1,551-045291,08455006+2001203,,STAR,BV,plx,30.49,0.82,-64.95,0.57,18.42,0.81,8.074,0.017,7.585,0.011,,,,,,,,,,,6.589,0.023,6.468,0.075,6.337,0.018,6538,211,253,4.263,0.045,0.063,-0.018,0.1,0.14,1.376,0.09,0.071,1.295,0.067,0.094,0.476,0.077,0.078,59.87,2.065,2.065,0.009,0.003,0.002
211985614,08 31 27.059,+20 01 21.56,1,14.166,,,551-044580,08312705+2001214,5037-301-6-0104-0060,STAR,BV,rpm,0.7,3.2,-4.4,2.9,,,15.206,0.05,14.365,0.038,,,14.822,0.039,,,,,,,12.87,0.021,12.429,0.025,12.333,0.019,5151,158,126,3.683,0.84,0.6,-0.335,0.36,0.54,2.238,1.797,1.55,0.899,0.225,0.066,0.088,1.921,0.075,1319,973.1,882.2,0.032,0.011,0.007
211985663,08 29 29.620,+20 01 23.97,1,17.913,,,,,4569-301-2-0105-0169,EXTENDED,gri,,-2,3,-1,3,,,,,,,19.423,0.039,18.367,0.009,17.983,0.008,17.719,0.009,17.673,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211985684,08 24 09.334,+20 01 24.99,1,15.295,,,551-044217,08240933+2001249,6728-301-1-0113-0033,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,13.044,0.024,12.417,0.023,12.186,0.02,3678,171,143,4.979,0.07,0.084,-0.051,0.15,0.21,0.292,0.078,0.062,0.315,0.103,0.103,11.54,5.725,4.424,123.4,43.45,32.14,0.018,0.007,0.006
211985715,08 18 03.510,+20 01 26.50,1,17.989,,,,08180350+2001264,6597-301-3-0197-0282,EXTENDED,gri,,2,3,0,3,,,,,,,19.694,0.05,18.475,0.009,18.062,0.009,17.781,0.01,17.606,0.029,16.885,0.157,16.157,0.188,15.876,0.196,,,,,,,,,,,,,,,,,,,,,,,,
211985741,09 05 53.626,+20 01 27.55,1,11.618,,,551-046014,09055363+2001276,,STAR,gri,rpm,34.8,1.1,-44.3,0.6,,,12.378,0.05,11.747,0.04,,,12.052,0.08,11.578,0.07,11.432,0.12,,,10.659,0.023,10.336,0.028,10.273,0.023,5817,174,174,4.435,0.075,0.21,-0.347,0.3,0.42,0.977,0.287,0.145,0.914,0.099,0.132,0.97,0.369,0.523,245.3,117.2,53.13,0.024,0.011,0.005
211985772,08 44 06.941,+20 01 29.14,1,14.123,,,551-045216,08440694+2001291,5071-301-6-0117-0033,STAR,gri,rpm,25,4.1,-33.2,2.9,,,16.129,0.03,14.749,0.07,,,15.542,0.02,14.175,0.03,13.515,0.07,,,12.062,0.022,11.45,0.022,11.237,0.018,3805,60,106,4.959,0.03,0.084,-0.077,0.1,0.2,0.327,0.077,0.024,0.366,0.081,0.045,9.725,1.833,3.074,92.84,18.78,15.62,0.018,0.002,0.008
211985821,08 11 56.641,+20 01 31.45,1,13.972,,,551-043598,08115664+2001313,6597-301-4-0188-0210,STAR,gri,rpm,-7.5,2.3,-3.1,2.5,,,14.855,0.09,14.159,0.12,,,14.467,0.04,13.927,0.02,13.76,0.02,,,12.839,0.02,12.499,0.017,12.413,0.021,5628,113,90,4.454,0.06,0.576,-0.143,0.16,0.24,0.958,1.02,0.112,0.964,0.106,0.075,1.059,0.29,0.927,626.8,630.8,73.29,0.034,0.013,0.008
211985830,08 12 10.515,+20 01 32.18,1,13.466,,,551-043613,08121052+2001320,,STAR,gri,rpm,-0.6,2,0.9,2.3,,,14.623,0.03,13.764,0.05,,,14.178,0.07,13.406,0.02,13.161,0.01,,,12.037,0.019,11.573,0.016,11.467,0.019,4974,102,61,3.283,0.32,0.832,-0.41,0.3,0.3,3.924,5.216,1.165,1.055,0.209,0.149,0.016,0.032,0.015,1555,1719,518.9,0.033,0.014,0.007
211985833,08 24 16.528,+20 01 32.28,1,15.383,,,551-044226,08241652+2001321,6728-301-1-0113-0034,STAR,JHK,rpm,-46.7,4,8.1,4.8,,,,,,,,,,,,,,,,,13.081,0.024,12.393,0.023,12.207,0.021,4054,144,120,4.809,0.05,0.05,-0.059,0.18,0.24,0.464,0.053,0.048,0.524,0.06,0.06,4.919,1.477,0.967,221,44.94,31.59,0.025,0.008,0.007
211985837,08 14 16.051,+20 01 32.59,1,13.502,,,551-043731,08141605+2001325,,STAR,JHK,rpm,-3.9,2.4,-2.8,2.7,,,,,,,,,,,,,,,,,11.934,0.021,11.417,0.022,11.298,0.019,4894,116,116,3.06,0.39,0.624,-0.35,0.3,0.42,4.74,4.392,1.594,1.055,0.185,0.155,0.009,0.026,0.008,1613,1461,535,0.033,0.013,0.008
211985872,08 32 19.036,+20 01 34.69,1,12.884,,,551-044618,08321903+2001347,,STAR,BV,rpm,0,1.5,-2.9,2.3,,,13.716,0.043,13.026,0.032,,,13.335,0.032,,,,,,,11.832,0.022,11.59,0.027,11.519,0.021,6224,187,187,4.095,0.216,0.18,-0.092,0.15,0.24,1.512,0.582,0.314,1.207,0.212,0.159,0.305,0.303,0.172,689.3,250,136.7,0.033,0.013,0.008
211985906,08 39 20.444,+20 01 37.05,1,17.074,,,,08392044+2001370,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.607,0.056,15.054,0.08,14.576,0.088,3624,347,248,5.012,0.105,0.126,-0.092,0.18,0.27,0.252,0.136,0.076,0.266,0.165,0.103,13.05,10.97,6.774,331.5,251,124.3,0.028,0.01,0.008
211985934,09 04 05.792,+20 01 38.32,1,16.883,,,,09040579+2001383,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.429,0.089,14.761,0.097,14.259,0.09,3705,456,285,4.969,0.115,0.184,-0.127,0.2,0.28,0.308,0.157,0.104,0.311,0.227,0.142,10.06,9.78,5.606,395.5,287.1,166.3,0.029,0.011,0.008
211985953,08 57 50.779,+20 01 39.63,1,16.133,,,,08575077+2001396,5071-301-3-0136-0244,STAR,gri,rpm,-95,2,62,2,,,,,,,20.743,0.062,18.12,0.006,16.496,0.005,15.281,0.004,14.633,0.005,13.246,0.023,12.706,0.019,12.447,0.024,3266,32,32,5.169,0.02,0.02,-0.163,0.09,0.18,0.162,0.003,0.004,0.141,0.003,0.003,33.32,2.137,1.999,72.43,35.79,2.173,0.014,0.006,0.003
211985987,08 39 41.754,+20 01 41.72,1,14.788,,,551-045002,08394174+2001415,5045-301-3-0127-0149,STAR,JHK,rpm,-32.2,3.6,-7.9,3.9,,,,,,,,,,,,,,,,,12.596,0.022,11.944,0.02,11.756,0.024,4013,224,160,4.84,0.045,0.081,-0.044,0.15,0.24,0.444,0.094,0.05,0.505,0.099,0.062,5.623,1.375,1.83,164.3,55.31,24.46,0.022,0.008,0.005
211985989,08 50 16.474,+20 01 41.82,1,15.44,,,551-045459,08501648+2001418,5037-301-1-0130-0147,STAR,gri,rpm,-36.1,2.9,-20.9,3.1,,,16.817,0.07,15.891,0.062,,,16.337,0.057,15.501,0.063,15.056,0.094,,,13.853,0.027,13.316,0.035,13.247,0.031,4734,141,113,4.665,0.084,0.03,-0.5,0.25,0.45,0.613,0.047,0.092,0.653,0.046,0.082,2.691,1.163,0.347,513.3,45.65,80.42,0.029,0.01,0.008
211986015,08 57 49.910,+20 01 43.45,1,15.694,,,551-045746,08574991+2001433,5071-301-3-0136-0245,STAR,JHK,rpm,-99.2,9,59.9,8.6,,,,,,,,,,,,,,,,,13.532,0.024,12.966,0.024,12.701,0.023,3462,138,221,5.09,0.078,0.065,-0.059,0.15,0.3,0.202,0.045,0.043,0.182,0.058,0.048,21.5,11.49,6.452,93.12,26.02,27.17,0.015,0.006,0.006
211986033,08 50 34.325,+20 01 44.46,1,16.281,,,,08503432+2001444,5037-301-1-0131-0203,STAR,gri,rpm,-51,3,-44,3,,,,,,,20.836,0.054,18.13,0.007,16.742,0.005,15.489,0.005,14.83,0.005,13.461,0.027,12.855,0.03,12.648,0.021,3700,108,108,4.985,0.035,0.035,-0.078,0.15,0.21,0.297,0.032,0.035,0.315,0.042,0.05,11.46,2.836,1.929,149.7,21,21.82,0.02,0.006,0.005
211986060,08 30 20.676,+20 01 46.14,1,16.98,,,551-044526,08302072+2001445,,STAR,JHK,rpm,-18.4,5.3,34.4,5.1,,,,,,,,,,,,,,,,,14.458,0.03,13.812,0.033,13.491,0.035,3581,169,141,5.015,0.078,0.065,-0.054,0.15,0.18,0.263,0.063,0.06,0.268,0.088,0.088,13.67,7.6,4.213,194.2,64.18,48.24,0.024,0.01,0.007
211986109,08 53 59.046,+20 01 49.18,1,18.27,,,,08535904+2001491,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.715,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211986176,08 39 59.077,+20 01 53.07,1,9.39,,1398-50-1,551-045017,08395908+2001532,,STAR,gri,plx,-34.5,1.1,-15.7,1,,,9.37,0.024,8.984,0.021,,,10.218,0.08,9.542,0.07,9.035,0.06,,,8.454,0.03,8.251,0.02,8.214,0.021,6036,176,176,3.908,0.066,0.055,0.068,0.12,0.15,2.104,0.188,0.145,1.376,0.094,0.126,0.141,0.032,0.026,200.4,12.97,12.97,0.024,0.008,0.006
211986221,08 31 42.141,+20 01 55.87,1,12.56,,,551-044589,08314213+2001557,,STAR,BV,rpm,11.3,1.6,-39.4,1.3,,,13.214,0.042,12.653,0.031,,,12.921,0.031,,,,,,,11.523,0.023,11.212,0.023,11.166,0.019,5892,177,177,4.393,0.07,0.238,-0.323,0.25,0.4,1.014,0.332,0.116,0.927,0.091,0.091,0.888,0.256,0.493,383.2,129,51.74,0.03,0.01,0.007
211986360,08 55 05.172,+20 02 04.56,1,14.083,,,551-045655,08550517+2002046,,STAR,gri,rpm,-3.5,4.5,-2.9,3,,,15.217,0.05,14.314,0.038,,,14.767,0.038,14.075,0.046,13.79,0.069,,,12.757,0.023,12.339,0.021,12.255,0.021,5184,158,95,3.827,0.728,0.546,-0.231,0.2,0.48,1.862,1.538,1.179,0.899,0.21,0.066,0.123,1.731,0.103,1116,791.6,698.4,0.034,0.011,0.008
211986379,08 38 45.237,+20 02 05.56,1,11.12,,1398-49-1,551-044948,08384526+2002053,,STAR,gri,rpm,6.6,1.6,-4.4,1.7,,,11.422,0.104,11.608,0.195,,,11.421,0.03,11.11,0.05,10.99,0.07,,,10.26,0.022,10.041,0.021,9.983,0.018,6390,153,153,4.033,0.225,0.27,-0.04,0.12,0.15,1.723,0.88,0.44,1.358,0.232,0.174,0.199,0.247,0.123,413.6,172.2,121.6,0.031,0.01,0.008
211986390,08 24 24.207,+20 02 06.57,1,14.257,,,551-044234,08242420+2002065,6728-301-1-0113-0151,STAR,JHK,rpm,6.5,4.3,-46.1,4.9,,,,,,,,,,,,,,,,,12.166,0.021,11.532,0.022,11.356,0.017,3959,188,125,4.852,0.045,0.072,-0.086,0.16,0.24,0.419,0.077,0.042,0.476,0.076,0.065,6.066,1.713,1.712,130.2,27.05,22.4,0.019,0.006,0.006
211986391,08 42 37.579,+20 02 06.59,1,14.622,,,551-045158,08423758+2002065,,STAR,gri,lam,-15.1,3.8,-4.9,4.2,,,15.801,0.01,14.947,0.01,,,15.341,0.01,14.568,0.03,14.314,0.03,,,13.303,0.025,12.808,0.024,12.725,0.027,4953,148,177,4.613,0.025,0.03,-0.165,0.12,0.15,0.716,0.042,0.04,0.771,0.045,0.045,2.054,0.251,0.223,493.9,43.92,48,0.031,0.01,0.007
211986415,08 26 08.650,+20 02 08.25,1,14.66,,,551-044304,08260864+2002081,,STAR,JHK,rpm,-11.1,4.3,-9.2,4.9,,,,,,,,,,,,,,,,,13.176,0.022,12.707,0.023,12.578,0.021,5078,152,122,4.577,0.04,1.08,-0.217,0.25,0.45,0.772,2.105,0.071,0.824,0.091,0.076,1.726,0.349,1.688,521.4,1379,60.96,0.034,0.013,0.008
