EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
211985032,08 16 44.814,+20 00 46.62,1,12.447,,,551-043880,08164481+2000467,,STAR,JHK,rpm,-3.3,1.9,-11.1,2.4,,,,,,,,,,,,,,,,,10.946,0.023,10.45,0.023,10.34,0.016,4950,115,115,3.144,0.34,0.748,-0.373,0.3,0.42,4.348,4.736,1.34,1.031,0.255,0.142,0.012,0.023,0.011,1000,1051,301.8,0.033,0.01,0.007
211985034,08 36 46.491,+20 00 46.75,1,13.762,,,551-044846,08364648+2000468,,STAR,gri,lam,1,2.9,2,3.2,,,15.323,0.01,14.138,0.02,,,14.712,0.01,13.739,0.02,13.355,0.08,,,12.087,0.021,11.418,0.023,11.31,0.025,4567,91,91,2.146,0.145,0.116,-0.542,0.15,0.12,13.333,2.332,2.345,0.961,0.019,0.019,3.81E-04,3.00E-04,1.46E-04,4479,807.7,684.3,0.036,0.013,0.008
211985050,08 11 54.144,+20 00 47.81,1,16.519,,,,08115414+2000478,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.091,0.049,14.508,0.065,14.078,0.061,3578,232,232,5.022,0.1,0.1,-0.056,0.16,0.24,0.244,0.096,0.069,0.239,0.14,0.088,14.92,11.01,6.333,248.1,132.6,86.43,0.026,0.01,0.008
211985076,08 37 33.815,+20 00 49.23,1,8.633,,1398-28-1,551-044890,08373381+2000492,,STAR,BV,rav,-35.4,0.9,-12.6,0.9,,,8.981,0.021,8.643,0.018,,,,,,,,,,,8.1,0.026,7.996,0.046,7.946,0.033,7190,214,128,3.769,0.125,0.15,0.124,0.08,0.1,2.96,0.671,0.547,1.974,0.194,0.194,0.07,0.041,0.03,279.6,69.17,47.04,0.028,0.006,0.007
211985108,08 31 25.893,+20 00 51.00,1,14.625,,,551-044579,08312588+2000509,5037-301-6-0104-0054,STAR,JHK,rpm,-0.9,3.7,1.9,2.4,,,,,,,,,,,,,,,,,13.21,0.022,12.746,0.027,12.648,0.023,5074,153,123,3.503,0.924,0.66,-0.47,0.42,0.49,2.699,3.233,1.87,0.909,0.242,0.071,0.032,1.104,0.029,1913,1698,1376,0.035,0.013,0.009
211985128,08 40 42.715,+20 00 52.19,1,11.416,,,551-045058,08404271+2000522,,STAR,gri,rpm,-9.7,1,-29.8,0.5,,,12.238,0.01,11.565,0.02,,,11.849,0.02,11.384,0.04,11.23,0.07,,,10.425,0.023,10.153,0.022,10.095,0.016,5964,119,119,4.274,0.13,0.208,-0.031,0.15,0.21,1.209,0.387,0.204,1.079,0.103,0.085,0.572,0.334,0.322,281.3,90.9,45.16,0.029,0.008,0.008
211985144,08 14 50.058,+20 00 52.95,1,11.275,,,551-043770,08145005+2000530,,STAR,JHK,rpm,3.5,1.2,-10.7,3.1,,,,,,,,,,,,,,,,,9.55,0.021,8.978,0.036,8.854,0.021,4692,110,110,2.439,0.336,0.14,-0.2,0.2,0.32,10.82,1.741,3.552,1.179,0.196,0.196,9.01E-04,0.002,3.61E-04,1187,172.1,359.7,0.033,0.011,0.007
211985152,08 54 06.615,+20 00 53.46,1,13.896,,,551-045611,08540661+2000534,,STAR,gri,lam,-4,2,-5.8,2.1,,,15.233,0.01,14.197,0.01,,,14.741,0.01,13.793,0.03,13.534,0.067,,,12.354,0.022,11.845,0.023,11.752,0.023,4719,140,140,4.623,0.035,0.025,0.025,0.12,0.1,0.698,0.041,0.039,0.767,0.047,0.047,2.151,0.319,0.234,296.1,31.57,28.53,0.027,0.006,0.006
211985159,08 55 18.972,+20 00 53.81,1,13.176,,,551-045659,08551898+2000538,,STAR,gri,lam,-29.2,1.6,-5.6,1.8,,,14.111,0.01,13.327,0.03,,,13.709,0.01,13.083,0.03,12.947,0.05,,,11.992,0.022,11.569,0.022,11.492,0.021,5503,163,130,4.499,0.035,0.049,0.037,0.1,0.1,0.905,0.07,0.055,0.952,0.052,0.045,1.262,0.187,0.193,389.8,38.59,35.12,0.031,0.011,0.007
211985215,08 30 52.500,+20 00 58.01,1,18.34,,,,08305250+2000580,5037-301-6-0103-0289,STAR,gri,rpm,-22,3,-20,3,,,,,,,23.62,0.477,20.602,0.022,19.074,0.011,17.37,0.006,16.451,0.008,14.981,0.039,14.377,0.051,14.107,0.042,3406,105,105,5.128,0.03,0.036,-0.117,0.25,0.25,0.179,0.024,0.01,0.16,0.031,0.011,26.84,3.624,5.471,157.1,27.57,11.3,0.022,0.008,0.005
211985220,08 33 00.894,+20 00 58.31,1,14.17,,,551-044652,08330089+2000584,,STAR,BV,rpm,-2.5,2.7,-15.9,2.8,,,15.439,0.06,14.362,0.038,,,14.812,0.038,,,,,,,12.595,0.025,12.092,0.022,11.976,0.02,4938,176,117,4.595,0.04,1.176,-0.174,0.25,0.4,0.75,2.449,0.069,0.811,0.124,0.078,1.891,0.356,1.862,383.4,1284,55.86,0.032,0.011,0.007
211985254,08 56 51.739,+20 01 00.51,1,17.204,,,,08565173+2001005,,STAR,J,,,,,,,,,,,,,,,,,,,,,,15.728,0.127,14.943,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,
211985278,08 54 42.727,+20 01 01.69,1,13.761,,,551-045637,08544272+2001018,,STAR,gri,lam,-9.5,4.5,-51.7,3,,,15.648,0.062,14.29,0.038,,,15.036,0.04,13.74,0.06,13.215,0.01,,,11.79,0.022,11.12,0.021,10.981,0.019,4128,124,148,4.819,0.056,0.048,-0.258,0.15,0.12,0.462,0.045,0.063,0.511,0.062,0.062,5.014,1.719,0.844,123.9,18.35,18.93,0.017,0.008,0.005
211985296,08 38 23.529,+20 01 02.53,1,14.265,,,551-044931,08382352+2001025,,STAR,JHK,rpm,-7.8,15.7,12,8.1,,,,,,,,,,,,,,,,,12.609,0.027,11.997,0.033,11.938,0.022,4608,184,221,4.653,0.05,0.07,-0.102,0.16,0.28,0.656,0.107,0.067,0.714,0.083,0.069,2.51,0.614,0.58,293.4,76.65,44.83,0.029,0.01,0.007
211985302,08 24 03.225,+20 01 02.80,1,17.411,,,,08240322+2001028,6728-301-1-0112-0330,STAR,gri,rpm,2,3,4,3,,,,,,,21.828,0.162,19.064,0.01,17.652,0.006,16.702,0.005,16.184,0.007,14.875,0.03,14.153,0.043,14.019,0.044,3558,42,42,5.001,0.04,0.025,0.057,0.12,0.08,0.273,0.019,0.034,0.277,0.024,0.044,13.21,3.421,1.437,242.6,21.57,34.49,0.025,0.01,0.006
211985346,08 39 52.763,+20 01 05.21,1,15.979,,,,08395276+2001052,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,13.57,0.022,12.902,0.027,12.659,0.027,3945,207,207,4.864,0.098,0.07,-0.086,0.18,0.24,0.408,0.071,0.103,0.452,0.083,0.132,6.333,4.274,1.745,236.3,55.76,67.93,0.025,0.01,0.008
211985366,08 56 04.970,+20 01 06.52,1,12.802,,,551-045696,08560497+2001065,,STAR,gri,rpm,3,2.4,-27,1.7,,,13.564,0.03,12.917,0.03,,,13.267,0.04,12.753,0.04,12.603,0.01,,,11.696,0.022,11.349,0.021,11.271,0.02,5701,113,136,4.457,0.05,0.28,-0.123,0.15,0.24,0.957,0.425,0.088,0.962,0.06,0.072,1.072,0.247,0.707,384.2,176,51.88,0.031,0.011,0.008
