EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
211300349,08 56 28.292,+09 51 08.15,1,17.883,,,,,4380-301-4-0128-0230,EXTENDED,gri,,-4,3,9,3,,,,,,,19.565,0.089,18.35,0.013,17.92,0.014,17.683,0.015,17.497,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211301344,08 56 28.646,+09 52 21.40,1,13.539,,,500-052732,08562864+0952212,,STAR,JHK,lam,-1.6,2.9,-6,3.4,,,,,,,,,,,,,,,,,12.085,0.023,11.571,0.025,11.502,0.024,4980,97,78,3.574,0.105,0.105,-0.157,0.12,0.12,2.811,0.431,0.374,1.169,0.112,0.134,0.048,0.023,0.016,1133,186,134.8,0.034,0.011,0.007
211301372,08 56 15.492,+09 52 23.38,1,14.195,,,500-052716,08561549+0952232,,STAR,gri,rpm,-11.4,2.8,-14.6,3.2,,,15.288,0.01,14.458,0.06,,,14.808,0.01,14.147,0.02,13.932,0.08,,,12.88,0.026,12.416,0.025,12.361,0.027,5204,102,102,4.556,0.035,1.092,-0.285,0.2,0.36,0.798,2.007,0.055,0.87,0.063,0.089,1.616,0.261,1.579,497.6,1167,50.01,0.032,0.013,0.007
211301433,08 55 36.534,+09 52 28.43,1,12.034,,,500-052673,08553654+0952282,,STAR,gri,rpm,-0.7,1.2,-78,2.4,,,13.154,0.01,12.302,0.07,,,12.697,0.02,11.98,0.01,11.75,0.04,,,10.641,0.023,10.231,0.026,10.104,0.021,5183,124,82,4.534,0.054,0.042,0.106,0.09,0.33,0.832,0.017,0.089,0.871,0.042,0.063,1.473,0.377,0.239,212.6,22.23,62.5,0.026,0.01,0.008
211301456,08 53 53.193,+09 52 29.96,1,11.808,,811-1057-1,500-052592,08535318+0952299,,STAR,gri,lam,-10.8,2.9,-3.9,2.9,,,12.62,0.286,11.676,0.171,,,12.023,0.02,11.737,0.05,11.683,0.06,,,10.942,0.022,10.721,0.031,10.674,0.022,6396,128,128,4.225,0.085,0.102,0.002,0.08,0.1,1.391,0.206,0.151,1.26,0.076,0.063,0.43,0.157,0.134,443.7,61.07,53.68,0.031,0.01,0.007
211301592,08 53 17.109,+09 52 39.97,1,14.435,,,500-052563,08531710+0952400,5972-301-1-0117-0164,STAR,gri,rpm,-2.6,2.9,-1,3.5,,,15.636,0.02,14.768,0.04,,,15.16,0.04,14.425,0.01,14.125,0.03,,,13.016,0.024,12.489,0.028,12.396,0.025,4880,77,77,2.309,0.845,1.014,-0.997,0.55,1.43,9.609,19.409,5.783,0.862,0.106,0.071,6.18E-04,0.01,5.99E-04,4850,11710,2833,0.035,0.016,0.006
211301689,08 55 26.154,+09 52 46.78,1,9.251,,811-1381-1,500-052664,08552615+0952467,,STAR,gri,plx,3.1,2.1,-5.1,2,,,11.984,0.273,10.015,0.045,,,10.98,0.11,9.75,0.02,8.51,0.01,,,6.338,0.021,5.512,0.023,5.232,0.018,3879,76,76,1.11,0.13,0.182,-0.085,0.15,0.21,51.642,10.847,8.964,1.261,0.213,0.177,8.90E-06,6.39E-06,4.25E-06,1703,2672,2672,0.035,0.013,0.008
211301854,08 55 38.084,+09 52 58.48,1,17.857,,,,08553808+0952584,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.763,0.085,15.276,0.1,14.952,0.168,4070,1062,579,4.821,0.216,0.252,-0.242,0.25,0.4,0.416,0.285,0.194,0.468,0.281,0.234,5.415,8.664,3.694,710,971.3,410.2,0.032,0.011,0.008
211302038,08 53 05.782,+09 53 11.94,1,16.642,,,,08530578+0953119,5972-301-1-0117-0278,STAR,gri,rpm,-17,3,-10,3,,,,,,,21.091,0.075,18.475,0.007,17.066,0.005,15.857,0.004,15.189,0.005,13.841,0.028,13.231,0.033,12.966,0.028,3625,70,99,5.006,0.03,0.036,0.02,0.08,0.16,0.281,0.028,0.03,0.286,0.045,0.045,12.94,2.761,2.275,161.6,21.91,22.28,0.022,0.011,0.005
211302061,08 53 44.591,+09 53 13.75,1,12.059,,,500-052582,08534459+0953138,,STAR,gri,rpm,10.9,1.1,-14.2,1.9,,,13.202,0.02,12.372,0.06,,,12.742,0.05,12.053,0.04,11.766,0.06,,,10.601,0.024,10.045,0.03,9.92,0.02,4896,97,97,2.841,0.609,0.522,-0.617,0.36,0.36,5.918,3.702,2.92,0.937,0.17,0.045,0.004,0.022,0.004,1164,767.7,530.1,0.031,0.011,0.009
