206208956,22 49 29.774,-09 36 54.88,1,12.615,,,402-129958,22492977-0936548,,STAR,gri,rpm,-4.6,0.9,-12.6,1.1,,,13.44,0.01,12.804,0.01,,,13.089,0.02,12.485,0.18,12.412,0.09,,,11.539,0.029,11.233,0.022,11.137,0.026,5888,174,174,4.234,0.185,0.333,-0.023,0.15,0.24,1.265,0.632,0.283,1.076,0.121,0.075,0.463,0.45,0.307,475.4,226.8,115.6,0.046,0.016,0.012,AAA-222-111-000-0-0,,
206208968,22 33 22.659,-09 36 53.74,1,10.776,,,402-129514,22332264-0936537,,STAR,JHK,rpm,144.8,1.5,5.7,1.3,,,,,,,,,,,,,,,,,8.534,0.024,7.955,0.024,7.679,0.024,3775,37,45,4.907,0.045,0.02,0.052,0.12,0.15,0.372,0.017,0.037,0.411,0.025,0.04,7.883,1.838,0.61,22.12,7.691,2.094,0.005,0.004,0.002,AAA-111-111-000-0-0,,
206208994,22 53 39.739,-09 36 52.55,1,17.233,,,,22533973-0936525,2576-301-3-0146-0225,EXTENDED,gri,,-8,3,9,3,,,,,,,19.824,0.158,18.252,0.015,17.263,0.01,16.796,0.009,16.429,0.025,16.625,0.184,15.83,0.181,15.298,0.181,,,,,,,,,,,,,,,,,,,,,,,,,CCC-222-111-000-0-0,18.2,
206209006,22 33 48.393,-09 36 52.02,1,10.534,,5811-201-1,402-129527,22334838-0936520,,STAR,BV,rav,9.2,2.1,-7.3,2.1,,,11.942,0.177,10.755,0.072,,,,,,,,,,,8.965,0.023,8.423,0.038,8.309,0.021,4566,225,141,2.034,0.222,0.222,-0.505,0.15,0.15,14.913,4.158,2.763,0.973,0.11,0.046,2.44E-04,2.78E-04,1.30E-04,1225,315.6,213,0.043,0.018,0.01,AAA-112-111-000-0-0,,
206209110,22 07 57.154,-09 36 45.77,1,17.46,,,,22075715-0936457,2576-301-1-0071-0317,EXTENDED,gri,,-7,3,-2,3,,,,,,,19.867,0.097,18.321,0.012,17.564,0.009,17.091,0.009,16.73,0.022,16.433,0.151,15.565,0.147,14.787,0.112,,,,,,,,,,,,,,,,,,,,,,,,,BBB-222-111-000-0-0,40.7,
206209122,22 20 06.974,-09 36 45.18,1,11.86,,,402-129116,22200696-0936452,,STAR,gri,rav,62.7,1.8,-8.2,2.2,,,12.675,0.041,11.96,0.03,,,12.264,0.01,11.767,0.01,11.688,0.07,,,10.773,0.023,10.47,0.026,10.41,0.023,5895,141,141,4.407,0.054,0.072,-0.06,0.1,0.12,1.04,0.113,0.074,1.034,0.063,0.063,0.884,0.167,0.19,280.4,32.76,29.34,0.04,0.016,0.01,AAA-222-111-000-0-0,,
206209135,22 18 29.271,-09 36 44.58,1,14.407,,,402-129080,22182923-0936444,1659-301-1-0197-0053,STAR,gri,rpm,200.5,8,69.8,8,,,16.692,0.086,15.309,0.05,,,16.135,0.14,14.723,0.05,13.666,0.1,,,11.685,0.023,11.122,0.022,10.962,0.021,3497,164,137,5.048,0.075,0.075,-0.032,0.12,0.15,0.232,0.063,0.049,0.217,0.102,0.064,17.17,8.815,5.824,55.14,30.18,16.82,0.015,0.01,0.006,AAA-222-111-000-0-0,,
206209138,22 41 03.985,-09 36 44.39,1,17.429,,,,22410398-0936443,1659-301-2-0234-0258,STAR,gri,col,,,,,,,,,,,20.077,0.05,18.159,0.007,17.368,0.006,17.116,0.006,17.003,0.012,15.729,0.083,15.169,0.127,14.784,0.143,4913,96,96,4.643,0.066,0.055,-0.58,0.35,0.42,0.633,0.086,0.075,0.673,0.097,0.069,2.541,0.77,0.591,1311,293,202.8,0.042,0.016,0.009,ABB-222-111-000-0-0,,
206209199,22 33 05.326,-09 36 41.28,1,15.973,,,402-129495,22330531-0936412,2576-301-2-0112-0140,STAR,JHK,rpm,5.5,2.5,2.5,6.5,,,,,,,,,,,,,,,,,13.715,0.022,13.024,0.024,12.855,0.03,4200,166,166,4.752,0.06,0.05,-0.022,0.15,0.21,0.525,0.068,0.06,0.587,0.073,0.061,3.824,1.148,0.751,346.5,55.94,56.96,0.041,0.018,0.01,AAA-222-111-000-0-0,,
206209239,22 21 53.030,-09 36 38.96,1,9.323,,5804-449-1,402-129169,22215303-0936389,,STAR,BV,rav,9.5,1.3,-20.6,1.3,,,9.758,0.031,9.356,0.027,,,,,,,,,,,8.538,0.032,8.34,0.044,8.341,0.031,6719,161,161,4.087,0.125,0.175,0.011,0.1,0.08,1.769,0.419,0.287,1.463,0.14,0.117,0.237,0.143,0.103,195.4,47.66,32.49,0.034,0.013,0.007,AAA-111-111-000-0-0,,
206209259,22 37 04.173,-09 36 38.40,1,16.42,,,402-129621,22370416-0936384,1659-301-2-0228-0089,STAR,JHK,rpm,4.7,4.7,-6.6,4.7,,,,,,,,,,,,,,,,,14.13,0.029,13.443,0.022,13.26,0.037,4148,192,160,4.772,0.065,0.065,-0.039,0.15,0.18,0.501,0.074,0.065,0.574,0.085,0.085,4.171,1.391,1.043,399.3,85.2,70.22,0.043,0.022,0.009,AAA-222-111-000-0-0,,
206209262,22 07 54.454,-09 36 37.96,1,12.502,,,402-128737,22075445-0936379,,STAR,gri,rpm,42.4,1.1,18,1.2,,,13.337,0.02,12.626,0.02,,,12.983,0.05,12.422,0.02,12.297,0.08,,,11.339,0.024,11.009,0.027,10.922,0.021,5684,158,135,4.472,0.04,0.088,-0.17,0.2,0.2,0.903,0.157,0.058,0.925,0.096,0.069,1.21,0.195,0.365,299.6,61.59,37.45,0.037,0.007,0.005,AAA-222-111-000-0-0,,
206209280,22 40 10.721,-09 36 37.07,1,17.739,,,,,1659-301-2-0233-0117,EXTENDED,gri,,-4,3,-8,3,,,,,,,19.484,0.062,18.373,0.012,17.807,0.01,17.467,0.01,17.279,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
