EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
206007260,22 03 46.216,-14 37 03.13,1,12.079,,,377-171223,22034621-1437030,,STAR,gri,rpm,-2.1,1.1,-0.4,1.6,,,13.406,0.05,12.377,0.01,,,12.851,0.04,12.054,0.02,11.748,0.07,,,10.493,0.02,9.975,0.022,9.823,0.02,4853,77,96,2.45,0.676,0.312,-0.479,0.25,0.6,9.714,3.744,4.921,0.971,0.238,0.091,0.001,0.009,6.50E-04,1668,727.6,809.1,0.041,0.028,0.007,AAA-222-111-000-0-0,,
206007283,22 13 37.523,-14 37 01.20,1,14.517,,,377-171575,22133751-1437011,,STAR,JHK,rpm,171.5,8,-133.5,8,,,,,,,,,,,,,,,,,12.659,0.022,12.122,0.022,11.919,0.025,3435,508,508,5.077,0.125,0.125,-0.147,0.2,0.52,0.197,0.123,0.066,0.18,0.168,0.084,20.34,20.71,11.58,69.24,52.09,25.85,0.02,0.014,0.01,AAA-222-111-000-0-0,,
206007285,22 13 30.117,-14 37 00.89,1,11.861,,,377-171568,22133010-1437008,,STAR,gri,rpm,6.1,1.1,9.5,1,,,12.702,0.03,12.042,0.03,,,12.294,0.02,11.835,0.03,11.676,0.03,,,10.818,0.024,10.494,0.023,10.43,0.025,5885,137,160,4.175,0.276,0.23,-0.137,0.25,0.3,1.418,0.436,0.55,1.072,0.144,0.202,0.368,0.699,0.196,388.1,115.1,147,0.039,0.014,0.009,AAA-222-111-000-0-0,,
206007310,22 40 02.953,-14 36 57.80,1,13.679,,,377-172362,22400295-1436577,,STAR,gri,rpm,4.6,2.3,-9.4,1.7,,,14.822,0.02,13.902,0.04,,,14.355,0.04,13.611,0.04,13.389,0.02,,,12.27,0.021,11.837,0.026,11.764,0.023,5128,163,102,3.788,0.819,0.585,-0.198,0.3,0.48,2.095,1.915,1.385,0.92,0.21,0.074,0.087,1.518,0.073,906.5,640,559.9,0.041,0.02,0.009,AAA-222-111-000-0-0,,
206007348,22 02 57.005,-14 36 53.43,1,13.821,,,377-171184,22025700-1436533,,STAR,gri,rpm,-20.6,3.2,-12.3,1.9,,,15.272,0.02,14.226,0.01,,,14.758,0.05,13.823,0.045,13.42,0.06,,,12.175,0.022,11.623,0.023,11.534,0.026,4706,74,74,4.634,0.035,0.025,-0.029,0.15,0.21,0.686,0.036,0.047,0.755,0.043,0.06,2.273,0.355,0.224,266.1,19.69,28.72,0.037,0.013,0.008,AAA-222-111-000-0-0,,
206007354,22 21 37.464,-14 36 52.49,1,15.665,,,377-171846,22213745-1436528,,STAR,JHK,rpm,28.7,3.6,16.3,4,,,,,,,,,,,,,,,,,13.379,0.023,12.674,0.022,12.51,0.024,4156,123,123,4.767,0.048,0.04,0.012,0.15,0.18,0.52,0.042,0.054,0.586,0.042,0.059,4.109,1.04,0.612,285.3,37.03,38.87,0.044,0.018,0.012,AAA-222-111-000-0-0,,
206007358,22 04 08.178,-14 36 51.95,1,15.731,,,377-171233,22040817-1436518,,STAR,gri,rpm,44.9,3.1,-10.6,3.1,,,17.703,0.21,16.293,0.073,,,17.01,0.05,15.762,0.13,15.183,0.11,,,13.59,0.027,12.9,0.027,12.784,0.024,4160,101,152,4.782,0.045,0.054,-0.082,0.18,0.24,0.503,0.062,0.055,0.556,0.073,0.052,4.375,1.158,0.916,308.6,49.66,42.77,0.038,0.016,0.009,AAA-222-111-000-0-0,,
206007379,22 40 10.915,-14 36 50.04,1,16.714,,,,22401091-1436500,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.443,0.048,15.32,0.114,14.978,0.12,6035,287,383,4.31,0.19,0.228,-0.86,0.35,0.42,0.991,0.363,0.227,0.822,0.056,0.068,0.689,0.686,0.388,2382,838.6,723.4,0.042,0.016,0.009,ABB-222-111-000-0-0,,
206007422,22 09 09.934,-14 36 45.13,1,15.143,,,377-171409,22090993-1436451,,STAR,JHK,rpm,59.9,3.5,13.1,3.8,,,,,,,,,,,,,,,,,12.954,0.024,12.355,0.025,12.115,0.025,3660,145,145,4.964,0.055,0.055,0.04,0.12,0.18,0.305,0.052,0.06,0.329,0.074,0.086,10.92,3.983,2.919,119.3,30.33,27.71,0.028,0.01,0.006,AAA-222-111-000-0-0,,
206007428,22 40 33.393,-14 36 44.52,1,12.017,,5818-1287-1,377-172378,22403339-1436443,,STAR,gri,rav,-45.9,2.3,-6.7,2.3,,,12.74,0.334,11.24,0.111,,,12.5,0.02,12.011,0.03,11.81,0.02,,,10.856,0.023,10.495,0.022,10.417,0.023,5418,201,167,3.839,0.11,0.05,-0.129,0.12,0.12,2.114,0.126,0.321,1.109,0.085,0.102,0.115,0.06,0.016,515.4,47.13,59.42,0.042,0.015,0.011,AAA-222-111-000-0-0,,
